DatLicense,DatURL,DatKeyword,DatPublisher,DatCreator,DatOwner,DatLanguage,DatLevel,DatSize,DatName,DatPublication,DatDescription,DatVersion,DatDomain,DatFileFormat
"Open Data Commons Open Database License (ODbL), Creative Commons Zero (CC0), others",https://github.com/christiansassi/knowledge-graph-engineering-project/Phase%202%20-%20Information%20Gathering/data/standardized/sport/Sport.csv,"sport, trentino","OpenStreetMap Foundation, Comune di Trento, PagineGialle","OpenStreetMap Foundation, Comune di Trento, PagineGialle","OpenStreetMap Foundation, Comune di Trento, PagineGialle",English,Knowledge level (L3-4),"2.18 KB",Sport.csv,January 2025,"Contains data about various sports, including identifiers and names.",1.0,Sports,CSV
"Open Data Commons Open Database License (ODbL), Creative Commons Zero (CC0), others",https://github.com/christiansassi/knowledge-graph-engineering-project/Phase%202%20-%20Information%20Gathering/data/standardized/sport/SportFacility.csv,"sport, facility, sport facility, trentino","OpenStreetMap Foundation, Comune di Trento, PagineGialle","OpenStreetMap Foundation, Comune di Trento, PagineGialle","OpenStreetMap Foundation, Comune di Trento, PagineGialle",English,Knowledge level (L3-4),1.77 MB,SportFacility.csv,January 2025,"Data on sports facilities, including legal names, contact info, and associated sports.",1.0,Sports Facilities,CSV
"Open Data Commons Open Database License (ODbL), Creative Commons Zero (CC0), others",https://github.com/christiansassi/knowledge-graph-engineering-project/Phase%202%20-%20Information%20Gathering/data/standardized/sport/PadelCourt.csv,"sport, facility, sport facility, trentino, padel, court","OpenStreetMap Foundation, Comune di Trento, PagineGialle","OpenStreetMap Foundation, Comune di Trento, PagineGialle","OpenStreetMap Foundation, Comune di Trento, PagineGialle",English,Knowledge level (L3-4),100 B,PadelCourt.csv,January 2025,"Details of padel courts, including identifiers, names, and whether they are covered.",1.0,Sports Facilities,CSV
"Open Data Commons Open Database License (ODbL), Creative Commons Zero (CC0), others",https://github.com/christiansassi/knowledge-graph-engineering-project/Phase%202%20-%20Information%20Gathering/data/standardized/sport/TennisCourt.csv,"sport, facility, sport facility, trentino, tennis, court","OpenStreetMap Foundation, Comune di Trento, PagineGialle","OpenStreetMap Foundation, Comune di Trento, PagineGialle","OpenStreetMap Foundation, Comune di Trento, PagineGialle",English,Knowledge level (L3-4),57.6 KB,TennisCourt.csv,January 2025,"Details of tennis courts, including surface types, lighting, and coverage information.",1.0,Sports Facilities,CSV
"Open Data Commons Open Database License (ODbL), Creative Commons Zero (CC0), others",https://github.com/christiansassi/knowledge-graph-engineering-project/Phase%202%20-%20Information%20Gathering/data/standardized/sport/VolleyballField.csv,"sport, facility, sport facility, trentino, volleyball, field","OpenStreetMap Foundation, Comune di Trento, PagineGialle","OpenStreetMap Foundation, Comune di Trento, PagineGialle","OpenStreetMap Foundation, Comune di Trento, PagineGialle",English,Knowledge level (L3-4),1.85 KB,VolleyballField.csv,January 2025,"Details of volleyball fields, including surface types and lighting information.",1.0,Sports Facilities,CSV
"Creative Commons Zero (CC0), others",https://github.com/christiansassi/knowledge-graph-engineering-project/Phase%202%20-%20Information%20Gathering/data/standardized/events/Event.csv,"sport, event, sport event, trentino","Trentino Digitale SpA, La Gazzetta dello Sport, Trentino","Trentino Digitale SpA, La Gazzetta dello Sport, Trentino","Trentino Digitale SpA, La Gazzetta dello Sport, Trentino",Italian,Knowledge level (L3-4),13 KB,Event.csv,January 2025,"Details of events, including identifiers, names, dates, and associated sports and organizations.",1.0,Sports Events,CSV
"Creative Commons Zero (CC0), others",https://github.com/christiansassi/knowledge-graph-engineering-project/Phase%202%20-%20Information%20Gathering/data/standardized/events/Guest.csv,"sport, event, sport event, trentino, guest","La Gazzetta dello Sport, Trentino","La Gazzetta dello Sport, Trentino","La Gazzetta dello Sport, Trentino",English,Knowledge level (L3-4),4.89 KB,Guest.csv,January 2025,"Data about event guests, including identifiers, given names, and family names.",1.0,Sports Events,CSV
"Creative Commons Zero (CC0), others",https://github.com/christiansassi/knowledge-graph-engineering-project/Phase%202%20-%20Information%20Gathering/data/standardized/events/Organization.csv,"sport, event, sport event, trentino, organization","Trentino Digitale SpA, La Gazzetta dello Sport, Trentino","Trentino Digitale SpA, La Gazzetta dello Sport, Trentino","Trentino Digitale SpA, La Gazzetta dello Sport, Trentino",English,Knowledge level (L3-4),847 B,Organization.csv,January 2025,"Details of organizations, including identifiers and names.",1.0,Sports Events,CSV
"Open Data Commons Open Database License (ODbL), Creative Commons Zero (CC0), others",https://github.com/christiansassi/knowledge-graph-engineering-project/Phase%202%20-%20Information%20Gathering/data/standardized/location/Location.csv,trentino,"OpenStreetMap Foundation, Comune di Trento, PagineGialle, Trentino Digitale SpA, La Gazzetta dello Sport, Trentino","OpenStreetMap Foundation, Comune di Trento, PagineGialle, Trentino Digitale SpA, La Gazzetta dello Sport, Trentino","OpenStreetMap Foundation, Comune di Trento, PagineGialle, Trentino Digitale SpA, La Gazzetta dello Sport, Trentino",English,Knowledge level (L3-4),79 KB,Location.csv,January 2025,"Data about locations, including addresses and municipalities.",1.0,Territory,CSV
Apache License 2.0,https://github.com/christiansassi/knowledge-graph-engineering-project/Phase%202%20-%20Information%20Gathering/data/standardized/endUser/EndUser.csv,"user, other","Mouez Khelifi, Pietro Bologna, Christian Sassi","Mouez Khelifi, Pietro Bologna, Christian Sassi","Mouez Khelifi, Pietro Bologna, Christian Sassi",English,Knowledge level (L3-4),190 B,EndUser.csv,January 2025,"Data about end users, including identifiers, names, birth dates, and occupations.",1.0,Society,CSV
