remoteId;published;modified;Titolo;"Titolo breve";Immagine;Descrizione;"Locandina dell'evento";Inizio;Termine;Durata;Quando;Dove;Informazioni;Destinatari;Costi;Stato;Materia;Circoscrizione;Argomento;"Tipologia evento";"Manifestazione cui fa parte";Associazione;Progressivo;Sottotitolo;Orario;lat;lon;address;Fonte
c3557de6feb36121d68376abf31c62eb;2016-09-13T09:55:53+02:00;2016-09-13T09:55:53+02:00;"Bieno di Rock";"Bieno di Rock";/var/bieno/storage/images/territorio/eventi-e-manifestazioni2/bieno-di-rock/21925-1-ita-IT/Bieno-di-Rock.jpg;"Una rassegna musicale, un concorso per giovani band, uno degli eventi rock più importanti in Trentino e, chiaramente, della Valsugana: tutto questo è Un Bieno di Rock... l’evento considerato il trampolino di lancio per i giovani che coltivano con passione il desiderio di suonare.Dall’idea di dar visibilità ad un gruppo musicale locale, i Complesso Di Colpa (che poi si è sciolto ed ha dato vita ad altri gruppi) formato da 5 ragazzi di Bieno... nasce “Un Bieno di Rock”. L’iniziativa, nata nel 2003, in breve tempo è diventata l’evento Rock più importante per i giovani Valsuganotti. Questo anche grazie alla formula che è un mix tra una rassegna musicale per gruppi locali emergenti (che altrimenti faticano sempre a trovare spazi musicali di questo tipo dove potersi esibire) ed un vero e proprio concorso musicale.Non solo il desiderio di suonare è fonte di richiamo per le giovani band, ma anche il fatto che durante il concerto un’apposita giuria valuti le esecuzioni dei gruppi che si alternano sul palco ed a fine spettacolo coloro che meglio si sono esibiti ottengano un premio, oltre naturalmente a riconoscimenti di varia natura che tendenzialmente servono per aprire nuovi e più importanti percorsi musicali.Un Bieno di Rock non ricopre solo importanza in ambito di valle, ma è anche sinonimo di qualità e, come negli ultimi anni accade, diventa anche una sorta di trampolino di lancio; basti pensare che le ultime edizioni sono state vinte da gruppi ormai consolidati a livello quantomeno provinciale: High Voltage, Nasty Bear, Bad Society e, vanto dell’iniziativa, anche gli ormai celebri THE BASTARD SONS OF DIONISO presenti in 2 edizioni passate.La rassegna/concorso, voluta fin dall’inizio dall’Assessorato alla Cultura del Comune di Bieno, viene realizzata durante il periodo estivo in stretta collaborazione con le principali Associazioni paesane (Pro-Loco, Gruppo Giovani, Vigili del Fuoco, Gruppo A.N.A.). Le band in concorso vengono selezionate da un apposita commissione che attinge da richieste di partecipazione che pervengono anche da fuori regione.L’iniziativa negli anni si è sempre più consolidata e rafforzata grazie al continuo crescendo in termini qualitativi; basti pensare che nel 2010 il premio finale consegnato al gruppo vincitore, consisteva nella possibilità di partecipare al circuito televisivo nazionale SUPERPASS, in onda su reti private di tutta Italia e che, attraverso videoclip, interviste, esibizioni, e immagini storiche della band ha dato una visibilità di circa 3 milioni di telespettatori, mettendo la band in stretto contatto con il mondo discografico e dei produttori. Alle apparizioni tv si è aggiunta la promozione tramite più di 100 canali in Web e in Streaming e la Distribuzione digitale in 300 negozi on-line di un numero di 5 brani, entrambe in tutto il mondo e per 1 anno, grazie alla partnership con la Società Internazionale &quot;The Orchard&quot;.Infine, come non citare gli ospiti musicali, in particolare quello del 2010: KEE MARCELLO, lo storico chitarrista degli EUROPE nonché esecutore di molti successi internazionali.";;2016-09-13T09:53:00+02:00;;;;;;;;;;;;"Evento singolo";;;;;;0;0;;
908327efb99855229f17a954cf2fc17f;2016-09-13T09:50:47+02:00;2016-09-13T09:50:47+02:00;"Festa del Radicchio";"Festa del Radicchio";/var/bieno/storage/images/territorio/eventi-e-manifestazioni2/festa-del-radicchio/21900-1-ita-IT/Festa-del-Radicchio.jpg;"
La Festa del Radicchio di Bieno è la sagra perfetta per passare una giornata in allegria, all'insegna dei sapori genuini. Si possono visitare il mercatino dei prodotti tipici con le dimostrazioni artigianali, imparare ad arrampicare, fare passeggiate naturalistiche, divertirsi, cantare e ballare, ma soprattutto gustare un intero menù a base di radicchio di Bieno.
 La manifestazione nasce, ed ha come principale intento, quello di evidenziare quei prodotti tipici locali che racchiudano in sé la cultura e la sapienza, la storia di paese fatta di vita all’aria aperta e di lavoro nei campi, ma anche nel dare il giusto riconoscimento a chi, in primo luogo, crede nella possibilità di coltivare prodotti che riportano all’olfatto ed al palato l’ambiente inviolato delle nostre montagne.
L’iniziativa che si svolge sempre la prima domenica d’ottobre, è stata realizzata per la prima volta nel 2006 e si è subito contraddistinta per la visibilità ottenuta (anche grazie al fatto di venir organizzata in un periodo privo di altre manifestazioni di tale spessore), l’originalità e la capacità organizzativa, ricevendo elogi da chiunque fosse stato presente alla edizioni svolte.
 
Per poter rispondere alle esigenze di qualche migliaio di visitatori e oltre 1000 pasti sfornati, c’è bisogno di tutta la buona volontà di diversi volontari ed Associazioni paesane, curando anche l’organizzazione dei vari eventi che fanno da cornice alla festa.
 Per ciò che concerne l’aspetto relativo all’immagine dell’iniziativa in sé, l’iniziativa può vantare il sostegno diretto d’autorevoli Enti quali, ad esempio, il riconoscimento del marchio TRENTINO con relativo supporto dell’Assessorato Provinciale all’Agricoltura.";;2016-10-02T09:48:00+02:00;;;"La prima domenica di Ottobre";;;;;;;;;"Evento singolo";;;;;;0;0;;
7dc66f393a7f4058bbcac024130b1e48;2016-01-20T09:19:47+01:00;2016-01-20T09:20:53+01:00;"Festa dell'uva";;/var/bieno/storage/images/territorio/eventi-e-manifestazioni2/festa-dell-uva/19151-1-ita-IT/Festa-dell-uva.jpg;"La festa dell'uva si svolge dal 1950...";;2016-01-20T20:00:00+01:00;2016-01-21T21:00:00+01:00;"2 giorni";"20 e 21 gennaio";;;;;;;;;"Evento singolo";;;;;;0;0;;
7854bacfcfad591f906e8af75fb6552f;2017-06-28T11:03:25+02:00;2017-06-28T11:03:25+02:00;"Festa del Radicchio di Bieno";;;"Dodicesima edizione della tradizionale festa di Bieno con stand enogastronomici, degustazioni di piatti a base di radicchio, mercatino di prodotti locali, giochi ed intrattenimento per bambini, musica e divertimento.";;2017-10-01T10:00:00+02:00;;"Tutto il giorno";;"Campo sportivo";;;;;;;;"Evento singolo";;;;;;46.0817;11.559806;"Bieno TN, Trentino-Alto Adige, Italia";
9cb1bfe0467d46484b7d001cd318e5c6;2017-06-28T10:59:31+02:00;2017-06-28T10:59:31+02:00;"Colori e atmosfere d'autunno";;;"Passeggiata naturalistica alla scoperta dei dintorni di Bieno, lungo &quot;Busa de Castelo&quot; - &quot;Pravaltin&quot; - &quot;Solitaria&quot; e rientro al Parco Fluviale.";;2017-09-30T09:00:00+02:00;;;;"Ritrovo al parco fluviale";;;;;;;;"Evento singolo";;;;;;46.07927;11.556845;"Bieno TN, Trentino-Alto Adige, Italia";
da13d812a5a4e592565273b325ec63a5;2017-06-28T10:55:36+02:00;2017-06-28T10:55:36+02:00;"Cammina Tesino";;;"Passeggiata naturalistica lungo Lasta-Castrozze alla scoperta dei dintornidi Bieno, con accompagnatore del territorio (costo € 5.00)Prenotazione obbligatoria entro le ore 18.00 del giorno precedente presso ufficio Apt (tel. 0461 727730)";;2017-08-28T14:30:00+02:00;;;;"Ritrovo al Ponte Lusumina ";;;;;;;;"Evento singolo";;;;;;46.084113;11.550316;"Bieno TN, Trentino-Alto Adige, Italia";
648339a81446ecc4317903b1a5c1cdaa;2017-06-28T10:51:05+02:00;2017-06-28T10:51:05+02:00;"""In punta di dita""";;;"Laboratorio manuale e didattico per bambini.";;2017-08-23T17:00:00+02:00;;;;"Trodo delle fiabe";;;;;;;;"Evento singolo";;;;;;46.076156;11.549549;"Bieno TN, Trentino-Alto Adige, Italia";
0c46ce1ba3c26275147e9e0c6206bc2e;2017-06-28T10:48:45+02:00;2017-06-28T11:13:30+02:00;"Vietato ai maggiori";;;"Vietato ai maggiori                                Spettacolo di burattini a cura del Centro Teatrale Corniani dal titolo &quot;Fagiolino Pescatore&quot;";;2017-08-18T21:00:00+02:00;;;;"Teatro tenda del parco fluviale";;;;;;;;"Evento singolo";;;;;;46.080061;11.560176;"Bieno TN, Trentino-Alto Adige, Italia";
b6a31e55669b4a45c1719f15100a3b37;2017-06-28T10:45:28+02:00;2017-06-28T11:39:48+02:00;"""Intrecci della natura""";;;"Laboratorio manuale e didattico per bambini.";;2017-08-17T17:00:00+02:00;;;;"Trodo delle fiabe";;;;;;;;"Evento singolo";;;;;;46.076193;11.549485;"Bieno TN, Trentino-Alto Adige, Italia";
c378f9c09e92a44704b7a61e94ee9aa1;2017-06-28T10:42:43+02:00;2017-06-28T10:42:43+02:00;"""Intrecci della natura""";;;"Laboratorio manuale e didattico per bambini";;2017-08-17T17:00:00+02:00;2017-08-17T16:00:00+02:00;;;"Trodo delle fiabe";;;;;;;;"Evento singolo";;;;;;46.076172;11.54949;"Bieno TN, Trentino-Alto Adige, Italia";
