remoteId;published;modified;Titolo;"Titolo breve";Immagine;Descrizione;"Locandina dell'evento";Inizio;Termine;Durata;Quando;Dove;Informazioni;Destinatari;Costi;Stato;Materia;Circoscrizione;Argomento;"Tipologia evento";"Manifestazione cui fa parte";Associazione;Progressivo;Sottotitolo;Orario;lat;lon;address;Fonte
55b269be2957a36280d995c7f8abf507;2015-07-27T15:42:53+02:00;2015-07-27T15:47:03+02:00;"Concerto Corale San Barnaba";;;"La Corale di San Barnaba invita e ospita il Coro Cima Tosa.";;2015-08-10T21:00:00+02:00;2015-08-10T23:30:00+02:00;;"Ore 21:00";"Antica chiesa di San Barnaba";;;;;;;;"Evento singolo";;;;;;0;0;;
4bcb4f023e3436529acdcfeef8fa737f;2015-07-27T15:25:42+02:00;2015-07-27T15:51:53+02:00;"La resistenza dell’Anima";;;"Nell'ambito del Festival Voci, visioni, avventure viene proposta la serata La resistenza dell’Anima. Preghiera, senso del sacro, poesia, per salvare l’anima del mondo. E, con l’anima, il mondo.La tragedia del Novecento e del secolo appena nato è il nichilismo: un religioso e un poeta parlano di questo vuoto e dei sintomi di speranza e rinascita.Conversano Padre Franco Mosconi e Roberto Mussapi.";;2015-08-29T21:00:00+02:00;2015-08-29T23:30:00+02:00;;"Ore 21:00";"Antica chiesa di San Barnaba";;;;;;;;"Evento singolo";;;;;;0;0;;
4b2fa4d24b861f7799a1505d4e237376;2015-07-27T15:19:36+02:00;2015-07-27T15:54:42+02:00;"La caduta di Troia";;;"Nell'ambito del Festival Voci, visioni, avventure Massimo Popolizio interpreta La caduta di Troia.Massimo Popolizio, accompagnato da Stefano Saletti agli strumenti a corde e Barbara Eramo vocalist, presenta il suo monologo dal Canto Quarto dell’Eneide: il momento della caduta di Troia.";;2015-08-17T21:00:00+02:00;2015-08-17T23:00:00+02:00;;"Ore 21:00";"Antica chiesa di San Barnaba in Bondo";;;;;;;;"Evento singolo";;;;;;0;0;;
98ffd850640bc180bfff61b35ecaf22d;2015-07-27T15:13:01+02:00;2015-07-27T15:55:36+02:00;"Elena, donne fatali";;;"Nell'ambito del Festival Voci, visioni, avventure Manuela Mandracchia interpreta Elena, donne fatali.";;2015-08-06T21:02:00+02:00;2015-08-06T23:00:00+02:00;;"Ore 21:00";"Antica Chiesa di San Barnaba in Bondo";;;;;;;;"Evento singolo";;;;;;0;0;;
e5e851540f57e086f5be915e1e3c7d39;2015-07-16T18:59:58+02:00;2015-07-27T16:00:12+02:00;"Mostra: In luce e ombre Omar Galliani";;/var/bondo/storage/images/territorio/eventi-e-manifestazioni/mostra-in-luce-e-ombre-omar-galliani/29967-1-ita-IT/Mostra-In-luce-e-ombre-Omar-Galliani.jpg;"L'Antica Chiesa di San Barnaba ospita la mostra In luce e ombre Omar GALLIANI.Roberto Musappi: &quot;Ho scelto l’artista Omar Galliani principalmente per la forza unica della sua cifra pittorica, che manifesta il mistero del profondo attraverso la perfezione della superficie. La pelle, sappiamo, è la parte dell’organismo più affine al cervello”. 
Direzione artistica e ideazione: Roberto Mussapi
  
Produzione:Mario Zanetti - Studio d'Arte Zanetti";http://www.comune.bondo.tn.it/content/download/2578/29969/4/mostra_SanBarnaba.pdf;2015-07-25T17:00:00+02:00;2015-09-13T20:00:00+02:00;"dal 25 luglio al 13 settembre 2015";;"Antica Chiesa di San Barnaba";;;;;;;;Manifestazione;;;;;;0;0;;
49ee6df2c1d5684446fb146e6f21fde3;2015-07-01T15:18:40+02:00;2015-07-01T15:23:00+02:00;"Mostra fotografica Prospettiva di guerra";;/var/bondo/storage/images/territorio/eventi-e-manifestazioni/mostra-fotografica-prospettiva-di-guerra/29444-3-ita-IT/Mostra-fotografica-Prospettiva-di-guerra.png;"Prospettiva di guerra Scatti di vita  è una mostra che pone l'accento sia sul punto di vista e sulla proporzione nell’immagine fotografica che sulla visione del proprio futuro in tempo di guerra.Duecento scatti che vogliono raccontare la voglia di socialità e la voglia di vita che pervadeva le giornate di soldati e civili in tempo di guerra.Immagini, poesie e diari che mostrano e narrano il cambiamento, dai visi e dalla voce delle persone alle case di un paese in guerra.";http://www.comune.bondo.tn.it/content/download/2545/29446/3/locandina_Bondo.pdf;2015-07-11T15:06:00+02:00;2015-08-30T22:00:00+02:00;"dall'11 luglio al 30 agosto 2015";;"Municipio di Bondo";;;;;;;;Manifestazione;;;;;;0;0;;
3ab0288ba6cc3f9ccd6e89e955923121;2015-06-11T18:48:32+02:00;2015-06-11T18:48:32+02:00;"Omaggio a Tonino Guerra";;/var/bondo/storage/images/territorio/eventi-e-manifestazioni/omaggio-a-tonino-guerra/28934-1-ita-IT/Omaggio-a-Tonino-Guerra.jpg;"L'Antica chiesa di San Barnaba in Bondo ospita la mostra Omaggio a Tonino Guerra - Artista Totale.A cura di Elisabetta Sgarbi.Evento culturale prodotto da Mario Zanetti - Studio d'Arte Zanetti ";"http://www.comune.bondo.tn.it/content/download/2511/28936/1/INVITO RIEPILOGATIVO.pdf";2014-07-26T18:43:00+02:00;2014-09-28T18:00:00+02:00;"dal 26 luglio al 28 settembre 2014";;"Antica Chiesa di San Barnaba in Bondo";;;;;;;;Manifestazione;;;;;;0;0;;
eaa234678370d4a4e6868d53f5a00ba6;2015-06-11T18:36:28+02:00;2015-06-11T18:36:28+02:00;"Mostra Interni";;;"L'Antica chiesa di San Barnaba in Bondo ospita la mostra Interni.Da un'idea di Mario Zanetti - Studio d'Arte Zanetti.Artisti in mostra:
Bruno LucchiPaolo Petrò";"http://www.comune.bondo.tn.it/content/download/2510/28911/1/PROGRAMMA EVENTI NATALE 2014.pdf";2014-12-20T18:32:00+01:00;2015-02-01T20:00:00+01:00;"dal 20 dicembre 2014 all'1 febbraio 2015";;"Antica Chiesa di San Barnaba in Bondo";;;;;;;;Manifestazione;;;;;;0;0;;
b4ec4d802bfaa38dea7678cb6385ebc6;2015-06-11T18:32:05+02:00;2015-06-11T18:32:05+02:00;"Nel segno della Croce - Mimmo Paladino";;;"L'Antica chiesa di San Barnaba in Bondo ospita la mostra Nel segno della Croce - Mimmo Paladino.";"http://www.comune.bondo.tn.it/content/download/2509/28886/1/0) INVITO ESTERNO.pdf";2013-07-20T18:21:00+02:00;2013-11-03T21:00:00+01:00;"dal 20 luglio 2013 al 3 novembre 2013";;"Antica Chiesa di San Barnaba in Bondo";;;;;;;;Manifestazione;;;;;;0;0;;
db6b5178a0135a7ba8ef90f962a8d2ba;2015-06-11T18:18:43+02:00;2015-06-11T18:18:43+02:00;"L'uomo e la montagna ";;/var/bondo/storage/images/territorio/eventi-e-manifestazioni/l-uomo-e-la-montagna/28859-1-ita-IT/L-uomo-e-la-montagna.jpg;"
L'Antica chiesa di San Barnaba in Bondo ospita la mostra L'uomo e la montagna - Escursioni nel contemporaneo.Artisti in mostra:
Francesco Cito
Lucia Voci
Michele Miorelli
Stefano Isidoro Radoani
Antonio StagnoliCiro Roberto Cipollone";"http://www.comune.bondo.tn.it/content/download/2508/28861/1/Busta-Invito  5 dicembre 2013  22.32.pdf";2013-12-21T17:51:00+01:00;2014-02-02T18:00:00+01:00;"dal 21 dicembre 2013 al 2 febbraio 2014";;"Antica chiesa di San Barnaba in Bondo";;;;;;;;Manifestazione;;;;;;0;0;;
