remoteId;published;modified;Titolo;"Eventuale sottotitolo";"Identificativo dell'evento";"Tipo di evento";Argomenti;"Iniziativa di cui fa parte";"Tempo di lettura";"Descrizione breve";"Descrizione completa";"Galleria immagini";Video;Destinatari;"Informazioni sui destinatari";"Luogo dell'evento";"Parole chiave";Locandina;"Punti di contatto";"Date ed orari dell'evento";"E' gratuito";Offerta;Allegati;"Presenti all'evento";"Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento";"Chi presenta";Organizzatori;Sponsor;"Servizio di traduzione curato da";Patrocinio;"Valutazione dell'evento";"Lingue usate all'evento";Recensione;"Indicato per";"Numero massimo di posti"
278aac9a4158634a7e2b2a66bf8805cc;2022-08-17T15:36:38+02:00;2022-08-17T15:38:33+02:00;"Spiagge Sicure 2022";"Dimostrazione di salvataggio";;"Giornata aperta";"Istruzione, cultura e sport
Sport
Tempo libero
Turismo";;2;"G&amp;P Servizi organizza la dimostrazione di salvataggio: nel &quot;progetto Spiagge Sicure&quot; è prevista l'erogazione di dimostrazioni al fine di informare i bagnanti e visitatori sui rischi legati alla balneazione";"Dimostrazione di salvataggio presso la Spiaggia &quot;dei Sabbioni (Riva dG)&quot;";"Dimostrazioni di salvataggio";;Adulti,Anziani,Bambini,Famiglie,Giovani;;;;https://www.altogardaeledro.tn.it/content/download/1582/33446/1/Volantino-GePServizi_5Regole.pdf;"G&P Servizi srl";;;;;;;;"Comunità Alto Garda e Ledro";;;;;Italiano;;;0
d044c592b461ad385d4e579fe5b04a72;2022-08-17T15:34:34+02:00;2022-08-17T15:35:24+02:00;"Spiagge Sicure 2022";"Dimostrazione di salvataggio";;"Giornata aperta";"Istruzione, cultura e sport
Sport
Tempo libero
Turismo";;2;"G&amp;P Servizi organizza la dimostrazione di salvataggio: nel &quot;progetto Spiagge Sicure&quot; è prevista l'erogazione di dimostrazioni al fine di informare i bagnanti e visitatori sui rischi legati alla balneazione";"Dimostrazione di salvataggio presso la Spiaggia di &quot;Pieve (Ledro)&quot;";"Dimostrazioni di salvataggio";;Adulti,Anziani,Bambini,Famiglie,Giovani;;;;https://www.altogardaeledro.tn.it/content/download/1581/33413/1/Volantino-GePServizi_5Regole.pdf;"G&P Servizi srl";;;;;;;;"Comunità Alto Garda e Ledro";;;;;Italiano;;;0
081bef4d104edb3e83e96cad5c1d4012;2022-08-17T15:32:17+02:00;2022-08-17T15:34:24+02:00;"Spiagge Sicure 2022";"Dimostrazione di salvataggio";;"Giornata aperta";"Istruzione, cultura e sport
Sport
Tempo libero
Turismo";;2;"G&amp;P Servizi organizza la dimostrazione di salvataggio: nel &quot;progetto Spiagge Sicure&quot; è prevista l'erogazione di dimostrazioni al fine di informare i bagnanti e visitatori sui rischi legati alla balneazione";"Dimostrazione di salvataggio presso la Spiaggia di &quot;Besta (Ledro)&quot;";"Dimostrazioni di salvataggio";;Adulti,Anziani,Bambini,Famiglie,Giovani;;;;https://www.altogardaeledro.tn.it/content/download/1580/33380/2/Volantino-GePServizi_5Regole.pdf;"G&P Servizi srl";;;;;;;;"Comunità Alto Garda e Ledro";;;;;Italiano;;;0
465feb8b3de24d4317cfef1ff50f1c54;2022-08-17T15:30:52+02:00;2022-08-17T15:36:20+02:00;"Spiagge Sicure 2022";"Dimostrazione di salvataggio";;"Giornata aperta";"Istruzione, cultura e sport
Sport
Tempo libero
Turismo";;2;"G&amp;P Servizi organizza la dimostrazione di salvataggio: nel &quot;progetto Spiagge Sicure&quot; è prevista l'erogazione di dimostrazioni al fine di informare i bagnanti e visitatori sui rischi legati alla balneazione";"Dimostrazione di salvataggio presso la Spiaggia &quot;Purfina Est (Riva dG)&quot;";"Dimostrazioni di salvataggio";;Adulti,Anziani,Bambini,Famiglie,Giovani;;;;https://www.altogardaeledro.tn.it/content/download/1579/33347/2/Volantino-GePServizi_5Regole.pdf;"G&P Servizi srl";;;;;;;;"Comunità Alto Garda e Ledro";;;;;Italiano;;;0
bb87dada9b474de70b5fd4a1f10a9b5d;2022-08-17T15:29:40+02:00;2022-08-17T15:30:33+02:00;"Spiagge Sicure 2022";"Dimostrazione di salvataggio";;"Giornata aperta";"Istruzione, cultura e sport
Sport
Tempo libero
Turismo";;2;"G&amp;P Servizi organizza la dimostrazione di salvataggio: nel &quot;progetto Spiagge Sicure&quot; è prevista l'erogazione di dimostrazioni al fine di informare i bagnanti e visitatori sui rischi legati alla balneazione";"Dimostrazione di salvataggio presso il Lido di Arco - Spiaggia &quot;Baia Azzurra&quot;";"Dimostrazioni di salvataggio";;Adulti,Anziani,Bambini,Famiglie,Giovani;;;;https://www.altogardaeledro.tn.it/content/download/1578/33314/1/Volantino-GePServizi_5Regole.pdf;"G&P Servizi srl";;;;;;;;"Comunità Alto Garda e Ledro";;;;;Italiano;;;0
7c6e893315db70a12b8d619cbcc61adc;2022-08-17T15:27:48+02:00;2022-08-17T15:29:09+02:00;"Spiagge Sicure 2022";"Dimostrazione di salvataggio";;"Giornata aperta";"Istruzione, cultura e sport
Sport
Tempo libero
Turismo";;2;"G&amp;P Servizi organizza la dimostrazione di salvataggio: nel &quot;progetto Spiagge Sicure&quot; è prevista l'erogazione di dimostrazioni al fine di informare i bagnanti e visitatori sui rischi legati alla balneazione";"Dimostrazione di salvataggio presso il Lago di Tenno";"Dimostrazioni di salvataggio";;Adulti,Anziani,Bambini,Famiglie,Giovani;;;;https://www.altogardaeledro.tn.it/content/download/1577/33281/1/Volantino-GePServizi_5Regole.pdf;"G&P Servizi srl";;;;;;;;"Comunità Alto Garda e Ledro";;;;;Italiano;;;0
e51356ff076c61974c1ea42d4fd62c7f;2022-08-17T15:26:03+02:00;2022-08-17T15:27:11+02:00;"Spiagge Sicure 2022";"Dimostrazione di salvataggio";;"Giornata aperta";"Istruzione, cultura e sport
Sport
Tempo libero
Turismo";;2;"G&amp;P Servizi organizza la dimostrazione di salvataggio: nel &quot;progetto Spiagge Sicure&quot; è prevista l'erogazione di dimostrazioni al fine di informare i bagnanti e visitatori sui rischi legati alla balneazione";"Dimostrazione di salvataggio presso la Spiaggia di &quot;Villa Cian&quot;";"Dimostrazioni di salvataggio";;Adulti,Anziani,Bambini,Famiglie,Giovani;;;;https://www.altogardaeledro.tn.it/content/download/1576/33248/1/Volantino-GePServizi_5Regole.pdf;"G&P Servizi srl";;;;;;;;"Comunità Alto Garda e Ledro";;;;;Italiano;;;0
e2b71251a24c0904f9f0c6ddda2ec603;2022-08-17T15:14:05+02:00;2022-08-17T15:25:55+02:00;"Spiagge Sicure 2022";"Dimostrazione di salvataggio";;"Giornata aperta";"Istruzione, cultura e sport
Sport
Tempo libero
Turismo";;2;"G&amp;P Servizi organizza la dimostrazione di salvataggio: nel &quot;progetto Spiagge Sicure&quot; è prevista l'erogazione di dimostrazioni al fine di informare i bagnanti e visitatori sui rischi legati alla balneazione";"Dimostrazione di salvataggio presso la Spiaggia alla &quot;Colonia Pavese&quot;";"Dimostrazioni di salvataggio";;Adulti,Anziani,Bambini,Famiglie,Giovani;;;;https://www.altogardaeledro.tn.it/content/download/1575/33215/7/Volantino-GePServizi_5Regole.pdf;"G&P Servizi srl";;;;;;;;"Comunità Alto Garda e Ledro";;;;;Italiano;;;0
05a529b5df11c139de2dc0110e9c9a65;2022-07-26T12:27:01+02:00;2022-07-26T12:28:13+02:00;"ENERGIE RINNOVABILI: Serata pubblica informativa";"Energie rinnovabili fotovoltaico";;"Giornata informativa";"Energia
Energia rinnovabile
Risparmio energetico
Scienza e tecnologia
Innovazione";;2;"Serata informativa in materia di &quot;energie rinnovabili fotovoltaico&quot;";"Nella serata del giorno martedì 26 luglio 2022 a partire dalle ore 20:00 presso la Sala Assemblee della Comunità Alto Garda e Ledro si terrà l'incontro &quot;Energie rinnovabili fotovoltaico&quot;. L'iniziativa è organizzata in forma di serata pubblica informativa e prevede anche un intervento da parte del BIM nel quale verranno illustrati gli ulteriori incentivi previsti.Il programma prevede la partecipazione di:


Mario Tonina - Assessore Provinciale all’Urbanistica, Ambiente e Cooperazione

Giorgio Marchetti – Presidente del Consorzio BIM Sarca Mincio Garda

Gianni Morandi - Commissario Comunità Alto Garda e Ledro

Luca Collotta – Presidente Vallata Basso Sarca e Ledro

Amministratore Comunale di Riva del Garda;

Funzionario referente Responsabile Agenzia Provinciale per le risorse idriche e l’energia (A.P.R.I.E.)

Jessica Pellegrino – Giornalista Moderatrice


";"SERATA INFORMATICA RIVA DEL GARDA PER MARTEDI' 26";;Famiglie,Adulti,Anziani;;;;"https://opencityaltogardaeledro.comunitatrentina.it/content/download/1487/31790/2/SERATA INFORMATIVA RIVA DEL GARDA PER MARTEDI' 26 .pdf";;;;;;;;;"Segreteria e protocollo";;;;;;;;0
51485580484eca3f0fa7dbb9f05cce93;2022-06-30T10:26:23+02:00;2022-06-30T10:27:16+02:00;"INCONTRI di Pace";;;"Evento sociale";"Tematiche internazionali";;2;"Quattro pomeriggi di attività dedicati alle famiglie per divertirsi insieme.Si inizia domenica 5 giugno all’oratorio Don Bosco a Riva del Garda! Si prosegue con altri tre appuntamenti a giugno e luglio.


05/06/2022 14:00-17:00 Oratorio don Bosco (Riva dG)

11/06/2022 15:00-17:00 Centro Famiglie Areté (Riva dG)

03/07/2022 15:00-17:00 Centro Giovanile Cantiere 26 (Arco)

16/07/2022 15:00-17:00 Centro Giovanile Cantiere 26 (Arco)


";;;;Famiglie;;;;https://opencityaltogardaeledro.comunitatrentina.it/content/download/1475/31502/1/LOCANDINA.jpg;"Distretto Famiglia Alto Garda";;;;;;;;"Comunità Alto Garda e Ledro";;;;;;;;0
