remoteId;published;modified;Titolo;"Titolo breve";Sottotitolo;Descrizione;Testo;Inizio;Termine;Durata;Quando;Orario;Dove;Location;Informazioni;Destinatari;Costi;Stato;Tipologia;Materia;"Tipo evento";Immagine;"Manifestazione collegata (numero)";"Manifestazione collegata (testo)";Manifestazione;Associazione;"Immagine correlata";Progressivo;Link;Comune;lat;lon;address;Fonte
pat_2587440;2014-11-29T00:00:00+01:00;2014-11-02T01:08:31+01:00;"Saving Mr. Banks";;;;;2014-11-29T00:00:00+01:00;2014-11-29T00:00:00+01:00;;;"ore 20.30";"Cinema Teatro Dolomiti, , Lavarone";;"
Note: A che punto è la notte?
Usa, 2013
Titolo originale: Saving Mr. Banks
Genere: Commedia
Durata: 120'
Regia: John Lee Hancock
Cast: Tom Hanks, Emma Thompson, Colin Farrell, Paul Giamatti, Jason Schwartzman
Sito internet: www.disney.itPamela Lyndon Travers è una scrittrice di romanzi per l'infanzia che vive a Londra e fa impazzire il suo editore. Da vent'anni Mr. Russell prova a convincerla a cedere i diritti di &quot;Mary Poppins&quot; a Walt Disney. Ossessionato dalla promessa fatta alle sue figlie, Mr. Disney sogna di realizzarne un musical in technicolor con pinguini animati e spazzacamini volteggianti. Cocciuta e ostinata a rendere la vita un inferno a chiunque, Miss Travers si persuade a partire per la California. Impermeabile agli ossequi e all'amabilità di Walt Disney e dei suoi assistenti, Pamela si siede in cattedra e passa in rassegna lo script e la sua infanzia, sublimata nei suoi romanzi. Cresciuta in Australia da una madre fragile e un padre sognatore, costretto a lavorare in banca e deciso ad affogare la propria vita nell'alcol, Pamela ha inventato Mary Poppins per salvare il suo papà e i Mr. Banks del mondo. Assediata dai ricordi e dal corteggiamento di Disney, che intuisce il dolore radicato nell'infanzia, Pamela dovrà infine decidere del suo futuro e di quello della sua celebre governante.";;;;Cinema;;;;0;;;;;;;"Comune di Lavarone";0;0;;
pat_2587438;2014-11-22T00:00:00+01:00;2014-11-02T01:08:28+01:00;L'intrepido;;;;;2014-11-22T00:00:00+01:00;2014-11-22T00:00:00+01:00;;;"ore 20.30";"Cinema Teatro Dolomiti, , Lavarone";;"
Note: A che punto è la notte?
Italia, 2013
Titolo originale: L'intrepido
Genere: Commedia
Durata: 104'
Regia: Gianni Amelio
Cast: Antonio Albanese, Livia Rossi, Sandra Ceccarelli, Alfonso Santagata, Gabriele RendinaAntonio Pane vive a Milano e ha un lavoro particolare: fa il 'rimpiazzo' cioè sostituisce gli assenti in qualsiasi tipo di attività; un giorno può essere muratore, in quello successivo tramviere e così via. Antonio è un uomo fondamentalmente solo: la moglie lo ha lasciato per unirsi a un uomo dalle fortune decisamente più certe e il figlio studia sassofono contralto al Conservatorio e cerca in qualche modo di aiutare il genitore. Un giorno, a un esame di Stato, Antonio conosce una giovane donna, Lucia, a cui offre un aiuto disinteressato.";;;;Cinema;;;;0;;;;;;;"Comune di Lavarone";0;0;;
pat_2587436;2014-11-15T00:00:00+01:00;2014-11-02T01:08:26+01:00;"Se chiudo gli occhi non sono più qui";;;;;2014-11-15T00:00:00+01:00;2014-11-15T00:00:00+01:00;;;"ore 20.30";"Cinema Teatro Dolomiti, , Lavarone";;"
Note: A che punto è la notte?
Italia, 2013
Titolo originale: Se chiudo gli occhi non sono più qui
Genere: Drammatico
Durata: 100'
Regia: Vittorio Moroni
Cast: Giorgio Colangeli, Beppe Fiorello, Mark Manaloto, Hazel MorilloKiko ha 16 anni. Suo padre, defunto, era italiano. Sua madre Marilou è filippina. Vivono con Ennio, il nuovo compagno della mamma, un caporale che sfrutta immigrati clandestini. Ogni giorno, dopo la scuola, Kiko è costretto a lavorare nei cantieri edili di Ennio. Sente di vivere nel pianeta sbagliato. C'è un solo posto dove è possibile sognare: un vecchio bus abbandonato in una discarica che Kiko ha trasformato nel suo rifugio. Un giorno un vecchio amico del padre, Ettore, viene a cambiare il suo destino: lo cerca e si offre di diventare il suo maestro. Ma quell'uomo nasconde un segreto.";;;;Cinema;;;;0;;;;;;;"Comune di Lavarone";0;0;;
pat_2588041;2014-11-08T00:00:00+01:00;2014-11-06T01:15:21+01:00;"La Grande Guerra meschina";;;;;2014-11-08T00:00:00+01:00;2014-11-08T00:00:00+01:00;;;"ore 16.00";"Sala Josef Bacher, Via Costalta - Pön, Luserna";;"
Note: Dalle lettere dei soldati dal fronte:
«Mi scrivono dallItalia. E io che risposta devo dare? Che è semplicemente un grande macello e che questi assassini non vogliono finirla.» Uno spettacolo duro, che affronta argomenti negati in ogni guerra. La paura, la diserzione, lodio nei confronti dei propri superiori. Uno spettacolo che non può essere chiamato spettacolo perché racconta lindicibile; la guerra, ogni guerra non è fatta dai popoli, ma contro i popoli, contro tutti i popoli. Ogni guerra è combattuta contro lumanità. Parole e canti, Bertold Brecht e Ivano Fossati e le melodie dettatendai cuori straziati di chi la guerra ha visto e non sa dimenticare; Disertore e Stelutis Alpinis.
Alessandro Anderloni, narrazione
Raffaella Benetti, canto
Thomas Sinigaglia, fisarmonica
Drammaturgia, testi e regia di Alessandro Anderloni
Ricerca musicale di Raffaella Benetti e Thomas Sinigagliawww.aissamaissa.itTelefono: 0464/789638Altri organizzatori: Istituto Cimbro Luserna";;;;Teatro;;;;0;;;;;;"http://www.lusern.it|Istituto Cimbro Luserna";"Comune di Luserna";0;0;;"Redazione Trentino Cultura"
pat_2587434;2014-11-08T00:00:00+01:00;2014-11-02T01:08:23+01:00;"Smetto quando voglio";;;;;2014-11-08T00:00:00+01:00;2014-11-08T00:00:00+01:00;;;"ore 20.30";"Cinema Teatro Dolomiti, , Lavarone";;"
Note: A che punto è la notte?
Italia, 2013
Titolo originale: Smetto quando voglio
Genere: Commedia
Durata: 100'
Regia: Sydney Sibilia
Cast: Edoardo Leo, Valeria Solarino, Valerio Aprea, Paolo Calabresi, Libero de RienzoRoma, i nostri tempi. A un ricercatore universitario viene negato il rinnovo dell'assegno di ricerca; ha 37 anni, una casa da pagare, una fidanzata da soddisfare, molti amici accademici finiti per strada, stesso destino. Pietro Zinni, un chimico, non vuole fare la loro stessa fine, non vuole essere umiliato facendo il lavapiatti in un ristorante cinese, né il benzinaio per un gestore bengalese. Le sue qualifiche e il suo talento non possono essere buttati al vento. Si ingegna e scopre una possibilità ai limiti della legalità: sintetizza con l'aiuto di un suo amico chimico una nuova sostanza stupefacente tra quelle non ancora messe al bando dal ministero. La cosa in sé è legale, lo spaccio e il lucro che ne derivano no. Ma fa lo stesso, i tempi sono questi. Pietro recluta così tutti i suoi amici accademici finiti in rovina, eccellenti latinisti, antropologi e quant'altro e mette su una banda. Lo scopo è fare i soldi e vedersi restituita un briciolo di dignità. Le cose poi prendono un'altra piega...";;;;Cinema;;;;0;;;;;;;"Comune di Lavarone";0;0;;
pat_2587432;2014-10-31T00:00:00+01:00;2014-11-01T01:01:18+01:00;"Evoluzione del turismo montano";;;;;2014-10-31T00:00:00+01:00;2014-10-31T00:00:00+01:00;;;"ore 20.30";"Biblioteca Comunale , via Battisti, 38, Folgaria";;"
Note: Come sta cambiando il turismo montano? Cosa cerca il turista? Quali strategie si possono adottare? Il professor Umberto Martini presentera' le tendenze del turismo montano, con particolare riferimento ai cambiamenti in atto nei mercati e nella domanda. Saranno discusse le possibili strategie di risposta da parte delle destinazioni. 
BiografiaUmberto Martini è professore ordinario di Economia e gestione delle imprese presso il Dipartimento di Economia e Management dellUniversità di Trento, dove è titolare dei corsi di Marketing del turismo e di Marketing progredito. Dal 1997 si occupa di ricerca sui temi del destination management e del destination marketing. E membro della International Association of Scientific Experts in Tourism (AIEST), Università del San Gallo (CH). Dal 2003 al 2009 è stato direttore del Master of Tourism Management presso Trentino School of Management - tsm, Master universitario di primo livello della facoltà di Economia, e responsabile dell'area didattica Destination Management. Sempre nellambito della collaborazione con tsm ha seguito progetti formativi e di ricerca intervento in tutto il territorio del Trentino.Altri organizzatori: Scuola di formazione politica e culturale &quot;Alexander Langer&quot; - in collaborazione con la sezione SAT di Folgaria";;;;Convegno;;;;0;;;;;;;"Comune di Folgaria";0;0;;
pat_2552939;2014-09-04T00:00:00+02:00;2014-07-09T01:17:55+02:00;"Cent'anni fa la Guerra";;;;;2014-09-04T00:00:00+02:00;2014-09-04T00:00:00+02:00;;;"ore 21.00";"Biblioteca Comunale, , Lavarone";;"
Note: Altipiani Cimbri. Centenario 1914-18
Conferenze e commemorazioni
Gli Altipiani nel Grande Conflittoa cura di Fernando LarcherTelefono: 0464/724100 ";;;;Convegno;;;;0;;;;;;http://centenario.alpecimbra.it/;"Comune di Lavarone";0;0;;
pat_2552994;2014-09-03T00:00:00+02:00;2014-07-10T01:04:43+02:00;"Escursione a Forte Cherle e alla Scala dell'Imperatore";;;;;2014-09-03T00:00:00+02:00;2014-09-03T00:00:00+02:00;;;;"Ritrovo c/o parcheggio Vigili del Fuoco, , Folgaria";;"
Note: Altipiani Cimbri. Centenario 1914-18
Escursioni a forti e trincee
Escursione a Forte Cherle e alla Scala dell'Imperatore
con gli accompagnatori del territorio
Ritrovo ore 15.00 parcheggio Vigili del Fuoco
Trasferimento con mezzi propri
Facile. Bambini + 6 accompagnati
Rientro ore 18.00
Costo  5,00, con Guest Card Trentino  3,00Iscrizioni in APT entro ore 18.00 del giorno precedenteTelefono: 0464/724100 ";;;;"Manifestazioni ed eventi";;;;0;;;;;;http://centenario.alpecimbra.it/;"Comune di Folgaria";0;0;;
pat_2552938;2014-09-02T00:00:00+02:00;2014-07-09T01:17:35+02:00;"Cent'anni fa la Guerra";;;;;2014-09-02T00:00:00+02:00;2014-09-02T00:00:00+02:00;;;"ore 21.00";"Sala APT, , Folgaria";;"
Note: Altipiani Cimbri. Centenario 1914-18
Conferenze e commemorazioni
Gli Altipiani nel Grande Conflittoa cura di Fernando LarcherTelefono: 0464/724100 ";;;;Convegno;;;;0;;;;;;http://centenario.alpecimbra.it/;"Comune di Folgaria";0;0;;
Montagna_di_latte_evento_4255;2014-08-31T10:00:00+02:00;2014-08-28T01:04:00+02:00;"POLENTA E VEZZENA I SAPORI DI UNA VOLTA";;"degustazione di formaggio Vezzena e polenta";;;2014-08-31T10:00:00+02:00;2014-08-31T12:30:00+02:00;;;"Dalle 10.00 alle 12.30";"38046 Lavarone TN, Italia";;"Caseificio degli Altipiani e del Vezzena";;;;;;;/var/comunitaalticimbri/storage/images/magnifica-comunita-degli-altipiani-cimbri/archivio/polenta-e-vezzena-i-sapori-di-una-volta3/2192947-1-ita-IT/POLENTA-E-VEZZENA-I-SAPORI-DI-UNA-VOLTA.jpg;0;;;;;;;"Comune di Lavarone";45.921696;11.264628;;
