remoteId;published;modified;Titolo;"Titolo breve";Immagine;Descrizione;"Locandina dell'evento";Inizio;Termine;Durata;Quando;Dove;Informazioni;Destinatari;Costi;Stato;Materia;Circoscrizione;Argomento;"Tipologia evento";"Manifestazione cui fa parte";Associazione;Progressivo;Sottotitolo;Orario;lat;lon;address;Fonte
7f14869bad9d2c533c076f27c0a75415;2018-06-18T15:55:54+02:00;2018-06-18T15:55:54+02:00;"E...state al fresco 2018";"Possibilità di trascorrere l'intera giornata in località Cimana o Bellaria";/var/pomarolo/storage/images/aree-tematiche/attivita-culturali/eventi-e-manifestazioni2/possibilita-di-trascorrere-l-intera-giornata-in-localita-cimana-o-bellaria/87428-1-ita-IT/Possibilita-di-trascorrere-l-intera-giornata-in-localita-Cimana-o-Bellaria.jpg;"Anche per il 2018 torna la possibilità per anziani e pensionati di trascorrere alcune giornate al fresco in località Bellaria e Cimana. Le uscite sono previste nelle giornate di martedì e venerdì: per ";;2018-07-03T09:00:00+02:00;2018-08-10T18:00:00+02:00;;;;;;;;;;;Manifestazione;;;;;;0;0;;
534e00dc8a0c882000965f3cf349589e;2018-05-04T11:11:58+02:00;2018-05-04T11:15:57+02:00;"Concerto LILT con i gruppi ""Insieme Cantando"" e ""I Risentiti""";"MUSICA E .... PREVENZIONE concerto con i gruppi ""Insieme Cantando"" e ""I Risentiti""";/var/pomarolo/storage/images/aree-tematiche/attivita-culturali/eventi-e-manifestazioni2/musica-e-prevenzione-concerto-con-i-gruppi-insieme-cantando-e-i-risentiti/86928-1-ita-IT/MUSICA-E-PREVENZIONE-concerto-con-i-gruppi-Insieme-Cantando-e-I-Risentiti.jpg;"
Dopo aver realizzato nel marzo scorso un incontro sul tema della salute nella donna, la delegazione della Lilt in collaborazione con il Comune, propone per venerdì 18 maggio prossimo alle ore 20.30 un concerto con il gruppo femminile di Pomarolo &quot;Insieme Cantando&quot; e il gruppo di musica italiana anni '60 &quot;I Risentiti&quot;Sarà un'occasione per divertirsi ascoltando buona musica ma anche per lanciare importanti messaggi di prevenzione e di salute, oltre che di sostenere le attività che la LILT organizza sul territorio. Durante l'intervallo tra i due gruppi ci sarà l'intervento sulla prevenzione con la dott.ssa Veronica Girardi e il dott. Claudio Zucchelli";"http://www.comune.pomarolo.tn.it/content/download/6554/86930/4/LILT-Pomarolo_locandina_concerto 2018.pdf";2018-05-18T11:05:00+02:00;2018-05-18T21:00:00+02:00;;;"Auditorium comunale di Pomarolo";;;;;;;;"Evento singolo";;;;;;0;0;;
f7a4e52ac10282fc3151922abd9d2f28;2018-03-23T15:26:32+01:00;2018-03-23T15:27:54+01:00;"Film d'animazioni: Ozzy cucciolo coraggioso";;/var/pomarolo/storage/images/aree-tematiche/attivita-culturali/eventi-e-manifestazioni2/film-d-animazioni-ozzy-cucciolo-coraggioso/86606-1-ita-IT/Film-d-animazioni-Ozzy-cucciolo-coraggioso.jpg;"Spagna, Canada 2016 regia di Alberto Rodriguezdurata 1h30";;2018-04-02T17:30:00+02:00;2018-04-02T19:00:00+02:00;;;"teatro comunale di Pomarolo";;;;;;;;"Evento singolo";"Il piacere del cinema";;;;;0;0;;
a6e0c0d740a75a16f7fdef834cc7efd7;2018-03-23T15:20:06+01:00;2018-03-23T15:32:11+01:00;"Film d'animazione: Ballerina";;/var/pomarolo/storage/images/aree-tematiche/attivita-culturali/eventi-e-manifestazioni2/film-d-animazione-ballerina/86581-1-ita-IT/Film-d-animazione-Ballerina.jpg;;;2018-03-25T17:30:00+02:00;2018-03-25T20:00:00+02:00;;;"Teatro Comunale di Pomarolo";;;;;;;;"Evento singolo";"Il piacere del cinema";;;;;0;0;;
6d726cdaf0ec8e4d553702a095ed6a69;2018-03-23T15:17:45+01:00;2018-03-23T15:17:45+01:00;"Il piacere del cinema";;/var/pomarolo/storage/images/aree-tematiche/attivita-culturali/event/il-piacere-del-cinema/86556-1-ita-IT/Il-piacere-del-cinema.jpg;"Rassegna primaverile 2018Ingresso unico - Euro 3,00";"http://www.comune.pomarolo.tn.it/content/download/6513/86558/1/piacerefebb_Aprile_PIEG feb_aprile 2018.pdf";2018-02-18T15:13:00+01:00;2018-04-14T22:30:00+02:00;;;"Teatro Comunale di Pomarolo";;;;;;;;Manifestazione;;;;;;0;0;;
0dd5aba14b77eded0cd3a8df0b68eb70;2014-02-13T10:34:32+01:00;2014-02-13T10:34:32+01:00;"Maccheronata e Carnevale dei bambini ";;;"A Savignano organizzato dal Circolo Acli di Savignano ";;2014-03-02T10:31:00+01:00;2014-03-02T12:00:00+01:00;;;;;;;;E;;;"Evento singolo";;"Circolo Ricreativo Culturale ACLI Savignano";;;;0;0;;
b6cd2e48e7ff439847760bdfefc370d3;2014-02-13T10:27:05+01:00;2014-02-13T10:30:55+01:00;"Carnevale dei bambini ";;;"A Pomarolo Organizzato dalla Pro Loco di Pomarolo in caso di maltempo l'evento viene spostato a sabato 1 marzo 2014";;2014-02-23T10:24:00+01:00;2014-02-23T12:00:00+01:00;;;;;;;;;;;"Evento singolo";;"Pro Loco di Pomarolo";;;;0;0;;
77622bab859ad4f0ea8d3ca85b778c70;2014-02-13T10:22:43+01:00;2014-02-13T10:22:43+01:00;"Esprimere e conoscere se stessi ";;/var/pomarolo/storage/images/territorio/eventi-e-manifestazioni/esprimere-e-conoscere-se-stessi/18462-1-ita-IT/Esprimere-e-conoscere-se-stessi.jpg;"Con Sara Rocca Dorigatti e Renata VerruaPresso la sala conferenze in Via Tre Novembre 10, sopra la Farmacia Comunale ";"http://www.comune.pomarolo.tn.it/content/download/1927/18464/1/STAMPA depliant 8x8 Sara Rocca.pdf";2014-10-09T10:20:00+02:00;2014-10-09T12:00:00+02:00;;;;;;;;;;;"Evento singolo";;;;;;0;0;;
3f80cbfdfc09784dfd864169a4efe10f;2014-02-13T10:16:29+01:00;2014-02-13T10:16:29+01:00;"Lo sviluppo della personalità";;/var/pomarolo/storage/images/territorio/eventi-e-manifestazioni/lo-sviluppo-della-personalita/18435-1-ita-IT/Lo-sviluppo-della-personalita.jpg;"Con Sara Rocca Dorigatti e Renata VerruaPresso la sala conferenze in Via Tre Novembre 10, sopra la Farmacia Comunale 
";"http://www.comune.pomarolo.tn.it/content/download/1926/18437/1/STAMPA depliant 8x8 Sara Rocca.pdf";2014-09-18T10:14:00+02:00;2014-09-18T12:00:00+02:00;;;;;;;;;;;"Evento singolo";;;;;;0;0;;
b93e50b1f9f7dfe87fd60f571e540b98;2014-02-13T10:07:17+01:00;2014-02-13T10:07:17+01:00;"Insegnare le relazioni ";;/var/pomarolo/storage/images/territorio/eventi-e-manifestazioni/insegnare-le-relazioni/18408-1-ita-IT/Insegnare-le-relazioni.jpg;"Con Sara Rocca Dorigatti e Renata VerruaPresso la sala conferenze in Via Tre Novembre 10, sopra la Farmacia Comunale 
";"http://www.comune.pomarolo.tn.it/content/download/1925/18410/1/STAMPA depliant 8x8 Sara Rocca.pdf";2014-06-05T10:05:00+02:00;2014-06-05T12:00:00+02:00;;;;;;;;;;;"Evento singolo";;;;;;0;0;;
