remoteId;published;modified;Titolo;"Titolo breve";Immagine;Descrizione;"Locandina dell'evento";Inizio;Termine;Durata;Quando;Dove;Informazioni;Destinatari;Costi;Stato;Materia;Circoscrizione;Argomento;"Tipologia evento";"Manifestazione cui fa parte";Associazione;Progressivo;Sottotitolo;Orario;lat;lon;address;Fonte
8219514715c13cd668807371ee18a610;2016-08-03T14:53:01+02:00;2016-08-03T14:54:02+02:00;"STRAPIAZZIAMOCI 2016";"STRAPIAZZIAMOCI 2016";/var/spormaggiore/storage/images/territorio/eventi-e-manifestazioni/strapiazziamoci-20162/24001-1-ita-IT/STRAPIAZZIAMOCI-2016.jpg;"ORE 17.00 LABORATORI E GIOCHI PER BAMBINI, VASO DELLA FORTUNA, MERCATINI LOCALI, SFLILATA COSTUMI NOBILIARI DEL 1500ORE 18.30 CENA CON TORTEL DI PATATEORE 21.30 CONCERTO DEI STARGAZERS";;2016-08-07T17:00:00+02:00;2016-08-07T23:59:00+02:00;;;;;;;;;;;Manifestazione;;;;;;0;0;;
147a855dd17d0f2d30b3b1ca80914451;2016-08-03T14:48:46+02:00;2016-08-03T14:50:11+02:00;"STRAPIAZZIAMOCI 2016";"STRAPIAZZIAMOCI 2016";/var/spormaggiore/storage/images/territorio/eventi-e-manifestazioni/strapiazziamoci-2016/23976-2-ita-IT/STRAPIAZZIAMOCI-2016.jpg;"ORE 18.30 CENA MESSICANA, OSPITE IL CONSOLE GENERALE DEL  MESSICO, ORE 22.00 &quot;GLI ANNI D'ORO&quot; IN CONCERTO TRIBUTE BAND 883";;2016-08-06T18:30:00+02:00;2016-08-06T23:59:00+02:00;;;;;;;;;;;Manifestazione;;;;;;0;0;;
31994efeacef9c5417b1f35caf64f72c;2016-07-21T09:42:54+02:00;2016-07-21T09:42:54+02:00;"GLI ASBURGO E CORTE FRANCA:MOSTRA DI ALLESTIMENTI, OGGETTI E COSTUMI ASBURGICI E DI VITA NOBILIARE DEL 1500";"MOSTRA: GLI ASBURGO E CORTE FRANCA";/var/spormaggiore/storage/images/territorio/eventi-e-manifestazioni/mostra-gli-asburgo-e-corte-franca/23849-1-ita-IT/MOSTRA-GLI-ASBURGO-E-CORTE-FRANCA.jpg;;;2016-08-01T10:00:00+02:00;2016-08-06T22:00:00+02:00;;;;;;;;;;;Manifestazione;;;;;;0;0;;
263a1c0917c03f05a7452f30496b028b;2016-07-20T15:26:57+02:00;2016-07-20T15:26:57+02:00;"APERITIVO AL CASTELLO ";"APERITIVO AL CASTELLO ";/var/spormaggiore/storage/images/territorio/eventi-e-manifestazioni/aperitivo-al-castello/23799-1-ita-IT/APERITIVO-AL-CASTELLO.jpg;;;2016-08-04T18:00:00+02:00;2016-08-04T22:00:00+02:00;;;;;;;;;;;"Evento singolo";;;;;;0;0;;
75bbeac6bf2ad846ad033c8d03b1be0f;2016-07-20T15:25:13+02:00;2016-07-20T15:25:13+02:00;"LABORATORIO CREATIVO ""INTRECCI D'ARGENTO"" A SEGUIRE KARAOKE";"LABORATORIO CREATIVO ""INTRECCI D'ARGENTO""";/var/spormaggiore/storage/images/territorio/eventi-e-manifestazioni/laboratorio-creativo-intrecci-d-argento/23774-1-ita-IT/LABORATORIO-CREATIVO-INTRECCI-D-ARGENTO.jpg;;;2016-07-28T20:30:00+02:00;2016-07-28T23:30:00+02:00;;;;;;;;;;;"Evento singolo";;;;;;0;0;;
704b483432861daeebb57248823ef195;2016-07-20T15:23:29+02:00;2016-07-20T15:23:29+02:00;"IL BARBATANGHERI IN PIAZZA";"IL BARBATANGHERI IN PIAZZA";/var/spormaggiore/storage/images/territorio/eventi-e-manifestazioni/il-barbatangheri-in-piazza2/23749-1-ita-IT/IL-BARBATANGHERI-IN-PIAZZA.jpg;;;2016-07-21T20:30:00+02:00;2016-07-21T23:00:00+02:00;;;;;;;;;;;"Evento singolo";;;;;;0;0;;
24628b47d852dbc0f37fe7ad78967c61;2016-07-20T15:20:37+02:00;2016-07-20T15:21:16+02:00;"IL BARBATANGHERI IN PIAZZA";"IL BARBATANGHERI IN PIAZZA";;"ORE 20.30 IL BARBATANGHERI IN PIAZZA....E METTIAMO MANO ALLE NOSTRE BICICLETTE CON LA CICLO-OFFICINAA SEGUIRE...MUSICA DAL VIVO CON GLI STATGAZERS";;2016-07-21T20:30:00+02:00;2016-07-21T00:00:00+02:00;;;;;;;;;;;Manifestazione;;;;;;0;0;;
b338baa1229058759865d8c13f32c3e8;2014-07-25T10:30:40+02:00;2014-07-29T17:28:56+02:00;"Castel Belfort";"La leggenda rivive";;"Rievocazione storica con disfide, racconti e misteri....";;2014-08-16T16:00:00+02:00;2014-08-17T23:00:00+02:00;;"il 16 ed il 17 agosto 2014";"Castel Belfort a Spormaggiore";;;;;;;;Manifestazione;;;;;;0;0;;
c1b111dd5aaef8a55d61460eed24e624;2014-07-25T10:25:48+02:00;2014-07-29T14:54:43+02:00;"Misteri de na volta con arent en bon magnar";"Misteri de na volta con arent en bon magnar";/var/spormaggiore/storage/images/territorio/eventi-e-manifestazioni/misteri-de-na-volta-con-arent-en-bon-magnar/15689-4-ita-IT/Misteri-de-na-volta-con-arent-en-bon-magnar.jpg;"Un tour gastronomico tra le vie del paese, allestito per l'occassione nel contesto della tradizione lavorativa dei luoghi.";;2014-08-10T10:00:00+02:00;2014-08-10T23:00:00+02:00;;"Domenica 10 agosto 2014";"per le vie del paese di Spormaggiore";;;;;;;;"Evento singolo";;;;;;0;0;;
e69ba32c5bc6104c05f65d2974bfb684;2022-07-18T12:11:35+02:00;2022-07-18T12:11:35+02:00;"Ors an Festa";;;;;2022-08-06T18:00:00+02:00;2022-08-07T02:00:00+02:00;;"6 e 7 agosto 2022";"Piazza della Chiesa Spormaggiore";;;;;;;;"Evento singolo";;;;;;0;0;;
df5c3da522e194b6f5ea097e70131185;2022-07-18T12:04:06+02:00;2022-07-18T12:04:06+02:00;"Festa Alpini Spormaggiore";;;;;2022-07-30T12:01:00+02:00;2022-07-31T00:00:00+02:00;;"30 e 31 luglio 2022";"Piazzale delle Scuole di Spormaggiore";;;;;;;;"Evento singolo";;;;;;0;0;;
61bd757f3a0e51ca7a324cf494c1d3f9;2022-07-18T12:01:04+02:00;2022-07-18T12:01:04+02:00;"Festa della Lumaca";;/var/spormaggiore/storage/images/territorio/eventi-e-manifestazioni/festa-della-lumaca2/45157-1-ita-IT/Festa-della-Lumaca.jpg;;;2022-07-22T18:00:00+02:00;2022-07-23T00:00:00+02:00;;"22 e 23 luglio 2022";"Spormaggiore Fraz. Maurina";;;;;;;;"Evento singolo";;;;;;0;0;;
