remoteId;published;modified;Titolo;"Titolo breve";Immagine;"Descrizione breve";Descrizione;"Locandina dell'evento";Inizio;Termine;Orario;Durata;Quando;Dove;lat;lon;address;Informazioni;Destinatari;Target;Costi;Stato;"Parole chiave";Circoscrizione;"Tipologia di evento";"Iniziativa cui fa parte";Associazione;Progressivo;Fonte;Galleria;Telefono;Fax;Email;"Sito web";"Valutazione dell'utente";Argomento;"Tipologia evento"
d67e85329b68b4ee219f97f3a3dd035a;2018-04-09T16:19:40+02:00;2018-04-11T11:13:27+02:00;"Avvianaunia, il buon uso degli smartphone";;/var/villedanaunia/storage/images/comunicazione/informazione/eventi/avvianaunia-il-buon-uso-degli-smartphone/126870-2-ita-IT/Avvianaunia-il-buon-uso-degli-smartphone.jpg;"-Generazione coloud, consigli pratici per genitori e ragazzi al buon senso degli smarthones";"
Giovedì 12 aprile 2018, ore 20.00 presso la 
Sala del NUOVO centro Polifunzionale di Portolo, Ville d’Anaunia
vieni all’ultimo Workshop Avvianaunia per FAMIGLIE E 
RAGAZZI DI OGNI ETA’
La rivoluzione digitale influenza la comunicazione e l’educazione, ponendo nuove sfide tra adulti e ragazzi. 
Nel laboratorio conosceremo:
1. le peculiarità dei nativi digitali
2. kit del genitore: 6 strumenti pratici
PROGRAMMA
20.00 registrazione partecipanti
20.30 inizio workshop
21.15 inizio laboratorio
22.00 sintesi plenaria e piccolo buffet
Relatori: 
Dott. Mauro Berti, autore di Generazione Cloud e Cyber Bullismo
Dott. Michele Facci, psicologo del lavoro
Modera: Marco Parolini
Orientatore professionale JobTrainer
20 POSTI DISPONIBILI previa iscrizione gratuita a: avvianaunia@gmail.com";http://www.comune.villedanaunia.tn.it/content/download/10372/126873/3/FB_IMG_1523436512581.jpg;2018-04-12T20:00:00+02:00;2018-04-12T23:00:00+02:00;;;;;46.302959;11.059939;"Portolo, Comunit&agrave; della Val di Non, TN, Trentino-Alto Adige, 38012, Italia";;;;;;;;"Incontri e convegni";;;;;;;;;;;;
6b8c96d913d83b3f58ab19293dc3d65f;2018-04-09T16:07:16+02:00;2018-04-11T21:35:17+02:00;"Pavillo, presentazione progetto tutor linguistico";;/var/villedanaunia/storage/images/comunicazione/informazione/eventi/pavillo-presentazione-progetto-tutor-linguistico/126837-3-ita-IT/Pavillo-presentazione-progetto-tutor-linguistico.png;"Sarà presentato lunedì 16 alle 20.30 presso la sala della Torre Romana di Pavillo il progetto di tutor linguistico in Trentino, che offre alle famiglie la possibilità di ospitare un madrelingua.";"Sarà presentato lunedì 16 alle 20.30 presso la sala della Torre Romana di Pavillo il progetto di tutor linguistico in Trentino, che offre alle famiglie la possibilità di ospitare un madrelingua.";http://www.comune.villedanaunia.tn.it/content/download/10371/126840/3/Pavillo-presentazione-progetto-tutor-linguistico_imagefull.png;2018-04-16T20:30:00+02:00;2018-04-16T23:03:00+02:00;;;;;46.331141;11.041068;"Pavillo, Comunit&agrave; della Val di Non, TN, Trentino-Alto Adige, 38023, Italia";;;;;;;;"Incontri e convegni";;;;;;;;;;;;
e25c67d26ab0be72ce667e74b065b68a;2018-04-07T13:21:09+02:00;2018-04-11T21:31:39+02:00;"Giornata ecologica";;/var/villedanaunia/storage/images/comunicazione/informazione/eventi/giornata-ecologica3/126593-2-ita-IT/Giornata-ecologica.jpg;"
Domenica 15 aprile il Comune di Ville d'Anaunia, con il gruppo Alpini, i Corpi dei Vigili del Fuoco e le numerose associazioni sul territorio, organizza la giornata ecologica.Lo scopo è duplice, ripulire il territorio dall’abbandono dei rifiuti e ridare vita a qualche luogo in cattivo stato di conservazione e fare educazione ambientale. ";"
Domenica 15 aprile il Comune di Ville d'Anaunia, con il gruppo Alpini, i Corpi dei Vigili del Fuoco e le numerose associazioni sul territorio, organizza la giornata ecologica.Lo scopo è duplice, ripulire il territorio dall’abbandono dei rifiuti e ridare vita a qualche luogo in cattivo stato di conservazione e fare educazione ambientale. Si invitano i cittadini che volessero partecipare a segnalare la loro disponibilità presso gli sportelli comunali, o ai membri delle Consulte o via email (romina.menapace@comune.villedanaunia.tn.it) entro martedì 3 aprile, in modo da organizzare al meglio il lavoro.
Allo stesso modo è possibile segnalare le zone da ripulire.Domenica 15, al termine dell'attività, sarà offerto il pranzo a tutti i partecipanti. ";;2018-04-15T08:00:00+02:00;2018-04-15T14:00:00+02:00;;;;;46.263584;10.931545;"Ville d&#039;Anaunia, Comunit&agrave; della Val di Non, TN, Trentino-Alto Adige, 38019, Italia";;;Adulti,Anziani,Bambini,Famiglie,Giovani;;;;;"Manifestazioni ed eventi";;;;;;;;;;;;
dd6a20fd203cbd96d812b32b1674d5a3;2018-04-07T13:05:25+02:00;2018-04-11T21:47:30+02:00;"Film ""Vincersi""";;/var/villedanaunia/storage/images/comunicazione/informazione/eventi/film-vincersi/126560-2-ita-IT/Film-Vincersi.jpg;"Documentario di Mirko Giorgi e Alessandro Dardani “Vincersi”, presentato al Filmfestival della Montagna di Trento";"“Siamo tutti sportivi” è il titolo della videorassegna promossa dalla biblioteca di Ville d'Anaunia al teatro parrocchiale di Tuenno. Le pellicole in programma alle 20.45 sono dedicate a diversi sport.Il 3 maggio la rassegna si chiude con il documentario di Mirko Giorgi e Alessandro Dardani “Vincersi”, presentato al Filmfestival della Montagna di Trento, che racconta la storia di un gruppo di giovani atleti non vedenti del CUS Bologna, che condividono la passione per l’arrampicata. Informazioni e tessera per la rassegna in Biblioteca a Tuenno (tel. 0463.451640, email tuenno@biblio.infotn.it).";;2018-05-03T20:45:00+02:00;2018-05-03T23:00:00+02:00;;;;;46.328909;11.022972;"Tuenno, Comunit&agrave; della Val di Non, TN, Trentino-Alto Adige, 38023, Italia";;;Adulti;;;;;Cinema;"Siamo tutti sportivi";;;;;;;;;;;
8248c91140d538499cd5bc1c362135a4;2018-04-07T13:02:29+02:00;2018-04-11T21:46:14+02:00;"Film ""Una squadra da sogno""";;/var/villedanaunia/storage/images/comunicazione/informazione/eventi/film-una-squadra-da-sogno/126527-2-ita-IT/Film-Una-squadra-da-sogno.jpg;"“Una squadra da sogno” di Thomas Sorriaux con Gerard Depardie";"“Siamo tutti sportivi” è il titolo della videorassegna promossa dalla biblioteca di Ville d'Anaunia al teatro parrocchiale di Tuenno. Le pellicole in programma alle 20.45 sono dedicate a diversi sport.Il 26 aprile sarà proiettato il film “Una squadra da sogno” di Thomas Sorriaux con Gerard Depardieu. Il 3 maggio la rassegna si chiude con il documentario di Mirko Giorgi e Alessandro Dardani “Vincersi”, presentato al Filmfestival della Montagna di Trento, che racconta la storia di un gruppo di giovani atleti non vedenti del CUS Bologna, che condividono la passione per l’arrampicata. Informazioni e tessera per la rassegna in Biblioteca a Tuenno (tel. 0463.451640, email tuenno@biblio.infotn.it).";;2018-04-26T20:45:00+02:00;2018-04-26T23:00:00+02:00;;;;;46.328909;11.022972;"Tuenno, Comunit&agrave; della Val di Non, TN, Trentino-Alto Adige, 38023, Italia";;;Adulti;;;;;Cinema;"Siamo tutti sportivi";;;;;;;;;;;
79ee4bea69b6634fada955c5779c7342;2018-04-07T12:58:37+02:00;2018-04-11T21:44:50+02:00;"Film ""Machan - La vera storia di una falsa squadra""";;/var/villedanaunia/storage/images/comunicazione/informazione/eventi/film-machan-la-vera-storia-di-una-falsa-squadra/126494-2-ita-IT/Film-Machan-La-vera-storia-di-una-falsa-squadra.jpg;"Machan - La vera storia di una falsa squadra” di pallamano, di Uberto Pasolini";"“Siamo tutti sportivi” è il titolo della videorassegna promossa dalla biblioteca di Ville d'Anaunia al teatro parrocchiale di Tuenno. Le pellicole in programma alle 20.45 sono dedicate a diversi sport.Il 19 aprile sarà proiettato “Machan - La vera storia di una falsa squadra” di pallamano, di Uberto Pasolini; il 26 aprile toccherà a “Una squadra da sogno” di Thomas Sorriaux con Gerard Depardieu. Il 3 maggio la rassegna si chiude con il documentario di Mirko Giorgi e Alessandro Dardani “Vincersi”, presentato al Filmfestival della Montagna di Trento, che racconta la storia di un gruppo di giovani atleti non vedenti del CUS Bologna, che condividono la passione per l’arrampicata. Informazioni e tessera per la rassegna in Biblioteca a Tuenno (tel. 0463.451640, email tuenno@biblio.infotn.it).";;2018-04-19T20:45:00+02:00;2018-04-19T23:00:00+02:00;;;;;46.328909;11.022972;"Tuenno, Comunit&agrave; della Val di Non, TN, Trentino-Alto Adige, 38023, Italia";;;;;;;;Cinema;"Siamo tutti sportivi";;;;;;;;;;;
f0110eba0773f07b557e734b50cc8470;2018-04-07T12:53:35+02:00;2018-04-11T21:50:16+02:00;"Film ""Borg McEnroe""";;/var/villedanaunia/storage/images/comunicazione/informazione/eventi/film-borg-mcenroe/126461-4-ita-IT/Film-Borg-McEnroe.jpg;" “Borg McEnroe” di Janus Metz che racconta la rivalità tra i due famosi tennisti";"“Siamo tutti sportivi” è il titolo della videorassegna promossa dalla biblioteca di Ville d'Anaunia al teatro parrocchiale di Tuenno. Le pellicole in programma alle 20.45 sono dedicate a diversi sport.Il 12 aprile va in scena “Borg McEnroe” di Janus Metz che racconta la rivalità tra i due famosi tennisti; il 19 aprile sarà proiettato “Machan - La vera storia di una falsa squadra” di pallamano, di Uberto Pasolini; il 26 aprile toccherà a “Una squadra da sogno” di Thomas Sorriaux con Gerard Depardieu. Il 3 maggio la rassegna si chiude con il documentario di Mirko Giorgi e Alessandro Dardani “Vincersi”, presentato al Filmfestival della Montagna di Trento, che racconta la storia di un gruppo di giovani atleti non vedenti del CUS Bologna, che condividono la passione per l’arrampicata. Informazioni e tessera per la rassegna in Biblioteca a Tuenno (tel. 0463.451640, email tuenno@biblio.infotn.it).";;2018-04-12T20:45:00+02:00;2018-04-12T23:00:00+02:00;;;;;46.328909;11.022972;"Tuenno, Comunit&agrave; della Val di Non, TN, Trentino-Alto Adige, 38023, Italia";;;Adulti;;;;;Cinema;"Siamo tutti sportivi";"Oratorio Parrocchiale Tuenno";;;;;;;;;;
17e48f59d9059d65152ff22184e6b3ad;2018-04-07T12:50:03+02:00;2018-04-13T14:17:09+02:00;"Assemblea Pro Loco Tovel ";;/var/villedanaunia/storage/images/comunicazione/informazione/eventi/assemblea-pro-loco-tovel/126428-6-ita-IT/Assemblea-Pro-Loco-Tovel.jpg;"è convocata l'assemblea ordinaria della Pro Loco Tovel - Val di Non. I direttivo auspica una massiccia partecipazione della popolazione";"Il 13 aprile presso l'aula magna è convocata l'assemblea ordinaria della Pro Loco Tovel - Val di Non. I direttivo auspica una massiccia partecipazione della popolazione in modo da poter discutere e migliorare l'offerta ludica e culturale per la frazione di Tuenno";http://www.comune.villedanaunia.tn.it/content/download/10353/126431/6/FB_IMG_1523434628458.jpg;2018-04-13T20:30:00+02:00;2018-04-13T23:00:00+02:00;;;;;46.328909;11.022972;"Tuenno, Comunit&agrave; della Val di Non, TN, Trentino-Alto Adige, 38023, Italia";;;Adulti,Giovani;;;;;"Incontri e convegni";;;;;;;;;;;;
4739ee92013b6760e20e97c3c5512152;2018-03-26T20:54:54+02:00;2018-04-28T12:22:16+02:00;"Viaggio a Praga con l'Avis";;/var/villedanaunia/storage/images/comunicazione/informazione/eventi/viaggio-a-praga-con-l-avis/124982-2-ita-IT/Viaggio-a-Praga-con-l-Avis.jpg;-;"L'Avis di Tuenno propone un viaggio a Praga (con visita alla birreria di Pilzen) dall'8 al 10 giugno.Iscrizioni presso il bazat La Colomba entro il 4 aprile. Per maggiori informazioni ci si può rivolgere al presidente Giulio Ferrarolli 339.2137231";http://www.comune.villedanaunia.tn.it/content/download/10258/124985/2/Viaggio-a-Praga-con-l-Avis_imagefull.jpg;2018-06-08T01:30:00+02:00;2018-06-10T23:00:00+02:00;;;;;50.087465;14.421254;"Praga, okres Hlavn&iacute; město Praha, Hlavn&iacute; město Praha, Praha, Repubblica Ceca";;;Adulti;;;;;Altro;;;;;;;;;;;;
83a45db0779fef8da29b5cdc3be8d903;2018-03-22T14:08:31+01:00;2018-03-22T14:34:39+01:00;"Riunione associazioni per giornata ecologica";"giornata ecologica";/var/villedanaunia/storage/images/comunicazione/informazione/eventi/giornata-ecologica2/124232-1-ita-IT/giornata-ecologica.png;"Domenica 15 aprile il Comune di Ville d'Anaunia, con il gruppo Alpini, i Corpi dei Vigili del Fuoco di Nanno, Tassullo e Tuenno, e le numerose associazioni sul territorio organizza la giornata ecologica.Lo scopo è duplice, ripulire il territorio dall'abbandono dei rifiuti e ridare vita a qualche luogo in cattivo stato di conservazione e fare educazione ambientale.SI vogliono individuare le aree su cui agire e organizzare al meglio le squadre di lavoro. Per questo invitiamo i rappresentanti delle associazioni, le scuole, i rappresentanti delle consulte e i consiglieri comunali che intendono partecipare ad una riunione operativa a Tuenno, presso il municipio, martedi 3 aprile ad ore 20.30, dove individueremo le aree, capiremo quanti saranno i volontari e organizzeremo il lavoro.Per eventuali chiarimenti o comunicazioni, contattate Romina Menapace al 347.1098100 o via mail romina.menapace@comune.villedanaunia.tn.it.";;"http://www.comune.villedanaunia.tn.it/content/download/10230/124235/2/VdA_Format_Avvisi - giornata ecologica.pdf";2018-04-03T20:30:00+02:00;2018-04-03T22:00:00+02:00;;;;"Tuenno Municipio";46.327131;11.023681;;;associazioni;Adulti;;;;;"Incontri e convegni";;;;;;;;;;;;"Evento singolo"
