name,description,address,email,phone,website,type
English (United Kingdom)  German  Parco naturale Doss Trento,"Il Doss Trento; residuato dell'età glaciale; caratterizza il panorama di Trento e costituisce un insieme interessante di caratteristiche naturalistiche; storiche e artistiche. 
Nel bosco che ricopre la vasta spianata sommitale si trovano varie specie vegetali; da quelle caratteristiche del bosco ceduo (querce; frassini; celtis australis; robinie) ai cedri; a specie tipicamente mediterranee; come il terebinto e le opunzie. Le tracce di frequentazione vanno dall'epoca preistorica a quella romana e paleocristiana (ruderi della basilica) per continuare nel Medioevo (resti dei baluardi raffigurati da Duerer) nell'Ottocento (fortificazioni austriache) e finire nel Novecento con la strada degli alpini e il mausoleo di Cesare Battisti. Dichiarato area di rilevante interesse naturalistico; è attualmente adibito a parco periurbano.Per informazioni di natura verde ambientale vedi la sezione parchi e giardini del Comune di Trento.",doss trento; 38122 trento,ufficio.verde@comune.trento.it,0461 884528,,natura
Giardino Canova,"Area giochi bimbi con molle; altalene; combinato con tre torri; arrampicata; ponte tibetano e scivoli
attrezzature per lo sport: ping-pong; campo basket e campo volley; scacchiera gigante; campo di bocce. Adiacente: campo da calcio aperto al pubblico
superficie 8.300 m2
Il sobborgo di Canova ha sempre mantenuto l’identità di un paese a sé stante; ed effettivamente è questa l’impressione che si assapora fermandosi nei giardini che ne sono il cuore pulsante. Torme di bambini e numerosi gruppi di ragazze e ragazzi; osservati dagli sguardi austeri degli anziani; sfruttano mattina e sera il parco recentemente ampliato.Questo; grande e articolato; si sviluppa come un vero e proprio snodo del quartiere; complici anche il centro comunitario lì presente; gli affollatissimi campi sportivi al polo opposto e il capolinea degli autobus urbani che vi si affacciano. 
In tutta la sua lunghezza il parco è costeggiato da una roggia che ospita piante igrofile come pioppi; olmi; bambù nani e dei begli esemplari di Taxodium; il cipresso delle paludi. Il resto del parco si sviluppa a stanze successive; di volta in volta protette da quinte vegetali (bella la seduta all’ombra dai Cornus sanguinea) e dotati una volta di una pergola; l’altra di aree giochi e campi sportivi. Interessante anche la collezione botanica; con sofore; noci neri; ailanti ombrosi ma anche tanti aceri di molte specie e numerose piante autoctone come viburni; rose e biancospini ad arricchire le siepi miste dei perimetri vegetali.",via paludi; via avisio; via della canova gardolo,ufficio.verde@comune.trento.it,,,parco / giardino
Giardino di Spini di Gardolo via del Loghet,Area giochi bambini; campo da calcetto,località spini,ufficio.verde@comune.trento.it,,,parco / giardino
Giardino area bocciofila via Fermi,"Attrezzature: campo da calcetto; campo di bocce
Divieto di accesso ai cani",via fermi,ufficio.verde@comune.trento.it,,,parco / giardino
Giardino Baselga del Bondone Pieve,"Area giochi bimbi con molle; altalene; combinato villaggio indiano con ponte tibetano e capanna
attrezzature per lo sport: ping-pong; campo da bocce
superficie 5.000 m2
divieto di accesso ai cani.
Baselga del Bondone è situata ai piedi del Monte Croce lungo la vecchia strada che porta a Vezzano. All’antica pieve ecclesiastica fu annessa in epoca medievale una canonica; e con questa un prato con orto e un piccolo campo arativo.
Su questi terreni concessi oggi in comodato e che circondano il complesso religioso è stato allestito il giardino pubblico; inaugurato nell’anno 2003; su richiesta della comunità che reclamava il bisogno di spazi di collegamento e aggregazione tra residenti vecchi e nuovi.
Verso sud – tra fontane; giochi per bambini ed un campo da bocce – un vasto prato incorniciato da ciliegi da fiore gode di una vista spettacolare verso il Monte Gazza e la Paganella.Dal sagrato terrazzato della chiesa con imponenti ippocastani; un viottolo acciottolato scende verso Vigolo Baselga; accompagnato da filari di cipressi ed edicole sacre; resti di una antica via crucis. Sul lato opposto; circondato da antiche mura; l’orto di erbe aromatiche è una gioia di profumi e colori (peonie; ortensie rose e piante officinali): invita alla sosta e alla quiete all’ombra delle pergole vitate.",via della chiesa,ufficio.verde@comune.trento.it,,,parco / giardino
Giardino Cadine delle Mele d'oro,"Area giochi bimbi con molle; altalene; combinato “casa sull’albero” con scivolo tunnel; teleferica
attrezzature per lo sport: ping-pong; campo volley; campo bocce
superficie 6.900 m2
Questo giardino sorge nella parte più antica del paese di Cadine; che ha conosciuto una significativa espansione verso nord grazie anche alla deviazione in galleria della strada provinciale che divideva in due questo popoloso agglomerato sulle pendici del Bondone. Il giardino è stato oggetto di alcuni ampliamenti; l’ultimo dei quali si è concluso nel 2015. Il suggestivo nome è tratto da una leggenda locale; riportata da viaggiatori inglesi e francesi di fine ottocento riferita a Sant’Ingenuino e a Sant’Albuino ed è legata al pregio delle mele coltivate a Cadine. Anche grazie al fatto che sorge sulle pendici a ridosso del nucleo storico abitato; questa area verde offre una articolata varietà di spazi organizzati attorno ad un ampio prato centrale dove domina una grande casa sull’albero; completa di alti scivoli per il gioco dei bambini.
Una teleferica e un campo da pallavolo ampliano l’offerta sportiva; forte del rinnovato campo da bocce con annesso fabbricato gestito dalle locali associazioni. Il giardino conserva la suggestione del tradizionale allevamento del baco da seta; con bassi e frondosi alberi di gelso che ombreggiano le numerose panchine.Il giardino ospita un ampio campo bocce adiacente alla sede locale degli Alpini.",via della posta; strada di cadine,ufficio.verde@comune.trento.it,,,parco / giardino
Giardino Villa Cavagna,"Attrezzature: area giochi bambini; ping pong
Divieto di accesso ai cani",via della resistenza povo,ufficio.verde@comune.trento.it,,,parco / giardino
Giardino Villazzano Centro Don Onorio Spada,"Attrezzature: area giochi bambini; ping pong; campo basket
Divieto di accesso ai cani
Area verde adiacente il centro sportivo di via Valnigra",via valnigra,ufficio.verde@comune.trento.it,,,parco / giardino
Giardino Aleksandr Isaevič Solženicyn - ex Santa Chiara,"Giochi bimbi con altalene; combinato con scivolo; molle e gioco di equilibrio
superficie 12.200 m2
divieto di accesso ai cani.
Il giardino sorge sull’area che fu lasciata libera dopo il trasferimento della vecchia struttura ospedaliera all’inizio degli anni settanta e che i cittadini richiesero con forza diventasse un polmone verde per la città storica. Nel 1997 è stato ristrutturato su progetto dell’architetto berlinese Regina Poli; nell’ambito di uno scambio professionale tra le due città gemellate.
Si tratta di un giardino molto vissuto; utilizzato anche come attraversamento urbano; interno al complesso S. Chiara di origine conventuale e sul quale si affacciano oggi numerose attrezzature pubbliche – il teatro auditorium del Centro culturale S. Chiara; il centro sportivo S. Chiara – e alcuni edifici oggi in attesa di nuove destinazioni (come il padiglione mensa progettato dall’arch. A. Cecchetto). Durante la bella stagione il giardino è sede di diverse iniziative culturali e spesso ospita un palco per performance musicali.
La successione di spazi verdi su più livelli che compongono il giardino ha il luogo centrale nel grande prato punteggiato da alberature; che raccoglie il gioco e la sosta degli studenti universitari ma anche una ben attrezzata area per il gioco dei bambini di tutte le età.Il prato è delimitato a nord da un pergolato (spettacolare la fioritura primaverile del glicine) sulla sommità di una gradonata scandita da aiuole di erbacee perenni da fiore; da azalee; rose e da tre siepi di tasso; bosso e ligustro.",ingresso parco da via piave; via santa croce; via beato lodovico pavoni,ufficio.verde@comune.trento.it,,,parco / giardino
Giardino Mattia Giosafat - ex Solteri,"Attrezzature: giochi per bambini; ping pong e fontanella
Divieto di accesso ai cani (è presente nelle immediate vicinanze una'area dedicata ai cani - Area cani di via Pranzelores)",ingresso parco da via dei solteri e via pranzelores,ufficio.verde@comune.trento.it,,,parco / giardino
