name,description,address,email,phone,website,type
Bocciodromo comunale di via Canova a Trento,"Il bocciodromo è situato in via Canova n. 34 a Trento. 
L'impianto sportivo è costituito da due campi regolamentari (27,5 m. x 3,50 m.) per il gioco delle bocce, servizi e parcheggio.",via canova, 34,ufficiorapportiutenti@asis.trento.it,0461/992990,http://www.asis.trento.it/,bocciodromo
Bocciodromo comunale via Fermi,"Il bocciodromo è situato in via Fermi n. 35 a Trento. 
L'impianto, aperto al pubblico nel 2004, è costituito da due campi regolamentari per il gioco delle bocce e da spogliatoi e servizi.",via fermi, 35,ufficiorapportiutenti@asis.trento.it,0461/992990,http://www.asis.trento.it/,bocciodromo
Campo scuola atletica leggera C. Covi e E. Postal,"Il campo scuola C. Covi e E. Postal fa parte degli impianti gestiti da Asis. All'interno di questa struttura si possono trovare tutte le attrezzature necessarie per svolgere le discipline dell'atletica leggera. 
Corsa, staffetta, salto in alto, salto in lungo, corsa agli ostacoli, salto con l'asta, lancio del peso, lancio del martello sono alcuni tra i molteplici esempi.
Per maggiori dettagli consultare il sito di Asis Azienda speciale per la gestione degli impianti sportivi.http://www.asis.trento.it",piazzale camillo rusconi,5 38121,ufficiorapportiutenti@asis.trento.it,0461 959812,www.asis.trento.it,impianto sportivo multidisciplinare
Centro sci da fondo Viote Monte Bondone,"Punto nevralgico delle Viote, sul Monte Bondone, è il centro per lo sci di fondo sito nella conca ai piedi delle tre cime.In questo complesso si possono trovare 35 km di piste sempre battute e anelli di varia difficoltà, pista da 3000 metri con neve artificiale e pista battuta per ciaspole. 
Sono presenti i seguenti servizi:
docce e spogliatoi
parcheggio
ristorante
bar
area giochi
assistenza di primo soccorso
segnaletica
servizio sciolinatura
locale deposito per zaini con armadietti
il servizio di noleggio e punto vendita per sci da fondo, ciaspole e nordic walking.
Ogni anello è preparato per la tecnica classica e lo skating.Inoltre sono presenti:
area giochi per bambini
pista per lo slittino e lo snow-tubing.
Per maggiori dettagli consultare il sito di Asis   Azienda speciale per la gestione degli impianti sportivi.",strada delle caserme 3-5-7-9 38123 monte bondone,ufficiorapportiutenti@asis.trento.it,0461 948105,www.asis.trento.it,impianto sportivo multidisciplinare
Centro sportivo Trento Nord - palazzetto,"Componente fondamentale del Centro sportivo di Trento Nord, a Gardolo, è il palazzetto. Società sportive ed associazioni possono trovare una struttura attrezzata ad hoc per tutte le attività e per tutte le esigenze, inoltre sono presenti un totale di 850 posti a sedere per gli spettatori. 
La struttura pavimentata in legno, ospita durante l'anno, attività sportive di ogni genere, attività ludiche ed eventi di varia natura.Le attività che si possono svolgere sono:
arti marziali
calcio a 5
danza sportiva
ginnastica sportiva
pallamano
pallacanestro
pallavolo
tennis tavolo
tiro con l’arco
torball
attività ludicomotorie
attività di preparazione atletico-motorie.
Il palazzetto ha a disposizione:
un parcheggio su via Don Milani con n. 175 posti
un parcheggio cicli
il bar interno
i distributori automatici bevande.
Per maggiori dettagli consultare il sito di Asis Azienda speciale per la gestione degli impianti sportivi.http://www.asis.trento.it",via iv novembre 23/4,,ufficiorapportiutenti@asis.trento.it,0461 959812,www.asis.trento.it,impianto sportivo multidisciplinare
Centro sportivo Trento Nord - piscine comunali,"La struttura polifunzionale di Trento Nord, a Gardolo, ospita piscine sia interne che esterne per tutte le età. Agonisti e famiglie trovano una struttura completa e attrezzata. 
In questo centro sportivo è presente una piscina coperta di categoria A, una piscina didattica coperta e le vasche esterne nel periodo estivo.ServiziI servizi che completano l'esperienza nel lido estivo di Trento Nord sono: 
la vasca esterna con giochi d'acqua e scivoli
un'area prato per bambini con giochi attrezzati
il servizio di babysitting
un bar nella piscina esterna
noleggio delle sdraio
la biblioteca
l'area idromassaggio.
AttivitàLe attività che si possono svolgere sono:
attività di preparazione atletica motoria
nuoto
pallanuoto
sub
apnea
attività motoria in acqua
attività ludico-motorie.
I corsi sono presenti nel catalogo Asis al link: http://www.asis.trento.it/it/corsi-asis/  Per maggiori dettagli (orari, segnalazioni...) consultare il sito di Asis Azienda speciale per la gestione degli impianti sportivi.http://www.asis.trento.it",via 4 novembre 23/4, 38121,ufficiorapportiutenti@asis.trento.it,0461 959812, cassa piscine gardolo 0461.956118,www.asis.trento.it,piscina
Il T Quotidiano Arena - Palazzetto,"Il T Quotidiano Arena offre alle società ed alle associazioni sportive una struttura pavimentata in legno con copertura Taraflex mobile per la realizzazione di attività sportive di ogni genere, iniziative ludiche ed eventi di varia natura. 
Le attività che si possono svolgere  all'interno del T Quotidiano Arena sono:
arti marziali
calcio a 5
danza sportiva
ginnastica sportiva
pallamano
pallacanestro
pallavolo
tennis tavolo
tiro con l’arco
torball
attività ludico-motorie
attività di preparazione atletico-motoria.
Sono presenti 3882 posti a sedere più 118 posti in piedi per gli eventi sportivi e 4800 posti totali (in piedi e seduti, compreso parterre) per eventi di natura diversa.
Per maggiori dettagli si invita a consultare il sito di Asis - Azienda speciale per la gestione degli impianti sportivi:http://www.asis.trento.it",via fersina 11, 38123,ufficiorapportiutenti@asis.trento.it,0461 959812,http://www.asis.trento.it/it/impianti/palatrento_9419_s/,impianto sportivo multidisciplinare
Il T Quotidiano Arena - Palestre,"Presso Il T Quotidiano Arena, a Trento Sud, sono presenti una palestra pesi, una per la ginnastica sportiva e una per le arti marziali. 
La palestra pesi ha un pavimento in pvc ed è specifica per la pesistica. Al suo interno sono presenti:
2 leg extension
1 ercolina
1 lat machine con pacchi pesi
1 cross over
2 bike race
1 tape roulante
1 calf
1 leg press
1 leg curl
1 combined
1 multi power
1 castello
4 spalliere svedesi
1 struttura add dors
1 pectoral machine
1 gluteus lux machine.
La palestra per le arti marziali dispone di un pavimento in pvc.La palestra per la ginnastica sportiva, all'interno della quale è possibile svolgere ginnastica sportiva, attività ludico-motorie ed attività di preparazione atletico-motoria, è dotata di un pavimento in pvc e della seguente attrezzatura:
attrezzature varie per la ginnastica artistica (materassi...)
spalliere
cavalline
assi di equilibrio
tappeto per palestra
tappeto elastico
pedana elastica
barra volteggi
barra volteggi asimmetrici
parallele.
A disposizione della struttura sono inoltre presenti i seguenti servizi:
un parcheggio con 700 posti circa
un bar
distributori automatici bevande
una tribuna stampa
una sala stampa
una sala interviste
un tunnel retrattile
un tabellone elettronico
primo soccorso con sala antidoping.
Per maggiori dettagli  si invita a consultare il sito di Asis - Azienda Speciale per la gestione degli impianti sportivi:http://www.asis.trento.it",via fersina 11, 38123,ufficiorapportiutenti@asis.trento.it,0461 959812,www.asis.trento.it,impianto sportivo multidisciplinare
Impianto sportivo G. Manazzon (ex Fogazzaro) - Piscine,"Impianto chiuso per restauro 
L'impianto polifunzionale G. Manazzon, a Trento Sud, ospita una piscina interna e vasche esterne per tutte le età. Sia agonisti che famiglie trovano una struttura completa e attrezzata.È presente una piscina coperta di categoria A e vasche esterne durante il periodo estivo.I servizi che completano l'esperienza nel lido estivo sono:
il bar nella piscina esterna
l'area prato con giochi per bambini
noleggio delle sdraio
il servizio di baby sitting
la biblioteca
giochi d’acqua e scivoli
vasca idromassaggio (vasca spiaggia).
Le attività che si possono svolgere sono:
attività motoria in acqua
pallanuoto
nuoto
sub-apnea
attività ludico-motorie
attività di preparazione atletico-motoria
tuffi.
I corsi sono presenti nel catalogo Asis al link: http://www.asis.trento.it/it/corsi-asis/
Per maggiori dettagli consultare il sito di Asis Azienda speciale per la gestione degli impianti sportivi.http://www.asis.trento.it",via fogazzaro 4, 38123,ufficiorapportiutenti@asis.trento.it,0461 959812, cassa piscine  g. manazzon 0461.924248,http://www.asis.trento.it/it/impianti/centro-sportivo-g--manazzon_9369_s/,piscina
Impianto sportivo G. Manazzon - Palestre,"Impianto chiuso per restauro 
Nel Centro sportivo di Trento Sud, una buona parte dello spazio è occupato dalle palestre presenti.Composte da una palestra in parquet multifunzione, una sala pesi e una con tatami per altre attività, soddisfano le esigenze di diverse società ed associazioni sportive.Nella palestra multifunzione al piano terra si possono svolgere:
arti marziali
danza sportiva
ginnastica sportiva
pallacanestro
tennis tavolo
torball
attività ludicomotorie
attività di preparazione atletico-motoria.
La palestra di pesi è situata nel piano interrato e si possono fare le seguenti attività:
arti marziali
danza sportiva
ginnastica sportiva
attività ludico-motorie
attività di preparazione atletico-motorie.
Nella palestra al piano rialzato con un pavimento in tatami, si svolgono:
arti marziali
danza sportiva
ginnastica sportiva
attività ludico-motorie
attività di preparazione atletico-motorie.
I corsi sono presenti nel catalogo Asis al link: http://www.asis.trento.it/it/corsi-asis/  
Per maggiori dettagli consultare il sito di Asis Azienda Speciale per la gestione degli impianti sportivi.http://www.asis.trento.it",via fogazzaro 4, 38123,ufficiorapportiutenti@asis.trento.it,0461 959812,http://www.asis.trento.it/it/impianti/centro-sportivo-g--manazzon_9369_s/,impianto sportivo multidisciplinare
