remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
3bf4beb656ac2004a227167f02b9b8d4,2024-02-22T11:14:22+01:00,2024-02-22T11:14:22+01:00,"Laboratorio ""Tra cielo e terra""",,Laboratorio,,,Laboratorio per giovani ed adulti in occasione della mostra &quot;Donna. L'altra metà del cielo.&quot;,"Questioni sociali
Integrazione sociale",A cura degli artisti Tiziano Beber e Veronica Rigotti dello Studio d'Arte Andromeda.,Tra cielo e terra,,,"Giovani,Adulti",,Sede Biblioteca comunale,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/1902/28171/1/Donna.+L%E2%80%99altra+met%C3%A0+del+cielo+loc.png,,Contatti Biblioteca comunale,,,Comune di Roncegno Terme,,,,,,,,0,2,,,,,
050fc4f14e3045e77aa9568d13a90867,2024-02-24T09:56:34+01:00,2024-02-24T10:04:30+01:00,Laboratorio di lettura espressiva con Massimo Lazzeri,,"Evento culturale,Corso,Laboratorio",,,"Laboratorio per adulti a numero chiuso, iscrizioni obbligatorie in Biblioteca","Istruzione
Biblioteca
Tempo libero","Tutti, a scuola, impariamo a leggere. Ma farlo ad alta voce davanti ad altre persone, senza farsi prendere dal panico, gustando parola per parola quello che si sta leggendo... è tutta un'altra cosa.",Laboratorio di lettura espressiva,,,Adulti,,Sede Biblioteca comunale,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/1906/28261/3/Laboratorio+di+lettura+espressiva+con+Massimo+Lazzeri.pdf,https://www.comune.roncegnoterme.tn.it/ocmultibinary/download/1906/28262/3/466ae774925f8e52e7efae4a72e60da7.pdf/file/Laboratorio+lettura+espressiva.adulti.Roncegno.2024.pdf,Contatti Biblioteca comunale,,,,,,,,,,,20,2,,,,,
259aeab4a89788db8d1bad051d3a8719,2024-02-24T09:30:23+01:00,2024-02-24T11:25:27+01:00,"""Tuti i gerani... per ti"" letture e musica in occasione della Festa della donna",,"Manifestazione artistica,Lettura (pubblica),Manifestazione musicale",,,Letture e musica in occasione della Festa della donna con le voci recitanti di Chiara Turrini e Beatrice Scartezzini e la fisarmonica di Michelangelo Felicetti.,Tempo libero,Al termine del recital aperitivo a cura dell'Hotel Villa Rosa (da prenotare in biblioteca),Letture e musica per la Festa della donna,,,Adulti,,,,,,Per info su costi e prenotazioni dell'aperitivo contattare la Biblioteca,,https://www.comune.roncegnoterme.tn.it/content/download/1904/28216/3/Festa+della+donna+2024.pdf,,Contatti Biblioteca comunale,,L'evento è parte di Settimana donna 2024 calendario di iniziative per la Festa della donna in Valsugana Orientale,Comune di Roncegno Terme,,,,,,,,0,2,,,,,
ac6f5b38c88b2a29fd993e6f4998a7d6,2024-03-07T16:55:45+01:00,2024-03-07T18:03:43+01:00,"Come farti ascoltare dai tuoi figli, senza perdere la pazienza e senza urlare",,Evento culturale,,,Evento con Daniela Scandurra,"Istruzione
Biblioteca
Tempo libero","La Biblioteca di Roncegno Terme vi invita all'incontro Come farti ascoltare dai tuoi figli, senza perdere la pazienza e senza urlare, con Daniela Scandurra, pedagogista montessoriana, autrice del libro &quot;Montessori è solo una moda se non diventi un genitore consapevole&quot;.","Come farti ascoltare dai tuoi figli, senza perdere la pazienza e senza urlare",,,"Adulti,Anziani,Famiglie,Giovani",,Sede Biblioteca comunale,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/1939/28823/3/DANIELA+SCANDURRA.png,https://www.comune.roncegnoterme.tn.it/ocmultibinary/download/1939/28824/3/a2134ed9409899aca28f3fde57a0ab41.pdf/file/DANIELA+SCANDURRA.pdf,Contatti Biblioteca comunale,,,Biblioteca comunale,,,,,,,,50,2,,,,,
65cc3a4fed377412f401ee70acd1e9b4,2024-03-14T16:28:00+01:00,2024-03-15T09:20:51+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
SCHERZO D’AMORE
Cleonice Sabrina Bortolotti, soprano – Daniele Salvatore, flauti dolci e traversiereGiovanni di Piazza, flauti dolci – Alessandra Mostacci, clavicembaloMaggiori informazioni sul concerto sono disponibili qui.
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
27fef3bdc142fa0dbb15e53ea6dbb569,2024-03-14T16:53:20+01:00,2024-03-15T09:21:20+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
ARIOSO FURIOSO TRIOAntonio Vivian, flauto – Duccio Fontolan, fagotto – Francesca Tirale, arpaMaggiori informazioni sul concerto sono disponibili qui.
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
4a6bc0f2d09e03940df480de22e96d9f,2024-03-14T17:05:11+01:00,2024-03-15T09:23:19+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
ARMONICAMENTE ENSEMBLEMarco Martinello, violino – Samuele Masetto, flauto – Chiara de Zuani, clavicembalo – Paola Frezzato, fagottoMaggiori informazioni sul concerto sono disponibili qui.
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
70df854eb1c1da30fc56a33c74555ab5,2024-03-14T17:12:10+01:00,2024-03-15T09:23:50+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
DUE DI FIORIMaura Bruschetti, voce e violino elettrico – Adriano Piccioni, contrabbassoMaggiori informazioni sul concerto sono disponibili qui.
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
68377f474207159d5dbc84ba9347b3bb,2024-03-14T17:27:15+01:00,2024-03-15T09:27:15+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
GIOVANI TALENTI – IL DIAPASONStudenti della Scuola di Musica “Il Diapason” di TrentoMaggiori informazioni sul concerto sono disponibili qui.
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
b470ff484c3f3c20bce1ded5c4ec66c6,2024-03-14T17:20:55+01:00,2024-03-15T09:26:00+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
GIOVANI TALENTI – I MINIPOLIFONICIStudenti della Scuola di Musica “I Minipolifonici” di TrentoMaggiori informazioni sul concerto sono disponibili qui.
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
