remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
c2a6d576c7ab204d539e67a5908bc1a2,2023-11-22T10:28:27+01:00,2023-11-22T10:45:59+01:00,Faedo il paese del presepe,,"Manifestazione artistica,Fiera / Salone",,,02 Dicembre 2023 – 05 Gennaio 2024,"Tempo libero
Patrimonio culturale",Tutte le  informazioni su www.viverefaedo.it,faedo natale,,,Famiglie,,Pro Loco Faedo,,,,,,,,,,Pro Loco Faedo,,,,,,,,,,,0,2,,,,,
4626b90083f5143f9fd02eb0ab5a5a84,2023-11-22T10:34:29+01:00,2023-11-22T10:34:56+01:00,Faedo il paese del presepe,,"Manifestazione artistica,Fiera / Salone",,,02 Dicembre 2023 – 05 Gennaio 2024,"Tempo libero
Patrimonio culturale",Tutte le  informazioni su https://viverefaedo.it/,faedo natale,,,Famiglie,,Pro Loco Faedo,,,,,,,,,,Pro Loco Faedo,,,,,,,,,,,0,2,,,,,
bc9d4c52047aa2183ef1487aa448ed1a,2024-01-24T12:21:37+01:00,2024-01-24T12:21:37+01:00,Un barattolo di emozioni,,Lettura (pubblica),,,Lettura e laboratorio creativo a cura della bibliotecaria,Tempo libero,Lettura e laboratorio creativo a cura della bibliotecaria,,,,Bambini,bambini 3-8 anni,Sede Biblioteca,,,,,,,,http://www.comune.sanmichelealladige.tn.it/content/download/1680/33609/1/2024+un+barattolo+di+emozioni.pdf,,Contatti Biblioteca,,,,,,,,,,,0,2,,,,,
6fa18a02b8978e1f57e647f54a2c92d4,2024-01-24T12:21:50+01:00,2024-01-24T12:26:28+01:00,IL MAGICO MONDO DI MARICA - Viaggio nel regno della Fantasia,,Lettura (pubblica),,,Letture per bambini a cura della bibliotecaria,Tempo libero,Letture per bambini a cura della bibliotecaria,,,,Bambini,bambini 0-3 ore 16:00bambini 3-6 ore 16:30,Sede Biblioteca,,,,,,,,http://www.comune.sanmichelealladige.tn.it/content/download/1681/33645/2/2024+il+magico+mondo+di+Marica.pdf,,Contatti Biblioteca,,,,,,,,,,,0,2,,,,,
48bb7e76b9b79dc44979e35e3fc001b0,2024-01-24T12:32:43+01:00,2024-01-24T12:32:43+01:00,Carnevale di San Michele - Carnival Party,,Manifestazione artistica,,,Carnival Party - grande festa mascherata,Tempo libero,Carnival Party - grande festa mascherata,,,,Famiglie,,Palazzetto Sportivo San Michele all'Adige,,,,,,,,http://www.comune.sanmichelealladige.tn.it/content/download/1682/33681/1/2024+carnevale.pdf,,Contati Comitato Carnevale,,,,,,,,,,,0,2,,,,,
919667ff60f5c39f6a7e36b0d0af7d86,2024-01-24T12:32:49+01:00,2024-01-24T12:34:18+01:00,Carnevale di San Michele - Grande Sfilata Carri e Gruppi,,Manifestazione artistica,,,Grande sfilata di carri e di gruppi allegorici ,Tempo libero,Grande sfilata di carri e di gruppi allegorici ,,,,Famiglie,,Palazzetto Sportivo San Michele all'Adige,,,,,,,,http://www.comune.sanmichelealladige.tn.it/content/download/1683/33717/1/2024+carnevale.pdf,,Contati Comitato Carnevale,,,,,,,,,,,0,2,,,,,
5f51eab5da765e543eff1df0dee72287,2024-01-30T11:50:58+01:00,2024-01-30T11:54:13+01:00,Gruppo Pensionati e Anziani,,Giornata informativa,,,"Assemblea ordinaria, seguirà pranzo, ballo con musica dal vivo e lotteria","Questioni sociali
Integrazione sociale",Assemblea ordinaria del Gruppo Pensionati e Anziani di San Michele all'Adige,,,,Anziani,,Chiesa dell'Immacolata,,,,,,"Quota partecipazione € 30,00",,http://www.comune.sanmichelealladige.tn.it/content/download/1685/33789/2/2024+assemblea+anziani.pdf,,"Contatti ""gruppo Pensionati e Anziani di San Michele all'Adige""
Contatti ""gruppo Pensionati e Anziani di San Michele all'Adige""",,,,,,,,,,,0,2,,,,,
1a58ed4c72c88ced424efb7d1086929b,2024-02-07T15:59:17+01:00,2024-02-07T15:59:17+01:00,A Teatro con Quinteatro,,Spettacolo teatrale,,,Rassegna spettacoli a San Michele all'Adige,Tempo libero,Rassegna spettacoli presso la Sala Polifunzionale del Municipio di San Michele all'Adige,,,,Famiglie,,Palazzo del Municipio,,,,,,6€ intero4€ ridotto (&gt;65 anni e &lt;14 anni)abbonamento tre spettacoli€15 intero€9 ridotto (&gt;65 anni e &lt;14 anni),,http://www.comune.sanmichelealladige.tn.it/content/download/1688/33837/1/2024+RASSEGNA+TEATRALE+Locandina.pdf,http://www.comune.sanmichelealladige.tn.it/ocmultibinary/download/1688/33838/1/8048edd8c5669e5697c4a21d3cf3034a.pdf/file/2024+RASSEGNA+TEATRALE+PIEGHEVOLE.pdf,Contatti Associazione Culturale QuinTeatro,,,,,,,,,,,0,2,,,,,
33060b587c65b0486c12e743e18eea45,2024-01-26T13:25:01+01:00,2024-02-11T18:09:04+01:00,Energia - Serata informativa sul mercato libero,,Incontro con esperti,,,Una risposta alle tue domande sulla fine della tutela per l'energia e sul mercato libero.,Energia,Una risposta alle tue domande sulla fine della tutela per l'energia e sul mercato libero.,,,,Adulti,,Palazzo del Municipio,,,,,,,,https://www.comune.sanmichelealladige.tn.it/content/download/1684/33753/4/2024+serata+mercato+libero+Dolomiti+energia.pdf,,Contatti Circolo ACLI San Michele e Grumo,,,,,,,,,,,0,2,,,,,
1ecaaf54d8af4ce2815e217b25c44081,2024-02-21T10:58:07+01:00,2024-02-21T11:02:27+01:00,"LETTURE, CHIACCHIERE E UNA TAZZA DI TÈ",,Lettura (pubblica),,,"LETTURE, CHIACCHIERE E UNA TAZZA DI TÈ","Questioni sociali
Politica familiare",Un piccolo spazio dedicato ai ragazzi in cui condividere storie e suggerirci spunti di lettura ore 16:30 - età consigliata dai 10 anni,,,,Bambini,,Sede Biblioteca,,,,,,,,https://www.comune.sanmichelealladige.tn.it/content/download/1694/33991/1/2024+letture+febbraio.pdf,,Contatti Biblioteca,,,,,,,,,,,0,2,,,,,
