remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
596d5be6231c03326a31173dab992ad7,2024-02-08T17:18:56+01:00,2024-02-08T17:23:16+01:00,Carnevale a Cles,,"Sfilata,Sagra",,,Domenica 11 febbraio appuntamento con il Carnevale a Cles!,Tempo libero,Ore 12.30 in Corso DanteMaccheronata e pranzo tipico con canederli e gulashNel pomeriggio Strauben e zucchero filatoOre 13.30Musica e animazione per tutti con Angelo DjOre 14.00Apertura pista di pattinaggio in Corso DanteOre 15.30Sfilata e concerto con il Gruppo Bandistico Clesiano,carnevale,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,,,,,,,https://cles.pnrr.comunweb.it/content/download/3202/43319/3/Carnevale-a-Cles_imagefull.png,,Contatti Ufficio Cultura,,In caso di maltempo la manifestazione sarà annullata,,,,,,,,,0.0,2,,,,,,,
e2c8f4d46105bcd194f16c2654518dee,2024-02-13T14:36:50+01:00,2024-02-13T14:36:50+01:00,Carnevale in Biblioteca,,"Raduno di comunità,Manifestazione artistica",,,Martedì 13 febbraio appuntamento con il Carnevale in Biblioteca!,Tempo libero,Vi aspettiamo in Biblioteca a Cles a partire dalle 16.30 con letture e crostoli per bambine e bambini.Chi vuole può venire in maschera!,carnevale,,,"Adulti,Bambini,Famiglie,Anziani,Giovani",,Biblioteca Comunale,,,,,,https://www.comune.cles.tn.it/content/download/3212/43430/1/CARNEVALE+IN+BIBLIOTECA+WEB.pdf,,Contatti Biblioteca Comunale,,,,,,,,,,Italiano,0.0,2,,,,,,,
692506d7e607d79f5e3579a1eb01d346,2024-02-13T15:44:06+01:00,2024-02-13T16:12:42+01:00,"Mostra di pittura ""La mia terra""",,Manifestazione artistica,,,Dal 14 febbraio al 2 marzo 2024 appuntamento in Biblioteca a Cles con la mostra di pittura &quot,La mia terra&quot, di Giorgio Debiasi.,"Istruzione
Biblioteca
Tempo libero
Patrimonio culturale",Inaugurazione giovedì 15 febbraio ad ore 17.30.Info:Tel. 0463.422006 - Email: biblioteca@comune.cles.tn.it,Mostra,,,"Adulti,Bambini,Famiglie,Anziani,Giovani",,Biblioteca Comunale,,,,,,https://www.comune.cles.tn.it/content/download/3215/43484/6/Mostra+di+pittura+La+mia+terra.pdf,,Contatti Biblioteca Comunale,,,,,,,,,,Italiano,0,2.0,"mostra,giorgio debiasi,cles",,,,
fc20dfcb077a34deca08d92ddf33f798,2024-02-19T15:40:02+01:00,2024-02-19T15:40:02+01:00,Povere creature!,,Proiezione cinematografica,,,Giovedì 22 febbraio 2024 appuntamento presso il Cinema Dolomiti di Coredo con &quot,Povere creature!&quot,.,Tempo libero,Film commedia/fantascienza - Durata 141 minuti.,Cinema,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,,,,,"€ 5,50",,https://www.comune.cles.tn.it/content/download/3263/44455/1/Gioved%C3%AC+al+cinema+gennaio-febbraio+2024.pdf,,Contatti Ufficio Cultura,,,,,,,,,,,199,2.0,,,,,
1426affe1efb57f5c7bf34ab7660dd2f,2024-02-13T16:15:32+01:00,2024-02-22T12:06:37+01:00,Intervista a Egea Haffner,,Manifestazione artistica,,,"Lunedì 19 febbraio appuntamento alle ore 17.00 al Palazzo Assessorile di Cles con &quot, Intervista a Egea Haffner&quot,, la bambina con la valigia, divenuta icona della tragedia dell’esodo istriano-dalmata.","Istruzione
Biblioteca
Tempo libero
Patrimonio culturale","A cura del Consiglio Comunale dei Ragazzi.Con Roberto de Bernardis, presidente dell'Associazione Nazionale Venezia Giulia e Dalmazia, comitato provinciale di Trento.",Egea Haffner,https://www.youtube.com/watch?v=cx7yq8UguNM,,"Adulti,Bambini,Famiglie,Anziani,Giovani",,Palazzo Assessorile,,,,,,https://www.comune.cles.tn.it/content/download/3217/43529/4/Intervista+a+Egea+Haffner.pdf,,Contatti Biblioteca Comunale,,,,,,,,,,Italiano,0.0,2,"mostra,giorgio debiasi,cles",,,,,,
94a43650f9572e92d44cbda31d2e6165,2024-02-22T16:58:50+01:00,2024-02-23T08:18:47+01:00,Alfonsina Strada - Una corsa per l'emancipazione,,"Evento culturale,Spettacolo teatrale",,,"Venerdì 23 febbraio alle 21.00 nell'aula magna &quot,Giulia Ippolito&quot, dell'Istituto Comprensivo &quot,Bernardo Clesio&quot, di Cles andrà in scena lo spettacolo &quot,Alfonsina Strada - Una corsa per l'emancipazione&quot,, con Federica Molteni, regia di Michele Eynard, Luna e GNAC Teatro.","Istruzione
Questioni sociali
Politica della gioventù
Politica familiare
Tempo libero
Patrimonio culturale
Sport","Alfonsina Morini Strada è figlia di contadini e di un tempo che non ha scelto, i primi del ’900. Un tempo in cui il ciclismo è per impavidi eroi. Sono forti, sono gagliardi e sono tutti maschi.Alfonsina è una bambina di dieci anni quando si innamora della bicicletta. È una ragazzina quando si allena di nascosto con la vecchia bici del padre. È una donna quando diventa una ciclista, una campionessa, una vera sportiva.Ma soprattutto, Alfonsina è uno SCANDALO. Perché vive nell’Italia di cento anni fa. L’Italia del fascismo, l’Italia del pensiero maschilista, l’Italia in cui le donne non votano. Quella di Alfonsina è una storia VERA e straordinaria: è stata la prima donna a competere al Giro d'Italia",Alfonsina Strada - Una corsa per l'emancipazione,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,,,,,"Prevendita biglietti online su www.trentinospettacoli.it. Apertura cassa a partire da mezz’ora prima dell’evento. Intero 10 euro, ridotto 8 euro (over 65 e minori di 14 anni).",,,,Contatti Biblioteca Comunale,,,,,,,,,,,0.0,2,,,,,,,
546e336580c62139154fc5836b60e494,2024-02-23T13:07:08+01:00,2024-02-23T13:07:08+01:00,Capaci di testimoniare,,"Conferenza e summit,Evento culturale,Incontro con esperti",,,"Il dovere della memoria, il diritto alle verità","Diritto
Giustizia
Sicurezza pubblica
Istruzione
Questioni sociali
Politica della gioventù","Nell'ambito del progetto legalità promosso dal Liceo B. Russell di Cles, giovedì 29 febbraio 2024 alle ore 20.30 all'auditorium del polo scolastico clesiano si terrà l'incontro dal titolo &quot,Capaci di testimoniare - Il dovere della memoria, il diritto alle verità&quot,.Saranno presenti Antonio Vassallo, fotografo di Capaci e testimone dell'attentato a Giuseppe Falcone, il comandante della Compagnia Carabinieri di Cles Guido Quatrale e il Gruppo Coltiviamo Legalità.",Giovanni Falcone e Paolo Borsellino,,,"Adulti,Anziani,Giovani",,,,,,,,https://www.comune.cles.tn.it/content/download/3337/45627/1/Capaci_di_testimoniare_locandina.jpg,,Contatti Ufficio Cultura,,,,,,,,,,,0.0,2,,,,,,,
80d284315f198f6698e36e78a086c176,2024-02-27T08:59:53+01:00,2024-02-27T08:59:53+01:00,Assareto e gli specchi di cera,,Evento culturale,,,La trilogia completa,"Questioni sociali
Politica della gioventù
Politica familiare
Tempo libero
Patrimonio culturale",Sabato 2 marzo alle ore 18.00 appuntamento a Palazzo Assessorile a Cles con la presentazione del libro di Lucina Cuccio &quot,Assareto e gli specchi di cera - La trilogia completa&quot,.,Assareto e gli specchi di cera,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,Palazzo Assessorile,,,,,,https://www.comune.cles.tn.it/content/download/3342/45744/1/Assareto_locandina.png,,Contatti Ufficio Cultura,,,,,,,,,,,0,2.0,,,,,
30a70177762924f20c5d6121aec59f77,2024-03-08T11:17:51+01:00,2024-03-08T11:27:21+01:00,Cles omaggia la donna - In libreria per e con le donne,,"Evento culturale,Incontro con esperti",,,"Quattro appuntamenti, per riflettere sulla figura femminile in ambiti diversi: dallo sport alla musica, dal lavoro alla letteratura.","Istruzione
Biblioteca
Questioni sociali
Integrazione sociale","Si intitola “Cles omaggia la donna” la rassegna organizzata dal Comune e dalla Biblioteca di Cles nel mese di marzo per stimolare una serie di pensieri e approfondimenti. Ma anche per accendere la luce su un mondo, quello “rosa”, troppo spesso lasciato al buio.«C’è una frase di Ginger Rogers – fa sapere l’assessora alle attività culturali Simona Malfatti – che purtroppo rappresenta ancora oggi la vita lavorativa e familiare di moltissime donne: “Facevo le stesse cose che faceva Fred Astaire ma all’indietro e sui tacchi”. Per questo abbiamo pensato di organizzare insieme alle associazioni e ad altri numerosi partner una serie di eventi dedicati alle donne, non per festeggiare, ma  per riflettere, sensibilizzare e porre domande. Parleremo di sport, di relazioni, di libri, di musica e soprattutto del delicato equilibrio che ogni donna prova a stabilire tra lavoro e famiglia».Sabato 16 marzo alle ore 18.30 la libreria Utopia di Cles ospiterà l’appuntamento dal titolo “In libreria per e con le donne” che prevede dei racconti in musica “Doublesex suite” per ensemble femminile e flauto traverso, in collaborazione con il collettivo femminista Giustinewemp. A cura di TrentinoJazz con la Scuola di Musica C. Eccher.",Donne,,,"Adulti,Giovani,Famiglie,Anziani",,,,,,,,,https://www.comune.cles.tn.it/ocmultibinary/download/3409/47199/3/5c0f4d31d80754ed06621b2e0c0e9999.pdf/file/Cles+omaggia+la+donna.pdf,Contatti Ufficio Cultura,,,,,,,,,,,0.0,2,,,,,,,
26531418162262bad59dc23cb85ac3dc,2024-03-11T15:07:21+01:00,2024-03-11T15:09:52+01:00,"Giovani, sguardi di futuro",,"Evento culturale,Convegno / Conferenza",,,"Nell'ambito della rassegna &quot,ClesXAgenda2030&quot,, venerdì 12 aprile alle ore 20.30 appuntamento a Palazzo Assessorile a Cles con &quot,Giovani, sguardi di futuro&quot,.","Ambiente
Innovazione
Istruzione
Questioni sociali
Politica della gioventù","Incontro per giovani coraggiosi, che desiderano affrontare le difficili sfide dell’oggi con speranza e ottimismo. Età consigliata dai 16 anni. A cura di Mattia Mascher.",ClesXAgenda2030,,,"Adulti,Giovani",,Palazzo Assessorile,,,,,,https://www.comune.cles.tn.it/content/download/3422/47636/1/Locandina_ClesxAgenda2030_marzo2024.pdf,,Contatti Ufficio Biblioteca,,,,,,,,,,,0.0,2,,,,,,,
