Titolo,Titolo breve,Immagine,Descrizione,Locandina dell'evento,Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,Tipologia evento,Manifestazione cui fa parte,Associazione,Progressivo,Sottotitolo,Orario,Posizione geografica,Fonte
Carnival Party al Centro Sottodossi con oratorio e APPM: annullato,,var/mezzocorona/storage/images/turismo/calendario-eventi/carnival-party-al-centro-sottodossi-con-oratorio-e-appm-annullato/260508-1-ita-IT/Carnival-Party-al-Centro-Sottodossi-con-oratorio-e-APPM-annullato.jpg|,E' STATO ANNULLATO l'evento carnival Party organizzato da APPM e Oratorio di MezzocoronaPREVISTO presso il Centro Sottodossi per i ragazzi dalla prima media alla seconda superiore lunedì 24.2.2010 h. 20,,24/02/2020,24/02/2020,,,,,,,,,,,Evento singolo,,,,,,,
EVENTO ANNULLATO Tre giorni in Piemonte con la SAT,,,Tre giorni in Piemonte con la SATdal 22 al 24 maggio 2020segue programma,,22/05/2020,24/05/2020,,,,,,,,,,,Evento singolo,,,,,,,
"Presentazione del calendario  ""Le orchidee del monte di Mezzocorona""",,var/mezzocorona/storage/images/turismo/calendario-eventi/presentazione-del-calendario-le-orchidee-del-monte-di-mezzocorona/406280-1-ita-IT/Presentazione-del-calendario-Le-orchidee-del-monte-di-Mezzocorona.jpg|,"Il giorno 9 dicembre alle ore 20.30 verrà presentato in biblioteca il calendario 2024 &quot,Le orchidee del Monte di Mezzocorona a cura di Mauro Varner e Luisa Mattedi con opere di Paola de Manincor&quot,.Il calendario è disponibile gratuitamente per i residenti a partire dal giorno della presentazione.",,09/12/2023,09/12/2023,,,,,,,,,,,Evento singolo,,,,,,,
Incontro con la criminologa Rosa Valenti per la presentazione di un libro sulla violenza sulle donne,,var/mezzocorona/storage/images/turismo/calendario-eventi/incontro-con-la-criminologa-rosa-valenti-per-la-presentazione-di-un-libro-sulla-violenza-sulle-donne/407077-1-ita-IT/Incontro-con-la-criminologa-Rosa-Valenti-per-la-presentazione-di-un-libro-sulla-violenza-sulle-donne.jpg|,"Incontro con la criminologa Rosa Valenti, autrice del libro “OLTRE IL CODICE DEL SILENZIO – DECIFRARE LA VIOLENZA SULLE DONNE”,&nbsp,ed. Gander Books.Mercoledì 29 novembre 2024 alle ore 20.30 in&nbsp,Biblioteca a Mezzocorona (sala mansarda)È un libro che presenta il fenomeno della violenza contro le donne in tutta la sua crudezza e ferocia, analizzando tutte le sfaccettature in cui si presenta: fisiche, sessuali, psicologiche, economiche. Un’analisi che insegna a riconoscere anche aspetti meno noti della violenza, ma non per questo meno subdoli – come il gaslighting, la cyberviolenza, il revenge porn, la violenza in ostetricia o la violenza assistita di cui sono vittime i figli – e che soprattutto spiega sia alle vittime, sia a coloro che venissero a conoscenza di episodi riguardanti terzi come contrastarla.Un libro per le donne sicuramente, ma anche per quella grande maggioranza di uomini che rifiutano la violenza e che desiderano contrastarla.",,29/11/2023,29/11/2023,,,,,,,,,,,Evento singolo,,,,,,,
Canta della stella dei re Magi al Monte,,var/mezzocorona/storage/images/turismo/calendario-eventi/canta-della-stella-dei-re-magi-al-monte/408795-2-ita-IT/Canta-della-stella-dei-re-Magi-al-Monte.jpg|,"Il pomeriggio del 6.1.24 canta della stella dei Re Magi al Monte, per i dettagli si vede l'allegata locandina",,06/01/2024,06/01/2024,,,,,,,,,,,Evento singolo,,,,,,,
Serata della Sat Mezzocorona con Marco Ferrari,,var/mezzocorona/storage/images/turismo/calendario-eventi/serata-della-sat-mezzocorona-con-marco-ferrari/412667-1-ita-IT/Serata-della-Sat-Mezzocorona-con-Marco-Ferrari.jpg|,"Serata della Sat Mezzocorona dal titolo &quot,Scala viaggia ridi&quot, con Marco Ferrari il 19.1.2024 h. 20.30 al teatro parrocchiale di Mezzocorona.Tutti i dettagli nell'allegata locandina.",,19/01/2024,19/01/2024,,,,,,,,,,,Evento singolo,,,,,,,
"Serata della SAT con Nelli, Roberto, Michele e Stefano",,var/mezzocorona/storage/images/turismo/calendario-eventi/serata-della-sat-con-nelli-roberto-michele-e-stefano/412692-1-ita-IT/Serata-della-SAT-con-Nelli-Roberto-Michele-e-Stefano.jpg|,"Serata della SAT con Nelli, Roberto, Michele e Stefano dal titolo &quot,Mani sulla roccia, cuore oltre le nuvole&quot, introdotta da Paola Pancher il 1° febbraio 2024 h. 20.30 al teatro parrocchiale",,01/02/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Serata della SAT con Ettore e Nicola Taddei,,var/mezzocorona/storage/images/turismo/calendario-eventi/serata-della-sat-con-ettore-e-nicola-taddei/412717-1-ita-IT/Serata-della-SAT-con-Ettore-e-Nicola-Taddei.jpg|,"Serata della SAT con Ettore e Nicola Taddei dal titolo &quot,Spiragli nel buio. la montagna vista sa dentro&quot, il 16.2.24 h. 20.30 presso il teatro parrocchiale.",,16/02/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Serata della SAT con Alessio Marinelli e Simone Tranquillini,,var/mezzocorona/storage/images/turismo/calendario-eventi/serata-della-sat-con-alessio-marinelli-e-simone-tranquillini/412742-1-ita-IT/Serata-della-SAT-con-Alessio-Marinelli-e-Simone-Tranquillini.jpg|,Serata della SAT con Alessio Marinelli e Simone Tranquillini il 1° marzo alle 20.30 presso il teatro parrocchiale,,01/03/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Giulio Coniglio va in bimboteca,,var/mezzocorona/storage/images/turismo/calendario-eventi/giulio-coniglio-va-in-bimboteca/414167-1-ita-IT/Giulio-Coniglio-va-in-bimboteca.png|,"&nbsp,&nbsp,GIULIO CONIGLIO &nbsp,VA IN BIMBOTECA&nbsp,&nbsp,venerdì 19 gennaio h. 17.00-18.00 in biblioteca &nbsp,&nbsp,Cosa si può fare in una fredda giornata d’inverno? Giulio Coniglio e i suoi amici ti aspettano in bimboteca, al piano terra della biblioteca, per scoprire la magia dei loro libri. Leggeremo insieme alle bibliotecarie tante storie incredibili scritte e illustrate da Nicoletta Costa.Poi ci faremo ispirare dalla fantasia di quest’autrice, che ha reso ancor più bella la nostra bimboteca, per un divertente laboratorio.&nbsp,&nbsp,Iniziativa rivolta ai bimbi e alle bimbe dai 2 anni in su.I minori di 6 anni vanno accompagnati da un adulto.Iscrizione consigliata al numero 0461 608182.",,19/01/2024,,,,,,,,,,,,Evento singolo,,,,,,,
