remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
3ec4e192a0cd7338b939e187bb30518f,2023-12-29T08:58:13+01:00,2024-01-04T11:40:29+01:00,A teatro con mamma e papà - La vecchia,,Spettacolo teatrale,,,"
Collettivo Clochart APS
regia e drammaturgia Michele Comite
coreografie Hillary Anghileri
musiche Daniela Savoldiscenografie Anna Ucosich, Sergio Debertolis, Gigi Giovanazzi",Tempo libero,"
In una casa qualunque viveva La Vecchia.Non era brutta, anzi, era molto bella. Però aveva un pessimo caratteraccio. Era sempre pronta a criticare e a parlare male del prossimo, cosicché non si era mai sposata. Infatti, era molto egoista e fin da piccola non aveva mai aiutato nessuno, ed era come ossessionata dalla pulizia. Aveva sempre in mano la scopa e la usava così rapidamente che sembrava ci volasse sopra. La sua solitudine, man mano che passavano gli anni, la rendeva sempre più acida e cattiva. Nessuno si ricordava di averla vista sorridere. Quando non puliva la casa con la sua scopa, si sedeva e faceva la calza. Ne faceva a centinaia. Non per qualcuno, naturalmente! Le faceva per se stessa, per calmare i nervi e passare un po’ di tempo, visto che nessuno andava mai a trovarla, né lei sarebbe mai andata a trovare qualcuno. Era troppo orgogliosa per ammettere di avere bisogno di un po’ d’amore. Così passarono gli anni, e la nostra Vecchia si vedeva sempre più brutta: finché un giorno, la sera prima del 6 gennaio, sentì bussare alla finestra. Lo stomaco si strinse e un brivido le corse lungo la schiena. Nessuno aveva mai bussato alla sua finestra. Chi poteva essere?",La Vecchia,,,Bambini,,,,,,"Ingresso unico euro 4,00",,https://mori.pnrr.comunweb.it/content/download/1511/26255/5/LA+VECCHIA.jpg,https://mori.pnrr.comunweb.it/ocmultibinary/download/1511/26256/5/17eb83cd7d9e4411aa1f788dd04265ca.pdf/file/Stagione_teatrale23-24_libretto.pdf,Ufficio Cultura Comune di Mori dalle 9.00 alle 12.30 ,,,,,,,,,,,0.0,2.0,,,,,,,
4fa61d9564c5e66c125c6ad7dc3cbb3f,2023-12-29T10:04:52+01:00,2024-01-04T11:46:21+01:00,Stagione di prosa - Caravaggio di chiaro e di scuro,,Spettacolo teatrale,,,"
Caravaggio di chiaro e di scuroCompagnia INTI di Luigi D’Elia Le Tre Corde
di Francesco Niccolini
con Luigi D’Elia
regia di Enzo Vetrano e Stefano Randisi
disegno luci Francesco Dignitosooggetti ed elementi scenici Mela Dell’Erba",Tempo libero,"
Quanti dettagli servono per raccontare la storia di Michelangelo Merisi da Caravaggio?
C’è la peste da bambino, la fame e la povertà da giovane, il successo fulmineo e scapestrato, i litigi, le risse: tentati omicidi, agguati in strada, ferite, denunce e un omicidio
riuscito. Fughe precipitose e ritorni. Poi le tele, dato che lui gli affreschi proprio non li sapeva fare: solo a olio, riusciva. I quattro modelli che poteva permettersi e a rotazione usava in tutti i quadri: prostitute per madonne, giovani compagni di letto per angeli, se stesso testimone in disparte e un vecchio per tutto il resto. Ma soprattutto bisogna raccontare la sua mano, che con la stessa facilità impugnava il pennello e la spada, con la medesima violenza.
Francesco Niccolini e Luigi D’Elia mettono in scena il terzo racconto biografico della loro produzione, realizzano questo nuovo lavoro insieme a Enzo Vetrano e Stefano Randisi. Tuttiinsieme provano ad attraversare l’epoca d’oro della cultura italiana ed europea.",Caravaggio di chiaro e di oscuro,,,Adulti,,,,,,"
INGRESSI
Intero € 15,00
Ridotto € 12,00 (oltre i 65 anni, Associazioni-Cooperative-Circoli di Mori)Ridotto giovani € 8,00 (under 30)",,https://mori.pnrr.comunweb.it/content/download/1517/26387/3/CARAVAGGIO+di+chiearo+e+di+scuro.jpg,https://mori.pnrr.comunweb.it/ocmultibinary/download/1517/26388/3/be6bf52cd5a6198cd2c74407d86707c9.pdf/file/Stagione_teatrale23-24_libretto.pdf,Contatti Ufficio Cultura,,,,,,,,,,,0.0,2.0,,,,,,,
307cf744e27ea9ba632871f814c79ecc,2023-12-29T09:53:04+01:00,2024-01-04T11:41:52+01:00,Stagione di prosa - Fiabafobia,,Spettacolo teatrale,,,"
FiabafobiaMismaondadi e con Arianna Porcelli Safonov",Tempo libero,"
“Fobia” vuol dire paura e “Paura” include nella propria radice l’indoeuropeo -pat che vuol dire percuotere, abbattere. Potremmo dire che le paure ci abbattono e che veniamo
giornalmente percossi dalla fobia. Non è un buon inizio per un monologo comico. La risata però è il linguaggio che serve per entrare dentro ad uno degli argomenti più attuali, impegnativi e meno discussi di questo momento storico: la paura come timone sociale.
Quando ero piccola si doveva aver paura di Chernobyl, poi c’è stata la Mucca Pazza, l’arsenico nell’acqua, i testimoni di Geova, i musulmani, gli immigrati, il virus, la peste suina e,
se non bastasse, una bella guerra. Grazie al clima di terrore mondiale ci spertichiamo in fobie personalizzate: dai serpenti, ai ragni, all’aereo, ai batteri e molto altro di pauroso e di ridicolo che viene giustificato con “Scusa, è che c’ho la fobia!”Fiabafobia è una collana di racconti che indaga sulle fobie che accompagnano la nostra persona, a volte per tutta la vita, a volte più dei parenti. Fiabafobia è stata scritta per ridere e per pensare. Sperando che non ci sia nessuno che abbia paura di ridere e di pensare.",Fiabafobia,,,Adulti,,,,,,"
INGRESSI
Intero € 15,00
Ridotto € 12,00 (oltre i 65 anni, Associazioni-Cooperative-Circoli di Mori)Ridotto giovani € 8,00 (under 30)",,https://mori.pnrr.comunweb.it/content/download/1515/26342/3/FIABAFOBIA.jpg,https://mori.pnrr.comunweb.it/ocmultibinary/download/1515/26343/3/534a1a3adb75f3e7fc9b01a3aeccdf51.pdf/file/Stagione_teatrale23-24_libretto.pdf,Ufficio Cultura Comune di Mori dalle 9.00 alle 12.30 ,,,,,,,,,,,0.0,2.0,,,,,,,
467b0e8ea0c0826377f7d3a8bcd654c0,2024-02-08T13:49:08+01:00,2024-02-08T13:49:08+01:00,Carnevale in Vallagarina,,Evento culturale,,,"Tornano gli eventi di Carnevale per festeggiare in compagnia!Maccheroni al ragù, gnocchi, sfilate delle mascherine, scherzi e tanto altro! Scopri tutti gli eventi per festeggiare il carnevale in Vallagarina.",Tempo libero,"SABATO 27 GENNAIO


Carnevale a Borghetto | Gnocchi di malga e panini


DOMENICA 28 GENNAIO 


Carnevale a Borghetto | Gnocchi alle sarde o al pomodoro, nel pomeriggio sfilata delle mascherine con premiazione

Carnevale a S. Lucia di Ala | Distribuzione maccheroni, in caso di maltempo saranno allestiti tendoni


SABATO 3 FEBBRAIO 


Carnevale a Sano | Gnocchi al pomodoro


DOMENICA 4 FEBBRAIO


Carnevale a Pilcante di Ala | Maccheroni e Trippe

Carnevale a Pedersano | Polenta, crauti e mortadela, nel pomeriggio sfilata di mascherine e accompagnamento musicale

Carnevale a Vò Sinistro | Maccheronata

Carnevale a Noriglio | Brodo Caldo, maccheroni al ragù, fortaie e lo spettacolo del Mago Polpetta

Carnevale a Ravazzone | Maltagliati al ragù

Carnevale a Valle S. Felice | Maltagliati al ragù

Carnevale a Saccone | Maccheroni al ragù, ruota della fortuna e tante attività per bambini

Carnevale a Castione | Maccheroni al ragù

Carnevale a Besenello | Maccheronata di Sant’Agata, sfilata delle mascherine con la banda musicale

Carnevale a Riva di Vallarsa | Festa di fine stagione con DJ set e dalle 17 i tradizionali bigoli alla Lamber per tutti

Carnevale a Pomarolo | Escape room per adulti e bambini e Banditi in maschera


GIOVEDÌ 8 FEBBRAIO


Carnevale a Borgo Sacco | 61° grande maccheronata

Carnevale a Fontechel | Uova sode, brodo, bigoi co le sardele e vin brulè per tutti


VENERDÌ 9 FEBBRAIO


Sgnocolada della Quercia | Presso l’Oratorio Rosmini di Rovereto


SABATO 10  FEBBRAIO


Carnevale a Isera | Maccheronata e sfilata delle mascherine

Carnevale a Lizzana | Maccheronata

Carnevale a Saltaria | Maccheronata

Carnevale a Besagno | Maltagliati al ragù

Carnevale a Brustolotti, Ala | Maccheronata

Carnevale a Marani, Ala | Grostolada, canederli in brodo e panini caldi


DOMENICA 11 FEBBRAIO


Carnevale dei bambini a Rovereto | Sfilata delle mascherine alle ore 13.30 – Scopri di più!

Carnevale a Moscheri, Trambileno | Piatto della tradizione Trentina per eccellenza: polenta, crauti “pasta de mortadela” e cotechini, oltre a Waffle e sfilata delle mascherine

Carnevale a Villa Lagarina | Maccheroni al ragù, patatine fritte, fortaie, nel pomeriggio sfilata delle mascherine, intrattenimento per bambini e lotteria

Carnevale di Crosano | Maccheroni al ragù

Carnevale a Sabbionara e Vò Sinistro | Maccheronata, intrattenimento, sfilata delle mascherine ed estrazione della lotteria

Carnevale a Loppio | Bigoi co le sardele

Carnevale a Molina | Penne al ragù

Carnevale a Marco | Bigoi al ragù e intrattenimento musicale, a seguire sfilata delle mascherine e animazione per bambini

Carnevale a Zoreri, Terragnolo

Carnevale a Sant’Anna, Vallarsa | Bigoli con le sardelle e al pomodoro, patatine fritte, stromboli e a seguire sfilata delle mascherine e animazione in teatro


LUNEDÌ 12 FEBBRAIO


Carnevale all’oratorio di Mori | Pasta in compagnia e giochi


MARTEDÌ 13 FEBBRAIO


Carnevale ad Avio | Maccheronata

Carnevale a Lizzanella | Sbigolada e sfilata delle mascherine

Gran Carneval de Mori Vecio | Maltagliati al ragù

Carnevale dei ragazzi di Volano | Maccheronata e mascherissima

Carnevale a Noarna | Maccheronata, sfilata delle mascherine e intrattenimento

Carnevale a Brentonico | Maccheronata ed intrattenimento per bambini

Carnevale a Villalta, Ala | Maccheronata

Carnevale a Cornè | Spaghetti con le sardelle e sfilata delle mascherine


SABATO 17 FEBBRAIO 


Carnevale dei ragazzi di Volano | Sfilata dei carri – Scopri di più!

Gran Carneval de Tierno | Bigoi co le sardele

Carnevale a S. Margherita, Ala | Maccheronata, panini e vin brulè, musica, premiazione delle mascherine ed estrazione della lotteria

Carnevale a Castellano | Bigoi al ragù e sardele, fortaie, arrosticini e sfilata delle mascherine


DOMENICA 18 FEBBRAIO


Matilori di Vallarsa | Spaghettata di San Valentino: Spaghetti co le sardele, brulè, brodo e molto altro

Grande festa di Carnevale in Brione | Maccheronata, intrattenimento musicale e sfilata delle mascherine in Piazza della Pace a Rovereto

Carnevale a Calliano | Maccheronata, sfilata delle mascherine e intrattenimento per bambini

Carnevale a Nomi | Maccheroni al ragù, arrosticini, stromboi e animazione per bambini

Carnevale a Serravalle | Maccheroni, panini caldi e patatine fritte


DOMENICA 25 FEBBRAIO


Carnevale a Terragnolo |  Tradizionale Maccheronata a Piazza di Terragnolo


",,,,"Giovani,Bambini,Famiglie,Adulti,Anziani",,,,,,,,,,Contatti Area Segreteria,,,,,,,,,,,0.0,2.0,,,,,,,
eab1baac154335bf78e0d65ecf585393,2024-02-16T10:32:31+01:00,2024-03-01T12:46:50+01:00,Università della terza età e del tempo disponibile - percorso formativo per la cittadinanza,,Evento di formazione,,,"Una proposta del Comune di Mori in collaborazione con la Fondazione «Franco Demarchi» di Trento. 
Il programma si svolgerà
dal 17 novembre 2023 al 19 aprile 2024
il venerdì dalle 15:30 alle 17:30
presso la Biblioteca comunale di Mori in Via Scuole, 7.Ci si può iscrivere dai 35 anni.Le conferenze in Biblioteca si terranno il giovedì dalle 20:00 alle 22:00 con entrata libera.",Tempo libero,"Il programma si svolgerà dal 17/11/2023 al 19 /04/2024 presso la Biblioteca comunale di Mori.
Corsi universitariil venerdì 15:30 - 17:30
Ambiente e natura
Erbe, fiori e germogli selvatici commestibili in Trentino
docente Sarzo Antonio17/11, 24/11, 01/12
Psicologia generale
Percorso laboratoriale - la memoria: manteniamola in forma
12/01, 26/01, 09/02, 23/02docente Massaro Salvatore
Educazione alla salute e sani stili di vita
Medicina e benessere
15/03docente da individuare
Parco naturale locale monte baldo
Grandi carnivori 19/04, in sede,
l’uscita alla scoperta della flora sul territorio - data da definiredicente: esperti Parco Naturale Locale del Monte BaldoIscrizione all'anno accademico 2023-2024 Sede di Mori - euro 50,00.
Conferenze in biblioteca
il giovedì 20:00 - 22:00ingresso gratuito
Educazione alla salute e sani stili di vita
lo stile di vita per il benessere e la salute
16/11, 30/11docente Cappello Ruggero
Psicologia generale
Introduzione al percorso laboratoriale La memoria: manteniamola in forma
14/12docente Massaro Salvatore
Energie rinnovabili
Energie rinnovabili
11/01docente Gattozzi Gabriele
Storia locale
Villa Lagarina e la famiglia Castelbarco: 15/02, 22/02
docente Postinger Carlo Andrea
Famiglia Salvotti 29/02
docente Pretto Ilaria
Famiglia Fiumi 04/04Fondazione Museo Storico
Aspetti medici della terza età 
Patologie reumatiche
14/03docente Paolazzi Giuseppe
Educazione alla mondialità e diritti umani
Relazioni internazionali: Africa
18/04
docente da individuareNB: si potranno verificare modifiche nei docenti e negli abbinamenti docenti-corso.",Uni terza età,,,"Adulti,Anziani",Rivolta alle persone di età dai 35 anni in su.,Sede Biblioteca,,,,"CORSI UNIVERSITARI, costo euro 50CONFERENZE IN BIBLIOTECA ingresso gratuito",,https://mori.pnrr.comunweb.it/content/download/4545/56398/9/locandina_UTETD_2023-24.pdf,https://mori.pnrr.comunweb.it/ocmultibinary/download/4545/56399/9/5ad7d5989c4d14e9e51454c46ec7b439.pdf/file/orario_Mori_23-24.pdf,Contatti Gjorgjievska Eva,,,,,,,,,,Italiano,0.0,2.0,,,,,,,
831fa9bdc3494b601b9b9c56d6b10c45,2024-03-05T10:44:11+01:00,2024-03-07T14:36:13+01:00,Donne per la Pace,,"Conferenza e summit,Incontro con esperti",,,15 marzo 2024 alle ore 20.30 presso la sala ex Galetera incontro sul ruolo della Donna come promotrice di Pace.In occasione dell'8 marzo &quot,Giornata internazionale della Donna&quot,,Questioni sociali,"Ci sono tante realtà in cui il ruolo della donna è fondamentale nel progettare e nell'indicare strategie valide per costruire la pace, a partire dalla scuola, per uscire dalla cultura patriarcale di dominio, prevaricazione, sfruttamento e schiavitù.Più che mai, ai giorni nostri, parlare di costruire una cultura della pace è fondamentale se, come umanità, vogliamo sopravvivere.",Evento donne,,,"Adulti,Anziani,Giovani",,,,Silva Feitosa Rosangela,,,,https://mori.pnrr.comunweb.it/content/download/4610/57719/3/donne_per_la_pace_2024_locandina.pdf,,Contatti Saccani Anna,,,,,,,,,,,0,2.0,,,,,
bf90b2daa89b9739e014d9cb20267082,2024-03-01T12:33:10+01:00,2024-03-11T09:28:07+01:00,Libere e sovrane - Le donne che hanno fatto la Costituzione,,Evento culturale,,,"Per il mese della donna, fino alla festa della liberazione, una mostra per riscoprire queste donne e il loro contributo nella stesura della Carta Costituzionale. Per ricordare il valore delle libertà conquistate.","Diritto
Istruzione
Questioni sociali","Libere e sovrane. Le 21 donne che hanno fatto la Costituzione è una mostra realizzata nel 2016 per il 70° anniversario del voto delle donne in Italia e da allora continua a viaggiare, ospitata da Comuni, scuole, biblioteche, associazioni. E' composta da 21 tavole illustrate da Michela Nanut e la realizzazione è frutto  di un lavoro di gruppo a cui hanno partecipato Micol Cossali, Giulia Mirandola, Mara Rossi, Novella Volani, in collaborazione con A.N.P.I. Rovereto-Vallagarina, Casa delle donne di Rovereto.Presso la biblioteca di Mori, durante gli orari di apertura.",Signora con libro,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",tutti,Sede Biblioteca comunale,,,,,,,https://mori.pnrr.comunweb.it/ocmultibinary/download/4595/57402/4/0514a240e7cd08e2dbd773a536f67168.pdf/file/Mostra_Libere_e_sovrane.pdf,Contatti Biblioteca comunale,,,Circolo A.R.C.I. Mori,,,,,,,,0.0,2.0,"mostra,Costituzione,donna,donne,Italia",,,,,,
19d3b63debc64e95ca399160b7de0495,2024-03-08T09:36:08+01:00,2024-03-11T10:52:12+01:00,Sipario d’Oro - Donnacce,,"Evento culturale,Spettacolo teatrale",,,"
Donnacce
di Gianni Clementi
regia di Gherardo Coltri
Compagnia TrixtragosVerona","Questioni sociali
Integrazione sociale","
Lo spettacolo racconta la storia di Tullia, paurosa, pacchiana, senza sogni e illusioni e di Tindara, visionaria e ingenua. Due “signore” di mezza età che hanno dedicato gran parte della loro vita alla pratica della professione più antica del mondo e che convivono in un appartamento in periferia, dividendo l’affitto. Le due, per l’età e per la crisi di un mercato invaso da rampanti ragazze dell’est, hanno deciso di andare in pensione e sono in procinto di partire per una vacanza quando, in modo rocambolesco, nella loro vita entra un famoso personaggio pubblico. Da quel momento tutto cambierà, in modo definitivo.Tanta comicità e leggerezza per affrontare una cruda analisi della realtà.",Teatro 1,,,"Adulti,Anziani,Famiglie,Giovani",,"Teatro sociale ""Gustavo Modena""",,,,"
biglietto d'ingresso intero - 10 euro,
biglietto d'ingresso ridotto - 8 euro per iscritti Co.F.As., persone sopra i 65 anni, possessori di Carta in Cooperazione, Sipario d’Oro Card e Carta Giovani Nazionale under 35,
biglietto d'ingresso ridotto 3 euro per studenti delle scuole superiori e universitari,Gratuito fino ai 14 anni",,https://mori.pnrr.comunweb.it/content/download/4631/58205/2/SO+2024+locandina+MORI.pdf,,Segreteria del Sipario d’Oro,,,,,,,,,,,0.0,2.0,"teatro,rassegna,teatro amatoriale",,,,,,
3dd70085dc06a56f9389efe165ef6093,2024-03-07T12:28:07+01:00,2024-03-13T10:20:15+01:00,Presentazione del libro Il predatore,,Presentazione libro,,,"
Presentazione del libro Il predatore, il romanzo d’esordio di Marco Niro, uno dei membri del collettivo Tersite Rossi.
Un'indagine sulla difficile relazione tra uomini e orsi.Lanfranco Barozzi , Presidente Circolo Arci Mori, dialogherà con l'autore.","Agricoltura, silvicoltura e pesca
Foreste
Istruzione
Biblioteca","
Presentazione del libro di Marco Niro Il predatore, Bottega errante edizioni .
Lanfranco Barozzi, circolo ARCI Mori, dialogherà con l'autore.Luca Valduga leggerà brani del libro.Il predatore è ambientato in un piccolo borgo montano, dove una notte, sulla cima che sovrasta l’abitato, accade un fatto di sangue orribile, una strage destinata a sconvolgere per sempre la vita in paese. Le pulsioni represse e le paure ataviche trovano di colpo libero sfogo e a quel punto comincia la caccia al mostro. La bestia. L’orso.",Libri,,,"Adulti,Anziani,Famiglie,Giovani",tutti,Sede Biblioteca comunale,,,,,,https://mori.pnrr.comunweb.it/content/download/4620/57975/2/Il_predatore_locandina.pdf,,Contatti Biblioteca comunale,,,,,,,,,,,0.0,2.0,,,,,,,
a276625867597351b2dc42ad9202456d,2024-03-07T11:31:58+01:00,2024-03-13T10:21:13+01:00,"Io e te papà, insieme nelle storie",,Evento culturale,,,"
Per la festa del papà narrazioni tratte dai libri per l'infanzia,a cura di Paola Farinati.","Istruzione
Biblioteca
Prima infanzia
Scuola materna","
Per la festa del papà narrazioni tratte dai libri per l'infanzia a cura di Paola Farinati. Dedicate in particolare ai papà, alle loro bambine e ai loro bambini dai 3 agli 8 anni.Sono benvenute anche le mamme, gli zii e le zie, nonne e nonni e tutte le persone che abbiano voglia di farsi raccontare delle storie.",Libri,,,Bambini,,Sede Biblioteca comunale,,,,,,https://mori.pnrr.comunweb.it/content/download/4613/57812/3/Io_e_te_pap%C3%A0_insieme_nelle_storie.pdf,,Contatti Biblioteca comunale,,,,,,,,,,,0.0,2.0,"libri,biblioteca,l'infanzia,papà,bambine,bambini",,,,,,
