remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
,,"Se si raccolgono ottimi broccoli anche a pochi chilometri dalle montagne innevate, nel pieno inverno trentino, lo si deve alla vicinanza del lago di Garda e al Pelèr, vento proveniente del nord-est, che crea un microclima ideale negli orti di Torbole e Linfano.","Agricoltura, silvicoltura e pesca
Agricoltura
Prodotti alimentari
Ambiente
Questioni sociali
Tempo libero
Trasporto pubblico",FESTA DEL BROCCOLO DI TORBOLEIL FIGLIO DEL VENTODomenica 21 gennaio 2024dalle ore 12.00 alle 15.00 - porto di TorboleIn caso di pioggia la festa sarà spostata al 28 gennaio 2024Menù:- crostoni con pesto di foglia- orzotto del Bleggio al broccolo (produttore &quot,Prodotti del Portico&quot,). Il tutto condito con olio evo de &quot,L'Agraria di Riva del Garda&quot, e dei produttori locali- fagottino alle mele (prodotto da Panificio Pasticceria Tecchiolli)- acqua minerale/bibite- vino de &quot,l'Agraria di Riva del Garda&quot,- caffè espresso MokamoSaranno presenti uno stand di Slow Food e uno stand degli assaggiatori dell'olio Evo Trentino.In collaborazione con COMITATO DEL BROCCOLO DI TORBOLE - CONSORZIO CENTO - ASSOCIAZIONE NAZIONALE ALPINI SEZIONE TORBOLE - ASSOCIAZIONE GALEEANDO - COMITATO SBIGOLADA TORBOLANA - COMUNE DI NAGO TORBOLE - SLOW FOOD - CONFCOMMERCIO - PAT GARDA DOLOMITI - CASSA RURALE ALTOGARDA ROVERETO - AGRARIA DI RIVA DEL GARDA - MOKAMO - &quot,PRODOTTI DEL PORTICO&quot, E PANIFICIO PASTICCERIA TECCHIOLLI.,Broccolo,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,Il Casello del Dazio,,,,Biglietto adulti 15 euro a persona / bambini sotto i 12 anni 5 euro,,https://nagotorbole.pnrr.comunweb.it/content/download/3012/49487/2/Festa+del+Broccolo+%282%29.pdf,https://nagotorbole.pnrr.comunweb.it/ocmultibinary/download/3012/49488/2/353a47305053b0ae191ee3f6da3b2f9e.jpg/file/Festa+del+Broccolo+-+luoghi+evento.jpg,Contatti Comitato del broccolo di Torbole,,,,,,,,,,,0.0,2.0,"broccolo,festa",,,,
,,L'Associazione Sos Altissimo di Nago organizza con la collaborazione di Alessandro Marsilli propone un'escursione andata e ritorno con partenza da Torbole (Casa del Dazio) a Riva del Garda (Porto S. Nicolò).Domenica 4 febbraio 2024 dalle 9 alle 12. Necessario portare il binocolo,Ambiente,L'Associazione Sos Altissimo di Nago organizza con la collaborazione di Alessandro Marsilli propone un'escursione andata e ritorno con partenza da Torbole (Casa del Dazio) a Riva del Garda (Porto S. Nicolò).Domenica 4 febbraio 2024 dalle 9 alle 12. Necessario portare il binocolo,Lago di Garda,,,"Adulti,Bambini,Famiglie,Giovani",,,,,,,,,,Contatti Associazione SOS Altissimo di Nago,,,,,,,,,,Italiano,0,2,,,,,,,,,,,,,
,,L'Associazione Sos Altissimo di Nago in collaborazione con Alessandro Marsilli organizza una serata  sugli uccelli acquatici del Lago di Garda.Presso ex Colonia Pavese a Torbole giovedì 1 febbraio 2024 alle 20.30,Ambiente,L'Associazione Sos Altissimo di Nago in collaborazione con Alessandro Marsilli organizza una serata  sugli uccelli acquatici del Lago di Garda.Presso ex Colonia Pavese a Torbole giovedì 1 febbraio 2024 alle 20.30,Lago di Garda,,,"Adulti,Bambini,Famiglie,Giovani",,,,,,,,,,Contatti Associazione SOS Altissimo di Nago,,,,,,,,,,Italiano,60,2,,,,,,,,,,,,,
,,L'Associazione SOS Altissimo di Nago organizza in collaborazione con Alessandro Marsilli una serata sui trucchi e strategie della fauna per superare l'invernoPresso ex Colonia Pavese a Torbole alle ore 20.30,Ambiente,L'Associazione SOS Altissimo di Nago organizza in collaborazione con Alessandro Marsilli una serata sui trucchi e strategie della fauna per superare l'inverno.Presso ex Colonia Pavese di Torbole giovedì 25 gennaio alle 20.30,Monte Baldo,,,"Adulti,Famiglie,Giovani",,,,,,,,,,Contatti Associazione SOS Altissimo di Nago,,,Associazione SOS Altissimo di Nago,,,,,,,Italiano,60,2,,,,,,,,,,,,,
,,"Domenica 4 febbraio 2024 alle 16.30 presso l'Oratorio don Bosco di Riva del Garda andrà in scena l'ultimo spettacolo della rassegna &quot,Teatro a gonfie vele&quot,.Bottega Buffa Circovacanti presenta &quot,L'amore delle tre melarance&quot,, appuntamento organizzato e sostenuto dal Comune di Nago-Torbole","Istruzione
Tempo libero
Patrimonio culturale","Domenica 4 febbraio 2024 alle 16.30 presso l'Oratorio don Bosco di Riva del Garda andrà in scena l'ultimo spettacolo della rassegna &quot,Teatro a gonfie vele&quot,.Bottega Buffa Circovacanti presenta &quot,L'amore delle tre melarance&quot,, appuntamento organizzato e sostenuto dal Comune di Nago-Torbole: riuscirà Zane, umile servitore del principe ammalato, a superare gli ostacoli per trovare le tre melarance che lo guariranno? Scopritelo da spettatori al teatro don Bosco di Riva del Garda!",L'amore delle tre melarance,,,"Bambini,Famiglie",,,,,,"Biglietto unico € 4,00, acquistabile a teatro dalle 15.30.",,,,Contatto Compagnia Bottega Buffa Circovacanti,,,,,,,,,,Italiano,0,2,,,,,,,,,,,,,
,,"L'Associazione Sos Altissimo di Nago in collaborazione con Alessandro Marsilli organizza un'escursione andata e ritorno nel bosco di Oltrezengol per osservare, interpretare il paesaggio e immergersi in una benefica terapia forestaleDomenica 24 marzo dalle 9 alle 12. Necessari abbigliamento e calzature da montagna","Ambiente
Tempo libero","L'Associazione Sos Altissimo di Nago in collaborazione con Alessandro Marsilli organizza un'escursione andata e ritorno nel bosco di Oltrezengol per osservare, interpretare il paesaggio e immergersi in una benefica terapia forestaleDomenica 24 marzo dalle 9 alle 12. Necessari abbigliamento e calzature da montagna",Strada nella foresta,,,"Adulti,Giovani",,,,,,,,,,Contatti Associazione SOS Altissimo di Nago,,,,,,,,,,Italiano,0,2,,,,,,,,,,,,,
,,"Il Comitato carnevale Nago organizza con il patrocinio del Comune di Nago-Torbole il Gran carnevale di Nago e la tradizionale Sbigolaa per martedì 13 febbraio 2024.Animazione per bambini con Babydiscoshow di Gnesotto Silvio di TrentoIntrattenimento, giochi e musica per tutti in località Piazzòla a Nago dalle 12.00 alle 18.00In caso di maltempo l'evento sarà recuperato sabato 17 febbraio e in caso di maltempo in questa data il recuperò avverrà domenica 18 febbraio 2024",Tempo libero,"Il Comitato carnevale Nago organizza con il patrocinio del Comune di Nago-Torbole il Gran carnevale di Nago e la tradizionale Sbigolaa per martedì 13 febbraio 2024.Intrattenimento, giochi e musica per tutti in località Piazzòla a Nago dalle 12.00 alle 18.00In caso di maltempo l'evento sarà recuperato sabato 17 febbraio e in caso di maltempo in questa data il recuperò avverrà domenica 18 febbraio 2024",Sbigolaa e Gran Carnevale a Nago,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,,,,,,,https://www.comune.nago-torbole.tn.it/content/download/3062/50394/8/5d77328e-da27-437c-8c23-2033dcc67965-1.pdf,,Contatti Comitato carnevale Nago,,,Comitato Carnevale di Nago,,,,,,,Italiano,0,2,,,,,,,,,,,,,
,,L'Associazione Sos Altissimo di Nago organizza con la presenza di Andrea Ceradini un incontro sugli aspetti meno conosciuti del Monte BaldoGiovedì 29 febbraio 2024 presso Teatro dell'oratorio di Nago alle 20.30,Ambiente,L'Associazione Sos Altissimo di Nago organizza con la presenza di Andrea Ceradini un incontro sugli aspetti meno conosciuti del Monte BaldoGiovedì 29 febbraio 2024 presso Teatro dell'oratorio di Nago alle 20.30,Monte Baldo,,,"Adulti,Giovani",,Oratorio parrocchiale di Nago,,,,,,,,Contatti Associazione SOS Altissimo di Nago,,,,,,,,,,Italiano,0,2,,,,,,,,,,,,,
,,L'Associazione Sos Altissimo di Nago organizza con la collaborazione di Alessandro Marsilli un incontro alla scoperta della comunicazione vegetaleGiovedì 21 marzo presso Teatro dell'oratorio di Nago alle 20.30,Ambiente,L'Associazione Sos Altissimo di Nago organizza con la collaborazione di Alessandro Marsilli un incontro alla scoperta della comunicazione vegetaleGiovedì 21 marzo presso Teatro dell'oratorio di Nago alle 20.30,Strada nella foresta,,,"Adulti,Famiglie,Giovani",,Oratorio parrocchiale di Nago,,,,,,,,Contatti Associazione SOS Altissimo di Nago,,,,,,,,,,Italiano,0,2,,,,,,,,,,,,,
,,"La Sbigolada Torbolana è organizzata dal Comitato Sbigolada Torbolana, presieduto dal Presidente sig. Michele Prandi, con il patrocinio del comune di Nago Torbole.Con la collaborazione del Gruppo Alpini Torbole e dell'Associazione Galeeando.L’evento, rinviato a causa delle cattive condizioni meteo a domenica 18 febbraio, ha luogo nella storica piazza del paese Piazza Goethe. Distribuzione gratuita di spaghetti con olio EVO e sarde di lago con intrattenimento per tutte le età e musica.",Tempo libero,"La Sbigolada Torbolana è organizzata dal Comitato Sbigolada Torbolana, presieduto dal Presidente sig. Michele Prandi, con il patrocinio del comune di Nago Torbole.L’evento tipicamente si svolge durante la domenica di carnevale che nel 2023 corrisponde a domenica 11 febbraio, nella storica piazza del paese Piazza Goethe. Distribuzione gratuita di spaghetti con olio EVO e sarde di lago con intrattenimento per tutte le età e musica.In caso di maltempo l'evento si svolgerà domenica 26 febbraio 2024",Sbigolada torbolana,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,Piazza Goethe,,,,,,https://www.comune.nago-torbole.tn.it/content/download/3060/50352/8/volantino+sbigolada+2024.pdf,,Contatti Comitato sbigolada torbolana,,,Comitato Sbigolada Torbolana,,,,,,,Italiano,0,2,,,,,,,,,,,,,
