remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
b70285d24871b6c59355e0675f20e666,2024-01-26T12:26:26+01:00,2024-01-26T12:26:26+01:00,La tombolata d'inverno,,Raduno di comunità,,,L'Oratorio di Creto organizza la tradizionale tombola d'inverno.,Tempo libero,"Il 27 gennaio alle ore 19:30 l'Oratorio di Creto organizza la tradizionale tombola d'inverno.Per iscriversi è necessario telefonare al (+39) 346 0191047 e versare la quota di Euro 10,00, che comprende due cartelle.",,,,Adulti,,,,,,"Tariffa unica: Euro 10,00",,,,Contatti Ufficio Segreteria,,,,,,,,,,Italiano,0.0,2,,,,,,,
c43de1c1be5492bf61cf3205a40a9d29,2024-02-07T17:50:28+01:00,2024-02-07T18:13:28+01:00,Carnevale in oratorio,,Evento sociale,,,Festa di carnevale per bambini,Tempo libero,Sfilata di carnevale per bambini con partenza dal centro scolastico di Creto e arrivo all'oratorio,Carnevale,,,"Bambini,Famiglie",,,,,,,,https://www.comune.pievedibono-prezzo.tn.it/content/download/2928/37268/3/IMG-20240129-WA0008.jpg,,Contatti oratorio parrocchia,,,,,,,,,,,0.0,2,,,,,,,
284a0e5cd187fba297d79db8b961820a,2024-05-16T17:16:05+02:00,2024-05-16T17:17:28+02:00,Due passi per la pace,,"Evento culturale,Evento sociale",,,Il gruppo campeggio organizza una camminata per il giorno 19 maggio 2024,"Demografia e popolazione
Volontariato
Questioni sociali
Tempo libero","Il gruppo campeggio organizza una camminata podistica non competitiva per il giorno 19 maggio 2024 fra i Comuni di Pieve di Bono-Prezzo e Valdaone. Il ritrovo è previsto a Bersone, dove le iscrizioni sono aperte a partire dalle 13.00, mentre la partenza è fissata per le 14.00.I ricavati della manifestazione andranno in beneficenza per sostenere la Fondazione Fontana Onlus.",Immagine di pace,,,"Adulti,Bambini,Famiglie,Giovani,Anziani",,Bersone - fraz. di Valdaone,,,,"


ragazzi delle elementari/medie 5€

adulti 10€


",,https://www.comune.pievedibono-prezzo.tn.it/content/download/3103/41179/3/locandina.pdf,,Gruppo Campeggio,,,,,,,,,,,0.0,2,,,,,,,
eb99d969bc15a96058cedd2feb4f1106,2024-05-16T16:49:48+02:00,2024-05-16T17:20:44+02:00,La notte GIO EVANe,,"Evento culturale,Evento sociale",,,La notte GIO EVANe per giovani con il cuore per aria e i piedi per terra - 24.05.2024,"Questioni sociali
Politica della gioventù","La notte GIO EVANe per giovani con il cuore per aria e i piedi per terra - Opportunità, riflessioni, iniziative dedicate ai giovani e riconoscimento delle borse di studio dalle 20.30 di venerdì 24 maggio presso Storo E20",immagine di ragazzi,,,Giovani,,Storo E20,,,,,,https://www.comune.pievedibono-prezzo.tn.it/content/download/3106/41257/3/locandina.pdf,,Consorzio B.I.M. del Chiese,,,,,,,,,,,0.0,2,,,,,,,
21cd85a3b9cd0e093ec8a3a101627f2a,2024-06-10T16:34:24+02:00,2024-06-10T16:36:42+02:00,TORNEO EUSALP 6a edizione,,Evento sportivo,,,"L’evento avrà luogo in Val Giudicarie e in Val Rendena, dal 13 al 16 giugno 2024, e vedrà coinvolte otto squadre rappresentative maschili (Friuli-Venezia Giulia, Veneto, Trentino, Alto Adige, Lombardia, Liguria, Piemonte Valle d’Aosta, Baviera).","Tempo libero
Sport","L’evento avrà luogo in Val Giudicarie e in Val Rendena, dal 13 al 16 giugno 2024, e vedrà coinvolte otto squadre rappresentative maschili (Friuli-Venezia Giulia, Veneto, Trentino, Alto Adige, Lombardia, Liguria, Piemonte Valle d’Aosta, Baviera). Il giorno 12 giugno ad ore 17,00 si terrà la cerimonia inaugurale presso l’Auditorium Istituto Guetti a Tione di Trento. Nelle giornate di giovedì 13, venerdì 14 e sabato 15 si giocheranno le partite di qualificazione, domenica 16 giugno le finali. In occasione della suddetta presentazione, verranno sorteggiati i Gironi di qualificazione e verrà quindi formato il calendario.Sarà possibile partecipare a detto evento da remoto collegandosi al seguente link https://lnd.webex.com/lnd/j.php?MTID=m1f12684de52fdcb0dc30efc989cce9cc",Poster EUSALP,,,Giovani,,Palazzo del Municipio,,,,,,https://www.comune.pievedibono-prezzo.tn.it/content/download/3141/42137/2/poster+Eusalp+2024.pdf,,APS Piazza Viva,,,,,,,,,,,0.0,2,,,,,,,
4cb55b1776edad4dd779b9919b44a4ff,2024-06-20T10:29:16+02:00,2024-06-20T10:31:40+02:00,3^ Notturna Castel Romano - Gara di ciclismo,,Manifestazione sportiva,,,"Gara notturna di ciclismo (tipo pista) sul circuito cittadino a Creto, riservata alle categorie femminili","Tempo libero
Sport",3^ edizione notturna di ciclismo Castel Romano sul circuito cittadino a Creto (Pieve di Bono-Prezzo) riservata alle categorie femminili,Notturna C.Romano 21.06.2024,,,"Famiglie,Adulti,Anziani,Giovani,Bambini",,Palazzo del Municipio,,,,,,https://www.comune.pievedibono-prezzo.tn.it/content/download/3144/42188/2/Bici+notturna+C.Romano+21.06.2024.jpeg,,APT Madonna di Campiglio,,,,,,,,,,,0.0,2,,,,,,,
77cddbbc596d509d89bb6f722fc06aad,2024-06-20T11:30:40+02:00,2024-06-20T11:34:38+02:00,Festa della Montagna,,"Evento culturale,Evento sociale",,,Domenica 23 tutti a malga Clef per la quarta edizione della festa della montagna!,"Ambiente
Spazio verde
Tempo libero
Patrimonio culturale
Turismo","Domenica 23 giugno tutti a Malga Clef per la quarta edizione della festa della montagna.Proposta da varie associazioni della zona, quest'anno ci sarà anche la straordinaria partecipazione di alcuni amici della comunità bavarese di Oberhausen!Alle 10.30 si inizia con alzabandiera, S. Messa e onore ai caduti, a seguire pranzo e dalle 14.30 torneo di briscola, indovina il peso del formaggio e pomeriggio in allegria!",Festa della montagna,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,Malga Clef,,,,Pranzo 10€,,https://www.comune.pievedibono-prezzo.tn.it/content/download/3152/42377/3/Festa+della+montagna+23.06.2024.jpeg,,Contatti Pro Loco di Pieve di Bono,,,,,,,,,,,0.0,2,,,,,,,
d5fa1eb904a54097f79fdb9135971759,2024-06-20T10:56:27+02:00,2024-06-20T11:43:53+02:00,Green Volley a Por,,Evento sportivo,,,5^ edizione del torneo di Green Volley 4x4 misto,"Tempo libero
Sport",5^ edizione del torneo di Green Volley 4x4 misto presso il campo sportivo di Por,Green Volley Por 22.06.2024,,,Giovani,,Campo sportivo di Por,,,,"Quota iscrizione: € 70,00 a squadra",,https://www.comune.pievedibono-prezzo.tn.it/content/download/3146/42233/3/Green+Volley+Por+22.06.2024.jpeg,,Gruppo Culturale e Teatrale Por,,,,,,,,,,,0.0,2,,,,,,,
53131f8c5246a03884a032ca720c0906,2024-06-20T15:44:19+02:00,2024-06-20T15:44:19+02:00,Proposte d'Autore 2024 : ERRI DE LUCA,,Evento culturale,,,"Nell'ambito delle Proposte d'Autore 2024 organizzate dal Servizio Bibliotecario Valle del Chiese, il 12 luglio alle ore 21 ERRI DE LUCA presenta il libro &quot,Le regole dello Shangai&quot,.","Tempo libero
Patrimonio culturale","
Lei è una giovane gitana in fuga dalla famiglia per sottrarsi al matrimonio combinato con un uomo anziano, lui è un orologiaio che sta campeggiando sul confine e la accoglie nella propria tenda. L’incontro inaugura un’intesa fatta di dialoghi notturni sugli uomini e sulla vita: lei che crede nel destino, nei segni, nel dio delle cose, lei che addestrava un orso e lo amava come il migliore degli amici, lui si sente un ingranaggio dentro la macchina del mondo e che quel mondo interpreta secondo le regole dello Shangai, come se giocare fosse un modo per mettere ordine nel caos. Un’intesa che durerà a lungo, anche da lontano, e finirà per modificare l’esistenza di entrambi. Erri De Luca si mette su piste poco battute, su vite che si annodano e si sciolgono. Lo fa con una storia densa e lieve, dove
ogni parola schiude significati più profondi, ogni frase è una porta di accesso prima di tutto a sé stessi, e nel farloci invita a un gioco calmo, paziente e lucido, nel quale anche una mossa impercettibile può cambiare il corso della partita.",Erri de Luca 12 luglio,,,"Adulti,Anziani,Famiglie,Giovani",,Centro di Aggregazione Giovanile,,,,,,https://www.comune.pievedibono-prezzo.tn.it/content/download/3166/42647/1/Erri+de+Luca+12+luglio.png,https://www.comune.pievedibono-prezzo.tn.it/ocmultibinary/download/3166/42648/1/3361f72eecdeb09df415e21b9ca594f1.png/file/proposte%2Bd%2527autore%2B2024.png,"Biblioteca Comunale ""Basilio Mosca"" di Pieve di Bono-Prezzo",,,,,,,,,,,0.0,2,,,,,,,
43c6a895e880e1be0f4ace63df4bf778,2024-07-09T16:35:45+02:00,2024-07-10T16:59:39+02:00,Visite guidate alla Pieve di S. Giustina,,Evento culturale,,,Visite guidate alla Pieve di S. Giustina ogni sabato e domenica di LUGLIO ed AGOSTO,"Tempo libero
Patrimonio culturale","VISITE GUIDATE: dalle 14.30 alle 16.00 ogni sabato e domenica di luglio ed agosto più le seguenti date: giovedì 15/08, venerdì 16/08, sabato 07/09 e domenica 01/09LABORATORI per o più piccoli:tariffa visita cappella e cripta: €5,00info e/o prenotazioni 331.8387606",Locandina,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,Pieve di Santa Giustina,,,,"tariffa per la visita alla cappella e alla cripta: €5,00",,https://www.comune.pievedibono-prezzo.tn.it/content/download/3191/43023/2/IMG-20240705-WA0007.jpg,,Comune di Pieve di Bono-Prezzo,,,,,,,,,,,0.0,2,,,,,,,
