remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
d6ab9314b768eb043d5c9108ea0e4cb4,2024-06-09T14:44:08+02:00,2024-07-25T11:19:25+02:00,WeekEnd Estate 2024 - Dialogo dei saperi,,Festival,,,"Dal 7 giugno 2024 al 15 settembre 2024 presso la Cà de la Val a Piazzo di Segonzano ogni fine settimane è possibile visitare le mostre allestite da diversi artisti. Il venerdì, alle ore 18:00 precedente l'apertura della mostra l'artista incontra il pubblico",Tempo libero,"Dal 7 giugno 2024 al 15 settembre 2024 presso la Cà de la Val a Piazzo di Segonzano ogni fine settimane è possibile visitare le mostre allestite da diversi artisti. Il venerdì, alle ore 18:00 precedente l'apertura della mostra l'artista incontra il pubblico",Ca' de la Val,,,"Adulti,Anziani,Giovani",,Ca' de la Val,,,,,,,,Contatti Mattevi Lucia,,,,,,,,,,,0.0,2,,,,,,,
c96bceb871fa88cd077762da5f794486,2024-07-25T11:18:16+02:00,2024-07-25T11:33:19+02:00,Festa dell'anziano,"anziano, festa",Raduno di comunità,,,"Anche quest'anno l'amministrazione comunale in collaborazione con il Gruppo giovani di Segonzano organizza sabato, 3 agosto 2024 a partire dalle ore 11:00, presso il Palaventiccia,  la &quot,Festa dell'anziano&quot,","Questioni sociali
Politica familiare",L'amministrazione comunale in collaborazione con il Gruppo giovani di Segonzano è lieta di invitarvi alla tradizionale &quot,Festa dell'anziano&quot, (over 65) sabato 3 agosto 2024 presso il Palaventiccia.La manifestazione si svolgerà con il seguente programma:ore 11:00 SS. Messaore 12:30 pranzo gratuito per tutti i partecipantiVI ASPETTIAMO NUMEROSI!E' possibile iscriversi entro mercoledì 31 luglio 2024 telefonando al numero 0461/686103 (Comune di Segonzano),Paillettes in colori assortiti,,,Anziani,Anziani over 65,Palaventiccia,,,,,,https://www.comune.segonzano.tn.it/content/download/2734/38372/2/Festa+dell%27anziano+2024.png,,"Contatti Ufficio Demografico, Anagrafe, Elettorale, Commercio ed Esercizi Pubblici e Servizi cimiteriali",,iscrizioni entro mercoledì 31 luglio 2024,Comune di Segonzano,,,,,,,Italiano,0.0,2.0,,,,,
ef7c3ab93a3b7485b3b0a88730dfe262,2024-07-09T15:45:13+02:00,2024-07-09T15:45:13+02:00,La torre di Massimo Lazzeri,,Spettacolo teatrale,,,"La “Compagnia Filodrammatica Don Bosco” di Pergine in collaborazione con la Filodrammatica Nuova Ribalta di Segonzano è lieta di invitarvi allo spettacolo “La Torre”  con musica dal vivo, danze e tanta voglia di farvi rivivere una storia del passato","Tempo libero
Patrimonio culturale","Quanti di noi sono andati a visitare un castello, ritrovandosi con lo sguardo rivolto verso l'alto, ammirandone le mura, le torri, i torrioni per subito dopo viaggiare con la fantasia in storie sconosciute! Storie di lotte, di contese, d'intrecci amorosi, di amori impossibili o non corrisposti, di bimbi che corrono felici e spensierati o che lavorano per un tozzo di pane. E' in questo mondo che vi vogliamo portare, un mondo racchiuso in solide mura di pietra che mute ne conservano le storie e  i loro segreti.Ci troviamo in un castello, abitato da un conte austero e autoritario e dalla sua bella e dolce figlia in attesa di conoscere l'amore. Il seguito starà a voi scoprirlo.",teatro,,,"Adulti,Famiglie,Bambini,Anziani,Giovani",,Castello di Segonzano,,,,"costo biglietto € 10,00",,https://www.comune.segonzano.tn.it/content/download/2705/37462/1/732f761fda8b4d86b6f0fbfb7a2e3ea8.jpg,,Contatti Mattevi Nicoletta,,per prenotazione e informazioni  347 0743147 (Nicoletta),,,,,,,,,40.0,2,,,,,,,
c69a2b4b6d52bfd04da68ed8cd9168e3,2024-07-30T11:57:17+02:00,2024-07-30T11:57:17+02:00,"Festival Contavalle: ""Prego maestro"" - 04/08/2024",,Festival,,,"L’ultima creazione del duo Carlone (leader e frontman della Banda Osiris) e Castellan (musicista e autore di colonne sonore per teatro e cinema) è uno spettacolo di parole, musica, gesti, poesia, divertimento, coinvolgimento. Spettacolo inserito nella VIII edizione di Contavalle (piccola rassegna del ri-esistere). Palaventiccia 04 agosto 2024 ore 21:00",Tempo libero,"
L’ultima creazione del duo Carlone (leader e frontman della Banda Osiris) e Castellan (musicista e autore di colonne sonore per teatro e cinema) è uno spettacolo di parole, musica, gesti, poesia, divertimento, coinvolgimento.
I due polistrumentisti (Sax Soprano, Flauto Traverso, Ocarina, Xaphoon, Pianoforte, Fisarmonica) e cantanti si sfidano e si accompagnano in un tortuoso viaggio tra brani originali e musiche di vari autori, sia reinterpretate (Paoli – Schubert – Bizet – Handel) che totalmente rivisitate (Certe Notti in versione mazurka romagnola, Smoke on the Water latin, Tintarella di luna in giapponese), o inventate di sana pianta. “Prego Maestro” è garanzia di intrattenimento intelligente, di comicità consapevole, di ironia e autoironia, è un ascensore che collega i piani alti della grande musica classica ai paesaggi assolati delle tradizioni popolari e “pop”.Prima dello spettacolo, a partire dalle 19.00 le cucine della Venticcia si attivano: l’Osteria del Grillo propone il suo ottimo APERICENA, per cui è indispensabile la prenotazione al n. 349.9799457.",Contavalle,,,"Adulti,Anziani,Famiglie,Giovani",,Palaventiccia,,,,,,https://www.comune.segonzano.tn.it/content/download/2742/38519/1/Programma_Contavalle-2024.pdf,,Associazione .Doc,,Per maggiori informazioni e per il calendario completo del Festival vai alla pagina https://www.contavalle.it/,,,,,,,,Italiano,0.0,2,,,,,,,
84b3140402c1e7fe0ddfd28774c6ba5a,2024-08-14T14:45:48+02:00,2024-08-14T14:47:33+02:00,Cinema solare itinerante il 17 e il 18 agosto a Segonzano,,Proiezione cinematografica,,,"Un camion allestito &quot,ad hoc&quot,, dotato di un impianto fotovoltaico ed equipaggiato con tutta l'attrezzatura necessaria per trasformare ogni luogo in un cinema sotto le stelle. Ci ritroviamo il 17 agosto 2024 presso il Palaventiccia e il 18 agosto 2024 con &quot,Ortone e il mondo dei chi&quot, presso la Chiesa di Stedro con &quot,La donna elettrica&quot,. Ma non solo .... prima delle proiezioni verranno organizzati laboratori, cene e spettacoli. Leggi di più",Tempo libero,"
Un camion allestito &quot,ad hoc&quot,, dotato di un impianto fotovoltaico ed equipaggiato con tutta l'attrezzatura necessaria per trasformare ogni luogo in un cinema sotto le stelle.
Il progetto Cinema Solare Itinerante, nato in Trentino nell'estate del 2016, mira a riproporre in tutta la sua forza la proiezione cinematografica come occasione per uscire dalle proprie abitudini - e dalle proprie abitazioni - per condividere un racconto, un'emozione, una storia un momento assieme.
La proiezione cinematografica è proposta come punto di partenza per un momento aggregativo.Durante ogni evento vengono organizzate numerose attività che coinvolgono diversi aspetti dello stare insieme: giocare, scambiare, ammirare uno spettacolo di circo contemporaneoEcco il programma completo:sabato 17 agosto 2024dove: loc. Venticcia - Segonzano:dalle ore 18:00 laboratori di piccolo circo con Arterego, giochi e ingegose attività in musica con Diffusodalle ore 19:30 cena a base di hot dogdalle ore 20:30 &quot,Due fratto Uno&quot, spettcolo della compagnia AGAdalle ore 21:15 proiezione &quot,Ortone e il mondo dei Chi&quot, domenica 18 agosto 2024dove: Piazza della Chiesa in frazione Stedro - Segonzanodalle ore 19:00 cena (è gradita la prenotazione al n. 349/3120856)dalle ore 20:30 &quot,Due fratto Uno&quot, spettcolo della compagnia AGAore 21:15 proiezione &quot,La donna elettrica&quot,",cinema solare ,,,"Adulti,Famiglie,Bambini,Anziani,Giovani",,Palaventiccia,,,,entrata libera. Per la cena della domenica è gradita la prenotazione al n. 349/3120856,,https://www.comune.segonzano.tn.it/content/download/2749/38724/2/IMG-20240808-WA0000.jpg,,Contatti Ufficio Segreteria Comunale,,,,,,,,,,Italiano,0.0,2,,,,,,,
bd3f7ba4dbd8eeb5fb9e3ed1e2627f83,2024-08-28T10:38:47+02:00,2024-08-28T10:38:47+02:00,"Dom. 08/09/2024 ore 16:00 ""Album di famiglia. Gli a Prato in sei secoli di storia""",Seminario,Convegno / Conferenza,,,"La Società di Stuti Trentini di Scienze storiche APS in collaborazione con il Centro di Storia regionale di Bressanone, nell'ambito delle iniziative WeekEnd Estate 2024 organizza il seminario &quot,Album di famiglia. Gli a Prato in sei secoli di storia&quot,, domenica 8 settembre 2024 alle ore 16:00 presso l Castello di Segonzano.","Tempo libero
Patrimonio culturale","La Società di Stuti Trentini di Scienze storiche APS, in collaborazione con il Centro di Storia regionale di Bressanone, nell'ambito delle iniziative WeekEnd Estate 2024 organizza il seminario &quot,Album di famiglia. Gli a Prato in sei secoli di storia&quot,, domenica 8 settembre 2024 alle ore 16:00 presso l Castello di Segonzano.ProgrammaGiroldo, il mercante Italo Franceschini, Marco StenicoGiovanni Battista, il dinasta Andrea TomediInnocenzo, lo storico Paolo Dalla TorreSilvio, il vicario Emanuele CurzelAnna, la figura dei tarocchi Massimo NegriGiovanni e i suoi fratelli, ovvero: il prete, il funzionario, il militare Francesca BrunetVicenzo, il conservatore di memorie Stefania FranzoiGiovanni, il traduttore della Bibbia Davide D'AmicoCarlo Emanuele, il giornalista antifascista Michele TossModera il seminario, Katia Occhi.In caso di maltempo il seminario si svolgerà presso l'Auditorium di Scancio",Castello di Segonzano,,,"Adulti,Giovani",,Castello di Segonzano,,,,,,https://www.comune.segonzano.tn.it/content/download/2761/38973/1/Seminario+a+Prato.pdf,,Associazione Sorgente '90,,,,,,,,,,Italiano,0.0,2,,,,,,,
5d4baeaa7a6456825f6c6263e0493da3,2024-08-28T10:09:08+02:00,2024-08-28T10:39:35+02:00,"Dom. 01/09/2024 ore 17:00 ""Arte della Politica e della Amministrazione""",Incontro pubblico,Convegno / Conferenza,,,"&quot,Arte della Politica e della Amministrazione&quot,. Incontro con Lorenzo Dellai politico, Giampaolo Ioriatti dirigente pubblico e Antonio Cassatella giurista docente unitn. Castello di Segonzano, domenica 01/09/2024 ore 17:00 al Castello di Segonzano (in caso di maltempo presso l'auditorium di Scancio ","Politica
Comunicazione istituzionale","Domenica 01/09/2024 ore 17:00 al Castello di Segonzano (in caso di maltempo presso l'auditorium di Scancio. Incontro   &quot,Arte della Politica e della Amministrazione&quot, con Lorenzo Dellai politico, Giampaolo Ioriatti dirigente pubblico e Antonio Cassatella giurista docente unitn, nell'ambito delle iniziative WeekEnd Estate 2024.",Castello di Segonzano,,,Adulti,,Castello di Segonzano,,,,,,https://www.comune.segonzano.tn.it/content/download/2759/38901/2/WeekEnd+Estate+2024+-+Dialogo+dei+saperi+%282%29+%282%29.png,,Associazione Sorgente '90,,,,,,,,,,Italiano,0.0,2,,,,,,,
5ceae88623675f8a9e77867db28d0fa8,2024-09-17T09:45:41+02:00,2024-09-17T12:37:55+02:00,"Dolo-Vini-Miti il festival dei vini verticali, dal 11 al 20 ottobre 2024",,Festival,,,"La bellezza delle Dolomiti della Val di Fiemme e i terrazzamenti vitati della Valle di Cembra, con i suoi 700 chilometri di muretti a secco, sono lo scenario d’eccezione che ospita Dolo-Vini-Miti, il festival dei vini verticali. . Una dieci giorni di eventi e appuntamenti per scoprire meglio questi due territori, la loro storia e le loro caratteristiche ma, soprattutto, le loro produzioni più significative. Protagonisti principali, i vini della Valle di Cembra, spesso definiti come “verticali”.","Tempo libero
Patrimonio culturale
Turismo","Masterclass, trekking gourmet, aperitivi vista Dolomiti, convegni, spettacoli a tema e una folkloristica cena itinerante tra le “caneve”: oltre 20 appuntamenti tra Val di Cembra e Val di Fiemme.La bellezza delle Dolomiti della Val di Fiemme e i terrazzamenti vitati della Valle di Cembra, con i suoi 700 chilometri di muretti a secco, sono lo scenario d’eccezione che ospita Dolo-Vini-Miti, il festival dei vini verticali. Una dieci giorni di eventi e appuntamenti per scoprire meglio questi due territori, la loro storia e le loro caratteristiche ma, soprattutto, le loro produzioni più significative. Protagonisti principali, i vini della Valle di Cembra, spesso definiti come “verticali”. Un concetto che si traduce in tre accezioni: quella paesaggistica, poiché nascono nei vigneti strappati con fatica dall’uomo alle proibitive pendenze della valle, che arrivano fino al 40%, quella della longevità, garantita anche dalla distintiva acidità delle uve che supera brillantemente la prova del tempo anche nelle varietà che altrove vengono consumate giovani, quella della sapidità, figlia di terreni prevalentemente porfirici.In programma masterclass con esperti sommelier provenienti da tutta Italia, il convegno sui paesaggi del vino, una tavola totonda sulle esperienze outdoor e i cammini, spettacoli, il “Wine Trekking Gourmet”, le “Caneve en festa”, ma anche passeggiate con accompagnatori di media montagna alla scoperta di angoli davvero nascosti del territorio, aperitivi con vista Dolomiti, e l’incontro dedicato con i produttori enogastronomici del territorio. A corollario, menù dedicati nei ristoranti delle due valli e iniziative dedicate nelle cantine, oltre all’apertura di un temporary restaurant presso Ca’ dei Volti di Cembra durante i due weekend di manifestazione.Vedi tutto il programma linkIl programma potrebbe subire delle variazioni.Le esperienze e le attività saranno prenotabili a partire da metà settembre. ",Tappi Di Sughero Marroni Sul Bicchiere Da Vino Trasparente,,,"Adulti,Famiglie",,APT Val di Fiemme e Val di Cembra - Ufficio Informazioni di Cembra,,,,Le esperienze e le attività saranno prenotabili a partire da metà settembre. ,,,,APT Val di Fiemme e Val di Cembra - Ufficio Informazioni di Cembra,,,,,,,,,,,0.0,2,,,,,,,
5e2574841d16b464118b46e3858ac073,2024-09-18T17:20:11+02:00,2024-09-18T17:26:02+02:00,Antichi percorsi nei boschi di Segonzano,,Giornata informativa,,,Camminata a passo lento di 10 Km (dislivello 420 mt) dalla Madonna dell'Aiuto a Valcava. Gli accompagnatori racconteranno il territorio attraversato in tutte le sue peculiarità e da diverse prospettive. L'iniziativa sarà a numero chiuso al fine di garantire e offrire ai partecipanti la massima sicurezza e serenità. ,Tempo libero,"La Rete di Riserve Val di Cembra - Avisio organizza un'escursione a piedi dalla Madonna dell'Aiuto alla frazione di Valcava. Gli accompagnatori raccontano il territorio in tutte le sue peculiarità e da diverse prospettive, attraverso una camminata a passo lento, con l'attenzione e il rispetto che l'ambiente merita. L'iniziativa sarà a numero chiuso al fine di garantire e offrire ai partecipanti la massima sicurezza e serenità, permettendo di esplorare il territorio con valore. E' necessario prenotarsi entro 2 giorni prima dell'evento (fino all'esaurimento dei posti&quot, scrivendo a reteriservecembra@gmail.com oppure tramite SMS al n. 340 5607657",Alberi A Foglia Rossa Vicino Alla Strada,,,"Adulti,Bambini,Famiglie,Giovani",,Santuario Madonna dell'Aiuto,,,,,,https://www.comune.segonzano.tn.it/content/download/2813/39983/5/Curiosi+tutto+l%27anno+2024.pdf,,Contatti Rete di Riserve Val di Cembra Avisio,,,,,,,,,,,0.0,2,,,,,,,
4622dc178434e8449f046c8df0f33d8b,2024-10-30T16:44:52+01:00,2024-10-30T16:44:52+01:00,Giornata internazionale contro la violenza sulle donne,,Giornata informativa,,,In occasione della giornata internazionale contro la violenza sulle donne il 22 novembre 2024 alle ore 17:30 presso la Magnifica Comunità di Cavalese (via Scario n. 1) si terrà una serata informativa sul tema,"Diritto
Sicurezza pubblica","In occasione della giornata internazionale contro la violenza sulle donne il 22 novembre 2024 alle ore 17:30 presso la Magnifica Comunità di Cavalese (via Scario n. 1) si terrà una serata informativa sul tema.InterverrannoMARTA LUCHINI e MAURO GILMOZZI (saluti istituzionali)ANTONIO VOTTA (un punto di vista da uomo e padre)FRANCA GAMBERONI (uomini con modi violenti: un cambiamento possibile)COMMISSIONE PARI OPPORTUNITA' COMUNE DI CALLIANO (&quot,...e la violenza è per lei come un dono!&quot,, Ovidio - Ars amatoria)WALTER DEFLORIAN e MARIA ELENA GIANMOENA (presentazione Ass. &quot,Uomini e padri&quot, e &quot,La Voce delle Donne&quot,ANDREA CIRESA (Relazioni e comunicazione)dott.sse MICHELA ZORZI e ELISA RIZZI (presentazione servizi presenti sul territorio)RTO DEI TRE DISTRETTI FAMIGLIA (chiusura evento)LABORATORIO BIMBI &quot,Calciatrice o ballerino ... posso essere chi voglio!&quot,. Caccia al tesoro e letture in base all'età (a cura della Coop. Sociale IL PETTIROSSO. Prenotazione obbligatoria su whatsapp +39 651 8986321",Mani Della Persona,,,"Adulti,Famiglie,Giovani,Anziani",,,46.291669,11.459255,Via Scario 1 38033 Cavalese,,,,,,https://www.comune.segonzano.tn.it/ocmultibinary/download/2842/40884/1/2ad842da661c4da3745c277fcbe6985d.jpg/file/Volantino%2Bserata%2B22.11.2024.jpg,,Cooperativa Sociale Il Pettirosso 3518986321 (tramite Whatsapp),,,,,,,,,,0.0,2.0,,,,,
