remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
8e354760ea617fda068bf83c6f99253f,2024-01-16T11:09:27+01:00,2024-01-16T11:16:54+01:00,Domenica al museo,,Evento culturale,,,Iniziativa che permette di accedere gratuitamente a Castel Stenico,"Tempo libero
Patrimonio culturale
Turismo","Torna anche a Stenico l’appuntamento ogni prima domenica del mese con musei e castelli aperti gratuitamente al pubblico.Trattasi di un' iniziativa promossa del Ministero della Cultura e della Provincia autonoma di Trento grazie alla quale è consentito accedere gratuitamente ai musei, ai parchi archeologici statali e ai castelli provinciali.",,,,"Famiglie,Anziani,Giovani",,,,,,,,,,Contatti Ufficio Segreteria ,,Per ulteriori informazioni https://www.buonconsiglio.it/,,,,,,,,,0.0,2,,,,,,,
2a93c1844a9d570f1bb67fe4de083e56,2024-04-12T10:58:12+02:00,2024-04-12T10:58:12+02:00,DEGUSTENICO,,Giornata aperta,,,"Passeggiata enogastronomica per tutta la famiglia ai piedi delle Dolomiti di Brenta, per conoscere Stenico e le sue frazioni, assaporare i prodotti tipici, per osservare le bellezze di un territorio unico, per divertirsi e per lasciarsi trasportare da musica, animazione, falconieri e vecchi mestieri.","Agricoltura, silvicoltura e pesca
Demografia e popolazione
Economia
Tempo libero
Patrimonio culturale","Una passeggiata enogastronomica per tutta la famiglia ai piedi delle Dolomiti di Brenta, per conoscere Stenico e le sue frazioni, per osservare le mille bellezze di un territorio unico, per divertirsi e per lasciarsi trasportare da musica, animazione, falconieri, vecchi mestieri e dal BAS - un tratto di bosco meraviglioso dove artisti internazionali staranno mettendo i tocchi finali alle loro opere di Arte contemporanea. Percorso lungo circa 9 km percorribili anche con passeggino su strade sterrate ed asfaltate, e vie interne del paese. In brevi punti del percorso è possibile la presenza di automezzi pertanto anche se sorvegliati si raccomanda massima prudenza. Si consiglia abbigliamento sportivo, munirsi di zainetto per inserire bevande personali e quant'altro necessario (ombrello/K-way in caso di pioggia).  ",,,,Famiglie,,Itinerario storico - emozionale,,,,DA DEFINIRE,,,,Contatti Azienda per il Turismo Terme di Comano Dolomiti di Brenta,,,,,,,,,,,0.0,2,,,,,,,
f97353b158cf4accd300923cd3ec4a42,2024-06-03T09:35:20+02:00,2024-06-17T09:37:50+02:00,San Vigilio,,Festa patronale / Festa dei santi,,,"Festa patronale in onore di San Vigilio,  con tantissimi appuntamenti: musica, proposte per bambini e .... piatti tipici !","Agricoltura, silvicoltura e pesca
Ambiente
Demografia e popolazione
Economia
Mercato
Innovazione
Pianificazione del territorio
Questioni sociali
Politica familiare
Tempo libero","La Pro Loco di Stenico organizza la tradizionale sagra di San Viglio nel weekend 22-23 giugno. Per tutta la manifestazione bar, panini e patatine fritte !
Sabato 22 giugno: calcio acquatico + beach volleyDomenica 23 giugno: santa Messa - inaugurazione piazze G.Prati e lungo via Garibaldi e apertura al pubblico nuova sede del Gruppo Alpini di Stenico",,,,"Famiglie,Bambini",,Chiesa di San Vigilio,,,,Piatto tipico dai 10 ai 15 Euro,,,https://www.comune.stenico.tn.it/ocmultibinary/download/1321/31203/2/95a0a563fd164feb972de767805ea41d.JPG/file/San%2BVigilio.JPG,Contatti Azienda per il Turismo Terme di Comano Dolomiti di Brenta,,,,,,,,,,,0.0,2,,,,,,,
424545c02f9b8aabc06e5211904a83ed,2024-06-25T11:50:56+02:00,2024-06-25T11:50:56+02:00,Inaugurazione Teatro Selva di BoscoArteStenico,,Evento culturale,,,Inaugurazione Teatro Selva di BoscoArteStenico del 30.06.2024 ore 16.30,"Ambiente
Spazio verde
Tempo libero",L’amministrazione comunale di Stenico invita la popolazione DOMENICA 30 GIUGNO 2024 ALLE ORE 16.30 in località BoscoArteStenico in occasione dell’inaugurazione del Teatro Selva di BoscoArteStenico,,,,"Adulti,Giovani",,Bosco arte Stenico,,,,,,https://www.comune.stenico.tn.it/content/download/1357/32683/1/Locandina+per+sito.pdf,,Contatti Ufficio Segreteria ,,,,,,,,,,Italiano,0.0,2,,,,,,,
6c4338b5e2d0a7ee57ee7206b109c897,2024-07-02T09:53:02+02:00,2024-07-02T09:53:02+02:00,Festa di santa Margherita,,Festa patronale / Festa dei santi,,,Festa patronale allietata dai Burattini di Stenico,"Demografia e popolazione
Associazioni
Economia
Tempo libero
Turismo",La Pro Loco di Villa Banale organizza la tradizionale sagra di Santa Margherita sabato 13 luglio. Per tutta la manifestazione saranno distribuite caramelle a tutti i bambini.La festa sarà allietata dal gruppo Burattini di Stenico,,,,"Famiglie,Bambini",,Passeggiate da Premione,,,,,,,,Contatti Ufficio Segreteria ,,,,,,,,,,,0.0,2,,,,,,,
a4ac3bd175f5a3ba8345ee274dfe6e49,2024-07-02T16:37:14+02:00,2024-07-02T16:37:14+02:00,Aspettando ET,,"Evento culturale,Dibattito / Dialogo pubblico",,,Appuntamento con l’astrofisico Fabio Peri ,"Ambiente
Tempo libero","Conversazione con l’astrofisico Fabio Peri sui Pianeti abitabili, vita extraterrestre, comunicazione con gli alieni  - musica a tema violino - violoncello - arpa - pianoforte e voce, presso il teatro Selva BoscoArteStenico. In caso di maltempo si terrà presso il maso al Pont",,,,"Famiglie,Bambini,Giovani",,Bosco arte Stenico,,,,,,,https://www.comune.stenico.tn.it/ocmultibinary/download/1362/32855/1/02fdfd0f079c1afb61a82b5203f2cbae.pdf/file/Manif.%2BAspettando%2BET%2BStenico.pdf,Contatti Ufficio Anagrafe - Affari economici,,,,,,,,,,,0.0,2,,,,,,,
5fa9151d8f82b52c4aa40b6c31b18f15,2024-07-18T09:37:11+02:00,2024-07-18T09:37:11+02:00,DiCastelinCastello 2024 - Dell'arte della caccia e falconeria,,"Evento culturale,Evento sportivo",,,"Nei fine settimana (sabato - domenica) dal 3 agosto al 1 settembre della rassegna “dicastelincastello”, al Castello di Stenico Stefano Maffei si esibirà con il falco e le dimostrazioni di addestramento dei volatili. Nel corso della giornata saranno proposte tre esibizioni alle 11.00, alle 14.00 e alle 16.00.","Demografia e popolazione
Tempo libero
Sport","La caccia rappresentava una delle attività predilette dagli ospiti che frequentavano la residenza estiva dei Principi Vescovi trentini. A questo tema saranno ispirate le giornate, che vedranno in primo piano esibizioni di falconieri e dimostrazioni di addestramento dei volatili. I visitatori saranno aiutati a conoscere i rapaci presenti nel nostro territorio, purtroppo a rischio di estinzione a causa della minaccia continua dell’uomo. Le esibizioni si terranno il sabato e la domenica dal 3 agosto al 1° settembre 2024 alle ore 11.00, 14.00 e 16.00 e si svolgerà in un prato assolato, si consigliano le adeguate protezioni, cappello e crema solare.",,,,"Bambini,Famiglie",,Sede Comune di Stenico,,,,Esibizione gratuita previo acquisto del biglietto per il Castello.,,https://www.comune.stenico.tn.it/content/download/1366/32989/1/2024+CSC_diCastelinCastello2024_Stenico_Arte-caccia-e-falconeria_sitoimm800x600.jpg,,Contatti Ufficio Segreteria ,,,,,,,,,,Italiano,0.0,2,,,,,,,
e3fbc691b28df192cc884f666e3de05a,2024-08-07T11:15:15+02:00,2024-08-07T11:15:15+02:00,Ferragosto in malga Ceda,,Evento sociale,,,Il Gruppo Amanti di Malga Ceda invitano tutti alla festa che si terrà in località Malga Ceda giovedì 15 agosto 2024.,Tempo libero,"Vi aspettano numerosi per assaggiare in compagnia un gustoso menù trentino.Per motivi organizzativi si invitano i partecipanti a comunicare entro lunedì 12 agosto la propria adesione, vedi allegato.",,,,"Adulti,Bambini,Famiglie,Giovani",,Malga Ceda,,,,Menù a pagamento,,https://www.comune.stenico.tn.it/content/download/1387/33625/1/ceda.pdf,,Contatti Ufficio Segreteria ,,,,,,,,,,Italiano,0.0,2,,,,,,,
7b043c4d40b7319eaf97ab29625ba5d7,2024-10-23T12:05:37+02:00,2024-10-23T12:05:37+02:00,La fera de San Martin,,"Raduno di comunità,Fiera / Salone",,,"Sabato 9, domenica 10 e lunedì 11 novembre in piazza a Stenico ",Tempo libero,"Sabato 9 novembre in piazza a Stenico cibo e musica dalle 18.00Domenica 10 novembre in piazza a Stenico ore 11.00 Santa Messa, ore 12.30 pranzo, ore 14.00 musica e giochiLunedì 11 novembre in piazza a Stenico dalle ore 9.00 il mercato contadino, le bancarelle de la fera, banco missionario, apertura museo &quot,Par i eri&quot,, dalle ore 12.00 pranzo",,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,,46.052168,10.854089,38070 Stenico,,,Pranzo/Cena a pagamento,,https://www.comune.stenico.tn.it/content/download/1436/34945/1/Screenshot_20241017_085042_Instagram.jpg,,,Pro Loco Stenico,,,,,,,,,,0.0,2.0,,,,,
a84b4648e04155d7aac237fd52ecb6ff,2024-11-04T09:31:53+01:00,2024-11-04T09:31:53+01:00,Arriva Santa Lucia,,Evento sociale,,,Ritrovo con i bambini in attesa di Santa Lucia,"Demografia e popolazione
Tempo libero",In attesa dell'arrivo di Santa Lucia,,,,"Bambini,Famiglie",,,46.048045,10.874577,"Chiesa delle Sante Margherita e Lucia,  Via di Santa Lucia 38077 Stenico",,,,,,,Contatti Ufficio Segreteria ,,,,,,,,,,Italiano,0.0,2.0,,,,,
