name,startData,endDate,location,municipality,lat,lon,organization,guests
Agor  dei Talenti 2024,21/9/24 10.00,21/9/24 19.00,Parco Albere Aldeno ,Aldeno,,,,
Agor   dei Talenti 2024,22/9/24 10.00,22/9/24 19.00,Parco Albere Aldeno ,Aldeno,,,,
Corso di Difesa Personale - Associazione Judo Zen'Yo Destra Adige,12/11/24 19.00,12/11/24 20.30,"Via Martignoni n. 34, Aldeno",Aldeno,45.978.739,11.091.057,Judo Zen'Yo Destra Adige,
Tiramisù 2024,24/2/24,24/2/24,"piazza Dolomiti, Andalo - Rifugio Dosson",Andalo,,,Azienda Per Il Turismo Dolomiti Paganella,
Ginnastica della Mente,29/1/24 15.00,,"Sala al 1° piano, Via Marconi",Avio,,,,
8° edizione Sport e Sapori ,23/5/24,26/5/24,Parco giochi di viale al Parco a Sabbionara,Avio,,,Associazione Pro loco Sabbionara,
Giochiamo ad Avio 2024,14/9/24 15.00,14/9/24 19.00,Parco giochi di Sabbionara,Avio,,,Amministrazione comunale,
Corso di teatro danza inclusivo per bambini/e e ragazzi/e,07/10/24 16.30,,Teatro di Avio,Avio,,,"Collettivo Clochart A.P.S., Amministrazione comunale",
Festa dello sport,,,Polisportiva Besenello,Besenello,,,Comune di Besenello,
Tennis Camp - Estate 2024,,,"Borgo Chiese, Dolomytennis",Borgo Chiese,,,Dolomytennis,
STIVEREST - LA STORIA DI WALTER ANGELINI,16/7/24,16/7/24,Palazzo Eccheli Baisi,Brentonico,,,"Comune di Brentonico, SAT - Società Alpinisti Tridentini, sezione di Brentonico",
SERATA CON L'ALPINISTA MAURIZIO GIORDANI,25/6/24,25/6/24,Palazzo Eccheli Baisi,Brentonico,,,"Comune di Brentonico, SAT - Società Alpinisti Tridentini, sezione di Brentonico",
IO VI ACCUSO. GIACOMO MATTEOTTI E NOI,01/08/24,01/08/24,Palazzo Eccheli Baisi,Brentonico,,,,
GINO BARTALI - EROE SILENZIOSO,,,Cinema Teatro Monte Baldo,Brentonico,,,,
Südtirol - Trentino Junior Cup,20/04/2024,,Centro d'alpinismo Lagorai,Castel Ivano,,,,
Südtirol - Trentino Junior Cup,21/04/2024,,Centro d'alpinismo Lagorai,Castel Ivano,,,,
Revolution Fest,31/05/2024,,Campo da calcio Agnedo,Castel Ivano,,,Unione sportiva Castel Ivano ASD,
Ortigaralefre in festa,02/06/2024,,Campo da calcio Agnedo,Castel Ivano,,,ASD Ortigaralefre,
Corso di arrampicata,12/06/2024,,Centro d'alpinismo Lagorai,Castel Ivano,,,Unione sportiva Villagnedo ASD,
Corso di arrampicata,20/06/2024,,Centro d'alpinismo Lagorai,Castel Ivano,,,Unione sportiva Villagnedo ASD,
Corso di arrampicata,27/06/2024,,Centro d'alpinismo Lagorai,Castel Ivano,,,Unione sportiva Villagnedo ASD,
Corso di arrampicata,04/07/2024,,Centro d'alpinismo Lagorai,Castel Ivano,,,Unione sportiva Villagnedo ASD,
Corso di arrampicata,11/07/2024,,Centro d'alpinismo Lagorai,Castel Ivano,,,Unione sportiva Villagnedo ASD,
L'arte de l'ombrìa. Canti diVersi,,,Campo da calcetto Spera,Castel Ivano,,,,
Festa di inizio estate,13:00,24:00,Centro d'alpinismo Lagorai,Castel Ivano,,,Unione sportiva Villagnedo ASD,
Meet sport 2023,,,Campo da calcio Agnedo,Castel Ivano,,,,
Dolomiti Sky Jazz,,,Baita Tonda Cermis,Cavalese,,,,
Dolomiti Sky Jazz,,,Baita Tonda Cermis,Cavalese,,,,
