sport,name,startDate,address,municipality,guests
Alpinismo,"LIBRI DI SPORT: LA VETTA DELLA VITA
Libri di sport",2024-10-10 17:00:00,"Palazzo Geremia, Via Rodolfo Belenzani 20","Trento, TN",Matteo Della Bordella
Alpinismo,GAZZA CAF,2024-10-11 09:30:00,"Palazzo Benvenuti, Via Rodolfo Belenzani 12","Trento, TN",Davide Magnini
Alpinismo,ANDREA LANFRI: SENZA LIMITI,2024-10-11 15:00:00,"Piazza Santa Maria Maggiore, Piazza Santa Maria Maggiore","Trento, TN",Andrea Lanfri
Alpinismo,CATHERINE DESTIVELLE: UNA VITA IN VERTICALE,2024-10-12 10:00:00,Palazzo della Regione,"Trento, TN",Catherine Destivelle
Alpinismo,DENIS URUBKO: COLPEVOLE D'ALPINISMO,2024-10-12 12:30:00,"Sala Depero, Piazza Dante 15","Trento, TN",Denis Urubko
Apnea,VALENTINA CAFOLLA: APNEA GLACIALE,2024-10-12 18:00:00,"Palazzo Geremia, Via Rodolfo Belenzani 20","Trento, TN",Valentina Cafolla
Arrampicata,MATTEO ZURLONI: SPEED(Y) GONZALES,2024-10-10 15:00:00,"Piazza Santa Maria Maggiore, Piazza Santa Maria Maggiore","Trento, TN",Matteo Zurloni
Arrampicata,ALESSANDRO COLOMBO: TAGLIATO PER VIVERE,2024-10-12 15:00:00,"Piazza Santa Maria Maggiore, Piazza Santa Maria Maggiore","Trento, TN",Alessandro Colombo
Arti Marziali,"ALICE BELLANDI: PARIGI, MON AMOUR",2024-10-10 15:30:00,"Filarmonica, Via Giuseppe Verdi 30","Trento, TN",Alice Bellandi
Arti Marziali,GIOCHI DI SQUADRA,2024-10-12 10:30:00,"Sala Depero, Piazza Dante 15","Trento, TN","Simone Alessio, Monica Contrafatto, Mattia Furlani"
Atletica,GAZZA CAF,2024-10-10 09:30:00,"Palazzo Benvenuti, Via Rodolfo Belenzani 12","Trento, TN","Yeman Crippa, Christian Merli"
Atletica,DALLE OLIMPIADI ALLA MARATONA 42.195 METRI DI EMOZIONI E SOLIDARIET,2024-10-11 11:00:00,"Filarmonica, Via Giuseppe Verdi 30","Trento, TN","Stefano Baldini, Paolo Bellino, Stefano Mei, Chiara Nizzola, Claudia Rocchi"
Atletica,"GANESHAMOORTHY, LEGNANTE E TAPIA LANCI DORO",2024-10-11 12:00:00,Palazzo della Regione,"Trento, TN","Rigivan Ganeshamoorphy, Assunta Legnante, Oney Tapia"
Atletica,BATTOCLETTI E DORIO: NATE PER CORRERE,2024-10-11 14:00:00,"Filarmonica, Via Giuseppe Verdi 30","Trento, TN","Nadia Battocletti, Gabriella Dorio"
Atletica,CARL LEWIS: IL FIGLIO DEL VENTO,2024-10-11 21:00:00,"Auditorium Santa Chiara, Via S. Croce 67","Trento, TN",Carl Lewis
Atletica,GIOCHI DI SQUADRA,2024-10-12 10:30:00,"Sala Depero, Piazza Dante 15","Trento, TN","Simone Alessio, Monica Contrafatto, Mattia Furlani"
Atletica,MATTIA FURLANI: SALTO NEL FUTURO,2024-10-12 12:30:00,"Filarmonica, Via Giuseppe Verdi 30","Trento, TN",Mattia Furlani
Atletica,SIMONELLI E OTTOZ: OLTRE L'OSTACOLO,2024-10-12 19:00:00,Palazzo della Regione,"Trento, TN","Eddy Ottoz, Lorenzo Simonelli"
Atletica,"BEBE VIO GRANDIS PARIS, JE TAIME!",2024-10-13 10:00:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN","Vittoria Bianco, Giuliana Chiara Filippi, Alessandro Sbuelz, Elisa Spediacci, Bebe Vio Grandis"
Atletica,DIAZ E DONATO: TRIPLO SOGNO,2024-10-13 11:30:00,"Sala Depero, Piazza Dante 15","Trento, TN","Andy Diaz, Fabrizio Donato"
Atletica,"CAIRONI, CONTRAFATTO E SABATINI: FRECCE TRICOLORI",2024-10-13 12:30:00,Palazzo della Regione,"Trento, TN","Martina Caironi, Monica Contrafatto, Ambra Sabatini"
Atletica,CROUSER E FABBRI A PESO DORO,2024-10-13 15:30:00,"Sala Depero, Piazza Dante 15","Trento, TN","Ryan Crouser, Leonardo Fabbri"
Automobilismo,"LIBRI DI SPORT: F1 BACKSTAGE
Libri di sport",2024-10-10 15:00:00,"Palazzo Geremia, Via Rodolfo Belenzani 20","Trento, TN",Riccardo Patrese
Automobilismo,VASSEUR E LECLERC: ROSSO FERRARI,2024-10-10 16:45:00,"Auditorium Santa Chiara, Via S. Croce 67","Trento, TN","Charles Leclerc, Frédéric Vasseur"
Automobilismo,KIMI ANTONELLI: CI VEDIAMO IN FORMULA 1,2024-10-11 14:00:00,"Sala Depero, Piazza Dante 15","Trento, TN",Kimi Antonelli
Automobilismo,STEFANO DOMENICALI: MISTER FORMULA 1,2024-10-11 18:00:00,"Filarmonica, Via Giuseppe Verdi 30","Trento, TN",Stefano Domenicali
Automobilismo,BIAGGI E SOMASCHINI: POTENZA E CONTROLLO,2024-10-12 14:00:00,Palazzo della Regione,"Trento, TN","Max Biaggi, Rachele Somaschini"
Automobilismo,"MOTORSPORT ACADEMY, I SEGRETI DELLAERODINAMICA",2024-10-12 16:30:00,"Piazza Dante Beta Officina Motori, Piazza Dante","Trento, TN",Carlo Da Rold
Automobilismo,"MOTORSPORT ACADEMY, IL FUTURO DELLE DUE RUOTE",2024-10-13 15:30:00,"Piazza Dante Beta Officina Motori, Piazza Dante","Trento, TN",Carlo Da Rold
Baseball,LITALIA NEL MITO DELLA MLB,2024-10-11 19:30:00,"Palazzo Geremia, Via Rodolfo Belenzani 20","Trento, TN","Sameul Aldegheri, Faso, Mike Piazza"
Basket,VOLONTARI PER SPORT,2024-10-11 10:00:00,"Sala Depero, Piazza Dante 15","Trento, TN","Bruno Cerella, Franco Ianeselli, Clemente Russo"
Basket,"LIBRI DI SPORT: L'ABC DEL BASKET
Libri di sport",2024-10-11 10:30:00,"Piazza del Duomo, Piazza Del Duomo","Trento, TN",Dan Peterson
Basket,UNALTRA PARTITA COMUNIT IN CAMPO,2024-10-11 17:00:00,"Piazza Fiera, Piazza di Fiera","Trento, TN","Toto Forray, Massimo Komatz, Luigi Longhi"
Basket,"MENEGHIN, SCOLA E GANDINI: IL BASKET CHE CI LEGA",2024-10-11 19:00:00,Palazzo della Regione,"Trento, TN","Umberto Gandini, Dino Meneghin, Luis Scola"
