legalName,address,municipaliy,openingHours,telephone,url
A.S.D. Tennis Darzo,"Via Capitello, 5",Storo,"sunday: 09:00 - 11:59 / 12:00 - 23:00, monday: 09:00 - 11:59 / 12:00 - 23:00, tuesday: 09:00 - 11:59 / 12:00 - 23:00, wednesday: 09:00 - 11:59 / 12:00 - 23:00, thursday: 09:00 - 11:59 / 12:00 - 23:00, friday: 09:00 - 11:59 / 12:00 - 23:00, saturday: 09:00 - 11:59 / 12:00 - 23:00",0465299257,
Circolo Tennis Ledro,"Localit Besta, 1",Ledro,"sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00",3805235139,
Hotel Maroni,"Via Casarino, 1",Ledro,"sunday: 09:00 - 19:00, monday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00",0464508198,
Stickl Sportcamp,"Via Gardesana, 144/B",Malcesine,"sunday: 08:30 - 18:00, monday: 08:30 - 18:00, tuesday: 08:30 - 18:00, wednesday: 08:30 - 18:00, thursday: 08:30 - 18:00, friday: 08:30 - 18:00, saturday: 08:30 - 18:00","0457401697, 0456570988",
kite centergarda lake,"Via Valle dell'Acqua, snc",Malcesine,,3454795705,
Garda Sporting Club Hotel,"Via Antonio Abondio, 7",Riva del Garda,,0464552072,
Altogarda Golf,Localit San Tomaso,Riva del Garda,"sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00",0365643006,
Amici Nuoto Riva,"Viale Rovereto, 45",Riva del Garda,,"3490586660, 0464311398, 0464520078, 3397376737",
Aquafit Societa' Sportiva Dilettantistica a Responsabilita' Limitata,Via San Michele,Idro,,0365823047,
Campo da Calcio,Via Fasse,Limone sul Garda,"sunday: 07:00 - 20:00, monday: 07:00 - 20:00, tuesday: 07:00 - 20:00, wednesday: 07:00 - 20:00, thursday: 07:00 - 20:00, friday: 07:00 - 20:00, saturday: 07:00 - 20:00",0365954008,
Campo Felice Nensi,Via Paina,Malcesine,,,
Campo Pallavolo-Calcetto San Colombano,"Via Maniva, 84",Collio,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",030927213,
Centro sportivo Tione,"Localit Sesena, 5",Tione di Trento,,0465321023,
Circolo Tennis Arco,"Via Pomerio, 11",Arco,"sunday: 09:00 - 19:00, tuesday: 09:00 - 22:30, wednesday: 09:00 - 22:30, thursday: 09:00 - 22:30, friday: 09:00 - 22:30, saturday: 09:00 - 22:30",0464516824,
Circolo Tennis Torbole,"Strada Granda, 67",Nago-Torbole,"sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00",3925442873,
Club Ippico San Giorgio,Localit San Giorgio Arco,Arco,"sunday: 09:00 - 12:00 / 14:00 - 19:00, monday: 09:00 - 12:00 / 14:00 - 19:00, wednesday: 09:00 - 12:00 / 14:00 - 19:00, thursday: 09:00 - 12:00 / 14:00 - 19:00, friday: 09:00 - 12:00 / 14:00 - 19:00, saturday: 09:00 - 12:00 / 14:00 - 19:00",3484438307,
Comune Di Paspardo,Localit Canneto,Paspardo,"sunday: 08:00 - 12:00 / 14:00 - 18:00, tuesday: 08:00 - 12:00 / 14:00 - 18:00, wednesday: 08:00 - 12:00 / 14:00 - 18:00, thursday: 08:00 - 12:00 / 14:00 - 18:00, friday: 08:00 - 12:00 / 14:00 - 18:00, saturday: 08:00 - 12:00 / 14:00 - 18:00",036448025,
Comune di Riva del Garda,"Piazza Contini Maria, 5",Riva del Garda,,0464520078,
Fly2fun Parapendio Biposto,Localit Sottodossi,Malcesine,,3349469757,
Golf Bogliaco,"Via del Golf, 21",Toscolano Maderno,"sunday: 08:00 - 18:30, monday: 08:00 - 18:30, tuesday: 08:00 - 18:30, wednesday: 08:00 - 18:30, thursday: 08:00 - 18:30, friday: 08:00 - 18:30, saturday: 08:00 - 18:30",0365643006,
Immobiliare Amal di Bonardi Stefania e C. S.n.c.,Via San Michele,Idro,,0365823047,
Maneggio H-Cadr,"Via Piave, 84",Ledro,,0464508292,
Nuove Concessioni Sportive Societa' Sportiva Dilettantistica a Responsabilita' Limitata,"Via Repubblica, 17",Gargnano,,0365513179,
Oratorio Bagolino,"Via Parrocchia, 14",Bagolino,"sunday: 18:00 - 22:00, monday: 14:00 - 22:00, tuesday: 18:00 - 22:00, wednesday: 18:00 - 22:00, thursday: 18:00 - 22:00, friday: 18:00 - 22:00, saturday: 18:00 - 22:00","036599108, 3394164273",
Palagarda,"Via San Tommaso, 69",Riva del Garda,,"0464555772, 0464554551",
Parrocchia Paspardo,"Via San Gaudenzio, 14",Paspardo,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",036448018,
Piscina Comunale Arco,"Via Legionari Cecoslovacchi, 14",Arco,,"0464517000, 0464516830",
Piscina Comunale Enrico Meroni,"Piazza Contini Maria, 5",Riva del Garda,,0464520078,
Piscina Idronuoto,Via San Michele,Idro,,0365823047,
Riva S.a.s. di Schneider Wilma e C.,"Viale Tigli, 40",Riva del Garda,,"3292146937, 0464552072",
Societa' Sportiva Dilettantistica Trial Team 3d S.r.l.,"Via Santa Maria, 26",Bienno,,3458450471,
Stadio Rugby,"Via Caduti del Lavoro, 6",Bienno,,036440001,
Tennis Club Associazione Sportiva Dilettantistica,Frazione Santa Croce,Bleggio Superiore,,3342925960,
Tennis Club Collio,Via Federico Bagozzi,Collio,"sunday: 09:00 - 17:00, monday: 09:00 - 17:00, tuesday: 09:00 - 17:00, wednesday: 09:00 - 17:00, thursday: 09:00 - 17:00, friday: 09:00 - 17:00, saturday: 09:00 - 17:00",030927213,
Tennis Club Malcesine,"Via Sommavilla, 12",Malcesine,"sunday: 07:30 - 22:00, monday: 07:30 - 22:00, tuesday: 07:30 - 22:00, wednesday: 07:30 - 22:00, thursday: 07:30 - 22:00, friday: 07:30 - 22:00, saturday: 07:30 - 22:00","3516148134, 0456584136",
Tennisclinic,"Via Belluno, 4",Riva del Garda,,3270808849,
Atletica Alto Garda E Ledro,"Via Pomerio, 9",Arco,"tuesday: 07:00 - 23:59, wednesday: 07:00 - 23:59, thursday: 07:00 - 23:59, friday: 07:00 - 23:59, saturday: 07:00 - 23:59",0464510346,
