legalName,address,municipaliy,openingHours,telephone,url
Zeus Charging Station - Dolomeet,"21 C/O Innovation Center,, LOC. ZONA INDUSTRIALE",Mal,"tuesday: 08:00 - 18:00, wednesday: 08:00 - 18:00, thursday: 08:00 - 18:00, friday: 08:00 - 18:00, saturday: 08:00 - 18:00","0463901272, 3384093792",
Trentino Wild,"Via Gole, 412",Dimaro Folgarida,"sunday: 09:00 - 19:00, monday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00","3402175873, 0463973278",
Campo sportivo comunale di Mal,Localit Molini,Mal,,,
Centro per lo sport e del tempo libero,"Viale Degasperi, 163",Cles,,0463454023,
Flying Park,"Via De Gasperi, 8",Mal,,"3924860806, 0463903033",
Kusch S.n.c. Junior di dalla Tina Maurizio & C.,"Via IV Novembre, 83",Predaia,,"0463536185, 0463538361",
Palaghiaccio Folgarida,"Strada del Roccolo, 24",Dimaro Folgarida,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59","0463986113, 0463986266",
Piscina Acquacenter Val di Sole,"Via alla Croce, 1",Mal,"sunday: 10:00 - 21:00, monday: 10:00 - 21:00, tuesday: 10:00 - 21:00, wednesday: 15:00 - 19:30, thursday: 15:00 - 19:30, friday: 15:00 - 19:30, saturday: 15:00 - 19:30",0463902545,
Stadio del ghiaccio di Mal,"Localit Molin, 4",Mal,,0463901905,
Tennis Centro Val di Non Associazione Sportiva Dilettantistica,"Via Quattro Ville, 3",Ville d'Anaunia,"sunday: 09:00 - 12:00, tuesday: 09:00 - 12:00, wednesday: 09:00 - 12:00, thursday: 09:00 - 12:00, friday: 09:00 - 12:00, saturday: 09:00 - 12:00",3388986749,
Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,"Via Brescia, 88",Dimaro Folgarida,"sunday: 09:00 - 12:00 / 15:00 - 19:00, monday: 09:00 - 12:00 / 15:00 - 19:00, tuesday: 09:00 - 12:00 / 15:00 - 19:00, wednesday: 09:00 - 12:00 / 15:00 - 19:00, thursday: 09:00 - 12:00 / 15:00 - 19:00, friday: 09:00 - 12:00 / 15:00 - 19:00, saturday: 09:00 - 12:00 / 15:00 - 19:00",0463970004,
Noleggio 5 Laghi,"Via Presanella, 10",Pinzolo,"tuesday: 08:30 - 19:00, wednesday: 08:30 - 19:00, thursday: 08:30 - 19:00, friday: 08:30 - 19:00, saturday: 08:30 - 19:00",0465443199,
Scuola Italiana Snowboard Zebra,"Piazza Righi, 5",Pinzolo,"sunday: 08:00 - 12:30 / 15:00 - 20:00, monday: 08:00 - 12:30 / 15:00 - 20:00, tuesday: 08:00 - 12:30 / 15:00 - 20:00, wednesday: 08:00 - 12:30 / 15:00 - 20:00, thursday: 08:00 - 12:30 / 15:00 - 20:00, friday: 08:00 - 12:30 / 15:00 - 20:00, saturday: 08:00 - 12:30 / 15:00 - 20:00",0465442080,
Scuola Italiana Sci 5 Laghi,"Via Presanella, 10",Pinzolo,,"0465440355, 0465441650, 0465443181",
Centro Sportivo Andalo,"Via del Parco, 1",Andalo,"tuesday: 08:00 - 17:00, wednesday: 08:00 - 17:00, thursday: 08:00 - 17:00, friday: 08:00 - 17:00, saturday: 08:00 - 17:00",0461585776,
