legalName,address,municipaliy,openingHours,telephone,url
Scuola Italiana Sci Folgaria,"Localit Francolini, 41",Folgaria,"tuesday: 09:00 - 13:00, wednesday: 09:00 - 13:00, thursday: 09:00 - 13:00, friday: 09:00 - 13:00, saturday: 09:00 - 13:00",0464721926,
Campo da calcio La Pineta di Folgaria,Via De Gasperi,Folgaria,,0464723131,
Centro Ippico Il Salice,"Via Carducci Giosue', 98",Folgaria,,3487842363,
Centro Natatorio Folgaria,"Via Nazioni Unite, 21/B",Folgaria,"sunday: 15:30 - 20:30, monday: 15:30 - 20:30, tuesday: 10:00 - 21:00, wednesday: 10:00 - 21:00, thursday: 10:00 - 21:00, friday: 10:00 - 21:00, saturday: 10:00 - 21:00",0464720058,
Golf Club Folgaria,Localit Maso Spilzi,Folgaria,,0464720480,
Palaghiaccio Palafolgaria,"Via Nazioni Unite, 46",Folgaria,,0464720337,
Palasport di Folgaria,"Via Nazioni Unite, 21/B",Folgaria,,0464720277,
Palaghiaccio Palafolgaria,"Via Nazioni Unite, 46",Folgaria,,0464720337,
Campo Pedemonte,Via Brancafora,Pedemonte,,,
Campo Sportivo Moar,"Frazione Azzolini, 82",Lavarone,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0464783179,
Centro Universitario Sportivo Trento Ass.Sp.Dilettantistica,"Via delle Regole, 101",Trento,"sunday: 09:00 - 18:00, monday: 09:00 - 13:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00",0461944356,
Circolo Ippico Castel Beseno,"Via Morini, 26",Calliano,"sunday: 14:00 - 15:00, monday: 14:00 - 15:00, wednesday: 14:00 - 15:00, thursday: 14:00 - 15:00, friday: 14:00 - 15:00, saturday: 14:00 - 15:00",0464834483,
Circolo Tennis Lavarone A.S.D.,"Frazione Gionghi, 107",Lavarone,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0464724146,
Joyfitness Club,"Localit Acquaviva, 4",Trento,"sunday: 10:00 - 17:00, tuesday: 10:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 10:00 - 22:00, friday: 10:00 - 22:00, saturday: 10:00 - 22:00",3286165313,
Palazzetto dello Sport,"Via Piomarta, 1",Rovereto,,"0464438055, 0464413377",
Palazzetto di Caldonazzo,"Via Marconi, 9",Caldonazzo,"tuesday: 17:00 - 21:00, wednesday: 17:00 - 21:00, thursday: 17:00 - 21:00, friday: 17:00 - 21:00, saturday: 17:00 - 21:00",0461718105,
Alessio Donzella Coach,"Piazza Tridente, 9",Trento,"sunday: 08:30 - 19:00, tuesday: 08:30 - 21:00, wednesday: 08:30 - 21:00, thursday: 08:30 - 21:00, friday: 08:30 - 21:00, saturday: 08:30 - 21:00",393497682763,
Circolo Tennis Trento,"Via Venezia, 41/1",Trento,,3381313658,
Piscina Comunale di Roffo Angelo,"Piazzale degli Alpini, 2",Roana,"sunday: 09:30 - 19:30, monday: 09:30 - 19:30, tuesday: 09:30 - 21:30, wednesday: 09:30 - 21:30, thursday: 09:30 - 21:30, friday: 09:30 - 21:30, saturday: 09:30 - 21:30","3346879265, 3888676170",
Punto Fitness,"Via del Garda, 44 bis",Rovereto,"sunday: 09:30 - 17:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00","3470891264, 0464430908",
Star Club,"Via Unterveger Giambattista, 104",Trento,"sunday: 05:00 - 20:00, monday: 05:00 - 20:00, tuesday: 05:00 - 23:00, wednesday: 05:00 - 23:00, thursday: 05:00 - 23:00, friday: 05:00 - 23:00, saturday: 05:00 - 23:00",0461821284,
2001 S.R.L.,"Via Lungo Leno Destro, 25/B",Rovereto,,0464439377,
Ac Trento 1921 S.r.l.,"Via Roberto da Sanseverino, 41",Trento,,0461524993,
Ala Karting,Localit Chiesurone,Ala,"sunday: 09:00 - 12:00 / 13:30 - 17:00, monday: 09:00 - 12:00 / 13:30 - 17:00, thursday: 09:00 - 12:00 / 13:30 - 17:00, friday: 09:00 - 12:00 / 13:30 - 17:00, saturday: 09:00 - 12:00 / 13:30 - 17:00",3662263776,
Albergatori Tonezza,"Via Campana, 7",Tonezza del Cimone,,3428898244,
Aquila Basket Trento 2013 S.r.l.,"Via Marighetto Ancilla, 28",Trento,,0461419794,
Aquila Basket Trento 2013 S.r.l.,"Via Bolghera, 37",Trento,,0461528417,
Aquila Basket Trento 2013 S.r.l.,"Via Zara, 14",Trento,,0461262253,
Aquila Basket Trento 2013 S.r.l.,"Via Guardini Romano, 42",Trento,,0461439684,
Aquila Basket Trento 2013 S.r.l.,"Via Fersina, 11",Trento,,0461935181,
Aquila Basket Trento 2013 S.r.l.,"Viale della Costituzione, 5",Trento,,0461437435,
Aquila Basket Trento 2013 S.r.l.,"Passaggio Clementel Ezio, 7",Trento,,0461437387,
Aquila Basket Trento 2013 S.r.l.,"Viale Olivetti Adriano, 20",Trento,,"0461527402, 0461525310",
Aquila Basket Trento 2013 S.r.l.,"Via Chini Eusebio, 59",Trento,,"0461916579, 0461931035",
Associazione Equestre Cavalcailvento,Localit Salin,Cavedine,,"3493856899, 0461568267",
Associazione Polisportiva Dilettantistica Kosmos Rovereto,"Via della Roggia, 45",Rovereto,,"0464666600, 3517595860, 3497721742, 0464942281",
