legalName,address,municipaliy,openingHours,telephone,url
Comune di Moena,Piazza De Navalge,Moena,,0462574013,
Dlaondes Canazei,"Via del Piz, 7",Canazei,"monday: 10:00 - 20:00, tuesday: 10:00 - 20:00, wednesday: 10:00 - 20:00, thursday: 10:00 - 22:00, friday: 10:00 - 20:00, saturday: 10:00 - 20:00, sunday: 10:00 - 20:00",0462601348,
Golfclub Carezza,"Via Carezza, 171",Nova Levante,,"3664648302, 04711888167",
Maneggio Happy Ranch,Localit Ischia,Campitello di Fassa,,"3385222653, 0462750472",
Sportiva Hockey Club Fassa - Societa' Sportiva Dilettantistica a Responsabilita' Limitata in Sigla S.H.C. Fassa S.r.l.,"Streda  De Doleda, 8",Canazei,,0462602499,
Tennis Club Moena,Localit Navalge,Moena,"monday: 10:00 - 12:00 / 14:00 - 18:00, tuesday: 10:00 - 12:00 / 14:00 - 18:00, wednesday: 10:00 - 12:00 / 14:00 - 18:00, thursday: 10:00 - 12:00 / 14:00 - 18:00, friday: 10:00 - 12:00 / 14:00 - 18:00, saturday: 10:00 - 12:00 / 14:00 - 18:00, sunday: 10:00 - 12:00 / 14:00 - 18:00",0462574013,
Val di Fassa Golf Club,"Via Dolomiti, 33",Campitello di Fassa,"monday: 09:00 - 12:00 / 13:00 - 18:00, tuesday: 09:00 - 12:00 / 13:00 - 18:00, wednesday: 09:00 - 12:00 / 13:00 - 18:00, thursday: 09:00 - 12:00 / 13:00 - 18:00, friday: 09:00 - 12:00 / 13:00 - 18:00, saturday: 09:00 - 12:00 / 13:00 - 18:00, sunday: 09:00 - 12:00 / 13:00 - 18:00",3356063499,
Impianti Falcade Col Margherita,"Piazzale Molino, 3",Falcade,,0437507044,
Scuola Sci e Snowboard Saslong,"Via Rezia, 10",Ortisei,"monday: 08:00 - 19:00, tuesday: 08:00 - 19:00, wednesday: 08:00 - 19:00, thursday: 08:00 - 19:00, friday: 08:00 - 19:00, saturday: 08:00 - 19:00, sunday: 08:00 - 19:00",0471786258,
Arcieri di Fiemme,Localit Roda,Ziano di Fiemme,,3478579908,
Associazione Pro Loco di Caviola,"Largo Tegosa, 8",Falcade,,0437599441,
Asv Tiers,"Via Georg Strasse, 25",Tires,"monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59, sunday: 00:00 - 23:59",3491404634,
Asv Welschnofen - Sektion Tennis Raiffeisen,"Via Dolomitenstrasse, 26/A",Nova Levante,,0471613273,
Bellenzier Paolo,"Via Mazzarol Sebastiano, 42",Cencenighe Agordino,,0437580184,
Campo di pattinaggio,Via Lago,Tesero,,"0462814064, 0462812358",
Campo ghiaccio naturale,"Via Laghetto, 40",Primiero San Martino di Castrozza,,0439769312,
Demaclenko S.p.a.,"Localita' Gries, 14/B",Chiusa,,0472061601,
El Zerilo Ranch,Localit Stava,Tesero,,"3343535108, 0462814649",
Elikos S.r.l.,"Strada Dantercepies, 16",Selva di Val Gardena,,"3357880149, 3357880150",
Equipe,"Corso Roma, 27",Falcade,,"0437599616, 3285476476, 3485355474, 3407027975",
Federconsorzio Dolomiti Superski,"Strada Arnaria, 43",Castelrotto,,0471795397,
Golf Club Alta Badia,"Via Planac, 9",Corvara in Badia,"monday: 09:00 - 18:00, tuesday: 09:00 - 18:00, wednesday: 09:00 - 18:00, thursday: 09:00 - 18:00, friday: 09:00 - 18:00, saturday: 09:00 - 18:00, sunday: 09:00 - 18:00",0471836655,
Golfclub St. Vigil Seis,"Via San Vigilio, 20",Castelrotto,"monday: 08:00 - 18:00, tuesday: 08:00 - 18:00, wednesday: 08:00 - 18:00, thursday: 08:00 - 18:00, friday: 08:00 - 18:00, saturday: 08:00 - 18:00, sunday: 08:00 - 18:00",0471708708,
Impianti Falcade Col Margherita S.p.a.,"Localita' Pian della Sussistenza, 1",Falcade,,0437599585,
Ippico Fontanelle,"Via Lagorai, 117",Predazzo,,3357057094,
Palazzo della Regione del Veneto,"Via Lungo Lago, 18",Alleghe,,"0437721404, 0437723749",
Piscina Comunale Hallenschwimmbad,"Strada Ninz, 9",Badia,,0471847888,
Progetto Lavaze' S.r.l.,Passo di Lavaze',Ville di Fiemme,,0462230447,
Stadio del Ghiaccio Pranives,"Strada Nives, 17",Selva di Val Gardena,,0471794409,
Tennis Club Ortisei Valgardena,"Via Arnaria, 3",Ortisei,,0471797275,
Weisshorn S.p.a. % Weisshorn A.G.,"Via Obereggen - Eggen, 31",Nova Ponente,,"0471615627, 0471615122, 0471615511",
Zelger Albert S.r.l.,"Localit Stenk,, 6/C",Nova Ponente,,"04711969950, 0471618084",
Zelger Albert,"Localita' Stenk, 6",Nova Ponente,,"04711969950, 0471618084",
Comune di Badia,"Strada Pedraces, 40",Badia,"tuesday: 08:00 - 12:00 / 16:00 - 17:30, wednesday: 08:00 - 12:00, thursday: 08:00 - 12:00 / 16:00 - 17:30, friday: 08:00 - 12:00, saturday: 08:00 - 12:00",0471839642,
