legalName,address,municipaliy,openingHours,telephone,url
Centro Equitazione Alpina Spiado,"Localit Quarazza, 1",Pieve Tesino,,0461594572,
Golf Club Tesino,"Localit Coldan, 11",Pieve Tesino,"sunday: 09:00 - 18:00, monday: 09:00 - 18:00, tuesday: 09:00 - 18:00, wednesday: 09:00 - 18:00, thursday: 09:00 - 18:00, friday: 09:00 - 18:00, saturday: 09:00 - 18:00",3505332726,
Piscina Comunale Pedavena,"Via Dante Alighieri, 1",Pedavena,"sunday: 10:30 - 12:30 / 16:00 - 20:00, monday: 09:00 - 12:00, tuesday: 10:30 - 14:15 / 18:20 - 20:00, wednesday: 06:30 - 08:15, thursday: 10:30 - 14:15 / 19:00 - 21:00, friday: 06:30 - 08:15 / 18:20 - 20:00, saturday: 10:30 - 14:15",0439302061,
Piscina Comunale di Roffo Angelo,"Piazzale degli Alpini, 2",Roana,"sunday: 09:30 - 19:30, monday: 09:30 - 19:30, tuesday: 09:30 - 21:30, wednesday: 09:30 - 21:30, thursday: 09:30 - 21:30, friday: 09:30 - 21:30, saturday: 09:30 - 21:30","3346879265, 3888676170",
Arcieri di Fiemme,Localit Roda,Ziano di Fiemme,,3478579908,
Asd Gioca Sport,"Via Fossi, 12",Primiero San Martino di Castrozza,,"3487465813, 043964707",
Asd Tennis Club Norcen,"Via Antonio Vecelli, 45",Pedavena,"sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00",3880515132,
Associazione Maestri Sci Asiago,"Via Stazione, 1",Asiago,,"3405985746, 3458887347",
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento,"Piazza dalla Chiesa Carlo Alberto, 1",Levico Terme,,"0461708312, 0461708313",
Campo,Via Latifondi,Valbrenta,,,
Campo Da Calcio Regolamentare Mezzano,"Via del Pian, 37",Mezzano,"sunday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00","0439678068, 043962407",
Campo di Golf,Via Ferme,Roncegno Terme,,0461773337,
Campo di pattinaggio,Via Lago,Tesero,,"0462814064, 0462812358",
Centro Equitazione Airone,"Localit Barco, 3",Levico Terme,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",3396768993,
Centro Polisportivo Borgo Valsugana,"Via Giuseppe Gozzer, 52",Borgo Valsugana,"sunday: 09:00 - 21:00, monday: 09:00 - 21:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00",0461753836,
Circolo Tennis Borgo Assoc.Sport.Dilettantistica,"Piazza Mercato, 12",Borgo Valsugana,"sunday: 09:00 - 22:00, monday: 09:00 - 22:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00",0461753711,
Comune di Asiago,"Via Stazione, 1",Asiago,,042464144,
Golf Club Asiago,"Via Meltar, 2",Asiago,,0424462721,
Istituto Canossiane,"Via Monte Grappa, 1",Feltre,,,
Pala Odegar,"Piazza della Stazione, 1",Asiago,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",042464144,
Palaghiaccio di Feltre,Via Le Rive,Feltre,,043981700,
Palaghiaccio Feltreghiaccio,"Via Marconi Guglielmo, 1",Feltre,,043981700,
Palasport Gallio Calcio 5,"Via Roma, 1",Gallio,,,
Panarotta S.r.l.,"Localita' Panarotta, 1",Levico Terme,,3470333532,
Piscina Comunale Pedavena Gestione Ondablu,"1, V. Dante",Pedavena,,0439302061,
Piscina Comunale,"Via Giuseppe Gozzer, 52",Borgo Valsugana,,"0461241833, 0461751227",
Rocco Angelo Gestioni Impianti Sportivi,Via Maggiore,Roana,"sunday: 09:30 - 19:30, monday: 09:30 - 19:30, tuesday: 09:30 - 21:30, wednesday: 09:30 - 21:30, thursday: 09:30 - 21:30, friday: 09:30 - 21:30, saturday: 09:30 - 21:30",0424450154,
Sport e Tempo Libero Societa' Sportiva Dilettantistica S.r.l.,"Via dello Sport, 6",Primiero San Martino di Castrozza,,043962885,
S.S.D. Rari Nantes Valsugana a R.L.,"Corso Ausugum, 22",Borgo Valsugana,,"0461241833, 0461751227",
S.S.D. Rari Nantes Valsugana a R.L.,"Piazza dalla Chiesa Carlo Alberto, 1",Levico Terme,,0461700373,
S.S.D. Rari Nantes Valsugana a R.L.,"Via Trieste, 7",Roncegno Terme,,0461525178,
Tennis Club Asiago,"Via Verdi, 19",Asiago,,3662870953,
Tennis Club Fonzaso,"Via Zucco A., 7",Fonzaso,"sunday: 08:00 - 23:59, monday: 08:00 - 23:59, tuesday: 08:00 - 23:59, wednesday: 08:00 - 23:59, thursday: 08:00 - 23:59, friday: 08:00 - 23:59, saturday: 08:00 - 23:59",04395132,
Tennis Club Pedavena,"Via Sandro Pertini, 24",Pedavena,"sunday: 08:00 - 19:00, monday: 08:00 - 19:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00",0439301888,
