legalName,address,municipaliy,openingHours,telephone,url
Ala Karting,Localit Chiesurone,Ala,"sunday: 09:00 - 12:00 / 13:30 - 17:00, monday: 09:00 - 12:00 / 13:30 - 17:00, thursday: 09:00 - 12:00 / 13:30 - 17:00, friday: 09:00 - 12:00 / 13:30 - 17:00, saturday: 09:00 - 12:00 / 13:30 - 17:00",3662263776,
Palafonte,"Piazza Giovanni XXIII, 7",Ala,,"0464672883, 3338386367, 0464671261, 3470021458, 0464670205",
Piscina di Ala,Piazza Giovanni XXIII,Ala,"sunday: 09:00 - 20:00, monday: 09:00 - 20:00, tuesday: 09:00 - 21:30, wednesday: 09:00 - 21:30, thursday: 09:00 - 21:30, friday: 09:00 - 21:30, saturday: 09:00 - 21:30",0464672682,
Tennis Club Ala Associaz.Sport.Dilettantistica,"Via dei Mille, 6",Ala,"sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00",3403758921,
Stickl Sportcamp,"Via Gardesana, 144/B",Malcesine,"sunday: 08:30 - 18:00, monday: 08:30 - 18:00, tuesday: 08:30 - 18:00, wednesday: 08:30 - 18:00, thursday: 08:30 - 18:00, friday: 08:30 - 18:00, saturday: 08:30 - 18:00","0457401697, 0456570988",
Scuola Italiana Sci Folgaria,"Localit Francolini, 41",Folgaria,"tuesday: 09:00 - 13:00, wednesday: 09:00 - 13:00, thursday: 09:00 - 13:00, friday: 09:00 - 13:00, saturday: 09:00 - 13:00",0464721926,
Punto Fitness,"Via del Garda, 44 bis",Rovereto,"sunday: 09:30 - 17:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00","3470891264, 0464430908",
kite centergarda lake,"Via Valle dell'Acqua, snc",Malcesine,,3454795705,
Impianto Sportivo,"Via Riboli, 8",Schio,"sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00",0445524165,
Palaghiaccio Comunale,Via Vinco D.,Bosco Chiesanuova,"sunday: 10:00 - 12:00 / 17:00 - 19:00 / 21:00 - 23:00, monday: 10:00 - 12:00 / 15:30 - 17:00 / 17:30 - 19:00, tuesday: 10:00 - 12:00 / 17:00 - 19:00 / 21:00 - 23:00, wednesday: 10:00 - 12:00 / 17:00 - 19:00 / 21:00 - 23:00, thursday: 10:00 - 12:00 / 17:00 - 19:00 / 21:00 - 23:00, friday: 10:00 - 12:00 / 17:00 - 19:00 / 21:00 - 23:00, saturday: 10:00 - 12:00 / 17:00 - 19:00",0457050698,
