remoteId,published,modified,Titolo,"Titolo breve",Immagine,Descrizione,"Locandina dell'evento",Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,"Tipologia evento","Manifestazione cui fa parte",Associazione,Progressivo,Sottotitolo,Orario,lat,lon,address,Fonte
a8272fdbf60110233774961a38e2676d,2019-07-01T08:59:56+02:00,2019-07-01T08:59:56+02:00,"SEMINARIO ARTI MARZIALI KIAIDO",,,"SEMINARIO ARTI MARZIALI KIAIDO
Categoria: Sport e Outdoor Località: Cinte TesinoOrganizza:
Accademia Fu Dou Shin
Info:Monaco Buddista Seiun tel. 392 0318142",,2019-07-07T10:00:00+02:00,,"dal 6 al 7 luglio 2019",,,,,,,,,,"Evento singolo",,,,,,0,0,,
f5a988c81c0de47529ac236bf34db902,2019-07-01T08:59:16+02:00,2019-07-01T08:59:16+02:00,"SEMINARIO ARTI MARZIALI KIAIDO",,,"SEMINARIO ARTI MARZIALI KIAIDO
Categoria: Sport e Outdoor Località: Cinte TesinoOrganizza:
Accademia Fu Dou Shin
Info:Monaco Buddista Seiun tel. 392 0318142",,2019-07-06T10:00:00+02:00,,"Dal 6 luglio 2019 al 7 luglio 2019",,,,,,,,,,"Evento singolo",,,,,,0,0,,
cfbee537d5014b546a4d73e63ef70734,2019-07-01T08:56:16+02:00,2019-07-01T08:56:16+02:00,"Tesino in festa con i pompieri",,,"
Tre giorni di festa con stand gastronomico, musica e balli
Teatro Tenda di Cinte Tesino
Venerdì e sabato a partire dalle ore 18Domenica a partire dalle ore 10",,2019-07-07T10:00:00+02:00,,"dal 5 al 7 luglio 2019",,"Teatro tenda centro sportivo",,,,,,,,"Evento singolo",,,,,,0,0,,
09f891e8359f31462071af4060722c6d,2019-07-01T08:55:01+02:00,2019-07-01T08:55:01+02:00,"Tesino in festa con i pompieri",,,"
Tre giorni di festa con stand gastronomico, musica e balli
Teatro Tenda di Cinte Tesino
Venerdì e sabato a partire dalle ore 18Domenica a partire dalle ore 10",,2019-07-06T18:00:00+02:00,,"dal 5 al 7 luglio 2019",,"Teatro tenda del centro sportivo",,,,,,,,"Evento singolo",,,,,,0,0,,
ce9058e9f6020396dc7747a753dfb2f3,2019-07-01T08:51:14+02:00,2019-07-01T08:51:14+02:00,"Tesino in festa con i Pompieri",,,"
Tre giorni di festa con stand gastronomico, musica e balli
Teatro Tenda di Cinte Tesino
Venerdì e sabato a partire dalle ore 18Domenica a partire dalle ore 10",,2019-07-05T18:00:00+02:00,,"dal 5 al 7 luglio 2019",,"Teatro Tenda del centro sportivo",,,,,,,,"Evento singolo",,,,,,0,0,,
8c18eb83a1d8f34c17c14e729769e04b,2019-07-01T08:49:46+02:00,2019-07-01T08:49:46+02:00,"Tesino in festa con i pompieri","Tesino in festa con i pompieri",,"
Tre giorni di festa con stand gastronomico, musica e balli
Teatro Tenda di Cinte Tesino
Venerdì e sabato a partire dalle ore 18Domenica a partire dalle ore 10",,2019-07-05T18:00:00+02:00,,,"dal 5 al 7 luglio 2019","Teatro tenda del centro sportivo",,,,,,,,Manifestazione,,,,,,0,0,,
9f51573382063d92ef207648f626163c,2019-02-27T08:46:18+01:00,2019-02-27T08:46:18+01:00,"INCONTRA MARZO 2019","INCONTRA MARZO 2019",/var/cintetesino/storage/images/territorio/eventi-e-manifestazioni2/incontra-marzo-2019/31076-1-ita-IT/INCONTRA-MARZO-2019.jpg,"Tradizionale momento di festa con il quale i ragazzi passando attraverso le vie del centro abitato con campanacci vari annunciano l'arrivo del mese che segna la fine dell'inverno e l'inizio della bella stagione.",,2019-02-28T20:00:00+01:00,2019-02-28T22:00:00+01:00,"2 ore","28 febbraio 2019","Cinte Tesino - centro abitato",,,,,,,,"Evento singolo",,,,,,0,0,,
7dc66f393a7f4058bbcac024130b1e48,2016-01-20T09:19:47+01:00,2016-01-20T09:20:53+01:00,"Festa dell'uva",,/var/cintetesino/storage/images/territorio/eventi-e-manifestazioni2/festa-dell-uva/19151-1-ita-IT/Festa-dell-uva.jpg,"La festa dell'uva si svolge dal 1950...",,2016-01-20T20:00:00+01:00,2016-01-21T21:00:00+01:00,"2 giorni","20 e 21 gennaio",,,,,,,,,"Evento singolo",,,,,,0,0,,
6da9c77ea228fff92f585a4be9bd2f0c,2019-02-19T08:17:49+01:00,2019-02-19T08:20:49+01:00,"Festa di carnevale 2019",,/var/cintetesino/storage/images/territorio/eventi-e-manifestazioni2/festa-di-carnevale-20192/30761-2-ita-IT/Festa-di-carnevale-2019.jpg,"sabato 23 febbraio 2019, presso il piazzale antistante il magazzino dei vigili del Fuoco di Cinte Tesino, TRADIZIONALE BIGOLADA, con inizio alle ore 12.30.Il pomeriggio sarà allietato  da musica e balli, animati dal DJ GIGI",,2019-02-23T12:30:00+01:00,2019-02-23T21:30:00+01:00,9,"23 febbraio 2019","Cinte Tesino - piazzale antistante magazzino vigili del fuoco - via del Moleta",,,,,,,,"Evento singolo",,,,,,0,0,,
6872b27eaa56f3a2a74e9e165e0391b1,2019-02-19T08:16:59+01:00,2019-02-19T08:16:59+01:00,"Festa di carnevale 2019",,/var/cintetesino/storage/images/territorio/eventi-e-manifestazioni2/festa-di-carnevale-2019/30736-1-ita-IT/Festa-di-carnevale-2019.jpg,"sabato 23 febbraio 2019 presso PIAZZALE ANTISTANTE MAGAZZINO POMPIERI di CINTE TESINO TRADIZIONALE BIGOLADA, con inizio alle ore 12.30Il pomeriggio sarà allietato da musica e balli a cura del DJ GIGIOrganizza Comitato Sabo grasso    ",,2019-02-23T12:30:00+01:00,2019-02-23T21:30:00+01:00,9,"23 febbraio 2019","Cinte Tesino - piazzale antistante magazzino Vigili del Fuoco - via del Moleta",,,,,,,,Manifestazione,,,,,,0,0,,
95bbabb87fdd0495a3aa1bb5b5e25d9b,2019-02-19T08:13:01+01:00,2019-02-19T08:13:01+01:00,"Festa carnevale 2019",,/var/cintetesino/storage/images/territorio/eventi-e-manifestazioni2/festa-carnevale-2019/30711-1-ita-IT/Festa-carnevale-2019.jpg,"Il Comitato Sabo grasso organizza sabato 23 febbraio 2019 presso il PIAZZALE ANTISTANTE MAGAZZINO POMPIERI di CINTE TESINO la TRADIZIONALE BIGOLADA con inizio alle ore 12.30. Seguiranno nel pomeriggio MUSICA E BALLI con DJ GIGI   ",,2019-02-23T12:30:00+01:00,2019-02-23T22:00:00+01:00,9,"23 febbraio 2019","Cinte Tesino - piazzale antistante magazzino dei Vigili del Fuoco",,,,,,,,Manifestazione,,,,,,0,0,,
2e41acaad1987b9ce4b8b1fc3273ef98,2019-02-19T07:47:35+01:00,2019-02-19T07:47:35+01:00,"Nuovi bandi Leader - incontro di presentazione",,/var/cintetesino/storage/images/territorio/eventi-e-manifestazioni2/nuovi-bandi-leader-incontro-di-presentazione/30686-1-ita-IT/Nuovi-bandi-Leader-incontro-di-presentazione.jpg,"
INCONTRO DI PRESENTAZIONE
GIOVEDÌ 28 FEBBRAIO 2019, ORE 20.30
Sala Rossa della Comunità di Valle Valsugana e TesinoPiazzetta Ceschi n. 1, Borgo Valsugana
PROGRAMMA DELL’INCONTRO
✓ INTERVENTO DI FRANCESCO GUBERT (DOTT. AGRONOMO ED ESPERTO IN FILIERE ZOOTECNICHE) “LA VALORIZZAZIONE DELLE PRODUZIONI AGRICOLE ATTRAVERSO LE FILIERE CORTE”
✓ ILLUSTRAZIONE DI DETTAGLIO DEI NUOVI BANDI 2019 A FAVORE DELLE IMPRESE AGRICOLE
✓ TESTIMONIANZE DI IMPRESE GIÀ BENEFICIARIE DEI FONDI LEADERLA SERATA È APERTA A TUTTA LA POPOLAZIONE",,2019-02-28T20:30:00+01:00,2019-02-28T23:30:00+01:00,"3 ore","28 febbraio 2019","Borgo Valsugana - Sala Rossa della Comunità Valsugana e Tesino",,,,,,,,"Evento singolo",,,,,,0,0,,
50ca096a07b3d94650c7ceb22dba0f1c,2019-01-22T14:17:38+01:00,2019-01-22T14:25:53+01:00,"Sessione forestale anno 2018","Sessione forestale 2018",,"Si porta a pubblica conoscenza che il giorno 6 febbraio 2019 alle ore 8.00 avrà luogo la sessione forestale sia per la prima che per la seconda parte boschiva.Si invitano tutti gli interessati a presentare relativa domanda per:


assegnazione legname uso interno per costruzioni

assegnazione piantine di rimboschimento da parte dei privati

autorizzazioni di taglio di boschi privati (legname uso legna)

esercizio di pascolo bovino, caprino ed ovino nei boschi comunali


Poiché tutte le domande devono essere vagliate dall’apposita commissione, si invitano gli interessati a volere fare richiesta scritta al Comune entro e non oltre il 4 febbraio 2019.",,2019-02-06T08:00:00+01:00,2019-02-06T10:00:00+01:00,"2 ore","6 febbraio 2019","Sala consiliare del Municipio di Cinte Tesino",,,,,,,,"Evento singolo",,,,,,0,0,,
