remoteId;published;modified;Titolo;"Titolo breve";Immagine;Descrizione;"Locandina dell'evento";Inizio;Termine;Durata;Quando;Dove;Informazioni;Destinatari;Costi;Stato;Materia;Circoscrizione;Argomento;"Tipologia evento";"Manifestazione cui fa parte";Associazione;Progressivo;Sottotitolo;Orario;lat;lon;address;Fonte
a3efd7c4ed780f550553c799e1489cad;2018-02-23T11:02:16+01:00;2018-02-23T11:02:16+01:00;"Cena per donne";;/var/nave/storage/images/il-territorio/eventi-dal-territorio/cena-per-donne/131318-1-ita-IT/Cena-per-donne.jpg;"Una cena per sole donne per festeggiare la festa della donna! A partire dalle 19.30 vi aspettiamo all'Oratorio di Nave San Rocco per una serata in allegria! Possono partecipare anche le bambine ma è necessario che siano accompagnate da un'adulta. Ricordiamo che è necessario essere tesserati! Per maggiori info visitare la pagina Facebook dell'Oratorio di Nave San Rocco.";;2018-03-08T19:30:00+01:00;2018-03-08T23:00:00+01:00;;"Giovedì 08 marzo 2018";"Presso l'Oratorio di Nave San Rocco";;;;;;;;"Evento singolo";;;;;"Dalle ore 19.30";0;0;;
d67f7c8d28c0581a2ca36340c3891470;2018-02-05T13:09:19+01:00;2018-02-05T13:09:46+01:00;"Carnevale a Nave San Rocco";;/var/nave/storage/images/il-territorio/eventi-dal-territorio/carnevale-a-nave-san-rocco/129963-2-ita-IT/Carnevale-a-Nave-San-Rocco.jpg;"Vi aspettiamo a Nave San Rocco per una gustosa pasta al ragù, accompagnata da grostoli caserecci! Il tutto sarà perfezionato dall'armonia della musica della Banda e da tanta animazione con musica per bambini e adulti! La sfilata del carro, i coriandoli, insomma tantissimi motivi per passare al carnevale!";;2018-02-10T14:00:00+01:00;2018-02-10T18:00:00+01:00;;"Sabato 10 febbraio 2018";"Piazza San Rocco";;;;;;;;"Evento singolo";;;;;"Dalle ore 14";0;0;;
e3ee5154b06880b11c2c10aa3b3c10fe;2017-06-20T13:53:07+02:00;2017-06-20T13:53:07+02:00;"Uscita Rafting a Vicenza";;/var/nave/storage/images/il-territorio/eventi-dal-territorio/uscita-rafting-a-vicenza/113593-1-ita-IT/Uscita-Rafting-a-Vicenza.jpg;"L'Oratorio di Nave San Rocco organizza un'uscita rafting per i ragazzi delle medie e superiori!";"http://www.comune.navesanrocco.tn.it/content/download/8592/113595/1/RAFTING 26 GIUGNO ORATORIO.pdf";2017-06-26T07:15:00+02:00;2017-06-26T20:00:00+02:00;;"Lunedì 26 giugno 2017";"Solagna di Vicenza";"Maggiori informazioni possono essere richieste a Davide Pederzolli al numero 3401297207 dopo le 19.00Obbligo Tessera NOI";;"37 € a ragazzo";;;;;"Evento singolo";;;;;;0;0;;
f9112665bbf0f1591b064bcf41a52cf1;2017-06-14T10:53:29+02:00;2017-06-14T10:56:16+02:00;"La Domenica alla Naf'n Festa";;/var/nave/storage/images/il-territorio/eventi-dal-territorio/la-domenica-alla-naf-n-festa/113248-1-ita-IT/La-Domenica-alla-Naf-n-Festa.jpg;"Pomeriggio dedicato ai più piccoli con la Cooperativa AM.IC.A: truccabimbi, animazione per passare uno stupendo pomeriggio in compagnia a partire dalle ore 15.00!Poi tutti i bimbi in pista con la Baby Dance a cura dell'Oratorio dalle 17 alle 18!Dalle 20 alle 21.30 pista in mano agli amanti del Ballo liscio!A seguire: Curly Frog and the Blues Bringers, un sound blues per salutare l'estate e concludere la Naf'n Festa!";;2017-06-18T15:00:00+02:00;2017-06-18T17:00:00+02:00;;"Domenica 18 giugno 2017";;;;;;;;;"Evento singolo";;;;;"Dalle ore 15.00";0;0;;
59eae8a6844c8b0b1de6c37370386af6;2017-06-14T10:49:39+02:00;2017-06-14T10:49:39+02:00;"Torneo Calcio A3";;/var/nave/storage/images/il-territorio/eventi-dal-territorio/saturday-dance-night/torneo-calcio-a3/113223-1-ita-IT/Torneo-Calcio-A3.jpg;"Il primo torneo A3 presso il parco urbano di Nave San Rocco riaperto recentemente!Iscriviti con i tuoi amici per una giornata all'insegna dllo sport e del divertimento!";;2017-06-18T10:00:00+02:00;2017-06-18T19:00:00+02:00;;"Domenica 18 giugno 2017";"Parco Urbano di Nave San Rocco";"Per iscriverti contatta Gerry al 347-4436315";;"Squadra minimo 3 componenti massimo 5 --> 20€";;;;;"Evento singolo";;;;;"Dalle ore 10";46.167531;11.1106;"maccani, Nave San Rocco, Trentino-Alto Adige, 38010, Italia";
101a2f6c18f7362c8902af3f7f6f90f4;2017-06-14T10:34:14+02:00;2017-06-14T10:34:14+02:00;"Saturday Dance Night ";;/var/nave/storage/images/il-territorio/eventi-dal-territorio/saturday-dance-night/113188-1-ita-IT/Saturday-Dance-Night.jpg;"La saturday Dance night vede protagonisti Roby and Dimi, che ci faranno ballare tutti i più grandi successi, e a seguire tutti in pista con Dj Set by Ale Cocca!";;2017-06-17T22:00:00+02:00;2017-06-18T02:00:00+02:00;;"Sabato 17 giugno 2017";;;;;;;;;"Evento singolo";;;;;"Dalle ore 22.00";0;0;;
a27065b79b4f68188e8d8c22fce55204;2017-06-14T10:27:30+02:00;2017-06-14T10:28:04+02:00;"Rock'n Metal Night";;/var/nave/storage/images/il-territorio/eventi-dal-territorio/rock-n-metal-night/113163-2-ita-IT/Rock-n-Metal-Night.jpg;"Musica live con Friends of Misery, Metallica Tribute BandA seguire: Creedence Clearwater Remakee poi si chiude con Servan!";;2017-06-16T22:00:00+02:00;2017-06-17T01:00:00+02:00;;"Venerdì 16 giugno";"Palco presso Piazza del Municipio";"Porta con te la tua voglia di scatenarti!";;;;;;;"Evento singolo";;;;;"Dalle ore 22.00";0;0;;
8068e2e15a49c99e3fa5558e75d0c2a5;2017-06-14T10:17:56+02:00;2017-06-14T10:17:56+02:00;"INAUGURAZIONE Naf'n Festa";;/var/nave/storage/images/il-territorio/eventi-dal-territorio/inaugurazione-naf-n-festa/113138-1-ita-IT/INAUGURAZIONE-Naf-n-Festa.jpg;"La The Nautilus Band allieterà l'inaugurazione della Naf'n Festa!NON MANCARE!!";;2017-06-16T18:45:00+02:00;2017-06-16T19:00:00+02:00;;"Venerdì 16 giugno";;;;"Entrata gratuita";;;;;"Evento singolo";;;;;;0;0;;
fe7d841535e5716ce9b08147393f265d;2017-06-14T10:10:31+02:00;2017-06-14T10:10:31+02:00;"Nave Corsa...ra";;/var/nave/storage/images/il-territorio/eventi-dal-territorio/nave-corsa-ra/113088-1-ita-IT/Nave-Corsa-ra.jpg;"Una corsa per tutta la famiglia! ";;2017-06-18T09:30:00+02:00;2017-06-18T17:00:00+02:00;;"Domenica 18 giugno";"Partenza da Piazza del Municipio ";"Bambini sotto i 3 anni --&gt; gratuiti8,00 € tutte le altre età";;;;;;;"Evento singolo";;;;;"Dalle ore 09.30";0;0;;
2b26443d132a3511bdd527edb1d89de8;2017-06-14T09:53:45+02:00;2017-06-14T09:53:45+02:00;"Spettacolo della Filodrammatica San Rocco";;/var/nave/storage/images/il-territorio/eventi-dal-territorio/spettacolo-della-filodrammatica-san-rocco/113013-1-ita-IT/Spettacolo-della-Filodrammatica-San-Rocco.jpg;"Uno spettacolo inedito tutto per voi! Sabato 17 giugno alle ore 20.45, ti aspettiamo!";;2017-06-17T20:45:00+02:00;2017-06-17T22:00:00+02:00;;"Sabato 17 giugno 2017";"Palco presso la Naf'n Festa";;;"Entrata gratuita";;;;;"Evento singolo";;;;;"Alle 20.45";0;0;;
