remoteId,published,modified,Titolo,"Titolo breve",Immagine,Descrizione,"Locandina dell'evento",Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,"Tipologia evento","Manifestazione cui fa parte",Associazione,Progressivo,Sottotitolo,Orario,lat,lon,address,Fonte
0a9261898b69d614b2a38d1724236192,2017-08-21T21:15:00+02:00,2017-08-11T13:37:41+02:00,"Concerto della Bozen Brass",,/var/soraga/storage/images/territorio/informazioni-utili/eventi-e-manifestazioni2/concerto-della-bozen-brass/143038-1-ita-IT/Concerto-della-Bozen-Brass.jpg,,,2017-08-21T21:15:00+02:00,,,"Lunedì 21 agosto ","La Gran Ciasa ore 21.15",,,,,,,,"Evento singolo",,,,,,0,0,,
85cd9cc0d58f7220931595166a2dcfec,2017-08-21T17:00:00+02:00,2017-08-11T13:36:01+02:00,"Visita guidata",,/var/soraga/storage/images/territorio/informazioni-utili/eventi-e-manifestazioni2/visita-guidata16/143013-1-ita-IT/Visita-guidata.jpg,"Visita guidata alle Chiese di Soraga di Fassa",,2017-08-21T17:00:00+02:00,,,"lunedì 21 agosto ore 17.00","ritrovo Chiesa Parrochiale",,,,,,,,"Evento singolo",,,,,,0,0,,
8f015ad9167b703061b507f4ee1f8771,2017-08-20T10:00:00+02:00,2017-08-11T13:35:30+02:00,"A pe' ta monte",,/var/soraga/storage/images/territorio/informazioni-utili/eventi-e-manifestazioni2/a-pe-ta-monte/142988-1-ita-IT/A-pe-ta-monte.jpg,"Passeggiata nella conca di Fuchiade con percorso gastronomico",,2017-08-20T10:00:00+02:00,,,"Domenica 20 agosto tutto il giorno","Loc. Fuchiade",,,,,,,,"Evento singolo",,,,,,0,0,,
5234c221cab12bdcedbee46ef488fa0b,2017-08-18T21:15:00+02:00,2017-08-11T13:33:42+02:00,"Concerto Banda Pozza di Fassa",,/var/soraga/storage/images/territorio/informazioni-utili/eventi-e-manifestazioni2/concerto-banda-pozza-di-fassa/142963-1-ita-IT/Concerto-Banda-Pozza-di-Fassa.jpg,,,2017-08-18T21:15:00+02:00,,,"Venerdì 18 agosto ore 21.15","Piaza Cioch - in caso di maltempo presso La Gran Ciasa",,,,,,,,"Evento singolo",,,,,,0,0,,
52b3b04fda084378329c562ce31ba5db,2017-08-17T20:30:00+02:00,2017-08-11T13:29:33+02:00,"Baby dance",,/var/soraga/storage/images/territorio/informazioni-utili/eventi-e-manifestazioni2/baby-dance19/142938-1-ita-IT/Baby-dance.jpg,"Musica e balli per bambini",,2017-08-17T20:30:00+02:00,,,"giovedì 17 agosto ore 20.30","La Gran Ciasa",,,,,,,,"Evento singolo",,,,,,0,0,,
81b83c70be6db7adf4abedca3be4b066,2017-08-17T15:30:00+02:00,2017-08-11T13:28:38+02:00,"Oltre la festa",,/var/soraga/storage/images/territorio/informazioni-utili/eventi-e-manifestazioni2/oltre-la-festa6/142913-1-ita-IT/Oltre-la-festa.jpg,"Pomeriggio di animazioni per bambini",,2017-08-17T15:30:00+02:00,,,"giovedì 17 agosto","Parco giochi di Soraga dalle 15.30 fino alle 18.00",,,,,,,,"Evento singolo",,,,,,0,0,,
e92d1f81c783a9ff1b7570252762068d,2017-08-16T21:00:00+02:00,2017-08-11T13:27:52+02:00,"Fuochi d'artificio",,/var/soraga/storage/images/territorio/informazioni-utili/eventi-e-manifestazioni2/fuochi-d-artificio2/142888-1-ita-IT/Fuochi-d-artificio.jpg,,,2017-08-16T21:00:00+02:00,,,"Mercoledì 16 agosto ore 21.00","lago di Soraga",,,,,,,,"Evento singolo",,,,,,0,0,,
2443fcd2a13488d2fa73e03dd046970d,2017-08-14T17:00:00+02:00,2017-08-11T13:26:40+02:00,"Visita guidata",,/var/soraga/storage/images/territorio/informazioni-utili/eventi-e-manifestazioni2/visita-guidata15/142863-1-ita-IT/Visita-guidata.jpg,"Visita guidata alle Chiese di Soraga di Fassa",,2017-08-14T17:00:00+02:00,,,"lunedì 14 agosto ore 17.00","ritrovo Chiesa Parrochiale",,,,,,,,"Evento singolo",,,,,,0,0,,
6a3fa244203b63fb43f6e7a201c74fe5,2017-08-13T10:00:00+02:00,2017-07-31T14:47:14+02:00,"Set mases",,/var/soraga/storage/images/territorio/informazioni-utili/eventi-e-manifestazioni2/set-mases3/142375-1-ita-IT/Set-mases.jpg,"marcia non competitiva attraverso i sette masi originari del paesepranzo alpino e musica",,2017-08-13T10:00:00+02:00,,,"Domenica 13 agosto ore 10.00","Vischia de Sach - Lago di Soraga di Fassa",,,,,,,,"Evento singolo",,,,,,0,0,,
fdca2d6954ca6260b4f5ddf25ae1d0bd,2017-08-12T21:15:00+02:00,2017-07-31T14:47:42+02:00,"Sfilata e Concerto Gruppo Musicale Orione Borgonuovo Val Tidone - Piacenza",,/var/soraga/storage/images/territorio/informazioni-utili/eventi-e-manifestazioni2/sfilata-e-concerto-gruppo-musicale-orione-borgonuovo-val-tidone-piacenza/142350-1-ita-IT/Sfilata-e-Concerto-Gruppo-Musicale-Orione-Borgonuovo-Val-Tidone-Piacenza.jpg,"Esibizione gruppo musicale",,2017-08-12T21:15:00+02:00,,,"sabato 12  agosto ore 21.15","Piaza Cioch",,,,,,,,"Evento singolo",,,,,,0,0,,
5695cf64ac2f9be4ca7d5957d84ece95,2017-08-11T21:15:00+02:00,2017-07-31T14:43:23+02:00,"Esibizione Gruppo Folkloristico",,,"Esibizione del Gruppo Folkloristico di Montagna (BZ)",,2017-08-11T21:15:00+02:00,,,"venerdì 11 agosto  ore 21.15","Piaza Cioch",,,,,,,,"Evento singolo",,,,,,0,0,,
