remoteId,published,modified,Titolo,"Titolo breve",Immagine,Descrizione,"Locandina dell'evento",Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,"Tipologia evento","Manifestazione cui fa parte",Associazione,Progressivo,Sottotitolo,Orario,lat,lon,address,Fonte
99a576be3a8a6680b694e3cd06a87097,2018-11-14T15:25:13+01:00,2018-11-14T15:25:13+01:00,"FESTA DELL'AMBIENTE","un luogo mille colori...",/var/valfloriana/storage/images/territorio/eventi-e-manifestazioni2/un-luogo-mille-colori/70288-1-ita-IT/un-luogo-mille-colori.jpg,"TITOLO: Un luogo mille colori. Festa dell’ambiente in Val di FiemmeÈ in programma domenica 18 novembre 2018, a partire dalle ore 15:00, l’evento “Un luogo mille colori”: un’occasione per festeggiare l’ambiente e riflettere ancora una volta sul cambiamento climatico.Sono i comuni di Castello-Molina di Fiemme, Capriana e Valfloriana, che da anni portano avanti azioni di sensibilizzazione e partecipazione della cittadinanza al tema, ad invitare tutta la cittadinanza presso sala Tisti, a Molina di Fiemme, in via segherie.Un tema, quello dal cambiamento climatico, che oggi sembra ancora più attuale, del quale si parla, ma dove la sensibilizzazione e l’informazione non sono mai abbastanza. Perché di cose da sapere ce ne sono sempre tante e proprio durante la giornata di domenica 18 novembre i cittadini potranno informarsi e partecipare.Una festa pensata per tutti: famiglie, bambini, interessati e non, curiosi. Un programma serrato che vuole stimolare il dibattito e la riflessione. Si parte alle ore 15:00 con le attività “Uso che ti (ri)uso”- laboratori creativi per bambini sul tema natalizio, “La bolletta un mistero” - alla scoperta del risparmio energetico e dell’energia green, con tavoli di confronto e lettura partecipata della bolletta, “L’erba del vicino” - il cambiamento climatico coinvolge tutti, scopriamo come si comportano gli altri attraverso il racconto di “buone pratiche” dall’Italia e dal Mondo, “Alternativa a chi?!” – testDrive di mobilità elettrica.Alle 16:00 sarà poi la volta di premiare i partecipanti all’omonimo concorso fotografico, per poi passare ad un momento di cinema. Alle 17:00 partirà infatti, sempre presso sala Tisti, la proiezione del film “Before the flood – Punto di non ritorno” – prodotto nel 2016 dal National Geographic in collaborazione con Leonardo DiCaprio: un viaggio in cinque continenti e nell'Artico per divulgare il futuro dei cambiamenti climatici.La proiezione del film sarà anticipata dalla visione del cortometraggio “Una semplice giornata” realizzato dai ragazzi di Castello-Molina di Fiemme per sensibilizzare i concittadini al tema.Ovviamente, proprio nel bel mezzo della giornata, un momento di merenda conviviale.e amministrazioni invitano quindi tutti a partecipare. Perché fare la propria parte nella lotta al cambiamento climatico è, oggi più che mai, necessario!","http://www.comune.valfloriana.tn.it/content/download/6363/70290/1/Senza titolo.png",2018-11-18T15:00:00+01:00,2018-11-18T22:00:00+01:00,,"domenica 18.11.2018","Sala Tisti - Via Segherie 48 Molina di Fiemme",,,,,,,,"Evento singolo",,,,,"15:00 - 22:00",46.272613,11.41745,"Predaia, Castello-Molina di Fiemme, Comunit&agrave, territoriale della Val di Fiemme, TN, Trentino-Alto Adige, 38033, Italia",
47ab443f159cc4667a8c200531e42796,2018-10-24T14:05:08+02:00,2018-10-24T14:08:07+02:00,"COME FARE IMPRESA IN UNA PICCOLA VALLE DI MONTAGNA",,/var/valfloriana/storage/images/territorio/eventi-e-manifestazioni2/come-fare-impresa-in-una-piccola-valle-di-montagna/69610-1-ita-IT/COME-FARE-IMPRESA-IN-UNA-PICCOLA-VALLE-DI-MONTAGNA.png,"
Una serata per aprire nuove opportunità, stimolare riflessioni attraverso storie imprenditoriali di aziende che dalla Val di Fiemme hannoraggiunte posizioni di rilievo nel loro segmento, nonostante - o grazie - alle sfide di questo territorio montano.
LORENZO DELLADIO (LA SPORTIVA SPA)
RICCARDO FELICETTI (PASTIFICIO FELICETTI SPA)
MARCO FELICETTI (FIEMME3000 SRL)
MARISA ZENI (EUROSTANDARD SRL)GIANNI MISCONEL (MISCONEL SRL)

    locandina pdf
",,2018-11-08T20:30:00+01:00,2018-11-08T23:30:00+01:00,,"Giovedì 8.11.2018","Palazzo Magnifica Comunità di Fiemme",,,,,,,,"Evento singolo",,,,,,0,0,,
394a41983cd248368c19305f60f3e110,2018-10-23T17:22:55+02:00,2018-10-23T17:22:55+02:00,"15^ rassegna teatrale","ONESTI SE NASSE.... FURBI SE DEVENTA DI LOREDANA CONT",/var/valfloriana/storage/images/territorio/eventi-e-manifestazioni2/onesti-se-nasse-furbi-se-deventa-di-loredana-cont/69585-1-ita-IT/ONESTI-SE-NASSE-FURBI-SE-DEVENTA-DI-LOREDANA-CONT.png,"Anni di crisi economica che coinvolge le famiglie. Gisella è casalinga, Bruno è in mobilità e il fglio Franco torna ad abitare in famiglia dopo la separazione. Per problemi di soldi anche Loretta, la sorella di Gisella, va a vivere da loro. In casa è ospite Mary, una signora eccentrica, facoltosa, simpatica che mangia e beve ma non paga e che è corteggiata da Vittorio in cerca di una moglie benestante. Si cerca di sopravvivere alla crisi escogitando qualcosa per avere più entrate, ma non è facile.Sembra che, in conclusione, a volte essere furbi può dare buoni risultati, a volte no... ",,2018-10-27T20:30:00+02:00,2018-10-27T23:30:00+02:00,"3 ORE","sabato 27.10.2018","teatro comunale Valfloriana",,,,,,,,"Evento singolo","Circolo Culturale Valfloriana - 15^ Rassegna teatrale",,,,,0,0,,
d147b8395705823caa4f22d9881d68fc,2018-10-12T10:21:04+02:00,2018-10-12T10:25:18+02:00,"Elezioni provinciali 2018 - Avviso apertura uffici comunali","Elezioni provinciali 2018 - Avviso apertura uffici comunali",/var/valfloriana/storage/images/territorio/eventi-e-manifestazioni/elezioni-provinciali-2018-avviso-apertura-uffici-comunali/69150-1-ita-IT/Elezioni-provinciali-2018-Avviso-apertura-uffici-comunali.jpg,"

    AVVISO
",,2018-10-11T10:18:00+02:00,2018-10-22T23:00:00+02:00,,,"SEDE COMUNALE",,,,,,,,"Evento singolo","ELEZIONI PROVINCIALI 21.10.2018 - cambio sede seggio elettorale Valfloriana",,,,,0,0,,
f2d9ad38051fb23141c12cb0586a670a,2018-10-12T10:14:35+02:00,2018-10-12T10:25:52+02:00,"ELEZIONI PROVINCIALI 21.10.2018","ELEZIONI PROVINCIALI 21.10.2018 - cambio sede seggio elettorale Valfloriana",/var/valfloriana/storage/images/territorio/eventi-e-manifestazioni/elezioni-provinciali-21.10.2018-cambio-sede-seggio-elettorale-valfloriana/69123-1-ita-IT/ELEZIONI-PROVINCIALI-21.10.2018-cambio-sede-seggio-elettorale-Valfloriana.jpg,"

    AVVISO
",,2018-10-12T10:11:00+02:00,2018-10-22T18:00:00+02:00,"2 GIORNI","21-22 OTTOBRE 2018","SCUOLA ELEMENTARE CASATTA 18/A",,,,,,,,"Evento singolo",,,,,,0,0,,
74931ef633a6e2a2dc98735d77cbba04,2018-07-19T15:00:44+02:00,2018-07-19T15:00:44+02:00,"""Qua no son miga en Merica.... qua""","Commedia teatrale a cura dei bambini della scuola elementare Casatta",/var/valfloriana/storage/images/territorio/eventi-e-manifestazioni/commedia-teatrale-a-cura-dei-bambini-della-scuola-elementare-casatta/67057-1-ita-IT/Commedia-teatrale-a-cura-dei-bambini-della-scuola-elementare-Casatta.png,"INGRESSO CON OFFERTA LIBERA, IL RICAVATO SARA’ DEVOLUTO ALL’ASSOCIAZIONE “ALE4m” ",,2018-07-27T20:30:00+02:00,,"2 ore","27 luglio 2018","Teatro comunale Casatta - Valfloriana",,,,,,,,"Evento singolo",,,,,,0,0,,
a34e03a0725c65f1f07d6528f65fadc8,2018-05-15T16:15:06+02:00,2018-05-15T16:32:30+02:00,"E' TEMPO DI AGIRE PER IL NOSTRO TERRITORIO","Incontro pubblico relativo all'efficientamento e risparmio energetico ",/var/valfloriana/storage/images/territorio/eventi-e-manifestazioni/incontro-pubblico-relativo-all-efficientamento-e-risparmio-energetico/65502-1-ita-IT/Incontro-pubblico-relativo-all-efficientamento-e-risparmio-energetico.jpg,"Continua l’impegno delle amministrazione di Castello-Molina di Fiemme, Capriana e Valfloriana, nell’informare e sensibilizzare i cittadini al risparmio energetico e all’assunzione di uno stile di vita consapevole e attento.",,2018-05-15T16:00:00+02:00,2018-05-22T23:00:00+02:00,,"21 e 22 maggio 2018","Teatro Parrocchiale Capriana  e Sala anziani Valfloriana",,,,,,,,"Evento singolo",,,,,,0,0,,
8ce00ff27f75eefab676c8f21d7ee5f4,2018-05-14T21:35:32+02:00,2018-05-15T16:32:51+02:00,"TORNEO DI PALLAVOLO",,/var/valfloriana/storage/images/territorio/eventi-e-manifestazioni/torneo-di-pallavolo/65457-1-ita-IT/TORNEO-DI-PALLAVOLO.png,"Aperte le iscrizioni per il torneo di pallavolo.. una giornata in compagnia da concludersi con la cena al RIstorante Villaggio.",,2018-05-15T14:00:00+02:00,2018-05-20T23:30:00+02:00,,"19 maggio 2018","Campetto multisport Villaggio",,,,,,,,"Evento singolo",,,,,,0,0,,
38169125f3bfd0726c82f74c15865328,2018-05-14T21:31:37+02:00,2018-05-15T16:32:01+02:00,"ASSEGNAZIONE LEGNA DI PARTE",,/var/valfloriana/storage/images/territorio/eventi-e-manifestazioni/assegnazione-legna-di-parte/65432-1-ita-IT/ASSEGNAZIONE-LEGNA-DI-PARTE.png,"Raccolta domande &quot,legna de part&quot, direttamente al custode forestale.",,2018-05-12T10:00:00+02:00,2018-05-25T18:00:00+02:00,"Fino al 25 maggio",,Valfloriana,,,,,,,,"Evento singolo",,,,,,0,0,,
3a84abf3abc99f4b4481a7366241dda1,2020-01-10T10:04:29+01:00,2020-01-10T10:04:29+01:00,"SESSIONE FORESTALE 2020",,/var/valfloriana/storage/images/territorio/eventi-e-manifestazioni2/sessione-forestale-2020/83058-1-ita-IT/SESSIONE-FORESTALE-2020.jpg,"Le Sessioni forestali assumono la valenza di riunioni pubbliche nel corso del quale di da conto dell'attività dell'annata trascorsa, si programmano gli interventi futuri, ci si confronta e si discute sulle problematiche di carattere forestale e ambientale di interesse.Si allegano i moduli per le richieste di assegno di piante da parte di privati ed il modulo richiesta assistenza tecnica progetti di taglio 020 (da consegnare il giorno della Sessione For.le o far pervenire al più presto all'Ufficio Distretturale di Cavalese tramite il Custode Paolo Pedron)",,2020-01-15T17:00:00+01:00,2020-01-15T19:00:00+01:00,2,"Mercoledì 15 gennaio 2020","Sala consiliare Comune di Valfloriana",,,,,,,,"Evento singolo",,,,,,0,0,,
