remoteId,published,modified,Titolo,"Titolo breve",Immagine,Descrizione,"Locandina dell'evento",Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,"Tipologia evento","Manifestazione cui fa parte",Associazione,Progressivo,Sottotitolo,Orario,lat,lon,address,Fonte
7dc66f393a7f4058bbcac024130b1e48,2016-01-20T09:19:47+01:00,2016-01-20T09:20:53+01:00,"Festa dell'uva",,/var/vallarsa/storage/images/territorio/eventi-e-manifestazioni2/festa-dell-uva/19151-1-ita-IT/Festa-dell-uva.jpg,"La festa dell'uva si svolge dal 1950...",,2016-01-20T20:00:00+01:00,2016-01-21T21:00:00+01:00,"2 giorni","20 e 21 gennaio",,,,,,,,,"Evento singolo",,,,,,0,0,,
5f926c1fc90180f222ec84f36d24db94,2016-06-09T11:53:50+02:00,2016-06-09T11:53:50+02:00,"Torneo di calcio dei 5 Comuni ",,,,,2016-06-12T09:00:00+02:00,2016-06-12T11:00:00+02:00,,,"Casae- Campo Sportivo ",,,,,,,,"Evento singolo",,,,,,45.780413,11.123314,"raossi, Vallarsa , Trentino-Alto Adige, 38060, Italia",
f84f2cb21bd56d0d3537a0badf1056ff,2016-06-09T11:52:03+02:00,2016-06-09T11:52:31+02:00,"Torneo di calcio a 7 femminile ",,,,http://www.comune.vallarsa.tn.it/content/download/2580/30062/2/US_Vallarsa_torneo_calcio_femminile_12-06-16.pdf,2016-06-12T09:00:00+02:00,2016-06-12T18:00:00+02:00,,,"Casae - Campo Sportivo ",,,,,,,,"Evento singolo",,,,,,45.780274,11.123528,"raossi, Vallarsa , Trentino-Alto Adige, 38060, Italia",
9912e2f62415ef587b8aac90cfc3437a,2016-06-09T11:50:14+02:00,2016-06-09T11:50:14+02:00,"Mostra scambio Militaria",,,,,2016-06-12T09:00:00+02:00,2016-06-12T18:00:00+02:00,,,"Forte Maso ",,,,,,,,"Evento singolo",,,,,,45.768885,11.146435,"maso, Vallarsa , Trentino-Alto Adige, 38060, Italia",
a919fa59f68407db327d9062bc90ba81,2016-06-09T11:49:04+02:00,2016-06-09T11:49:04+02:00,"Cinema Du Desert ",,,,,2016-06-10T20:30:00+02:00,2016-06-10T22:30:00+02:00,,,,,,,,,,,"Evento singolo",,"Elementare ",,,,45.818139,11.092776,"Valmorbia, Vallarsa , Trentino-Alto Adige, 38060, Italia",
d4b65d5670c5958288db2b8e5793b804,2016-06-06T11:14:09+02:00,2016-06-06T11:14:09+02:00,"Notturna al Rifugio Lancia ",,,,"http://www.comune.vallarsa.tn.it/content/download/2395/27077/1/notturna lancia.pdf",2014-02-08T17:00:00+01:00,2014-02-09T15:00:00+01:00,,,"Rifugio Lancia ",,,,,,,,"Evento singolo",,,,,,45.82731,11.144719,"rifugio lancia, Italia",
40cb1acd8f48240a823f0df96f78311f,2016-06-06T11:11:39+02:00,2016-06-06T11:11:39+02:00,"Presentazione corso Krav Maga ",,,,"http://www.comune.vallarsa.tn.it/content/download/2394/27052/1/presentazione Krav Maga.pdf",2014-02-26T20:00:00+01:00,2014-02-26T22:00:00+01:00,,,"Località Casae- Raossi ",,,,,,,,"Evento singolo",,,,,,45.780394,11.123314,"raossi, Vallarsa , Trentino-Alto Adige, 38060, Italia",
c9703f041ea70a17367100a8238f31b8,2016-06-06T11:10:29+02:00,2016-06-06T11:10:29+02:00,"Gara di slittino ",,,,"http://www.comune.vallarsa.tn.it/content/download/2393/27027/1/gara slittino 9-3-14.pdf",2014-03-09T10:00:00+01:00,2014-03-09T15:00:00+01:00,,,"Magna&Bevi ",,,,,,,,"Evento singolo",,,,,,0,0,,
f0f7d8e7b6ac2961db5ce295214a3c03,2016-06-06T11:04:36+02:00,2016-06-06T11:04:36+02:00,"Inizio corso di autodifesa Krav Maga ",,,,,2014-03-05T20:00:00+01:00,2014-03-05T22:00:00+01:00,,,"Località Casae - Raossi di Vallarsa ",,,,,,,,"Evento singolo",,,,,,45.780342,11.123378,"raossi, Vallarsa , Trentino-Alto Adige, 38060, Italia",
1decb442e0642340e44b1cb554f3bfb2,2016-06-06T11:03:15+02:00,2016-06-06T11:03:15+02:00,"Festa al Pian ",,,,"http://www.comune.vallarsa.tn.it/content/download/2391/26977/1/VOLANTINO FESTA DEL PIANO.pdf",2014-05-25T12:00:00+02:00,2014-05-25T18:00:00+02:00,,,,,,,,,,,"Evento singolo",,,,,,0,0,,
2ebe62fab33223853c879798bb533453,2016-06-06T11:02:07+02:00,2016-06-06T11:02:07+02:00,"I giochi di una volta ",,,,http://www.comune.vallarsa.tn.it/content/download/2390/26952/1/US_Vallarsa_giochi_di_una_volta_31-05-14.pdf,2014-05-31T14:30:00+02:00,2014-05-31T17:30:00+02:00,,,"Località Casae- Raossi di Vallarsa ",,,,,,,,"Evento singolo",,,,,,45.780402,11.123614,"raossi, Vallarsa , Trentino-Alto Adige, 38060, Italia",
c9044f360e578469fd3006bd47d36dbe,2016-06-06T11:00:56+02:00,2016-06-06T11:00:56+02:00,"Torneo calcio e pallavolo ",,,,"http://www.comune.vallarsa.tn.it/content/download/2389/26927/1/US_Vallarsa 14e15-06-14.pdf",2014-06-14T14:00:00+02:00,2014-06-15T14:00:00+02:00,,,"Località Casae - Raossi di Vallarsa ",,,,,,,,"Evento singolo",,,,,,45.780383,11.12325,"raossi, Vallarsa , Trentino-Alto Adige, 38060, Italia",
e6c92a20c4b9ce63905641f6be435d5b,2016-06-06T10:58:52+02:00,2016-06-06T10:58:52+02:00,"Sui sentieri della Grande Guerra in MTB ",,,,http://www.comune.vallarsa.tn.it/content/download/2388/26902/1/US_Vallarsa_sentieri_GG_MTB_26e27-07-14.pdf,2014-07-26T09:00:00+02:00,2014-07-27T20:00:00+02:00,,,"Vallarsa ",,,,,,,,"Evento singolo",,,,,,45.798526,11.11139,"Vallarsa , Trentino-Alto Adige, 38060, Italia",
3450d48edbdc3fcfad99fac746299e72,2016-06-06T10:28:00+02:00,2016-06-06T10:28:00+02:00,"Aperitivo musicale ",,,,"http://www.comune.vallarsa.tn.it/content/download/2387/26877/1/aperitivo musicale.pdf",2014-06-27T19:00:00+02:00,2014-06-27T21:00:00+02:00,,,"Biblioteca comunale di Raossi ",,,,,,,,"Evento singolo",,,,,,45.782653,11.118858,"raossi, Vallarsa , Trentino-Alto Adige, 38060, Italia",
89367a7eb9729f690988fb8ae9a24449,2016-06-06T10:27:08+02:00,2016-06-06T10:27:08+02:00,"Camminata e gemellaggio cimbro ",,,,"http://www.comune.vallarsa.tn.it/content/download/2386/26852/1/camminata &amp, gemellaggio.pdf",2014-06-28T06:00:00+02:00,2014-06-28T21:00:00+02:00,,,"Camposilvano ",,,,,,,,"Evento singolo",,,,,,45.759366,11.144219,"camposilvano, Vallarsa , Trentino-Alto Adige, 38060, Italia",
c8583d0d410bdfaf4acb3671af4b4edb,2016-06-06T10:11:50+02:00,2016-06-06T10:11:50+02:00,"Tintinnabula Vallis Arsiae ..rintocchi nella valle ",,,,"http://www.comune.vallarsa.tn.it/content/download/2385/26827/1/tintinnabula 2014web.pdf",2014-07-12T11:00:00+02:00,2014-07-12T17:00:00+02:00,,,"Vallarsa  -vari luoghi ",,,,,,,,"Evento singolo",,,,,,0,0,,
948b94b609b9a25adee79dce20adc711,2016-06-06T10:10:03+02:00,2016-06-06T10:10:03+02:00,"La fotografia oltre ai selfie e instagram ",,,,"http://www.comune.vallarsa.tn.it/content/download/2384/26802/1/serata fotografia (1).pdf",2014-07-16T20:30:00+02:00,2014-07-16T22:30:00+02:00,,,"Sala EX Catasto Raossi ",,,,,,,,"Evento singolo",,,,,,45.782653,11.118858,"raossi, Vallarsa , Trentino-Alto Adige, 38060, Italia",
323326bedc5209e22177b444e4c6fe78,2016-06-06T10:05:27+02:00,2016-06-06T10:05:27+02:00,"Lupo Gedeone senza memoria ",,,,"http://www.comune.vallarsa.tn.it/content/download/2383/26777/1/lupo gedeone senza memoria.pdf",2014-07-17T14:30:00+02:00,2014-07-17T17:30:00+02:00,,,"Biblioteca di Raossi ",,,,,,,,"Evento singolo",,,,,,45.782653,11.118858,"raossi, Vallarsa , Trentino-Alto Adige, 38060, Italia",
6e29c40b136d17820acbfe2bf05adaaa,2016-06-06T10:03:46+02:00,2016-06-06T10:03:46+02:00,"La caretera 2014",,,,"http://www.comune.vallarsa.tn.it/content/download/2382/26752/1/caretera 2014.pdf",2014-07-19T15:00:00+02:00,2014-07-20T20:00:00+02:00,,,"Riva di Vallarsa ",,,,,,,,"Evento singolo",,,,,,45.777551,11.106749,"riva, Vallarsa , Trentino-Alto Adige, 38060, Italia",
4f4ac9727bf547900bd32bcb00d2be5d,2016-06-06T10:00:28+02:00,2016-06-06T10:00:28+02:00,Dopozena,,,,http://www.comune.vallarsa.tn.it/content/download/2381/26727/1/dopozena.pdf,2014-07-29T20:30:00+02:00,2014-07-29T22:30:00+02:00,,,"Museo etnografico di Vallarsa ",,,,,,,,"Evento singolo",,,,,,45.77977,11.104835,"riva , Vallarsa , Trentino-Alto Adige, 38060, Italia",
b38c1d58ad45b263e123a3ef09297b36,2016-06-06T09:58:45+02:00,2016-06-06T09:58:45+02:00,"Caccia alla traccia ",,,,http://www.comune.vallarsa.tn.it/content/download/2380/26702/1/cacciaallatracciaa.pdf,2014-07-31T14:30:00+02:00,2014-07-31T17:30:00+02:00,,,"Parrocchia di Vallarsa ",,,,,,,,"Evento singolo",,,,,,45.776996,11.123142,"parrocchia, Vallarsa , Trentino-Alto Adige, 38060, Italia",
aa29aa4529ac6f1d0e3390da4587dd70,2016-06-06T09:48:25+02:00,2016-06-06T09:48:25+02:00,"Coro Pasubio dietro le quinte ",,,,"http://www.comune.vallarsa.tn.it/content/download/2379/26677/1/coro pasubio.pdf",2014-07-30T20:30:00+02:00,2014-07-30T22:30:00+02:00,,,"Sede Coro Pasubio - Raossi di Vallarsa ",,,,,,,,"Evento singolo",,"Coro Pasubio ",,,,45.782653,11.118858,"raossi, Vallarsa , Trentino-Alto Adige, 38060, Italia",
d9a223c03b6c4e8b7ab499b527441cbf,2016-06-06T09:46:40+02:00,2016-06-06T09:46:40+02:00,"Passeggiata sotto le stelle ",,,,"http://www.comune.vallarsa.tn.it/content/download/2378/26652/1/vallarsa sotto le stelle.pdf",2014-08-02T21:00:00+02:00,2014-08-02T23:59:00+02:00,,,"Ritrovo presso Museo etnografico",,,,,,,,"Evento singolo",,,,,,45.78043,11.104281,"riva , Vallarsa , Trentino-Alto Adige, 38060, Italia",
864810e07d34e698ebf756d62de0d759,2016-06-06T09:45:34+02:00,2016-06-06T09:45:34+02:00,"Vallarsa sotto le stelle ",,,,"http://www.comune.vallarsa.tn.it/content/download/2377/26627/1/vallarsa sotto le stelle.pdf",2014-07-31T20:30:00+02:00,2014-07-31T23:00:00+02:00,,,"Biblioteca comunale di Raossi ",,,,,,,,"Evento singolo",,,,,,45.782653,11.118858,"raossi, Vallarsa , Trentino-Alto Adige, 38060, Italia",
e730300983e96a5d6fd1172f2003a0a8,2016-06-06T09:44:32+02:00,2016-06-06T09:44:32+02:00,"Escursione naturalistica ",,,,"http://www.comune.vallarsa.tn.it/content/download/2376/26602/1/escursione 7 agosto.pdf",2014-08-07T08:30:00+02:00,2014-08-07T17:00:00+02:00,,,"Ritrovo ad Anghebeni ",,,,,,,,"Evento singolo",,,,,,45.795337,11.106506,"Anghebeni, Vallarsa , Trentino-Alto Adige, 38060, Italia",
9cd6783b6d650f7eee0ba3d9f4e6e41b,2016-06-06T09:42:16+02:00,2016-06-06T09:43:20+02:00,"1914, la Vallarsa si prepara alla guerra","Conferenza di Aldina Martini ",,,"http://www.comune.vallarsa.tn.it/content/download/2375/26577/2/conferenza aldina martini.pdf",2014-08-12T20:30:00+02:00,2014-08-12T22:30:00+02:00,,,"Riva di Vallarsa - Museo etnografico di Vallarsa ",,,,,,,,"Evento singolo",,,,,,0,0,,
d0ba3d45f953b564a44109859bf28543,2016-06-06T09:41:05+02:00,2016-06-06T09:41:05+02:00,"Mostre tra le rocce e il cielo ",,,,"http://www.comune.vallarsa.tn.it/content/download/2374/26552/1/mostre tra le rocce e il cielo.pdf",2014-08-03T11:00:00+02:00,2014-08-30T19:00:00+02:00,,,"Museo etnografico di Vallarsa ",,,,,,,,"Evento singolo",,,,,,45.780475,11.104302,"riva , Vallarsa , Trentino-Alto Adige, 38060, Italia",
55d61112128b711604566fc431e13670,2016-06-06T09:39:27+02:00,2016-06-06T09:39:27+02:00,"Torneo di calcio 5 Comuni del Pasubio ",,,,"http://www.comune.vallarsa.tn.it/content/download/2373/26527/1/2014 TORNEO 5 COMUNI.pdf",2014-08-30T09:00:00+02:00,2014-08-30T18:00:00+02:00,,,"Malga Prà - Valli del Pasubio ",,,,,,,,"Evento singolo",,,,,,45.757079,11.191273,"malga pra, Veneto, Italia",
