remoteId,published,modified,Titolo,"Titolo breve",Immagine,Descrizione,"Locandina dell'evento",Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,"Tipologia evento","Manifestazione cui fa parte",Associazione,Progressivo,Sottotitolo,Orario,lat,lon,address,Fonte
94d292caae4043abc6c46ce35b9ca7cf,2015-08-04T14:40:24+02:00,2015-08-04T14:40:24+02:00,"Serata culturale a cura del Prof. Giorgio Dobrilla - medico - scrittore - giornalista 'Fatti e fatterelli, fattacci commentati in ottica semiseria dalla A alla Z'",,,,,2015-08-26T18:00:00+02:00,,,"alle ore 18.00","sala don 'Antonio Longo' I piano",,,,,,,,"Evento singolo",,,,,,0,0,,
48fb8e100dd15b5bb65bc0eb39f9eb2b,2015-08-04T14:38:45+02:00,2015-08-04T14:38:45+02:00,"Baby dance",,,,,2015-08-25T20:30:00+02:00,2015-08-25T22:30:00+02:00,,"alle ore 20.30","Parco Marisana - Via Borgonuovo",,,,,,,,"Evento singolo",,,,,,0,0,,
3bc40327cfc4b9b8bacefd43521f176c,2015-08-04T14:38:01+02:00,2015-08-04T14:38:01+02:00,"a cena sa' Varena ",,,"percorso nelle vie del centro storico con degustazione piatti tipici preparati dalle Associazioni di volontariato del paese - intrattenimento musicale presso il tendone delle Manifestazioni in Via Val del Rù",,2015-08-21T19:00:00+02:00,,,"a partire dalle ore 19.00","vie del centro storico",,,,,,,,"Evento singolo",,,,,,0,0,,
74cf64aff96bbace1d1e28a00c5779ed,2015-08-04T14:36:42+02:00,2015-08-04T14:36:42+02:00,"Tombola di beneficienza",,,"a cura del gruppo 'Amici di Varena'",,2015-08-20T20:30:00+02:00,,,"alle ore 20.30","sala piano terra della Canonica",,,,,,,,"Evento singolo",,,,,,0,0,,
044c1a39f46dae3af2550aa1b59651b0,2015-08-04T14:35:39+02:00,2015-08-04T14:35:39+02:00,"La Varenada",,,"corsa o camminata che sia - corsa non competitiva per singoli o gruppi",,2015-08-20T17:00:00+02:00,,,"partenza ore 17.00","dal tendone manifestazioni in Via Val del Rù adiacente la Caserma dei Vigili del fuoco",,,,,,,,"Evento singolo",,,,,,0,0,,
94fb092444f72a15e7922fd86b93572d,2015-08-04T14:34:20+02:00,2015-08-04T14:34:20+02:00,"Baby dance",,,,,2015-08-18T20:30:00+02:00,,,"alle ore 20.30","Parco Marisana - Via Borgonuovo",,,,,,,,"Evento singolo",,,,,,0,0,,
09c0e7947b09d49a26848a393ad639e3,2015-08-04T14:33:41+02:00,2015-08-04T14:33:41+02:00,"Scampagnata alpina",,,"a cura del Gruppo ANA di VARENA",,2015-08-15T12:00:00+02:00,,,"alle ore 12.00","località Roacia",,,,,,,,"Evento singolo",,,,,,0,0,,
2631daa1886448a8aa4db8a3d5cf4e59,2015-08-04T14:32:46+02:00,2015-08-04T14:32:46+02:00,"Laboratorio di creatività - braccialetti",,,,,2015-08-13T16:00:00+02:00,,,"alle ore 16.00","Parco Marisana - Via Borgonuovo",,,,,,,,"Evento singolo",,,,,,0,0,,
76726903215252ba13fafc658095a630,2015-08-04T14:32:00+02:00,2015-08-04T14:32:00+02:00,"Corale 'Canticum novum' Moena - concerto di musica sacra",,,,,2015-08-12T21:00:00+02:00,,,"alle ore 21.00","c/o Chiesa Santi Pietro e Paolo - Varena",,,,,,,,"Evento singolo",,,,,,0,0,,
7a5777a2fd3aa293e021b31b88f025ad,2015-08-04T14:31:03+02:00,2015-08-04T14:31:03+02:00,"Baby dance",,,,,2015-08-11T20:30:00+02:00,2015-08-11T22:30:00+02:00,,"alle ore 20.30","Parco Marisana - Via Borgonuovo",,,,,,,,"Evento singolo",,,,,,0,0,,
75aecb8a8e07fa343c2410da6f5eb2fa,2015-08-04T14:29:14+02:00,2015-08-04T14:29:14+02:00,"Mostra 'La cosina da sti ani' a cura di Primo Mich e del Circolo culturale di Varena",,,,,2015-08-08T10:00:00+02:00,2015-08-29T22:30:00+02:00,,"dal 8 agosto al 29 agosto 2015","sede del Circolo culturale di Varena in Via Val del Rù 1",,,,,,,,Manifestazione,,,,,,0,0,,
46e054a82bd760790fd5955a9bcecf38,2015-08-04T14:25:33+02:00,2015-08-04T14:25:33+02:00,"Serata balli country ",,,"a cura del 'Fiemme Country Devils'",,2015-08-07T21:00:00+02:00,,,"alle ore 21.00","Parco Marisana - Via Borgonuovo",,,,,,,,"Evento singolo",,,,,,0,0,,
5a7e1c63e30d9971158627060230c753,2015-08-04T14:24:36+02:00,2015-08-04T14:24:36+02:00,"Escursione 'il giro dei prati'",,,"escursione naturalistica non impegnativa ed adatta a tutti negli angoli affascinanti del territorio di Varena -durata 1,5 ore-",,2015-08-07T10:00:00+02:00,2015-08-07T11:30:00+02:00,,"dalle 10.00","ritrovo presso Piazza Municipio",,,,,,,,"Evento singolo",,,,,,0,0,,
984543c2583847990866dd1aa5ce6689,2015-08-04T14:22:58+02:00,2015-08-04T14:22:58+02:00,"Tombola di beneficenza a cura del gruppo 'Amici di Varena'",,,,,2015-08-06T20:30:00+02:00,,,"alle ore 20.30","sala piano terra della Canonica ",,,,,,,,"Evento singolo",,,,,,0,0,,
88096a4c9f27f621abebc4663edf44b6,2015-08-04T14:21:25+02:00,2015-08-04T14:21:25+02:00,"Laboratorio di creatività 'Lo Spaventapasseri'",,,,,2015-08-06T16:00:00+02:00,,,"alle ore 16.00","Parco Marisana - Via Borgonuovo",,,,,,,,"Evento singolo",,,,,,0,0,,
6ba5ec60564b9a90b6fbc58b53fdeefe,2015-08-04T14:20:30+02:00,2015-08-04T14:20:30+02:00,"Concerto di canti della montagna del Coro Val Lubie di Varena",,,,,2015-08-05T21:00:00+02:00,2015-08-05T22:30:00+02:00,,"alle ore 21.00","Via Scuole Vecchie",,,,,,,,"Evento singolo",,,,,,0,0,,
cef95075344865121cb867a488312470,2015-08-04T14:19:12+02:00,2015-08-04T14:19:12+02:00,"Baby Dance",,,,,2015-08-04T20:30:00+02:00,2015-08-04T22:30:00+02:00,,"alle ore 20.30","Parco Marisana - Via Borgonuovo",,,,,,,,"Evento singolo",,,,,,0,0,,
7a3d796aa6ce95a91b93d327c0ebfbfc,2015-08-04T14:17:31+02:00,2015-08-04T14:17:31+02:00,"Armonie nel vento - canti della montagna con il coro Val Lubie di Varena - 'Negritella' di Predazzo e 'Sass Maor' di Primiero",,,,,2015-08-02T15:00:00+02:00,,,"alle ore 15.00","Passo Lavazè - località Campiol",,,,,,,,"Evento singolo",,,,,,0,0,,
