remoteId,published,modified,Titolo,Titolo breve,Immagine,Descrizione,Locandina dell'evento,Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,Tipologia evento,Manifestazione cui fa parte,Associazione,Progressivo,Sottotitolo,Orario,lat,lon,address,Fonte
ad8bf8967c1f45468aee8df294f84b7a,2019-12-03T17:04:14+01:00,2019-12-03T17:04:14+01:00,Tre giorni di Storie di Natale,Storie di Natale,/var/altopianodellavigolana/storage/images/aree-tematiche/biblioteca/avvisi-e-news/storie-di-natale/145899-1-ita-IT/Storie-di-Natale.jpg,"Vieni in biblioteca ad ascoltare le storie di Natale?  Nella sala di VIGOLO VATTARO c’èFRANCESCAMERCOLEDI’ 18 DICEMBRE 2019  ore 17,00 Nella sala di VATTARO c’èROBERTAMARTEDI’ 10 DICEMBRE 2019 ore 16,30 Nella sala di BOSENTINO c’èEVELINVENERDI 20 DICEMBRE 2019 ore 17,00",,2019-12-03T17:02:00+01:00,2019-12-21T20:00:00+01:00,,,Sedi della biblioteca comunale Altopiano della Vigolana,,,,,,,,Manifestazione,,,,,,0,0,,
5480dbe519cbcac9bdf6fa25a7a7c900,2018-10-05T11:06:14+02:00,2018-10-05T11:06:14+02:00,"""Mettete fiori nei vostri cannoni""",Recital con la voce recitante di Chiara Turrini,/var/altopianodellavigolana/storage/images/aree-tematiche/biblioteca/avvisi-e-news/recital-con-la-voce-recitante-di-chiara-turrini/117336-1-ita-IT/Recital-con-la-voce-recitante-di-Chiara-Turrini.jpg,,,2018-10-05T11:03:00+02:00,2018-10-15T08:00:00+02:00,,,teatro parrocchiale Vigolo Vattaro,,,,,,,,Evento singolo,,,,,,0,0,,
ec8e9742e6cf44efe7d31c666e5200a3,2018-09-20T15:04:46+02:00,2018-09-20T15:25:58+02:00,1° Simposio di Scultura del legno,Simposio Scultura ,/var/altopianodellavigolana/storage/images/aree-tematiche/biblioteca/avvisi-e-news/simposio-scultura/116635-2-ita-IT/Simposio-Scultura.jpg,,https://www.comune.vigolana.tn.it/content/download/11952/116637/3/IMG_20180920_091454.jpg,2018-09-20T14:55:00+02:00,2018-09-30T12:00:00+02:00,19 - 30 settembre,,Loc. Caolorine Vigolo Vattaro - Casa Campregher Centa San Nicolò,,,,,,,,Manifestazione,,,,,,0,0,,
a0be2b2a423085310608294054f87f76,2019-01-25T10:24:28+01:00,2019-01-25T10:24:28+01:00,Meditate che questo è stato,In viaggio nella memoria con Primo Levi,/var/altopianodellavigolana/storage/images/aree-tematiche/biblioteca/avvisi-e-news/in-viaggio-nella-memoria-con-primo-levi/124463-1-ita-IT/In-viaggio-nella-memoria-con-Primo-Levi.jpg,Serata di letture e musica per non dimenticare,,2019-01-25T10:17:00+01:00,2019-01-30T08:00:00+01:00,,,Biblioteca comunale - Sede di Vigolo Vattaro,,,,,,,,Evento singolo,,,,,,0,0,,
3c0ed800d1c5e9508ddd4b5bfb37ce05,2019-01-10T17:30:17+01:00,2019-01-10T17:30:17+01:00,Le fosse di Kirov,Le missioni italiane di ricerca e recupero dei militari dispersi in Russia,/var/altopianodellavigolana/storage/images/aree-tematiche/biblioteca/avvisi-e-news/le-missioni-italiane-di-ricerca-e-recupero-dei-militari-dispersi-in-russia/123549-1-ita-IT/Le-missioni-italiane-di-ricerca-e-recupero-dei-militari-dispersi-in-Russia.jpg,,,2019-01-10T17:28:00+01:00,2019-01-27T08:00:00+01:00,,,,,,,,,,,Evento singolo,,,,,,0,0,,
7610d3537b822083b063211491bd7373,2018-12-14T14:16:03+01:00,2018-12-14T14:16:03+01:00,Concerto di Natale,,/var/altopianodellavigolana/storage/images/aree-tematiche/biblioteca/avvisi-e-news/concerto-di-natale/121967-1-ita-IT/Concerto-di-Natale.jpg,,,2018-12-14T14:13:00+01:00,2018-12-17T09:00:00+01:00,,,,,,,,,,,Evento singolo,,,,,,0,0,,
916137c4aedeb0fd187f504939557ded,2018-12-14T10:20:47+01:00,2018-12-14T10:20:47+01:00,Tre giorni di storie di Natale,,/var/altopianodellavigolana/storage/images/aree-tematiche/biblioteca/avvisi-e-news/tre-giorni-di-storie-di-natale/121912-1-ita-IT/Tre-giorni-di-storie-di-Natale.jpg,,,2018-12-14T10:19:00+01:00,2018-12-22T09:00:00+01:00,,,,,,,,,,,Evento singolo,,,,,,0,0,,
594556ec671e730e69d6b48c2704d820,2018-07-30T14:58:08+02:00,2018-07-30T14:58:08+02:00,Premiazione Concorso di Poesia Alicante,35.ma Edizone - Poesie in lungua italiana,," 35.ma EDIZIONE DEL CONCORSO DI POESIA ALICANTE Verbale della GiuriaOggi 29 giugno 2018, alle ore 10, nella sede della Biblioteca comunale Altopiano della Vigolana a Vigolo Vattaro, si è riunita la Giuria della 35.mo Premio di poesia “Alicante” organizzato dal Comune Altopiano della Vigolana. Questi i componenti della Giuria: Renzo Francescotti (presidente), Giovanni Benaglio (Verona), Mario Meneghini (Vicenza), Lilia Slomp Ferrari (Trento), Umberto Zanetti (Bergamo). Erano presenti tutti i componenti della Giuria, tranne Giovanni Benaglio, impossibilitato per ragioni di salute, che comunque ha fatto pervenire la sua rosa dei poeti da lui ritenuti meritevoli di considerazione. Quest’anno la 35.ma edizione dell’“Alicante”-  il più antico e prestigioso premio di poesia della regione Trentino-Alto Adige - era riservato alla poesia in italiano. I componenti della Giuria avevano avuto a disposizione alcune settimane per esaminare i testi dei 90 autori di 34 province italiane ammessi al concorso. Dopo un puntuale, appassionato confronto la Giuria, all’unanimità, è pervenuta  ai seguenti giudizi:Segnalati in ordine alfabetico quattro poeti (da notarsi che sono tutti e quattro nomi nuovi del Concorso):Ivan Fedeli (Monza Brianza) con “L’amore, qui”.Dario Marelli (di Seregno, Monza Brianza) con “Quando te ne andrai”.Massimo Parolini (Trento)  con ”Il padre prodigo”.Maria Provenzano (Catanzaro) con “Ipotesi”.Poeti premiati.III premio a Bruno Centomo (di Santorso , Vicenza) con la poesia “L’odore dei tigli”.Motivazione:Il rimpianto delle morte stagioni e della giovinezza lontana non attenua l’amore per la vita, che può essere suscitata ad ogni primavera anche dal profumo  della rifioritura dei tigli.
II premio a Laura Moser (Trento) con la poesia “La ragazzina dalle  Nike”.Motivazione: Con  versi di una levità e di un nitore incisi col bulino, servendosi di immagini originali e spiazzanti, l’autrice evoca l’ennesima uccisione di una donna, una giovanissima ragazza, sintetizzata nelle sue calzature ginniche di moda.I premio a Carmelo Consoli (Firenze) per la poesia “Piccole lanterne, antiche magie”.Motivazione:Il tema molto frequentato del colloquio tra nonno e nipotino viene qui rinnovato modernamente, nell’occasione di “una lucciola caduta nell’aria greve dei cementi”, con la  giustapposizione tra l’infanzia del poeta e quella della nipotina che gli rivela gli interessi della sua vita attraverso i messaggi degli amici e un fumetto Manga sul suo Smartphone.      Renzo FrancescottiGiovanni BenaglioMario MeneghiniLilia Slomp FerrariUmberto Zanetti",http://www.comune.vigolana.tn.it/content/download/11459/113095/1/Libretto 2018 CORRETTO DEF.pdf,2018-07-30T14:52:00+02:00,2019-05-31T14:00:00+02:00,,,,,,,,,,,Manifestazione,,,,,,0,0,,
deae6aed9054f52aea5587fdf9e92b5d,2019-08-01T11:00:21+02:00,2019-08-01T11:00:21+02:00,XXIX rassegna Antichi Organi e strumenti della Valsugana,Concerto per organo e flauto,/var/altopianodellavigolana/storage/images/aree-tematiche/biblioteca/avvisi-e-news/concerto-per-organo-e-flauto/136538-1-ita-IT/Concerto-per-organo-e-flauto.jpg,Concerto per organo e flautoChiesa Parrocchiale San Giorgio Vigolo Vattaro,,2019-08-01T10:53:00+02:00,2019-08-11T23:00:00+02:00,21 - 22.30,11 agosto,Chiesa parrocchiale San giorgio Vigolo Vattaro,,,,,,,,Evento singolo,,,,,,0,0,,
cd3f78f01deabbaa3e84af4cfd5f436c,2019-08-01T10:53:23+02:00,2019-08-01T10:53:23+02:00,Don Chisciotte e gli altri,Sculture di Giovanni Bailoni,/var/altopianodellavigolana/storage/images/aree-tematiche/biblioteca/avvisi-e-news/sculture-di-giovanni-bailoni/136513-1-ita-IT/Sculture-di-Giovanni-Bailoni.jpg,Mostra di sculture di Giovanni Bailoni,,2019-08-01T10:48:00+02:00,2019-08-31T22:00:00+02:00,,1 - 31 agosto,Palazzo Bortolazzi - Vattaro,,,,,,,,Evento singolo,,,,,,0,0,,
