remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
54b7b08fd0516141cb4dea9925794133,2023-06-22T12:33:20+02:00,2023-06-22T12:56:17+02:00,BRIAN ENO | 77 MILLION PAINTINGS FOR BESENO,,Evento culturale,,,Castel Beseno sarà teatro di una spettacolare installazione audiovisiva su larga scala: 77 Million Paintings for Beseno.,Tempo libero,"BRIAN ENO | 77 MILLION PAINTINGS FOR BESENOpresso Castel Beseno19-20, 26-27 agosto 20222-3, 9-10 settembre 2022inizio ad ore 21.00Castel Beseno sarà teatro di una spettacolare installazione audiovisiva su larga scala: 77 Million Paintings for Beseno. Ogni venerdì e sabato, dal 19 agosto al 10 settembre 2022, saranno organizzati otto eventi serali di presentazione al pubblico dell'opera. Sotto il cielo stellato, gli spettatori potranno abbandonarsi e perdersi tra milioni di combinazioni di quadri e musiche.Vera e propria icona della cultura contemporanea internazionale, Brian Peter George St. John le Baptiste de la Salle Eno è uno dei più significativi artisti della nostra epoca. Muovendo da un’idea di arte come forma espressiva capace di dialogare con l'ambiente e lo spettatore, impiega media diversi per fondere musica e arti figurative, creando veri e propri “paesaggi sonori” in cui far immergere lo spettatore. Utilizzando display, immagini in continuo movimento e diffusori acustici, crea un gioco combinatorio a infinite varianti di forme, luci e suoni, dove non tutto è sempre come appare e ogni cosa cambia impercettibilmente, come nella vita, in modo casuale e inesorabile.Brian Eno ha infatti scelto le maestose mura di Castel Beseno come “tela” su cui animare le infinite combinazioni visive della sua opera più celebre. Concepito come “musica visuale”, 77 Million Paintings nasce dalla costante ricerca di Brian Eno sulla luce come mezzo artistico e dal suo desiderio di esplorare le nuove possibilità estetiche offerte dalla tecnologia: sovrapponendo in ordine casuale i layer di 400 dipinti realizzati dallo stesso Eno, un software genera 77 milioni di combinazioni senza mai ripetersi. Sincronizzato con l’opera visiva in movimento, prende vita un tappeto sonoro unico e irripetibile, tale che nessun suono sarà udibile una seconda volta.77 Million Paintings for Beseno è un’opera spettacolare che, attraverso la proiezione di una combinazione di quadri in continua evoluzione, creerà una &quot,pittura di luce&quot, sulle Mura Est di Castel Beseno (una superficie di circa 1.500 m2 – 100 m x 15 m).Maggiori info https://www.brianenoxtrentino.com/Informazioni utili- Ingresso a pagamento € 10,- per arrivare al Castello si potrà usufruire di un bus navetta compreso nel biglietto, in partenza da Beseno dalle ore 18 in poi (ultima corsa alle ore 20.45). L'ultimo tratto per raggiungere il luogo dell'evento sarà tuttavia da percorrere a piedi, ma saranno più che sufficienti un bel paio di scarpe comode,- il Castello potrà essere raggiunto anche a piedi, attraverso un tratto di sentiero escursionistico facile percorribile in 25 minuti circa. Per la discesa consigliamo di portare con voi un comodo frontalino,- una volta arrivati sul luogo dell'evento potrete finalmente gustarvi lo spettacolo dal campo dei tornei. Non sono previste sedute, a tal proposito, vi consigliamo di portare una coperta o un telo per potersi accomodare sul prato,- la durata dell'installazione artistica sarà di 90 minuti.- per chi non avesse ancora comprato il biglietto, lo potrà fare direttamente alla biglietteria presente a Besenello, aperta nei soli giorni dell'evento con i seguenti orari: 18:00 - 20:45,Il progetto inedito “Brian Eno x Trentino”, fortemente voluto dalla Provincia autonoma di Trento e organizzato dal Centro Servizi Culturali Santa Chiara, con la collaborazione del Castello del Buonconsiglio e di Trentino Marketing e la produzione di Alessandro Albertini e Giuseppe Putignani.",,,,Famiglie,,,,,,,,http://besenello.pnrr.comunweb.it/content/download/659/10888/2/CSC_Brian-Eno_2022-Centro-Servizi-Culturali-Santa-Chiara_2_opengraph.jpg,,Contatti Castel Beseno,,,,,,,,,,,0.0,2,,,,,,,
6fe5cf86753def25714f843cb65fc136,2023-11-27T14:24:06+01:00,2023-11-27T14:24:06+01:00,Mercatino Missionario 2023,,Evento culturale,,,Dal 7 al 10 dicembre 2023 presso l'oratorio/ricreatorio parrocchiale il Gruppo Missionario di Besenello propone un Mercatino missionario di prodotti esclusivamente fatti a mano per una raccolta fondi per progetti umanitari nel mondo,"Questioni sociali
Assistenza sociale
Integrazione sociale",Dal 7 al 10 dicembre 2023 presso l'oratorio/ricreatorio parrocchialeil Gruppo Missionario di Besenello vi invita alMercatino missionario 2023prodotti esclusivamente fatti a mano per una raccolta fondi per progetti umanitari nel mondoGIORNI E ORARIgiovedì 7 / 16.00-20.00venerdì 8 / 9.00-12.00 e 14.00-18.00sabato 9 / 9.00-12.00 e 14.00-18.00domenica 10 / 9.00-12.00 e 14.00-18.00,Mercatino Missionario 2023,,,Adulti,Anziani,Famiglie,,,,,,,,https://besenello.pnrr.comunweb.it/content/download/991/16511/1/mercatino_missionario_23.pdf,,Contatti Gruppo missionario,,,,,,,,,,,0.0,2.0,,,,,
fb8be9bf164cba9b47538b71b0ccceb8,2024-02-01T19:44:34+01:00,2024-02-01T19:44:34+01:00,Poesia e filosofia,,"Convegno / Conferenza,Presentazione libro,Dibattito / Dialogo pubblico",,,"Incontro sul tema &quot,poesia e filosofia&quot, con le poesie di Orietta Lunardelli, commentate da Giorgio Ragucci Brugger","Tempo libero
Patrimonio culturale","Incontro sul tema &quot,Poesia e filosofia&quot,con le poesie di Orietta Lunardellicommentate da Giorgio Ragucci Bruggervenerdì 1 marzo alle ore 18.00 in Biblioteca comunale di BesenelloUn incontro per conoscere la produzione poetica della scrittrice trentina Orietta Lunardelli attraverso il commento dei temi filosofici trattati nei versi a cura di Giorgio Ragucci Brugger.Sarà l’occasione di far incontrare poesia e filosofia trattando i grandi temi della contemporaneità come i concetti di pace e guerra, la dimensione della solidarietà, il concetto di natura.",Biblioteca,,,Adulti,Anziani,Giovani,,Sede Biblioteca,,,,,,https://www.comune.besenello.tn.it/content/download/2420/29096/1/Presentazione+Poesia+e+Filosofia+Brugger+-+Lunardelli.pdf,,Contatti Biblioteca,,,,,,,,,,,100.0,2.0,,,,,
524386d6534d2f78e966b712ee72b8f9,2024-02-01T19:31:25+01:00,2024-02-01T19:32:11+01:00,Il cammino di Santiago,,"Convegno / Conferenza,Dibattito / Dialogo pubblico",,,Serata culturale di approfondimento sul Cammino di Santiago,"Tempo libero
Viaggi","
IL CAMMINO DI SANTIAGOUN VIAGGIO CHE TI CAMBIAVenerdì 23 febbraio ad ore 20.30presso l’Aula Magna della scuola elementare, via Degasperi 2 - ingresso dalle scale sul retro.
Le concittadine Marta Filz e Licia Comper ci portano il racconto delle emozioni e delle storie del loro Cammino diSantiago percorso nel 2023.Un incontro per trasmettere la forza del cambiamento che questo viaggio imprime alla vita.",Ivan Blanco Vilar ,,,Adulti,Anziani,Giovani,,Scuola elementare “Silvio Pellico”,,,,,,https://www.comune.besenello.tn.it/content/download/2418/29051/2/Cammino+di+Santiago.pdf,,Contatti Battisti Walter,,,,,,,,,,,100.0,2.0,,,,,
aee6a60ac0d65c7c8f53728614975a5b,2024-02-07T17:53:22+01:00,2024-02-07T17:53:22+01:00,Attiva la Valle,,Laboratorio,Corso,,,Corso gratuito di mappatura alla scoperta del territorio dell’Alta Vallagarina. Approfondimenti e uscite sul territorio con esperti del settore.,"Ambiente
Demografia e popolazione
Associazioni
Volontariato
Tempo libero
Patrimonio culturale","&quot,Attiva la Valle&quot, è un corso gratuito di mappatura alla scoperta del territorio dell’Alta Vallagarina. Approfondimenti e uscite sul territorio con esperti del settore. Le attività saranno condotte dal formatore Michele Zandonati, accompagnatore di Media Montagna.“Attiva la Valle” è un progetto di (in)formazione finanziato dal Piano Giovani Alta Vallagarina. Lo scopo dell’iniziativa è quella di valorizzare, creare consapevolezza e promuovere il territorio dell’Alta Vallagarina. Il progetto è aperto a tuttə lə giovanə dai 14 anni in su.Nella sua prima edizione, l’iniziativa mira a rivitalizzare il “Percorso dell’Arte” dell’Alta Vallagarina, proponendo allə partecipantə un percorso guidato e gratuito di formazione in sede sulla mappatura, successivamente, di rilevazione in loco con esperti del settore.Per partecipare è possibile iscriversi accedendo al link sottoriportatohttps://docs.google.com/forms/d/e/1FAIpQLSdCdgzu4Hx9IxwzSE81vELbbmNLxWuYeLZmP8qYwZi-hVkRJA/viewformIl programma è il seguente:


mar 30 gen ore 20 | Sala Giovani Besenello via San Giovanni 55 Besenello TN



KICK OFF: APERITIVO DI INAUGURAZIONEConosciamoci! Presentazione del progetto “Attiva la Valle” e aperitivo di conoscenza per lə interessatə


mar 13 feb ore 20 | SAT Besenello via San Giovanni 53 Besenello TN



LOCALIZZAZIONE DELLE DESCRIZIONICome e dove: metodi e contenitori che descrivono il territorio dell’Alta Vallagarina, Presentazione e collezione dei dati descrittivi, Inquadramento della zona del Percorso dell’Arte


mar 20 feb ore 20 | SAT Besenello via San Giovanni 53 Besenello TN



TIPOLOGIE DI DATI, UTILIZZO E STRUMENTIMetodi, dati e strumenti per la mappatura, Lettura e interpretazione del paesaggio, Elementi di cartografia, Struttura dei dati cartografici liberi, Piattaforme open data, Sistema GPS, I modelli 3D


tra febbraio e marzo



RILIEVI SUL CAMPO ED ELABORAZIONE DATIRicognizione, mappatura e organizzazione dei dati, Produzione di contenuti, Individuazione dei supporti per la pubblicazione, Realizzazione di elementi grafici per supporti materiali e online


fine marzo



CONFERENZA STAMPA DI PRESENTAZIONE
Il progetto “Attiva la Valle” sarà presentato al pubblicoProgetto finanziato dal Piano Giovani Alta Vallagarina con il supporto della Cassa di Trento in collaborazione con SAT di Besenello, Comitato Santa Cecilia di Volano, Comune di Besenello, Comune di Calliano, Comune di Volano",Ponte Pedonale Rio Cavallo,,,Adulti,Giovani,,,,,,,,https://www.comune.besenello.tn.it/content/download/2431/29259/1/AV+-+PDF.pdf,,Contatti Rigos Stephan,,,,,,,,,,,0.0,2.0,,,,,
028cf2479d50afda606c93446c71c585,2024-02-15T16:51:41+01:00,2024-02-15T16:52:54+01:00,"Presentazione del romanzo ""Il predatore""",,"Lettura (pubblica),Evento culturale",,,"Serata di presentazione del romanzo &quot,Il predatore&quot, di Marco Niro",Tempo libero,"Marco Niro, uno dei fondatori del collettivo Tersite Rossi, pubblica da solista &quot,Il predatore&quot, un noir/thriller ambientato in un borgo sulle Alpi che sarà presentato in biblioteca a Besenello giovedì 18 aprile ad ore 20.30.&quot,Il predatore” è un romanzo avvincente con al centro la difficile relazione fra l’uomo e gli animali selvatici sulle nostre montagne, fra l’orso e i cittadini di una comunità, fra la sete di potere e la fragilità degli esseri umani.L’orso diventa metafora delle nostre paure più profonde, capro espiatorio di tutti i mali di un mondo all’apparenza perfetto della provincia alpina italiana.Marco Niro (1978) è giornalista e scrittore. Laureato in Scienze della comunicazione, ha collaborato con varie testate giornalistiche e oggi si occupa di comunicazione ambientale.  Con il collettivo di scrittura Tersite Rossi ha scritto quattro romanzi (È già sera, tutto è finito, Pendragon 2010, Sinistri, e/o 2012, I Signori della Cenere, Pendragon 2016, Gleba, Pendragon 2019) e due raccolte di racconti (Chroma. Storie degeneri, Les Flâneurs 2022, Pornocidio, Mincione 2023).",Biblioteca,,,Adulti,,Sede Biblioteca,,,,,,https://www.comune.besenello.tn.it/content/download/2458/29623/2/Presentazione+IL+PREDATORE.pdf,,Contatti Biblioteca,,,,,,,,,,,100.0,2,,,,,,,
71002ff327b0e5a6c3e8cdd7e2a9d7b4,2024-02-28T12:13:03+01:00,2024-03-01T10:49:23+01:00,Soltanto parole?,,"Manifestazione musicale,Dibattito / Dialogo pubblico,Evento culturale",,,"Concerto della cantautrice Rachele Colombo che proporrà al pubblico canzoni e divagazioni su linguaggi e luoghi comuni &quot,riservati&quot, alle donne.","Questioni sociali
Tempo libero","Concerto della cantautrice Rachele Colombo dal titolo &quot,Soltanto parole?&quot, - canzoni e divagazioni su linguaggio e luoghi comuni &quot,riservati&quot, alle donne.Venerdì 15 marzo ad ore 20:30, in sala anziani in via S. Giovanni, 49.Non fare la femminuccia # Lascia stare, sono cose da maschi # Sei acida! Ma hai il ciclo? # Te la sbrighi bene, per essere una donna # Com’è che una ragazza carina come te è ancora single? # Donna al volante, pericolo costante! #Sono davvero Soltanto Parole?Rachele Colombo propone un progetto artistico scanzonato e poetico che si insinua nei meandri del linguaggio corrente ancora troppo spesso pregno di declinazioni e modi di dire offensivi se non addirittura discriminanti nei riguardi del genere femminile.Uno spettacolo che propone letture, brani originali di Rachele, canzonette del '900, voci fuori campo, canzoni popolari e del movimento delle donne frutto di una ricerca storica pluriennale e di un impegno artistico che da anni la vedono coinvolta in numerosi progetti di genere.
Un garbato invito a riflettere sul proprio linguaggio quotidiano per superare atavici pregiudizi e imbarazzanti luoghi comuni.Un’occasione per coltivare il rispetto e promuovere i diritti di ogni persona.
RACHELE COLOMBO
Cantante, polistrumentista e compositrice eclettica ha sviluppato negli anni un percorso artistico trasversale e fuori dagli schemi accademici. Una voce apprezzata a livello internazionale, interprete di canto popolare, studia, ripropone e innova musiche di ispirazione veneta. Vincitrice del 13° Premio Loano per la musica tradizionale italiana con l’album “Cantar Venezia - canzoni da battello del ‘700”.Cantautrice, si occupa di diritti umani, ambiente, progetti di genere. È tra le quarantasei cantautrici e interpreti mondiali raccolte nel libro di Chiara Ferrari “Le Donne del Folk”, inserita anche nel volume “Cantautori e Cantautrici del nuovo millennio” di Michele Neri. Numerose le produzioni discografiche e gli spettacoli, come solista e in collaborazione. www.rachelecolombo.com",Womens day,,,Adulti,,,,,,,,https://www.comune.besenello.tn.it/content/download/2473/29795/2/Locandina+SOLTANTO+PAROLE+-+R.+Colombo.pdf,,Contatti Ufficio Segreteria,,,,,,,,,,,100.0,2,,,,,,,
37b624dd721859d2646fff34e7419246,2024-03-08T14:20:14+01:00,2024-03-08T14:23:32+01:00,Letture animate ad alta voce,,Evento culturale,,,Una selezione di albi illustrati di qualità letti e interpretati attraverso la tecnica espressivo-letteraria dall’attrice Elisa Salvini per bambine e bambini da 3 a 8 anni,Tempo libero,Venerdì 15 marzo 2024 alle ore 16.30 l'attrice Elisa Salvini proporrà una selezione di albi illustrati di qualità letti e interpretati attraverso la tecnica espressivo-letteraria.Ingresso libero senza prenotazione,Letture animate,,,Bambini,Famiglie,,Sede Biblioteca,,,,,,https://www.comune.besenello.tn.it/content/download/2488/30049/2/Lettura+animata+Elisa+Salvini.pdf+%282%29.pdf,,Contatti Biblioteca,,,,,,,,,,,0,2.0,,,,,,
f2960381ec67ca2ff185f6b9c91c573d,2024-04-26T16:00:57+02:00,2024-04-26T16:00:57+02:00,Lettura animata ad alta voce,,Evento culturale,,,L’arteterapeuta e formatrice Silvia Sasso propone una lettura animata per bambine e bambini da 6 ai 12 anni,"Istruzione
Tempo libero",L’arteterapeuta e formatrice Silvia Sasso propone una lettura animata per bambine e bambini da 6 ai 12 anni.Ingresso libero senza prenotazione,Lettura animata Silvia Sasso,,,Bambini,Famiglie,,Sede Biblioteca,,,,,,https://www.comune.besenello.tn.it/content/download/2574/31564/1/Lettura+animata+Silvia+Sasso.pdf.pdf,,Contatti Biblioteca,,,,,,,,,,,0,2.0,,,,,,
668f200cd3d0896ad70c6c4a8fb64cd8,2024-05-22T21:34:33+02:00,2024-05-22T21:34:33+02:00,Pizza al Parco!,,"Evento culturale,Evento sociale",,,"L'associazione GGB invita tutti alla &quot,Pizza al Parco!&quot,, un'occasione di socialità e di divertimento di inizio estate con pizze per tutti i gusti, un fornito servizio bar e musica dal vivo.",Tempo libero,"Pizza al Parco!sabato 15 giugno 2024dalle 18:30 in poi presso il parco urbano di BesenelloUna bella iniziativa messa in campo da parte del Gruppo Giovani di Besenello, un'occasione di socialità e di divertimento di inizio estate, che di fatto è entrata nelle preziose tradizioni della nostra comunità.La &quot,Pizza al Parco&quot, è un evento incentrato sulla socialità, sulla musica e sul buon cibo, che si terrà al parco urbano di Besenello sabato 15 giugno dalle 18:30 in poi. Ci saranno pizze per tutti i gusti, un fornito servizio bar e la musica di Atomyka, Aurora e Visio. ","Pizza
Pizza",,,Adulti,Giovani,Famiglie,,Sede Associazione culturale GGB,,,,,,https://www.comune.besenello.tn.it/content/download/2662/32930/1/Pizza+al+Parco%21.pdf,,Contatti Associazione culturale GGB,,,,,,,,,,Italiano,0.0,2.0,,,,,
