remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
28cef84fbe0bdf7f7360c1550baff031,2024-01-23T15:54:53+01:00,2024-01-23T15:55:34+01:00,Brentonico - Teatro Monte Baldo,,Manifestazione artistica,,,Cammelli a Barbiana - Don Lorenzo Milani e la sua scuola,"Tempo libero
Patrimonio culturale","Sabato 27 gennaio alle ore 21:00 la compagnia Inti di Luigi D'Elia presentano al Teatro Molte Baldo di Brentonico &quot,Cammelli a Barbiana - Don Lorenzo Milani e la sua scuola&quot,, di Francesco Niccolini e Luigi D'Elia, con la regia di Fabrizio Saccomanno.La vendita dei biglietti si effettua online cliccando qui fino a un’ora prima dell’evento oppure alla cassa del teatro il giorno dello spettacolo a partire dalle ore 20.00.",,,,Adulti,Giovani,,,,,,"Intero €10,00Ridotto €8,00 (under 30, over 65, università terza età sede di Brentonico)",,https://brentonico.pnrr.comunweb.it/content/download/1348/26836/2/BRENTONICO-STAGIONE-TEATRALE-2023-2024.jpg,,"Contatti Ufficio Cultura e Attività economiche
Contatti Biblioteca comunale",,,,,,,,,,Italiano,0.0,2.0,,,,,,
2244181a7384c22d7dbe1bc546fe532e,2024-01-23T16:21:23+01:00,2024-02-02T13:26:23+01:00,Brentonico - Teatro Monte Baldo,,Manifestazione artistica,,,Giovinette - Le calciatrici che sfidarono il Duce,"Tempo libero
Patrimonio culturale","Venerdì 8 marzo alle ore 21:00 la compagnia PEM Habitat Teatrali - Rara Produzione presenta al Teatro Molte Baldo di Brentonico &quot,Giovinette - Le calciatrici che sfidarono il Duce&quot,, tratto dal romanzo di Federica Seneghini e Marco Giani, con la regia di Laura Ciurino, adattamento drammaturgico di Domenico Ferrari.La vendita dei biglietti si effettua online cliccando qui fino a un’ora prima dell’evento oppure alla cassa del teatro il giorno dello spettacolo a partire dalle ore 20.00.",GIOVINETTE,,,Adulti,Giovani,,,,,,"Intero €10,00Ridotto €8,00 (under 30, over 65, università terza età sede di Brentonico)",,https://www.comune.brentonico.tn.it/content/download/1351/26944/2/BRENTONICO-STAGIONE-TEATRALE-2023-2024.jpg,,"Contatti Ufficio Cultura e Attività economiche
Contatti Biblioteca comunale",,,,,,,,,,Italiano,0.0,2.0,,,,,,
df5960f33b471294dbf52c556060e584,2024-01-23T16:24:48+01:00,2024-02-02T13:30:49+01:00,Brentonico - Teatro Monte Baldo,,Manifestazione artistica,,,Guanti bianchi,"Tempo libero
Patrimonio culturale","Venerdì 15 marzo alle ore 21:00 la compagnia Diaghilev srl presenta al Teatro Molte Baldo di Brentonico &quot,Guanti bianchi&quot, di Edoardo Erba, liberamente ispirato a &quot,L'arte spiegata ai truzzi&quot, di Paola Guagliumi, con la regia di Paolo Triestino.La vendita dei biglietti si effettua online cliccando qui fino a un’ora prima dell’evento oppure alla cassa del teatro il giorno dello spettacolo a partire dalle ore 20.00.",GUANTI BIANCHI,,,Adulti,Giovani,,,,,,"Intero €10,00Ridotto €8,00 (under 30, over 65, università terza età sede di Brentonico)",,https://www.comune.brentonico.tn.it/content/download/1352/26980/2/BRENTONICO-STAGIONE-TEATRALE-2023-2024.jpg,,"Contatti Ufficio Cultura e Attività economiche
Contatti Biblioteca comunale",,,,,,,,,,Italiano,0.0,2.0,,,,,,
3d2a6a1660c8f49572e318f4c7d39fbb,2024-01-23T16:16:10+01:00,2024-02-02T13:22:29+01:00,Brentonico - Teatro Monte Baldo,,Manifestazione artistica,,,Cirano de Bergerac,"Tempo libero
Patrimonio culturale","Sabato 24 febbraio alle ore 21:00 la Compagnia Corrado d'Elia presenta al Teatro Molte Baldo di Brentonico &quot,Cirano de Belgerac&quot,, di Edmond Rostand, traduzione di Franco Cuomo, adattamento di Corrado d'Elia, con la regia di Corrado d'Elia.La vendita dei biglietti si effettua online cliccando qui fino a un’ora prima dell’evento oppure alla cassa del teatro il giorno dello spettacolo a partire dalle ore 20.00.",CIRANO DE BERGERAC,,,Adulti,Giovani,,,,,,"Intero €10,00Ridotto €8,00 (under 30, over 65, università terza età sede di Brentonico)",,https://www.comune.brentonico.tn.it/content/download/1350/26908/2/BRENTONICO-STAGIONE-TEATRALE-2023-2024.jpg,,"Contatti Ufficio Cultura e Attività economiche
Contatti Biblioteca comunale",,,,,,,,,,Italiano,0.0,2.0,,,,,,
547072896864879f22f1365b78e89af7,2024-01-23T15:57:42+01:00,2024-02-02T13:19:48+01:00,Brentonico - Teatro Monte Baldo,,Manifestazione artistica,,,Storia di Pinocchio,"Tempo libero
Patrimonio culturale","Domenica 11 febbraio alle ore 17:00 la Compagnia Teatrale Mattioli presenta al Teatro Molte Baldo di Brentonico &quot,Storia di Pinocchio&quot, con la regia di Silvano Antonelli e Monica Mattioli.La vendita dei biglietti si effettua online cliccando qui fino a un’ora prima dell’evento oppure alla cassa del teatro il giorno dello spettacolo a partire dalle ore 20.00.",STORIA DI PINOCCHIO,,,Bambini,Consigliato ai bambini dai 3 ai 10 anni.,,,,,"Teatro Ragazzi: ingresso unico a €5,00.",,https://www.comune.brentonico.tn.it/content/download/1349/26872/3/BRENTONICO-STAGIONE-TEATRALE-2023-2024.jpg,,"Contatti Ufficio Cultura e Attività economiche
Contatti Biblioteca comunale",,,,,,,,,,Italiano,0,2.0,,,,,,,
a2352b7a2c0bbb7afed8a8360b8a14ee,2024-02-02T13:38:16+01:00,2024-02-02T13:38:16+01:00,IL TEATRO COMICO di Carlo Goldoni regia di Giovanni Vit Compagnia Teatrale La Graticcia Verona,,Evento culturale,,,"SIPARIO D'ORO.Presso Teatro Monte Baldo, Brentonico","Tempo libero
Patrimonio culturale","
Una compagnia di “illuminati” attori abituati a recitare “all’improvviso”, si riunisce sotto la guida del capocomico Orazio per portare, per la prima volta, sulla scena una commedia studiata. Il teatro di regia nascerà quasi un secolo dopo, ma Goldoni anticipa questa innovazione affidando ad Orazio il compito di stimolare la creatività degli attori.Le reazioni dei personaggi sono le facce della realtà. Così è facile pensare come la riforma goldoniana abbia scosso non solo il mondo del teatro, ma anche le singole vite di semplici attori. Questa lettura dello spettacolo sottolinea come Lelio ed Eleonora, orgogliosamente e convintamente ancorati alla vecchia arte, risultino effimeri: come dei fantasmi usciti da chissà quale canovaccio e destinati a sparire con esso.",IL TEATRO COMICO,,,Adulti,Famiglie,Giovani,,,,,,"
ABBONAMENTI
Brentonico
Teatro Monte Baldo
Tre spettacoli 18 euroIn vendita presso la Biblioteca Comunale
INGRESSI
Intero 10 euro
Ridotto 8 euro per iscritti Co.F.As.,
persone sopra i 65 anni, possessori di Carta in Cooperazione, Sipario d’Oro Card e Carta Giovani Nazionale under 35
Ridotto 3 euro per studenti delle scuole superiori e universitari
Gratuito fino ai 14 anni
Per abbonamenti e biglietti relativi al Concorso Nazionale e Regionale nei Teatri Zandonai e San Floriano di Rovereto.La prenotazione è consigliata",,,,"SIPARIO D'ORO
Contatto Biblioteca Comunale",,,,,,,,,,,0.0,2.0,,,,,
6275d1100429fbd61ea142542de0135c,2024-05-03T16:56:20+02:00,2024-05-03T16:56:20+02:00,INCONTRO PUBBLICO SULLA PREVENZIONE DELLE TRUFFE E FURTI AI DANNI DEGLI ANZIANI,,"Evento sociale,Evento culturale",,,In collaborazione con il Comando Stazione Carabinieri di Brentonico,Questioni sociali,Suggerimenti e consigli per la vita quotidiana: https://www.carabinieri.it/ (scegliere nella sezione: “IN VOSTRO AIUTO - CONSIGLI”),PREVENZIONE TRUFFE,,,Adulti,Anziani,Famiglie,,Biblioteca comunale,,,,,,https://www.comune.brentonico.tn.it/content/download/3805/53887/1/Locandina-incontro-pubblico-TRUFFE-ANZIANI.jpg,,Contatti Biblioteca comunale,,,,,,,,,,,0.0,2.0,,,,,
6734ff501d0cf5ab9b561dee0a2300c5,2024-05-07T15:50:58+02:00,2024-05-07T15:50:58+02:00,Crescere i nostri bambini con empatia e senza violenza,,"Evento sociale,Evento d'affari o commerciale,Evento culturale",,,"Incontro formativo-informativo su come possiamo crescere ed educare i nostri bambini con empatia e senza violenza.Cosa possiamo fare per evitare che i nostri bambini diventino parte del problema - cioè di violenza fisica, verbale o bullismo, ma invece diventino parte della soluzione? ","Istruzione
Questioni sociali","C'è tutto un ramo di studi che si occupa di rispondere a questa domanda.Laureata in Prevention Science, la dottoressa Phyllis Dru Barkhurst, sarà ospite a Brentonico per parlarci sulle competenze per far comunità, prevenendo così fenomeni di violenza. Questa iniziativa è promossa dall'Asilo nel Bosco di Prada (Educare nel Bosco, Vallagarina - Canalescuola) e sostenuta dal Comune dalla Biblioteca Comunale di Brentonico. Grazie a questa collaborazione arriverà, a metà maggio,  sull'Altopiano il tema delle competenze psico-sociali e interpersonali nell'infanzia.Un incontro per avvicinarsi ad un' educazione che valorizza le persone, regalando ai nostri ragazzi strumenti per vivere le loro vite con compassione e integrità, rispettando gli altri e se stessi. L'incontro sarà presentato dalla  dott.ssa Phyllis Dru Barkhurst, fondatrice di diverse iniziative nel campo dell'antiviolenza negli Stati Uniti. Ha lavorato e collaborato con l'attuale presidente Biden - sul &quot,Violence against Women Act&quot,, con lo scopo di supportare e proteggere le vittime di crimini. Inoltre è stata fondatrice e co-direttrice del Centro per la Prevenzione di Abuso e di Negligenza dell'Università dell'Oregon, focalizzando la sua ricerca sullo sviluppo dell'empatia in tenera età e il rinforzo di questa durante tutta l'infanzia e la vita adulta, a beneficio della  Comunità intera. Attualmente è  consulente e divulgatrice per promuovere e fare crescere una società priva di violenza.",Crescere i nostri bambini,,,Adulti,Anziani,Famiglie,,Biblioteca comunale,,,,,,https://www.comune.brentonico.tn.it/content/download/3808/53953/1/Crescere+i+nostri+bambini.pdf,,Contatti Biblioteca comunale,,,,,,,,,,,0.0,2.0,,,,,
b09b01dab3768ce8beaa4a80ebc9d1c3,2024-05-23T18:21:15+02:00,2024-06-14T15:18:22+02:00,LEGGIMI UNA STORIA,,Evento culturale,,,Letture animate al Parco per bambini dai 3 agli 8 anni,Tempo libero,Storie per bambini e lettura ad alta voce.Storie e libri selezionati da leggere insieme ai più piccoli presso la Biblioteca al Parco,Letture,,,Bambini,Famiglie,,Parco del Palù,,,,,,https://www.comune.brentonico.tn.it/content/download/3850/54828/2/letture+%281%29.pdf,,Contatto Biblioteca Comunale,,,,,,,,,,,0.0,2.0,,,,,,
0d0ae2e7bd552b4abd38ad0d7341f94a,2024-05-23T18:15:55+02:00,2024-06-14T15:20:05+02:00,LEGGIMI UNA STORIA,,Evento culturale,,,Letture animate al Parco per bambini dai 3 agli 8 anni,Tempo libero,Storie per bambini e lettura ad alta voce.Storie e libri selezionati da leggere insieme ai più piccoli presso la Biblioteca al Parco,Letture,,,Bambini,Famiglie,,Parco del Palù,,,,,,https://www.comune.brentonico.tn.it/content/download/3846/54684/2/letture_%281%29.pdf,,Contatto Biblioteca Comunale,,,,,,,,,,,0.0,2.0,,,,,,
