remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
2024-02-21T10:45:27+01:00,Dolomiti Ski Jazz - Street Parade,,Manifestazione artistica,,,Street Parade a Cavalese con Revensch con HappyCheese,Tempo libero,"Musica jazz tra le vie del centro di Cavalese. Non solo musica, ma anche un imperdibile appuntamento con HappyCheese street food, dalle 17.30 alle 18.30.",Dolomiti Ski Jazz,,,Adulti,Bambini,Famiglie,Giovani,Anziani,,,,,,,,,,Contatti Apt Val di Fiemme,,,,,,,,,,,0.0,2.0,,,,,
2024-02-28T13:41:42+01:00,Dolomiti Sky Jazz,,Manifestazione artistica,,,"Cavalese ospita Sugarpie &amp, The Candymen all'interno del Dolomiti Sky Jazz.",Tempo libero,"Il Dolomiti Ski Jazz porta nelle Valli di Fiemme e si Fassa il jazz e il funk con numerosi concerti nei rifugi e sulle piste da sci, nei teatri, nei locali e per le vie dei paesi.Cavalese ospita Sugarpie &amp, The Candymen alla Baita Tonda Cermis.",Dolomiti Ski Jazz,,,Adulti,Anziani,Bambini,Famiglie,Giovani,,,,,,,,,,Contatti Ufficio Segreteria - Commercio - Relazioni con il pubblico,,,,,,,,,,Italiano,0.0,2.0,,,,,
2024-02-28T13:50:19+01:00,Dolomiti Sky Jazz,,Manifestazione artistica,,,"Cavalese ospita &quot,Viva/De André&quot,, una storia di amicizia e musica all'interno del Dolomiti Sky Jazz.",Tempo libero,"Il Dolomiti Ski Jazz porta nelle Valli di Fiemme e si Fassa il jazz e il funk con numerosi concerti nei rifugi e sulle piste da sci, nei teatri, nei locali e per le vie dei paesi.Cavalese ospita &quot,Viva/De André&quot,, una storia di amicizia e musica al Palafiemme.",Dolomiti Ski Jazz,,,Adulti,Anziani,Bambini,Famiglie,Giovani,,,,,,"Il costo del biglietto è di € 25,00. La prevendita dei biglietti è disponibile qui.",,,,Contatti Ufficio Segreteria - Commercio - Relazioni con il pubblico,,,,,,,,,,Italiano,0.0,2.0,,,,,
2024-03-13T11:58:31+01:00,Incontro informativo relativo al passaggio dal mercato tutelato al mercato libero di luce e gas,,Incontro con esperti,,,Giovedì 21 marzo alle ore 15.00 presso la sala Frasnelli - Biblioteca Comunale di Cavalese,"Economia
Politica commerciale
Energia",Tutta la popolazione è invitata a partecipare all'incontro informativo relativo al passaggio dal mercato tutelato al mercato libero di luce e gas che si terrà giovedì 21 marzo 2024 alle ore 15.00 presso la sala Frasnelli - Biblioteca Comunale di Cavalese. L'incontro sarà diretto dalla dott.ssa Silvia Odorizzi del Centro di Ricerca e di Tutela dei consumatori e degli utenti di Trento.,Incontro informativo ,,,Adulti,Anziani,,Sede Biblioteca,,,,,,https://www.comune.cavalese.tn.it/content/download/4439/65226/1/Incontro+mercato+luce+e+gas.jpg,,Contatti Biblioteca,,,,,,,,,,,0.0,2.0,,,,,,,,
2024-04-04T14:18:26+02:00,"Presentazione del libro ""3x1 Tre volte DSA Dislessica Mamma Insegnante""",,Evento sociale,,,Presentazione del libro di Brunella Murolo,Questioni sociali,"Presentazione del libro &quot,3x1 Tre volte DSA Dislessica Mamma Insegnate&quot, di Brunella Murolo che tratta un tema sociale particolarmente importante quale il disturbo specifico dell'apprendimento.Interverranno alla presentazione anche l'Assessora del Comune di Cavalese Carla Vargiu, la responsabile del Tribunale del Malato Anna Divan e la rappresentante del gruppo organizzatore della serata Patrizia Caviola.",Biblioteca,,,Adulti,Famiglie,,Sede Biblioteca,,,,,,https://www.comune.cavalese.tn.it/content/download/4489/66702/1/Presentazione+libro+Brunella+Murolo.jpg,,Contatti Ufficio Segreteria - Commercio - Relazioni con il pubblico,,,,,,,,,,Italiano,0.0,2.0,,,,,,,,
2024-04-30T08:46:44+02:00,"Territorio, sicurezza, mobilità e costi sociali",,Giornata informativa,,,Conferenza pubblica promossa da Transdolomites,"Trasporto pubblico
Mobilità sostenibile
Traffico urbano","Verrà trattato in particolare il tema del trasporto sostenibile, prendendo in considerazione alcuni importanti punti come l'impatto sull'ambiente, l'impatto sul consumo di risorse ed energia, l'impatto sulla viabilità urbana e l'impatto sulla mortalità e lesività dei vari veicoli.Al termine degli interventi dei numerosi ospisti, verrà dato spazio ad un dibattito pubblico e alla voce dei giovani, tutta la popolazione è quindi invitata a partecipare.",Trasporto sostenibile,,,Adulti,Giovani,,Sede Biblioteca,,,,,,https://www.comune.cavalese.tn.it/content/download/4542/67878/1/Conferenza+Cavalese+14+maggio+2024.pdf,,Contatti Ufficio Segreteria - Commercio - Relazioni con il pubblico,,,,,,,,,,,0.0,2.0,,,,,,,,
2024-05-28T10:19:23+02:00,Il mercato contadino,,Evento stagionale commerciale,,,Torna a Cavalese dal 19 giugno,"Agricoltura, silvicoltura e pesca
Agricoltura
Prodotti alimentari","Anche quest'anno a in Piazza Italia a Cavalese ci sarà il tradizionale mercato contadino di Campagna Amica, tutti i mercoledì dalle 07.30 alle 12.30.",Mercato contadino,,,Adulti,Anziani,Bambini,Famiglie,Giovani,,Piazza Italia,,,,,,https://www.comune.cavalese.tn.it/content/download/4601/69130/2/Mercato+contadino.pdf,,Contatti Ufficio Segreteria - Commercio - Relazioni con il pubblico,,,,,,,,,,,0.0,2.0,,,,,
2024-05-31T10:45:13+02:00,Film senza casa,,Evento sociale,,,Proiezione del video documento sull'emergenza abitativa in Trentino,"Demografia e popolazione
Diritto
Economia
Istruzione
Biblioteca
Pianificazione del territorio
Casa","Con la partecipazione di Noemi Filosi, educatrice e antropologa culturale e Gianna Feller, filmaker, che hanno contribuito alla realizzazione del film",Casa,,,Adulti,Anziani,Famiglie,Giovani,,Sede Biblioteca,,,,,,https://www.comune.cavalese.tn.it/content/download/4615/69406/2/locandina+casa.jpg,,Contatti Biblioteca,,,,,,,,,,,0,2.0,,,,,,
2024-05-31T10:34:12+02:00,Piacere mio!,,Giornata informativa,,,"Scoprire, conoscere e capire il piacere femminile","Istruzione
Biblioteca","Dedicato a TUTTE e TUTTI coloro che credono che sia ora, per le donne, di sperimentare più piacere.Interviene Sara Tonini, esperta di salute ormonale e fertilità naturale",Femminilità,,,Adulti,Giovani,,Sede Biblioteca,,,,,,https://www.comune.cavalese.tn.it/content/download/4613/69361/1/Piacere+mio%21.pdf,,Contatti Biblioteca,,,,,,,,,,,0.0,2.0,,,,,,,,
2024-06-04T09:43:21+02:00,Nel cuore delle Dolomiti,,Manifestazione artistica,,,Spettacolo culturale sul tema delle Dolomiti preparato dagli alunni della Scuola Media di Cavalese,Istruzione,"
Durante quest’anno scolastico le classi terze della Scuola Media di Cavalese hanno seguito il percorso di educazione civica e alla cittadinanza sul tema delle Dolomiti. I docenti hanno proposto loro percorsi diversificati nelle varie discipline in modo da affrontare il tema sotto diversi punti di vista: storico, scientifico, culturale, sportivo, musicale ed artistico. 
In corso d’opera si sono aggiunti anche studenti di altre classi al fine di promuovere questo progetto. Per concludere questo percorso i Docenti hanno organizzato uno spettacolo finale il giorno giovedì 6 giugno alle 20.30 presso il Palafiemme di Cavalese.",,,,Bambini,Famiglie,Giovani,Anziani,Adulti,,Auditorium PalaFiemme,,,,,,https://www.comune.cavalese.tn.it/content/download/4619/69514/1/Spettacolo+fine+anno.jpg,,Contatti Ufficio Segreteria - Commercio - Relazioni con il pubblico,,,,,,,,,,,0.0,2.0,,,,,
