remoteId,published,modified,Titolo,Titolo breve,Sottotitolo,Descrizione,Testo,Inizio,Termine,Durata,Quando,Orario,Dove,Location,Informazioni,Destinatari,Costi,Stato,Tipologia,Materia,Tipo evento,Immagine,Manifestazione collegata (numero),Manifestazione collegata (testo),Manifestazione,Associazione,Immagine correlata,Progressivo,Link,Comune,lat,lon,address,Fonte
pat_2590350,2014-12-27T00:00:00+01:00,2014-11-30T01:01:06+01:00,Piccolo Mercatino di Natale,,,,,2014-12-27T00:00:00+01:00,2015-01-04T00:00:00+01:00,,,ore 16.00-19.00,"Giardinetti - Strada R. Löwy, , Moena",,"Note: Piccolo Mercatino di Natale allestito in centro paese, nei Giardinetti in Strada R. Löwy. Seguendo la tradizione del Nord Europa anche la Val di Fassa propone un bel mercatino natalizio dove acquistare regali curiosi e souvenir a ricordo della vacanza a Moena.Telefono: 0462/602466 (APT Valle di Fassa)",,,,Manifestazioni ed eventi,,,,0,,,,,,http://www.fassa.com,Comune di Moena,0.0,0.0,,Redazione Trentino Cultura
pat_2590649,2014-12-19T00:00:00+01:00,2014-12-04T01:04:21+01:00,Lo Hobbit. La Battaglia delle Cinque Armate,,,,,2014-12-19T00:00:00+01:00,2014-12-20T00:00:00+01:00,,,"venerdì ore 21.15

sabato ore 17.30 - 21.15","Cinema Marmolada, Stréda Roma, 38, Canazei",,"
Note: Nuova Zelanda/Usa, 2014
Titolo originale: The Hobbit: The Battle of the Five Armies
Genere: Fantasy, Avventura
Durata: 144'
Regia: Peter Jackson
Cast: Martin Freeman, Ian McKellen, Elijah Wood, Evangeline Lilly, Billy Connolly, Cate Blanchett, Hugo Weaving, Christopher Lee, Benedict CumberbatchLo Hobbit: la Battaglia delle Cinque Armate porta ad un'epica conclusione delle avventure di Bilbo Baggins, Thorin Scudodiquercia e la Compagnia di Nani. Dopo aver reclamato la loro patria dal drago Smaug, la compagnia ha involontariamente scatenato una forza letale nel mondo. Infuriato, Smaug abbatte la sua ira ardente e senza pietà alcuna su uomini inermi, donne e bambini di Pontelagolungo. Ossessionato soprattutto dal recupero del suo tesoro, Thorin sacrifica l'amicizia e l'onore e mentre i frenetici tentativi di Bilbo di farlo ragionare si accumulano finiscono per guidare lo Hobbit verso una scelta disperata e pericolosa. Ma ci sono anche pericoli maggori che incombono. Non visto, se non dal Mago Gandalf, il grande nemico Sauron ha mandato legioni di orchi in un attacco furtivo sulla Montagna Solitaria. Mentre l'oscurità converge sul conflitto in escalation, le razze di Nani, Elfi e Uomini devono decidere se unirsi o essere distrutte. Bilbo si ritrova così a lottare per la sua vita e quella dei suoi amici nell'epica Battaglia delle Cinque Armate mentre il futuro della Terra di Mezzo è in bilico.Telefono: 0462/602466 (APT Valle di Fassa)",,,,Cinema,,,,0,,,,,,http://www.cinemacanazei.com/,Comune di Canazei,0.0,0.0,,Redazione Trentino Cultura
pat_2590648,2014-12-13T00:00:00+01:00,2014-12-04T01:04:19+01:00,Magic in the Moonlight,,,,,2014-12-13T00:00:00+01:00,2014-12-14T00:00:00+01:00,,,ore 21.15,"Cinema Marmolada, Stréda Roma, 38, Canazei",,"
Note: Usa, 2014
Titolo originale: Magic in the Moonlight
Genere: Commedia
Durata: 98'
Regia: Woody Allen
Cast: mma Stone, Colin Firth, Marcia Gay Harden, Hamish Linklater, Jacki Weaver, Eileen Atkins, Erica Leerhsen, Simon McBurney, Jeremy Shamos, Kenneth EdelsonL'illusionista cinese Wei Ling Soo è il più celebrato mago della sua epoca, ma pochi sanno che il suo costume cela l'identità di Stanley Crawford, uno scorbutico ed arrogante inglese con un'altissima opinione di sé stesso ed un'avversione per i finti medium che dichiarano di essere in grado di realizzare magie. Convinto dal suo vecchio amico, Howard Burkan, Stanley si reca in missione nella residenza della famiglia Catledge, in Costa Azzurra: Grace la madre, Brice il figlio e Caroline la figlia. Si presenta come un uomo d'affari di nome Stanley Taplinger per smascherare la giovane ed affascinante chiaroveggente Sophie Baker che risiede lì insieme a sua madre. Sophie arriva a villa Catledge su invito di Grace, la quale è convinta che Sophie la possa aiutare ad entrare in contatto con il suo ultimo marito e, una volta giunta lì, attira l'attenzione di Brice, che si innamora di lei perdutamente. Già dal suo primo incontro con Sophie, Stanley la taccia di essere una mistificatrice facile da smascherare. Ma, con sua grande sorpresa e disagio, Sophie si esibisce in diversi esercizi di lettura della mente che sfuggono a qualunque comprensione razionale e che lasciano Stanley sbigottito...Telefono: 0462/602466 (APT Valle di Fassa)",,,,Cinema,,,,0,,,,,,http://www.cinemacanazei.com/,Comune di Canazei,0.0,0.0,,Redazione Trentino Cultura
pat_2590647,2014-12-08T00:00:00+01:00,2014-12-04T01:04:16+01:00,Scusate se esisto!,,,,,2014-12-08T00:00:00+01:00,2014-12-08T00:00:00+01:00,,,ore 17.30,"Cinema Marmolada, Stréda Roma, 38, Canazei",,"
Note: Italia, 2014
Titolo originale: Scusate se esisto!
Genere: Commedia
Durata: 106'
Regia: Riccardo Milani
Cast: Paola Cortellesi, Raoul Bova, Corrado Fortuna, Lunetta Savino, Cesare BocciSerena Bruno proviene da un paesino abruzzese, è laureata in architettura con il massimo dei voti, ha un master e conosce molte lingue straniere. Lavora a Londra, dove il suo talento e la sua dedizione sono adeguatamente apprezzati. Ma la nostalgia di casa è tanta, e Serena decide di tornare in Italia: naturalmente a Roma non trova un impiego nemmeno lontanamente paragonabile a quello che aveva in Inghilterra, e si arrabatta facendo tre lavori ben al di sotto delle sue capacità e competenze - arredatrice presso il Paradiso della cameretta, designer di cappelle funerarie per ricchi cafoni, e cameriera in un ristorante di lusso.Telefono: 0462/602466 (APT Valle di Fassa)",,,,Cinema,,,,0,,,,,,http://www.cinemacanazei.com/,Comune di Canazei,0.0,0.0,,Redazione Trentino Cultura
pat_2585111,2014-12-07T00:00:00+01:00,2014-10-12T01:00:50+02:00,Na crociera de... sogno,,,,,2014-12-07T00:00:00+01:00,2014-12-07T00:00:00+01:00,,,ore 16.30,"Teatro parrocchiale, , Moena",,"
Note: 12ª Rassegna provinciale di Teatro Amatoriale per Ragazzi
Filo &quot,S. Genesio&quot, di Calavino e Associazione &quot,Oasi della Valle dei Laghi&quot,
Na crociera de... sogno (teatro ragazzi) 
di Gigliola Brunelli
Stressata da un marito, a dir poco &quot,zuzzurellone&quot, e da due figli piuttosto &quot,litigarelli&quot,, la povera Rina sente il bisogno di evadere, almeno per una settimana, dalla consueta vita familiare. Ma trattenuta da mille scrupoli, si limita a rifugiarsi, con la sua fantasia, in una &quot,crociera... de sogno&quot, e... Era l'anno duemila quando la Filodrammatica S. Genesio coglie il desiderio dell'Associazione di volontariato &quot,Oasi Valle dei Laghi&quot, di poter vivere un'esperienza teatrale. Nasce così, l'anno dopo, &quot,Attenti al lupo!&quot,. Sul palco attori, ragazzi diversamente abili e volontari dimostrano che &quot,insieme si può!&quot,, che insieme si sta bene e ci si arricchisce reciprocamente. Il pubblico risponde positivamentea questo modo di far teatro. Sull'onda dell'entusiasmo il &quot,Progetto teatro&quot, prosegue con &quot,Pinocchietto mio!&quot, e con &quot,En sac... de confusion!&quot,. &quot,Na crociera...de sogno!&quot, è la nuova tappa di questo speciale ed innovativo percorso teatrale.Telefono: 0461/237352 (Co.F.As.) Altri organizzatori: Co.F.As Compagnie Filodrammatiche Associate",,,,Teatro,,,,0,,,,,,http://www.cofas.it|Co.F.As Compagnie Filodrammatiche Associate,Comune di Moena,0.0,0.0,,
pat_2590644,2014-12-06T00:00:00+01:00,2014-12-04T01:04:12+01:00,I pinguini di Madagascar,,,,,2014-12-06T00:00:00+01:00,2014-12-07T00:00:00+01:00,,,ore 17.30,"Cinema Marmolada, Stréda Roma, 38, Canazei",,"
Note: Usa, 2014
Titolo originale: Penguins of Madagascar
Genere: Animazione
Durata: 
Regia: Simon J. Smith, Eric DarnellProdotto dalla DreamWorks Animation e distribuito dalla 20th Century Fox, I pinguini di Madagascar è uno spin-off della fortunata serie di film d'animazione Madagascar. I protagonisti indiscussi di questa nuova avventura sono i quattro pinguini Skipper, Kowalski, Rico e Soldato che questa volta si ritroveranno a risolvere un complicato caso di spionaggio.Telefono: 0462/602466 (APT Valle di Fassa)",,,,Cinema,,,,0,,,,,,http://www.cinemacanazei.com/,Comune di Canazei,0.0,0.0,,Redazione Trentino Cultura
pat_2590643,2014-12-06T00:00:00+01:00,2014-12-04T01:03:16+01:00,Hunger Games: Il canto della rivolta - Parte I,,,,,2014-12-06T00:00:00+01:00,2014-12-06T00:00:00+01:00,,,ore 21.15,"Cinema Marmolada, Stréda Roma, 38, Canazei",,"
Note: Usa, 2014
Titolo originale: The Hunger Games: Mockingjay - Part I
Genere: Azione, Drammatico, Avventura
Durata: 125'
Regia: Francis Lawrence
Cast: Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Julianne Moore, Philip Seymour Hoffman, Woody Harrelson, Elizabeth Banks, Jeffrey Wright, Stanley Tucci, Donald Sutherland, Toby Jones, Willow Shields, Sam Claflin, Jena MaloneIl fenomeno mondiale di Hunger Games torna ad illuminare l'oscurità con Hunger Games: Il canto della rivolta - Parte I. Katniss Everdeen (Jennifer Lawrence) si trova ora nel Distretto 13 dopo aver annientato i giochi per sempre. Sotto la guida della Presidente Coin (Julianne Moore) e i consigli dei suoi fidati amici, Katniss spiega le sue ali in una battaglia per salvare Peeta (Josh Hutcherson) e un intero Paese incoraggiato dalla sua forza.Telefono: 0462/602466 (APT Valle di Fassa)",,,,Cinema,,,,0,,,,,,http://www.cinemacanazei.com/,Comune di Canazei,0.0,0.0,,Redazione Trentino Cultura
pat_2590646,2014-12-06T00:00:00+01:00,2014-12-04T01:04:14+01:00,Scusate se esisto!,,,,,2014-12-06T00:00:00+01:00,2014-12-06T00:00:00+01:00,,,ore 21.15,"Cinema Marmolada, Stréda Roma, 38, Canazei",,"
Note: Italia, 2014
Titolo originale: Scusate se esisto!
Genere: Commedia
Durata: 106'
Regia: Riccardo Milani
Cast: Paola Cortellesi, Raoul Bova, Corrado Fortuna, Lunetta Savino, Cesare BocciSerena Bruno proviene da un paesino abruzzese, è laureata in architettura con il massimo dei voti, ha un master e conosce molte lingue straniere. Lavora a Londra, dove il suo talento e la sua dedizione sono adeguatamente apprezzati. Ma la nostalgia di casa è tanta, e Serena decide di tornare in Italia: naturalmente a Roma non trova un impiego nemmeno lontanamente paragonabile a quello che aveva in Inghilterra, e si arrabatta facendo tre lavori ben al di sotto delle sue capacità e competenze - arredatrice presso il Paradiso della cameretta, designer di cappelle funerarie per ricchi cafoni, e cameriera in un ristorante di lusso.Telefono: 0462/602466 (APT Valle di Fassa)",,,,Cinema,,,,0,,,,,,http://www.cinemacanazei.com/,Comune di Canazei,0.0,0.0,,Redazione Trentino Cultura
pat_2585110,2014-11-30T00:00:00+01:00,2014-10-12T01:00:47+02:00,Il giardino dimenticato,,,,,2014-11-30T00:00:00+01:00,2014-11-30T00:00:00+01:00,,,ore 16.30,"Teatro parrocchiale, , Moena",,"
Note: 12ª Rassegna provinciale di Teatro Amatoriale per Ragazzi
Il giardino dimenticato di e con la Filodrammatica Amici del Teatro di MoenaTelefono: 0461/237352 (Co.F.As.) Altri organizzatori: Co.F.As Compagnie Filodrammatiche Associate",,,,Teatro,,,,0,,,,,,http://www.cofas.it|Co.F.As Compagnie Filodrammatiche Associate,Comune di Moena,0.0,0.0,,
pat_2589074,2014-11-29T00:00:00+01:00,2014-11-19T01:01:10+01:00,I pinguini di Madagascar,,,,,2014-11-29T00:00:00+01:00,2014-11-30T00:00:00+01:00,,,ore 17.00 - 21.15,"Cinema Marmolada, Stréda Roma, 38, Canazei",,"
Note: Usa, 2014
Titolo originale: Penguins of Madagascar
Genere: Animazione
Durata: 
Regia: Simon J. Smith, Eric DarnellProdotto dalla DreamWorks Animation e distribuito dalla 20th Century Fox, I pinguini di Madagascar è uno spin-off della fortunata serie di film d'animazione Madagascar. I protagonisti indiscussi di questa nuova avventura sono i quattro pinguini Skipper, Kowalski, Rico e Soldato che questa volta si ritroveranno a risolvere un complicato caso di spionaggio.Telefono: 0462/602466 (APT Valle di Fassa)",,,,Cinema,,,,0,,,,,,http://www.cinemacanazei.com/,Comune di Canazei,0.0,0.0,,Redazione Trentino Cultura
