remoteId,published,modified,Titolo,Titolo breve,Immagine,Descrizione breve,Descrizione,Locandina dell'evento,Inizio,Termine,Orario,Durata,Quando,Dove,lat,lon,address,Informazioni,Destinatari,Target,Costi,Stato,Parole chiave,Circoscrizione,Tipologia di evento,Iniziativa cui fa parte,Associazione,Progressivo,Fonte,Galleria,Telefono,Fax,Email,Sito web,Valutazione dell'utente,Location,Tipologia,Tipo evento,Manifestazione collegata (numero),Manifestazione collegata (testo),Immagine correlata,Comune
d58e76f0238fc4496a16f9abd67a44bf,2018-04-08T19:30:00+02:00,2018-03-14T15:29:36+01:00,E' arrivato il Broncio,,/var/comunitavalsugana/storage/images/applicazioni5/openagenda/eventi/e-arrivato-il-broncio2/3090541-2-ita-IT/E-arrivato-il-Broncio.jpg,Al Cinema Teatro di Borgo Valsugana,,,2018-04-08T19:30:00+02:00,2018-04-08T21:30:00+02:00,Alle 19.30,,L'8 aprile 2018,"Cinema Teatro - Via XXIV maggio, 38051 Borgo Valsugana",46.053812,11.461042,"Istituto D&#039,Istruzione Alcide Degasperi, 7, Via XXIV Maggio, Borgo Valsugana, Comunit&agrave, Valsugana e Tesino, TN, Trentino-Alto Adige, 38051, ",,,Tutti,"Intero Euro 7,00 - Ridotto Euro 5,00 - Abbonamento 10 film a scelta (escluso ""Piacere del cinema"") Euro 60,00",,,,Cinema,,,,,,0461 754052,,,https://www.facebook.com/cineteatro.borgo/|Facebook,,interno,,,0.0,,,
cfa83787fd8241a516ebe4de29fc2f3c,2018-04-08T17:00:00+02:00,2018-03-14T15:19:23+01:00,E' arrivato il Broncio,,/var/comunitavalsugana/storage/images/applicazioni5/openagenda/eventi/e-arrivato-il-broncio/3090503-1-ita-IT/E-arrivato-il-Broncio.jpg,Al Cinema Teatro di Borgo Valsugana,,,2018-04-08T17:00:00+02:00,2018-04-08T19:00:00+02:00,Alle 17,,L'8 aprile 2018,"Cinema Teatro - Via XXIV maggio, 38051 Borgo Valsugana",46.053812,11.461042,"Istituto D&#039,Istruzione Alcide Degasperi, 7, Via XXIV Maggio, Borgo Valsugana, Comunit&agrave, Valsugana e Tesino, TN, Trentino-Alto Adige, 38051, ",,,Tutti,"Intero Euro 7,00 - Ridotto Euro 5,00 - Abbonamento 10 film a scelta (escluso ""Piacere del cinema"") Euro 60,00",,,,Cinema,,,,,,0461 754052,,,https://www.facebook.com/cineteatro.borgo/|Facebook,,interno,,,0.0,,,
84e5434483c3f84b2e9277427cb1ac6e,2018-04-08T10:30:00+02:00,2018-03-29T09:31:20+02:00,Festa del sole,,/var/comunitavalsugana/storage/images/applicazioni5/openagenda/eventi/festa-del-sole/3097991-1-ita-IT/Festa-del-sole.jpg,Il gruppo alpini Selva invita tutta la popolazione a festeggiare l'arrivo del sole.,Il gruppo alpini Selva invita tutta la popolazione a festeggiare l'arrivo del sole presso la sala polifunzionale di Selva di Grigno. Ricco buffet per tutti. Vi attendiamo numerosi! Durante la festa si svolgerà una lotteria con ricchi premi.,,2018-04-08T10:30:00+02:00,2018-04-08T18:00:00+02:00,A partire dalle 10.30,,L'8 aprile 2018,Selva di Grigno,46.01665,11.595211,"Strada della Marcesina, Grigno, Comunit&agrave, Valsugana e Tesino, TN, Trentino-Alto Adige, Italia",,,Tutti,Ingresso libero,,,,"Manifestazioni ed eventi,Festa,Enogastronomia",,,,,,,,,,,interno,,,0.0,,,
3890e082747c290a2bd51fa6dc3af6cc,2018-04-07T20:30:00+02:00,2018-04-03T14:29:38+02:00,Eventi adunata alpini 2018: Cori a Roncegno Terme,,/var/comunitavalsugana/storage/images/applicazioni5/openagenda/eventi/eventi-adunata-alpini-2018-cori-a-roncegno-terme/3099226-1-ita-IT/Eventi-adunata-alpini-2018-Cori-a-Roncegno-Terme.jpg,Rassegna di Cori al Palace Hotel,,http://www.comunitavalsuganaetesino.it/content/download/211511/3099229/1/locandina adunata.pdf,2018-04-07T20:30:00+02:00,2018-04-07T22:30:00+02:00,,,,,46.051623,11.410303,"Roncegno Terme, Comunit&agrave, Valsugana e Tesino, TN, Trentino-Alto Adige, 38050, Italia",,,Tutti,,,,,Concerto corale,,Comune di Roncegno Terme,,,,,,,,,interno,,,0.0,,,
b83e9f5f6110a4881da10999538e984f,2018-04-06T20:30:00+02:00,2018-03-22T16:14:34+01:00,Incontro con l'autore Pino Dellasega,,/var/comunitavalsugana/storage/images/applicazioni5/openagenda/eventi/incontro-con-l-autore-pino-dellasega/3093844-1-ita-IT/Incontro-con-l-autore-Pino-Dellasega.jpg,"Incontro di presentazione del libro &quot,Resilienti&quot,",,,2018-04-06T20:30:00+02:00,2018-04-06T22:30:00+02:00,,,,Sala del Camino di Casa Raphael - Roncegno Terme,46.051623,11.410303,"Roncegno Terme, Comunit&agrave, Valsugana e Tesino, TN, Trentino-Alto Adige, 38050, Italia",,,Tutti,gratuito,,,,"Incontri e convegni,Presentazione libro",,Comune di Roncegno Terme,,,,,,roncegno@biblio.infotn.it,,,interno,,,0.0,,,
9bac5f8a60a5b82904fb4b2d2ddc7725,2018-04-06T20:30:00+02:00,2018-03-22T18:17:30+01:00,Il senso della bellezza – Arte e Scienza al CERN,,/var/comunitavalsugana/storage/images/applicazioni5/openagenda/eventi/il-senso-della-bellezza-arte-e-scienza-al-cern/3094034-1-ita-IT/Il-senso-della-bellezza-Arte-e-Scienza-al-CERN.jpg,Pensiero in evoluzione 2018,"Un film documentario sul CERN di Ginevra del regista Valerio Jalongo, che ha sbaragliato i botteghini e si è posizionato tra i film più visti, un successo non previsto che spiega come il genere del documentario stia vivendo una seconda rinascita. ",,2018-04-06T20:30:00+02:00,2018-04-06T22:30:00+02:00,Alle 20.30,,Il 6 aprile 2018,Cinema teatro di Borgo Valsugana,46.053805,11.461106,"Istituto D&#039,Istruzione Alcide Degasperi, 7, Via XXIV Maggio, Crosetta, Olle, Borgo Valsugana, Comunit&agrave, Valsugana e Tesino, TN, Trentino-Alt","L'iniziativa nasce grazie all'intercessione e desiderio dei docenti e del direttore dell'Istituto Alcide Degasperi, della Biblioteca Borgo Valsugana e della Cassa Rurale Valsugana e Tesino.",,Tutti,Ingresso libero,,,,Cinema,Pensiero in evoluzione,,,,,,,,,,interno,,,0.0,,,
e371cf5029d8bf52e62b1d19029f91ce,2018-04-04T20:30:00+02:00,2018-03-28T10:14:00+02:00,UN ANNO DI ATTIVITA’ DEL GAL: RISULTATI RAGGIUNTI E PROSPETTIVE ,,/var/comunitavalsugana/storage/images/applicazioni5/openagenda/eventi/un-anno-di-attivita-del-gal-risultati-raggiunti-e-prospettive2/3095718-1-ita-IT/UN-ANNO-DI-ATTIVITA-DEL-GAL-RISULTATI-RAGGIUNTI-E-PROSPETTIVE.jpg,"Concluso il suo primo anno di attività con l'approvazione delle ultime graduatorie dei bandi 2017, il GAL Trentino Orientale promuove un nuovo ciclo di incontri sul territorio per informare le comunità sui risultati raggiunti e raccogliere nuove manifestazioni di interesse progettuali.","Concluso il suo primo anno di attività con l'approvazione delle ultime graduatorie dei bandi 2017, il GAL Trentino Orientale promuove un nuovo ciclo di incontri sul territorio per informare le comunità sui risultati raggiunti e raccogliere nuove manifestazioni di interesse progettuali.Le informazioni raccolte in questa nuova fase di ascolto dei portatori di interesse sarà funzionale ad aggiornare la Strategia di sviluppo locale del GAL e rendere i futuri bandi sempre più rispondenti ai fabbisogni degli operatori pubblici e privati dell'area.Il Direttore del GAL presenterà gli esiti dei bandi 2017 ed il programma di attività dell'Associazione per l'anno in corso, illustrando in particolare le modalità per segnalare al GAL nuove manifestazioni di interesse progettuali in vista della pubblicazione dei prossimi bandi Leader.",http://www.comunitavalsuganaetesino.it/content/download/211233/3095721/2/locandina_serata_Castello_Tesino_04_04_2018 (1).pdf,2018-04-04T20:30:00+02:00,2018-04-04T22:30:00+02:00,Dalle 20.30 alle 22.30,,Il 4 aprile 2018,"Palazzo Gallo, Castello Tesino",46.064465,11.632401,"Palazzo Gallo, Via Cesare Battisti, Castello Tesino, Comunit&agrave, Valsugana e Tesino, TN, Trentino-Alto Adige, 38053, Italia",,,Tutti,Ingresso gratuito,,,,Convegno,,GAL Trentino Orientale,,,,0461 1486877,,info@galtrentinorientale.it,https://www.galtrentinorientale.it/,,interno,,,0.0,,,
9a38743cc33d803cd8ffef8b661cc94d,2018-04-04T20:30:00+02:00,2018-03-14T15:17:48+01:00,Chiamami col tuo nome,,/var/comunitavalsugana/storage/images/applicazioni5/openagenda/eventi/chiamami-col-tuo-nome/3090465-1-ita-IT/Chiamami-col-tuo-nome.jpg,Al Cinema Teatro di Borgo Valsugana,,,2018-04-04T20:30:00+02:00,2018-04-04T22:30:00+02:00,Alle 20.30,,Il 4 aprile 2018,"Cinema Teatro - Via XXIV maggio, 38051 Borgo Valsugana",46.053812,11.461042,"Istituto D&#039,Istruzione Alcide Degasperi, 7, Via XXIV Maggio, Borgo Valsugana, Comunit&agrave, Valsugana e Tesino, TN, Trentino-Alto Adige, 38051, ",Piacere del cinema,,Tutti,"Intero Euro 7,00 - Ridotto Euro 5,00 - Abbonamento 10 film a scelta (escluso ""Piacere del cinema"") Euro 60,00",,,,Cinema,,,,,,0461 754052,,,https://www.facebook.com/cineteatro.borgo/|Facebook,,interno,,,0.0,,,
e19b2a37bf1ae7c227fd45b1ca09f7a8,2018-04-03T21:00:00+02:00,2018-03-23T10:24:58+01:00,4 Quartet clarinet,,/var/comunitavalsugana/storage/images/applicazioni5/openagenda/eventi/4-quartet-clarinet/3094216-1-ita-IT/4-Quartet-clarinet.jpg,I concerti del martedì,"
Mariella Scala, Ilaria Sansoni, Anna Venturini, Cristina MontresorMusiche: Mozart, Farkas, Stamitz, Bartok",http://www.comunitavalsuganaetesino.it/content/download/211186/3094219/1/CALENDARIO CONCERTI 2018.pdf,2018-04-03T21:00:00+02:00,2018-04-03T23:00:00+02:00,Alle 21,,Il 3 aprile 2018,"Casa di salute Raphael, Palace Hotel, Roncegno Terme",46.049868,11.40914,"Casa Raphael Palace Hotel, Via Waiz, Maso Vazzena, Masetti, Roncegno Terme, Comunit&agrave, Valsugana e Tesino, TN, Trentino-Alto Adige, 38051, Italia",Direzione artistica: Santo Albertini ed Edoardo Bruni,,Tutti,Ingresso libero,,,,"Musica,Musica classica",I concerti del martedì,,,,,0461 772000,,info@arsmodi.it,http://www.casaraphael.com/|www.casaraphael.com,,interno,,,0.0,,,
93cb40e28bce078a8a591f3645b7173c,2018-04-03T16:00:00+02:00,2018-03-28T14:04:05+02:00,Letture sulla vita di malga,,/var/comunitavalsugana/storage/images/applicazioni5/openagenda/eventi/letture-sulla-vita-di-malga/3096147-2-ita-IT/Letture-sulla-vita-di-malga.jpg,Letture sulla vita di malga,,,2018-04-03T16:00:00+02:00,2018-04-03T18:00:00+02:00,Alle 16,,Il 3 aprile 2018,"A.P.S.S. S. Lorenzo e S. Maria della Misericordia, Borgo Valsugana",46.05701,11.465768,"A.P.S.S. S. Lorenzo e S. Maria della Misericordia, Via per Telve, Crosetta, Olle, Borgo Valsugana, Comunit&agrave, Valsugana e Tesino, TN, Trentino-Al",,,Tutti,Ingresso libero,,,,"Mostra fotografica,Reading",La cultura delle malghe,A.P.S.P. San Lorenzo e Santa Maria della Misericordia,,,,,,,,,interno,,,0.0,,,
