remoteId,published,modified,Titolo,Titolo breve,Sottotitolo,Descrizione,Testo,Inizio,Termine,Durata,Quando,Orario,Dove,Location,Informazioni,Destinatari,Costi,Stato,Tipologia,Materia,Tipo evento,Immagine,Manifestazione collegata (numero),Manifestazione collegata (testo),Manifestazione,Associazione,Immagine correlata,Progressivo,Link,Comune,lat,lon,address,Fonte
04497839e0ef14efa77afed8885ec337,2015-04-12T15:00:00+02:00,2015-04-10T09:30:54+02:00,Anteprima Biodistretto,"""Anteprima Biofestival - Il Biodistretto si presenta"" domenica 12 aprile ore 15.00 - 20.00",,,,2015-04-12T15:00:00+02:00,2015-04-12T20:00:00+02:00,,DOMENICA 12 APRILE,dalle ore 15.00 alle 20.00,CANTINA di TOBLINO,interno,"Ore 15.00 - 19.00 Esposizione e dimostrazioni pratiche di prodotti e lavorazioni Bio a cura dei Produttori della Valle dei Laghi&quot,Orto? Strano ma vero!!&quot, Laboratori per le famiglie e per i più piccoli a cura dell'AssociazioneNettare e in collaborazione con il Centro famiglie Valle dei LaghiOre 17.00 Ufficializzazione del Biodistretto della Valle dei LaghiSaluto delle Autorità:Luca Sommadossi - Presidente Comunità della Valle dei LaghiMichele Dallapiccola - Assessore all'Agricoltura, foreste, turismo e promozione, caccia e pesca - P.A.T.Presentazione dell'Associazione “Biodistretto della Valle dei Laghi” da parte dei Soci FondatoriOre 17.30 Tavola rotonda dal titolo: “UN’OPPORTUNITÀ TUTTA BIO!!”Modera: Walter Nicoletti - giornalistainterviene:Federico Bigaran - Ufficio per le produzioni biologiche - P.A.T.Loris Cimonetti - Presidente “Distretto biologico della Val di Gresta”Angelo Giovanazzi - Presidente Associazione “Baldensis” di BrentonicoRoberto Vettori - Direttore Coop sociale “Progetto '92”Ore 18.30 Concerto del Coro Cima VerdeOre 19.00 Degustazioni con prodotti locali della Valle dei Laghi

    35x50web.pdf
",,,,,,,/var/comunitalaghi/storage/images/comunita-della-valle-dei-laghi/il-territorio/altri-eventi-sul-territorio/anteprima-biofestival-il-biodistretto-si-presenta-domenica-12-aprile-ore-15.00-20.00/2430466-1-ita-IT/Anteprima-Biofestival-Il-Biodistretto-si-presenta-domenica-12-aprile-ore-15.00-20.00.jpg,0,,,,,,,,0.0,0.0,,
pat_2582222,2015-04-11T00:00:00+02:00,2014-09-19T01:10:34+02:00,Original Dixieland Songbook,,,,,2015-04-11T00:00:00+02:00,2015-04-11T00:00:00+02:00,,,ore 21.00,"Teatro Valle dei Laghi, Località Lusan, Vezzano",,"
Note: Le Stagioni dei Teatri
Salotti musicali
con Tiger Dixie Band
Paolo Trettel Tromba
Stefano Menato Clarinetto/ Sax Soprano
Luigi Grata Trombone
Andrea Boschetti Banjo, Chitarra
Renzo De Rossi Piano
Giorgio Beberi Sax Basso
Claudio Ischia Batteria
La Tiger Dixie Band, una delle poche band a livello internazionale, che si dedica sistematicamente al recupero del Jazz degli anni ruggenti, proponendolo con un approccio interpretativo originale ed attuale.Viaggio musicale attraverso i tempi e i luoghi del Jazz tradizionale passando attraverso le atmosfere tipiche del New Orleans e del Chicago Style, del Charleston e del Ragtime.Telefono: 0461/340158",,,,Musica,,,,0,,,,,,http://www.teatrovalledeilaghi.it,Comune di Vezzano,0.0,0.0,,Redazione Trentino Cultura
pat_2582207,2015-03-28T00:00:00+01:00,2014-09-19T01:10:02+02:00,"Bianca come il latte, rossa come il sangue",,,,,2015-03-28T00:00:00+01:00,2015-03-28T00:00:00+01:00,,,ore 20.30,"Teatro Valle dei Laghi, Località Lusan, Vezzano",,"
Note: Le Stagioni dei Teatri
Cinema
Italia, 2013
Titolo originale: Bianca come il latte, rossa come il sangue
Genere: Commedia
Durata: 102'
Regia: Giacomo Campiotti
Cast: Filippo Scicchitano, Aurora Ruffino, Luca Argentero, Romolo Guerreri, Gaia WeissLeo ha sedici anni, poca voglia di studiare e tanta di dichiararsi a Beatrice, la ragazza dai capelli rossi che frequenta il suo liceo. Perdutamente innamorato, prova in tutti i modi ad avvicinarla ma ogni volta non sembra mai quella buona. Esitante e maldestro, Leo chiede aiuto all'amico Niko e all'amica Silvia, invaghita di lui dalle medie e da una gita a Venezia. Inciampato dentro a un cinema e a un passo da lei, il ragazzo riesce finalmente a strapparle la promessa di rivedersi presto a scuola ma in aula Beatrice non tornerà più perché la leucemia le ha avvelenato il sangue e compromesso il futuro. Sconvolto ma risoluto, Leo decide di prendersi cura di lei e di accompagnarla nella malattia, allacciando con Beatrice una tenera amicizia che contemplerà il buio e la luce. Tra una partita di calcetto e un brutto voto da riparare, Leo imparerà la vita, la morte e l'amore.Telefono: 0461/340158",,,,Cinema,,,,0,,,,,,http://www.teatrovalledeilaghi.it,Comune di Vezzano,0.0,0.0,,Redazione Trentino Cultura
6bce77535fefead5519784a2a0c887da,2015-03-27T00:00:00+01:00,2015-03-19T12:39:10+01:00,DivinNosiola,DivinNosiola,,"Un mese dedicato alla promozione dell'eccellenza enologica della Valle dei Laghi, la Nosiola, vitigno da cui si produce il famoso Vino Santo trentino.",http://www.comunita.valledeilaghi.tn.it/content/download/138782/2415941/1/DiVinNosiola 2015 - file web.pdf,2015-03-27T00:00:00+01:00,2015-04-23T00:00:00+02:00,,dal 27 marzo al 23 aprile 2015 ,,Valle dei Laghi,esterno,"
Consorzio Pro Loco Valle dei Laghi 
0461 864400info@valledeilaghiturismo.it | www.valledeilaghiturismo.it | www.unplitrentino.it",,,,,,,,0,,,,,,,,0.0,0.0,,
pat_2582220,2015-03-27T00:00:00+01:00,2014-09-19T01:09:59+02:00,Passiontango,,,,,2015-03-27T00:00:00+01:00,2015-03-27T00:00:00+01:00,,,ore 20.30,"Teatro Valle dei Laghi, Località Lusan, Vezzano",,"
Note: Le Stagioni dei Teatri
Danza
Compagnia Naturalis Labor
Passiontango
regia e coreografie di Luciano Padovani
coreografie di tango di e con Loredana De Brasi e Tobias Bert, Marcelo Ballonzo e Elena Garis
cantante e danzatrice Sandhya Nagaraya
musica dal vivo del Trio Lumière de tango
bandoneon Marco Fabbri
«E l tango es un romance de amor y seducción que dura tres minutos...»
Passiontango è un gioco di seduzione con veli di nostalgia, intrecci di sguardi e tocchi leggeri, languidi abbandoni e scatti repentini del corpo, frutto di magiche coreografie. Una delle arti che più esalta e appassiona il pubblico.
Si intitola PassionTango il secondo spettacolo della nuova proposta di danza inserita all'interno della Stagione Teatrale di Riva del Garda e organizzata dal Comune in collaborazione con il Centro Servizi Culturali S. Chiara di Trento.
PassionTango, in calendario sabato 25 gennaio, porta in scena l'essenza di questo ballo che parla ai sensi, gioco di seduzione velato di nostalgia, intreccio di sguardi e di tocchi leggeri tra languidi abbandoni e scatti repentini.
Sul palcoscenico del Palacongressi di Riva del Garda un cast di danzatori argentini ed europei: Tobias Bert, Loredana De Brasi (che nonostante il nome tutto italiano è argentina doc, di Buenos Aires), Marcelo Ballonzo y Elena Garis.
L'accompagnamento musicale sarà rigorosamente dal vivo, eseguito e interpretato dal trio Lumière de tango, ensemble molto conosciuto e apprezzato sia in Italia che nel resto d'Europa. Il trio, composto da Stefano Giavazzi al piano, Cristina Bertoli al flauto e Marco Fabbri al bandoneon, eseguirà brani di tango classici: da Osvaldo Pedro Pugliese al più conosciuto Astor Piazzolla. 
In un gioco di seduzione dove i fianchi si toccano, le gambe si incrociano con precisione, i piedi si muovono all'unisono, i danzatori diventano, quasi inconsapevolmente, una cosa sola. &quot,El tango es un romance de amor y seducción que dura tres minutos...&quot,: tenerezza, desiderio e tanta passione, il tango è metafora della vita e dell'amore. Le coreografie sono di Luciano Padovani, con all'attivo molte creazioni per Naturalis Labor, il gruppo che ha fondato nel 1988. Lo stile della Compagnia deve molto alle esperienze carlsoniane e di tanta danza francese, ma da qualche anno ha iniziato a sperimentare incroci e suggestioni tra danza contemporanea e tango. Si possono ricordare, al riguardo, il bellissimo Declaraciòn, il recente e intrigante La Catedràl o i più classici Alma de tango o Noche Tanguera: tutti spettacoli presentati in Italia e in Europa, che hanno riscosso un grandissimo successo. Telefono: 0461/340158",,,,Danza,,,,0,,,,,,http://www.teatrovalledeilaghi.it,Comune di Vezzano,0.0,0.0,,Redazione Trentino Cultura
f15f2ee2c4bb62eb26f27b47d38ed734,2015-03-24T14:45:00+01:00,2015-03-24T14:49:35+01:00,"BIANCA COME IL LATTE, ROSSA COME IL SANGUE",,"
SABATO 28 MARZO - ORE 20.30
ROSSA COME IL SANGUE
BIANCA COME IL LATTE
Un film di Giacomo Campiotti
Con Filippo Scicchitano, Aurora Ruffino,Gaia Weiss, Luca Argentero, Romolo Guerreri
Leo ha sedici anni, poca voglia di studiare e tanta di dichiararsi
a Beatrice, la ragazza dai capelli rossi che frequenta il suo liceo.
Perdutamente innamorato, prova in tutti i modi ad avvicinarla ma ogni
volta non sembra mai quella buona. Esitante e maldestro, Leo chiede
aiuto all’amico Niko e all’amica Silvia, invaghita di lui dalle medie e da
una gita a Venezia. Inciampato dentro a un cinema e a un passo da lei,
il ragazzo riesce finalmente a strapparle la promessa di rivedersi prestoa scuola ma in aula Beatrice non tornerà più…",,http://www.comunita.valledeilaghi.tn.it/content/download/139052/2420324/1/Bianca come il latte rossa come il sangue (1).pdf,2015-03-24T14:45:00+01:00,,,SABATO 28 MARZO 2015 ,20.30,TEATRO DI VALLE VEZZANO,interno,,,,,,,FILM,/var/comunitalaghi/storage/images/comunita-della-valle-dei-laghi/il-territorio/altri-eventi-sul-territorio/bianca-come-il-latte-rossa-come-il-sangue/2420339-1-ita-IT/BIANCA-COME-IL-LATTE-ROSSA-COME-IL-SANGUE.png,0,,,,,,,,0.0,0.0,,
1227459054aa236d24691d201f72b379,2015-03-21T00:00:00+01:00,2015-03-06T14:53:22+01:00,ASPETTANDO LA PRIMAVERA,,,"
FESTA DI PRIMAVERA
ORE 19.30: CENA &quot,SAPORI E PROFUMI DI PRIMAVERA&quot, IN COLLABORAZIONE CON IL GIARDINO DELLE SPEZIE SU PRENOTAZIONE CONTATTANDO IL TEATRO VALLE DEI LAGHIORE 21.00 &quot,EQUINOZIO: DANZE POPOLARI IN EQUILIBRIO TRA LENTEZZA E ACCELLERATO&quot, CON LILIANA DALSASSO",http://www.comunita.valledeilaghi.tn.it/content/download/138032/2402980/1/Aspettando la Primavera.pdf,2015-03-21T00:00:00+01:00,2015-03-21T00:00:00+01:00,,SABATO 21 MARZO,"ORE 19.30 CENA, ORE 21.00  ""EQUINOZIO: DANZE POPOLARI IN EQUILIBRIO TRA LENTEZZA E ACCELLERATO""",CAFFE' CULTURALE THE STAFF - TEATRO VALLE DEI LAGHI,interno,"
0461 340158347 8595999",,CENA PIATTO UNICO 15 EURO,,,,,,0,,,,,,,,0.0,0.0,,
25693e0e9b7e223c64d01a3032e1e511,2015-03-20T00:00:00+01:00,2015-03-06T14:27:21+01:00,ASPETTANDO LA PRIMAVERA,,,"
I VENERDI' DEL BENESSERE
YOGA DELLA RISATASTEFANO MARCHETTI, ASSOCIAZIONE CRESCENDO DI DRO E CLUB YOGA DELLA RISATA VALLE DEI LAGHI",http://www.comunita.valledeilaghi.tn.it/content/download/138031/2402950/1/Aspettando la Primavera.pdf,2015-03-20T00:00:00+01:00,2015-03-20T00:00:00+01:00,,VENERDI' 20 MARZO,ORE 20.30,CAFFE' CULTURALE THE STAFF - TEATRO VALLE DEI LAGHI,interno,"
0461 340158347 8595999",,,"OFFERTA LIBERA. SI CONSIGLIA ABBIGLIAMENTO COMODO, UN TAPPETTINO ED UN PLAID",,,,,0,,,,,,,,0.0,0.0,,
ac628ecb8d0a08ab8b05bce56f7fa389,2015-03-18T00:00:00+01:00,2015-03-11T15:45:53+01:00,sagra dei,,,,,2015-03-18T00:00:00+01:00,2015-03-18T00:00:00+01:00,,,,,esterno,,,,,,,,,0,,,,,,,,0.0,0.0,,
pat_2582235,2015-03-18T00:00:00+01:00,2014-09-19T01:09:16+02:00,La città delle volpi,,,,,2015-03-18T00:00:00+01:00,2015-03-18T00:00:00+01:00,,,ore 10.00,"Teatro Valle dei Laghi, Località Lusan, Vezzano",,"
Note: Le Stagioni dei Teatri
Teatro scuola
Teatro Libero
La città delle volpi
ispirato alle favole di Esopo e La Fontaine
drammaturgia Annamaria Guzzio
regia Lia Chiappara
con Giada Costa, Vincenzo Costanzo, Giuseppe Vignieri
musiche originali Ruggiero Mascellino
eseguite da D. Santamaura, R. Mascellino, G. Guddo
scene Laboratorio Teatro Libero
costumi Morena Fanny Raimondo
luci Gabriele Circo
durata 55 min
età 6-12 anni
tecnica teatro dattoreIl lavoro gioca con sette favole di Esopo e La Fontaine che hanno come protagonista principale la Volpe, che nellimmaginario collettivo è associata alla furbizia. Il linguaggio è quello delloperina (canto, danza, interpretazione), che riesce a esprimere in maniera divertita i vizi e le virtù degli animali nelle loro situazioni di relazioni più tipiche. In una città immaginaria, gli animali-personaggi si incontrano, si scontrano in una atmosfera rarefatta, dove tempo, luogo e spazio si fondono e si confondono, ridando a mo di incisivi sketch, la maestria, la saggezza e la istrionica ironia della tradizione favolistica classica. Tradizione che tramanda il pensiero derivato dalla cultura popolare del buon senso, che attribuisce valori a cose semplici e tangibili, tratte dalla vita di ogni giorno.Telefono: 0461/340158",,,,Teatro,,,,0,,,,,,http://www.teatrovalledeilaghi.it,Comune di Vezzano,0.0,0.0,,Redazione Trentino Cultura
