remoteId,published,modified,Titolo,Titolo breve,Immagine,Descrizione,Locandina dell'evento,Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,Tipologia evento,Manifestazione cui fa parte,Associazione,Progressivo,Sottotitolo,Orario,lat,lon,address,Fonte
e377ff6bca5dccd445cc3a8e5ea38918,2016-05-11T13:07:36+02:00,2016-05-18T23:44:35+02:00,MI HAI CHIESTO SE SONO FELICE?,,/var/giovo/storage/images/territorio/calendario/mi-hai-chiesto-se-sono-felice/29538-4-ita-IT/MI-HAI-CHIESTO-SE-SONO-FELICE.jpg,"
Serata di sensibilizzazione ed informazione sulle 
problematiche della tossicodipendenza
Interviene: Maurizio Folgheraiter
Presidente dell'Associazione “Amici di San Patrignano”
Porteranno, inoltre, la loro testimonianza: una famiglia e un giovane che ha vissuto il percorso in Comunità.",,2016-05-27T20:30:00+02:00,,,VENERDI' 27 MAGGIO,TEATRO - VERLA DI GIOVO,,,,,,,,Evento singolo,,"Associaz. ""NOI"" Oratorio parrocchiale di Verla",,, ORE 20.30,0.0,0.0,,
c4bef347b97e8e67a4bc1e9d5448e7dd,2016-05-02T13:03:48+02:00,2016-05-02T13:03:48+02:00,Palazzi Aperti - chiesa di San Floriano,,/var/giovo/storage/images/territorio/calendario/palazzi-aperti-chiesa-di-san-floriano/29450-1-ita-IT/Palazzi-Aperti-chiesa-di-San-Floriano.jpg,"Sabato 14 maggio il comune di Giovo aderisce all'iniziativa &quot,Palazzi Aperti&quot, con visite guidate alla Chiesa di San Floriano a cura di Elisa Lona e Viviana Brugnara. ",,2016-05-14T14:30:00+02:00,2016-05-14T16:30:00+02:00,,,,,,,,,,,Evento singolo,,,,,,0.0,0.0,,
30df463b52e3594140a2a7840868daa5,2016-04-26T16:46:31+02:00,2016-04-26T16:46:31+02:00,INCONTRI PER MAMME CON NEONATI,MAMME E NEONATI,/var/giovo/storage/images/territorio/calendario/mamme-e-neonati2/29359-1-ita-IT/MAMME-E-NEONATI.jpg,"
QUANDO SI DIVENTA MAMMA E' BELLO CONFRONTARSI CON CHI STA AFFRONTANDO LA STESSA ESPERIENZA, PARLARE DI QUELLO CHE STA SUCCEDENDO E DEI PICCOLI E GRANDI CAMBIAMENTI CHE IL NUOVO ARRIVATO HA PORTATO CON SE'..PER QUESTO ABBIAMO ORGANIZZATO 5 INCONTRI",http://www.comune.giovo.tn.it/content/download/2951/29361/1/IMG_2631.JPG,2016-04-27T10:30:00+02:00,,,,CENTRO CIVICO VALTERNIGO,"
QUANDO SI DIVENTA MAMMA E' BELLO CONFRONTARSI CON CHI STA AFFRONTANDO LA STESSA ESPERIENZA, PARLARE DI QUELLO CHE STA SUCCEDENDO E DEI PICCOLI E GRANDI CAMBIAMENTI CHE IL NUOVO ARRIVATO HA PORTATO CON SE'..PER QUESTO ABBIAMO ORGANIZZATO 5 INCONTRI",NEOMAMME,,,,,,Evento singolo,,Il Girasole,,,,0.0,0.0,,
3e9cc7eb4864ae447cf5ddae1f6b76d8,2016-04-26T16:34:34+02:00,2016-04-26T16:37:14+02:00,INCONTRI PER MAMME CON NEONATI,MAMME E NEONATI,,"
QUANDO SI DIVENTA MAMMA E' BELLO CONFRONTARSI CON CHI STA AFFRONTANDO LA STESSA ESPERIENZA, PARLARE DI QUELLO CHE STA SUCCEDENDO E DEI PICCOLI E GRANDI CAMBIAMENTI CHE IL NUOVO ARRIVATO HA PORTATO CON SE'..PER QUESTO ABBIAMO ORGANIZZATO 5 INCONTRI2",http://www.comune.giovo.tn.it/content/download/2950/29336/4/IMG_2631.JPG,2016-05-04T10:30:00+02:00,2016-05-04T11:30:00+02:00,1 ORA ,MATTINO,CENTRO CIVICO VALTERNIGO DI GIOVO,,NEO MAMME ,ENTRATA LIBERA,,,,,Evento singolo,,Il Girasole,,,,0.0,0.0,,
62976ac4a52329596bdc12dd07ee6392,2016-04-26T16:21:39+02:00,2016-04-26T16:24:54+02:00,DARE LIMITI E REGOLE,INCONTRO PER GENITORI DARE LIMITI E REGOLE,/var/giovo/storage/images/territorio/calendario/incontro-per-genitori-dare-limiti-e-regole/29309-1-ita-IT/INCONTRO-PER-GENITORI-DARE-LIMITI-E-REGOLE.jpg,INCONTRO PER GENITORI CON TEMA : DARE LIMITI E REGOLE ADATTO A GENITORI CON BAMBINI IN ETA' DAI 0 AI 15 ANNI A CURA DELLA DOTT. SERENA COSTA PSICOLOGA DELL'INFANZIA,http://www.comune.giovo.tn.it/content/download/2949/29311/2/IMG_2630.JPG,2016-05-13T20:30:00+02:00,,,,PRESSO LA SALA CIVICA DI VALTERNIGO DI GIOVO,,INCONTRO PER GENITORI,ENTRATA LIBERA CON OBBLIGO DI PRENOTAZIONE TEL. A 3319985600 O SCRIVENDO ALLA MAIL ilgirasole.giovo@libero.it,,,,,Evento singolo,,Il Girasole,,,,0.0,0.0,,
3569deed96d7f8b559b7a0ddf710879e,2016-04-14T13:49:55+02:00,2016-04-14T13:49:55+02:00,Festa dei nuovi nati,Festa dei nuovi nati,,Festa di accoglienza per i bambini nati nel 2015 in biblioteca,,2016-04-29T17:00:00+02:00,2016-04-29T18:30:00+02:00,,,Biblioteca,,,,,,,,Evento singolo,,,,,,0.0,0.0,,
ef5a3d722deb7abb7f4f72abd6ae539a,2016-04-13T22:46:54+02:00,2016-04-15T09:17:03+02:00,Festa dello Sport,,,L'assessorato allo sport del comune di Giovo organizza per giovedì 2 giugno la festa dello sport a partire dalle 9.30 al campo sportivo di Masen.,,2016-06-02T09:30:00+02:00,2016-06-02T18:00:00+02:00,,,Masen di Giovo,,,,,,,,Evento singolo,,,,,,46.176598,11.167263,"Masen, Giovo, Trentino-Alto Adige, 38030 , Italia",
8d3c160e34acef978dc08f5386077ab7,2016-04-08T15:19:44+02:00,2016-04-08T17:41:20+02:00,CENA CON DELITTO,,/var/giovo/storage/images/territorio/eventi-e-manifestazioni/cena-con-delitto/28807-1-ita-IT/CENA-CON-DELITTO.jpg,"Il Gruppo Giovani Giovo è lieto di invitarvi alla prima edizione della Cena con delitto.Riuscirà il tuo gruppo a scoprire chi ha ucciso il Re?PRENOTAZIONI OBBLIGATORIE, FINO AD ESAURIMENTO POSTI      Elena - 348 953495, Stefania - 347 3537792.",,2016-04-22T19:30:00+02:00,2016-04-22T23:00:00+02:00,,VENERDI' 22 APRILE,VALTERNIGO - CENTRO CIVICO,,SIETE TUTTI INVITATI!,10 Euro,,,,,Evento singolo,,,,,19.30,46.160267,11.16021,"Valternigo, TN, Giovo, Trentino-Alto Adige, 38030, Italia",
c203ea2bb05bb66517c9032573acdeb6,2016-04-07T11:33:13+02:00,2016-05-05T00:36:07+02:00,VENDITA FIORI FESTA DELLA MAMMA,VENDITA FIORI FESTA DELLA MAMMA,/var/giovo/storage/images/territorio/calendario/vendita-fiori-festa-della-mamma/28748-2-ita-IT/VENDITA-FIORI-FESTA-DELLA-MAMMA.jpg,VENDITA FIORI IN OCCASIONE DELLA FESTA DELLA MAMMA!!!,,2016-05-08T11:20:00+02:00,,,,"SABATO 7 MAGGIO  A PALU' DOPO LA SANTA MESSA DELLA SERA                                          DOMENICA 8 MAGGIO A VERLA, VALTERNIGO E MOSANA DOPO LA SANTA MESSA DELLA MATTINA",,,,,,,,Evento singolo,,"Associaz. ""NOI"" Oratorio parrocchiale di Verla",,,,0.0,0.0,,
1370db18babc579f8bdcca5a6dfa79d0,2016-04-07T10:56:02+02:00,2016-05-05T00:27:51+02:00,Gita Leolandia,Gita a Leolandia,/var/giovo/storage/images/territorio/calendario/gita-a-leolandia/28723-2-ita-IT/Gita-a-Leolandia.jpg,"
Iscriviti subito gita a MINITALIA LEOLANDIA (tantissime nuove attrazioni Peppa Pig – acquario – rettilario – fattoria e tantissimi giochi)
Costo 30 Euro, comprensivo di trasporto in pullman e biglietto di ingresso al parco, che permetterà di salire su tutte le attrazioni.
Per i bambini fino a tre anni la quota è di 15 Euro.
PROGRAMMA:
Partenza dalla piazza di Verla ore 7.30
Arrivo a Leolandia ore 10.00
Partenza da Leolandia ore 17.00 e rientro a Verla di Giovo.
Pranzo al sacco o libero presso le strutture locali
I bambini fino agli 11 anni devono essere accompagnati da un adulto, dai 12 anni in su possono partecipare da soli segnalandoli alle accompagnatrici di riferimento (Barbara, Graziella, Mara).
Il versamento della quota avviene al momento della partenza.
A chi dovesse iscriversi e poi non partecipare alla gita verrà comunque richiesta la quota di Euro 15,00Prenotati entro il giorno 12/05/2016 telefonando allo 3466919347 Amanda oppure 3472949246 Barbara.Non mancare è un’occasione fantastica!!!",,2016-05-15T10:52:00+02:00,,,DOMENICA 15 MAGGIO 2016,al Parco divertimento di Leolandia,,,,,,,,Evento singolo,,"Associaz. ""NOI"" Oratorio parrocchiale di Verla",,,,0.0,0.0,,
a7118a0f64e5c980dde016337ca5e482,2016-04-06T15:39:48+02:00,2016-04-06T15:39:48+02:00,80° fondazione degli Alpini di Verla,,,"Il gruppo degli alpini di Verla organizza per savato e domenica 2 giorni di festa per ricordare gli 80 anni del gruppo fondato nel 1936 da Pompeo Moser.Programma:- sabato 9 aprile alle ore 19.30 benedizione del cippo in memoria dell'antica Pieve di Giovo.- domenica 10 aprile  ore 09.30 ammassamento presso l'Opera e sfilata per il paese di Verla  ore 10.30 S. Messa e discorso delle autorità  ore 12.30 pranzo  ore 14.00 musica con &quot,il Canfin&quot,",,2016-04-09T19:30:00+02:00,2016-04-10T18:00:00+02:00,,,Verla di Giovo,,,,,,,,Evento singolo,,Gruppo Alpini di Verla,,,,46.156343,11.152563,"Verla di Giovo, Giovo, Trentino-Alto Adige, 38030 , Italia",
9d8400847d4a61d0cf9af37a10a4b65c,2016-03-16T17:21:28+01:00,2016-03-16T17:21:28+01:00,DAY CAMP U.S. VERLA AFC SUDTIROL,Day camp estivo in collaborazione con AFC Sùdtirol dal 18 luglio al 22 luglio c.a.,/var/giovo/storage/images/territorio/eventi-e-manifestazioni/day-camp-estivo-in-collaborazione-con-afc-sudtirol-dal-18-luglio-al-22-luglio-c.a/28044-1-ita-IT/Day-camp-estivo-in-collaborazione-con-AFC-Sudtirol-dal-18-luglio-al-22-luglio-c.a.jpg,"
L'ASD Unione Sportiva Verla congiuntamente ed in collaborazione con la società AFC Sùdtirol organizzerà anche quest'anno un camp estivo della durata di cinque giorni dal 18 al 22 luglio 2016 presso la struttura sportiva situata in loc. Masen di Giovo, l’evento prevede la possibilità di partecipazione di ragazzi e ragazze dai 5 ai 14 anni - giuoco calcio. La proposta di partnership in argomento prevede la suddivisione dei ragazzi per ètà in gruppi da max 15 – i quali saranno seguiti da personale preparato, ai partecipanti sarà loro consegnato il relativo programma e materiale per gli allenamenti.
Il programma prevede delle sedute di allenamento mattutine e pomeridiane - dalle ore 9.00 alle ore 17.00, il pranzo risulta compreso nella quota di iscrizione Euro 190,00.
A fine evento sarà organizzato apposito rinfresco per i ragazzi e collaboratori.Le iscrizioni, già aperte, devono essere effettuate direttamente tramite/sul sito della società AFC Sùdtirol - www.fc-suedtirol.com",,2016-07-18T09:00:00+02:00,2016-07-22T17:00:00+02:00,5 giorni,dal 18 luglio al 22 luglio 2016,Centro sportivo sito in loc. Masen di Giovo,,,,,,,,Evento singolo,,,,,,0.0,0.0,,
a36d449499e89a07ab7dffd5ac705579,2016-03-15T19:49:49+01:00,2016-03-15T19:49:49+01:00,festa,,,,,2016-03-15T19:49:00+01:00,,,,,,,,,,,,Manifestazione,,,,,,0.0,0.0,,
c1e3cd7e8291f84e091c9a35887aa989,2016-03-14T21:22:33+01:00,2016-03-14T23:11:39+01:00,CAMPEGGIO MEDIE,CAMPEGGIO MEDIE,/var/giovo/storage/images/territorio/eventi-e-manifestazioni/campeggio-medie7/27818-2-ita-IT/CAMPEGGIO-MEDIE.jpg,"Il campeggio propone ai ragazzi l'opportunità di vivere un'esperienza di crescita personale spirituale e di vita comunitaria che comprende attività di gruppo, preghiera, servizio, giochi, canti, passeggiate... con l'aiuto di bravi animatori che si mettono in gioco per far passare una bella settimana ai ragazzi.",,2016-08-06T21:20:00+02:00,,,DAL 31 LUGLIO AL 06 AGOSTO,LAGO DI CEI,,RAGAZZI  DALLA I^ ALLA III^ MEDIA,"140 EURO, 120 EURO PER IL SECONDO FIGLIO ISCRITTO, 100 EURO PER IL TERZO FIGLIO ISCRITTO IN POI",,,,,Evento singolo,,"Associaz. ""NOI"" Oratorio parrocchiale di Verla",,,,0.0,0.0,,
d679199d86957474ee445cf09b985af1,2016-03-14T21:20:31+01:00,2016-03-14T23:10:43+01:00,CAMPEGGIO MEDIE,CAMPEGGIO MEDIE,/var/giovo/storage/images/territorio/eventi-e-manifestazioni/campeggio-medie6/27793-2-ita-IT/CAMPEGGIO-MEDIE.jpg,"Il campeggio propone ai ragazzi l'opportunità di vivere un'esperienza di crescita personale spirituale e di vita comunitaria che comprende attività di gruppo, preghiera, servizio, giochi, canti, passeggiate... con l'aiuto di bravi animatori che si mettono in gioco per far passare una bella settimana ai ragazzi.",,2016-08-05T21:18:00+02:00,,,DAL 31 LUGLIO AL 06 AGOSTO,LAGO DI CEI,,RAGAZZI DALLA I^ ALLA III^ MEDIA IN POI,"140 EURO, 120 EURO PER IL SECONDO FIGLIO ISCRITTO, 100 EURO PER IL TERZO FIGLIO ISCRITTO IN POI",,,,,Evento singolo,,"Associaz. ""NOI"" Oratorio parrocchiale di Verla",,,,0.0,0.0,,
02c5a56d43de6d44b276f4c3ccca6850,2016-03-14T21:17:55+01:00,2016-03-14T23:09:42+01:00,CAMPEGGIO MEDIE,CAMPEGGIO MEDIE,/var/giovo/storage/images/territorio/eventi-e-manifestazioni/campeggio-medie5/27768-2-ita-IT/CAMPEGGIO-MEDIE.jpg,"Il campeggio propone ai ragazzi l'opportunità di vivere un'esperienza di crescita personale spirituale e di vita comunitaria che comprende attività di gruppo, preghiera, servizio, giochi, canti, passeggiate... con l'aiuto di bravi animatori che si mettono in gioco per far passare una bella settimana ai ragazzi.",,2016-08-04T21:16:00+02:00,,,DAL 31 LUGLIO AL 06 AGOSTO,LAGO DI CEI,,RAGAZZI DALLA I^ ALLA III^ MEDIA,"140 EURO, 120 EURO PER IL SECONDO FIGLIO ISCRITTO, 100 EURO PER IL TERZO FIGLIO ISCRITTO IN POI",,,,,Evento singolo,,"Associaz. ""NOI"" Oratorio parrocchiale di Verla",,,,0.0,0.0,,
4bf2efb983b73844963b7c6e91b002b3,2016-03-14T21:15:43+01:00,2016-03-14T23:09:03+01:00,CAMPEGGIO MEDIE,CAMPEGGIO MEDIE,/var/giovo/storage/images/territorio/eventi-e-manifestazioni/campeggio-medie4/27743-2-ita-IT/CAMPEGGIO-MEDIE.jpg,"Il campeggio propone ai ragazzi l'opportunità di vivere un'esperienza di crescita personale spirituale e di vita comunitaria che comprende attività di gruppo, preghiera, servizio, giochi, canti, passeggiate... con l'aiuto di bravi animatori che si mettono in gioco per far passare una bella settimana ai ragazzi.",,2016-08-03T21:13:00+02:00,,,DAL 31 LUGLIO AL 06 AGOSTO,LAGO DI CEI,,RAGAZZI DALLA I^ ALLA III^ MEDIA,"140 EURO, 120 EURO PER IL SECONDO FIGLIO ISCRITTO, 100 EURO PER IL TERZO FIGLIO ISCRITTO IN POI",,,,,Evento singolo,,"Associaz. ""NOI"" Oratorio parrocchiale di Verla",,,,0.0,0.0,,
