remoteId,published,modified,Titolo,Titolo breve,Immagine,Descrizione,Locandina dell'evento,Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,Tipologia evento,Manifestazione cui fa parte,Associazione,Progressivo,Sottotitolo,Orario,lat,lon,address,Fonte,Priorità
feb0a310f5f4403471315cf2d0d5a3b5,2016-11-15T09:17:38+01:00,2016-11-24T14:34:16+01:00,Qualcosa di nuovo - Centro culturale di Locca - sabato 3 dicembre 2016 ore 21.00,,/var/ledro/storage/images/territorio/eventi-e-manifestazioni/qualcosa-di-nuovo-centro-culturale-di-locca-sabato-3-dicembre-2016-ore-21.00/220074-1-ita-IT/Qualcosa-di-nuovo-Centro-culturale-di-Locca-sabato-3-dicembre-2016-ore-21.00.jpg,"
Italia 2016
regia di Cristina Comenicini
con Paola Cortellesi, Micaela Ramazzotti, Eduardo Valdarninidurata 1h30'Commediaucia e Maria sono amiche fin dal liceo, ma non potrebbero essere più diverse: Lucia è esigente e rigorosa o, come direbbe Maria, &quot,gufa e spadona&quot,, Maria si descrive come &quot,morbida, positiva e vibrante&quot, o, come direbbe Lucia,&quot,un po' mignotta&quot,. Anche il loro rapporto con gli uomini è diametralmente opposto: Lucia, scottata da un matrimonio infelice, ha elevato un muro ed è diventata una &quot,donna di nessuno&quot,, Maria invece è una &quot,donna di tutti&quot, che colleziona avventure occasionali con partner improbabili alla segreta ricerca dell'uomo giusto. A scompigliare le carte arriva Luca, amante di una notte di Maria, 19 anni e una fame inesauribile di sesso e di esperienza di vita. Le due amiche finiranno per contenderselo, non secondo le trite dinamiche della competizione &quot,femminile&quot,, ma secondo un percorso di ricerca individuale della propria identità.
È proprio la reinvenzione dell'identità la principale chiave di lettura di Qualcosa di nuovo, basato sulla piéce teatrale La scena scritta e diretta per il teatro da Cristina Comencini, e riadattata per il grande schermo con la collaborazione alla sceneggiatura di Giulia Calenda e Paola Cortellesi e il montaggio agile di Francesca Calvelli. Identità di genere, innanzitutto, tanto femminile quanto maschile, in un presente caratterizzato dalla rivoluzione dei ruoli e dei rapporti di potere, dalla disgregazione della famiglia tradizionale e dalla crisi economica, nonché dalla mancanza di un'educazione sentimentale e sessuale che non insegni tanto come si indossi un preservativo, quanto come si debba rispettare la natura e le inclinazioni altrui, e l'altrui libertà di essere altro da noi.Come ogni storia ben costruita (e rodata sulle assi di un palcoscenico) Qualcosa di nuovo parla anche di altro: di maternità negata, ricattatoria, accogliente, colpevole e generosa, di amicizia femminile, disposta alla solidarietà ma anche esposta alla severità del reciproco giudizio, dell'esigenza delle donne di avere accanto un uomo &quot,ma anche&quot,: dolce ma anche forte, comprensivo ma anche protettivo, dotato di sensibilità ma anche virilmente assertivo, tenero ma anche muscoloso. E mentre le donne sono specialiste nell'essere tante cose insieme, gli uomini sembrano disorientati da queste aspettative (apparentemente) contradditorie.
Luca, ad esempio, si relaziona con coetanee che sembrano sapere esattamente quello che vogliono, quando il ventenne maschio di oggi difficilmente sa decidere di che colore scegliere la camicia al mattino. Le &quot,donne mature&quot, Lucia e Maria, invece, hanno già superato la fase in cui si attenevano rigidamente ai loro progetti di vita, e anche quella del successivo smantellamento del castello di carte da loro costruito con ottusa determinazione: sono dunque libere di sperimentare, anche con un liceale che usa bene le mani ed è capace di ascoltare. Lucia e Maria cominciano a dire a Luca quello che non riescono a dire a se stesse, e scoprono quanto stia loro stretto il personaggio che si sono ritagliate nel tempo.Cristina Comencini ha un talento particolare per raccontare le contraddizioni del femminile, toccando argomenti tabù e sfidando le accuse di maschilismo che certamente verrebbero indirizzate ad un regista uomo in almeno due scene. E la commedia le è particolarmente congeniale perché le permette di veicolare domande scomode sotto le mentite spoglie di battute umoristiche. La malinconia che sottende l'intera vicenda non sfocia mai nel melodramma, anche se un po' di amarezza in più sarebbe stata tollerabile anche dallo spettatore più escapista.
Già dalla presentazione alternata inziale delle due protagoniste, Comencini non si accontenta di riprodurre il suo testo teatrale fra quattro mura, e anzi quelle pareti le scioglie, facendo letteralmente entrare l'una nell'altra stanze di diverse abitazioni, perché le tre vite che racconta si mescolano senza soluzione di continuità seguendo i cambiamenti intimi (più ancora che interiori) dei personaggi. E se gli scambi di battute rimangono talvolta troppo ancorati al testo teatrale senza osare le acrobazie verbali (e fisiche) della screwball comedy che Qualcosa di nuovo era nata per essere, in alcuni monologhi le sceneggiatrici affondano il coltello nella piaga in modo coraggioso e commovente. Paola Cortellesi è più efficace di Micaela Ramazzotti nel disegnare unpersonaggio che esce gradualmente dallo stereotipo e conquista credibilità (e cuore), e Eduardo Valdarnini, che ha la fisicità giusta per il ruolo, sconta un'immaturità artistica che va a scapito, invece che a favore, di Luca. Ma ciò che conta è che a questi tre esseri umani imperfetti si vuole bene, si segue la loro intricata vicenda sospendendo l'incredulità e ci si porta dietro interrogativi cui non è facile rispondere.TrailerIngresso:euro 7,00 interoeuro 5,00 ridotto",,2016-12-03T21:00:00+01:00,2016-12-03T23:00:00+01:00,,Sabato 3 dicembre 2016 ore 21.00,Centro culturale di Locca,,,,,,,,Manifestazione,,,,,,0.0,0.0,,,0
5eee9219869e5843b90a709d148c587a,2016-11-15T09:12:41+01:00,2016-12-05T15:09:45+01:00,Kubo e la spada magica - Centro culturale di Locca dom 11 dicembre 2016 ore 16.00,,/var/ledro/storage/images/territorio/eventi-e-manifestazioni/kubo-e-la-spada-magica-centro-culturale-di-locca-dom-11-dicembre-2016-ore-16.00/220048-1-ita-IT/Kubo-e-la-spada-magica-Centro-culturale-di-Locca-dom-11-dicembre-2016-ore-16.00.jpg,"
Usa, Regno Unito 2016regia di Travis Knight
con Art Parkinson, Charlize Theron, Ralph Fiennes, Rooney Maradurata 1h 40'Animazione, avventuraKubo è un cantastorie. Di giorno al villaggio suona e canta le gesta di storie senza un finale, animate davanti al suo pubblico di strada tramite origami, di notte invece si nasconde da un nemico occulto che lo cerca per privarlo dell'unico occhio che gli rimane (l'altro è bendato): il nonno. Ultimo di una famiglia legata alla magia, vive con una madre che sembra aver perso ogni forza per lottare e che, quando il nonno li troverà, scompare nel tentativo di far scappare il figlio. Inizia così il viaggio di Kubo, assieme a uno scarafaggio gigante e una scimmia, alla ricerca di un elmo, un'armatura e una spada che insieme gli consentiranno di sconfiggere l'ingombrante nonno.
Mascherata, tradotta, celata e messa in forma di allegoria, c'è una storia di formazione e di abbandono del nido familiare dietro Kubo e La Spada Magica. E quanto più questo cartone animato in stop motion aggiunge strati che impediscano di scorgere davvero la sua natura, tanto più sembra caricarsi di un senso romantico e perduto. Più cioè si allontana dalla propria essenza (un ragazzo diventa un uomo emancipandosi dalla propria famiglia), più riesce a raccontare questo passaggio condendolo con un'epica presa direttamente dall'intimità inconfessabile di ognuno. 
Alla ricerca dei tre elementi che lo libereranno dalla persecuzione del retaggio del nonno, Kubo perde e ritrova i suoi genitori, affronta il peso delle proprie radici e ne esce talmente vincitore da non aver bisogno di annientare il nemico, ma da potersi permettere di inglobarlo, creando un rapporto sereno con il proprio passato.
La Laika, studio di animazione in stop motion responsabile di piccole gemme come ParaNorman ma anche di capolavori assoluti come Coraline, si diverte a giocare con la propria plastilina mettendo in mano al protagonista gli origami (veri antenati di questa tecnica di animazione) in foggia di strumento di combattimento e racconto, materia plasmabile che prende vita come avviene con la stessa stop motion.Nonostante piccole creature che fanno da aiutanti silenziosi, debitori della tradizione Disney, Kubo e la Spada Magica non deve nulla a nessuno. L'ambientazione giapponese non implica una ricerca dello stile nipponico, né per questo ricalca la struttura dell'animazione statunitense. Fiero della propria identità questo film procede in autonomia. Questo però implica una certa stanchezza e una difficoltà evidente nel gestire le magniloquenti scene d'azione. Kubo e la Spada Magica, nonostante vanti una storia d'avventura, non ha anche la capacità di dargli l'afflato mostrato nel resto del film. Piatto e ripetitivo, sembra disprezzare gli scontri e il movimento rapido per preferirgli la costruzione delle scene dialogate o le più inventive sequenze di racconto. Anche la grande metafora del cantastorie senza un finale che cerca una chiusa alla propria storia, gira più intorno al suo essere narrata che al suo diventare atto. Purtroppo non è poco per un film che fonda su una lotta contro una serie ben determinata di nemici la propria allegoria della guerra per affermare se stesso.TrailerIngresso:euro 7,00 interoeuro 5,00 ridotto",,2016-12-11T16:00:00+01:00,2016-12-11T17:40:00+01:00,,Domenica 11 dicembre 2016 ore 16.00,Centro culturale di Locca,,,,,,,,Manifestazione,,,,,,0.0,0.0,,,0
dc63acd307ea92e108ae4dde864720c5,2016-11-15T09:05:41+01:00,2016-11-15T09:11:11+01:00,TROLLS- Centro culturale di Locca - domenica 4 dicembre 2016 ore 16.00,,/var/ledro/storage/images/territorio/eventi-e-manifestazioni/trolls-centro-culturale-di-locca-domenica-4-dicembre-2016-ore-16.00/220022-2-ita-IT/TROLLS-Centro-culturale-di-Locca-domenica-4-dicembre-2016-ore-16.00.jpg,"
Usa, 2016
regia di MIke Mitchell, Walt Dohrndurata 1h 23'Animazione, avventuraDa vent'anni i Troll, le creature più felici mai viste al mondo, vivono in celebrazione della propria esistenza gioiosa, al riparo dai terribili Bergen che, non conoscendo la felicità, devono nutrirsi di Troll per provarne l'ebbrezza. L'ultimo incontro con i predatori è stato sventato dall'eroico re Peppy, convinto che nessun suo suddito dovesse essere lasciato nelle grinfie del nemico, nel giorno del Trolstizio: quello in cui i Bergen vanno a caccia di felicità. Col tempo re Peppy ha ceduto il posto a sua figlia, la principessa Poppy, che con contagioso entusiasmo guida le schiere dei Troll in infinite sessioni di canti, balli e abbracci. Solo Branch, l'unico Troll privo di colori vivaci, rifiuta la filosofia gaudente dei suoi simili, divorato dalla preoccupazione che i Bergen ritornino.E puntualmente, nel giorno della celebrazione della Festa più grande del mondo, i timori di Branch si avverano e i Bergen rapiscono un nutrito gruppetto di Troll per cibarsene nel giorno del Trolstizio. Sarà compito di Poppy e Branch andarli a salvare: lei con la sua forza trascinante, lui con la sua conoscenza approfondita di un nemico tanto a lungo studiato e temuto.La DreamWorks ha trasformato i pupazzetti dai capelli a ciuffo tanto amati dai più piccoli in eroi di cartone creando per loro una fiaba fracassona che tracima colori psichedelici e canzoni pop. Ma il vero motore del film è la strana coppia Poppy-Branch, in inglese doppiati da Anna Kendrick e Justin Timberlake, in italiano da Elisa e Alessio Bernabei. Timberlake, che è anche produttore esecutivo del film, ha costruito la colonna sonora con brani inediti suoi, di Gwen Stefani e Ariana Grande, ma il vero &quot,gancio&quot, sono le hit del passato (molto ben tradotte in italiano da Fiamma Izzo, responsabile del doppiaggio) incorporate all'interno della trama come se fossero elementi narrativi di un musical. I dialoghi sono veloci, vivaci e a tratti garbatamente irriverenti, pensati per intrattenere anche i genitori degli under-10 che sono l'audience naturale del film.
C'è tutta l'energia DreamWorks dietro a questo progetto disegnato a tavolino per scatenare l'allegria nei più piccoli, che usciranno di sala canticchiando e sognando di possedere la capigliatura indomita dei Troll. La trascinante Poppy, sorella ideale della Joy di Inside Out, è l'ennesimo esempio di come il cinema di animazione stia raffigurando sempre più spesso una leadership femminile, così come il timoroso Branch rappresenta invece il maschile contemporaneo, paralizzato dalla preoccupazione per un futuro che vede denso di incognite e di pericoli. Loro alleata occasionale è una nuvola consigliera burlona e faceta, classico esempio di &quot,comic relief&quot, per alleviare l'occasionale tensione della storia.Alla confezione pirotecnica che si avvale di split screen e montaggi veloci si alterna (saggiamente) un richiamo vintage all'artigianalità nella cucitura di album di ritagli di panno pop up che riassumono periodicamente la narrazione riportandola al passato: perché DreamWorks sa che nessuno deve essere lasciato indietro, compresi i genitori dei bambini che hanno ancora nel Dna un modo più tradizionale di raccontare le favole.TrailerIngresso:euro 7,00 interoeuro 5,00 ridotto",,2016-12-04T16:00:00+01:00,2016-12-04T17:23:00+01:00,,Domenica 4 dicembre 2016 ore 16.00,Centro culturale di Locca,,,,,,,,Manifestazione,,,,,,0.0,0.0,,,0
2c17f05194a05907369ae6c9136b1f6a,2016-11-15T08:53:48+01:00,2016-11-24T14:59:23+01:00,PETS Vita da animali - Centro culturale di Locca - domenica 27 novembre 2016 ore 16.00,,/var/ledro/storage/images/territorio/eventi-e-manifestazioni/pets-vita-da-animali-centro-culturale-di-locca-domenica-27-novembre-2016-ore-16.00/219996-9-ita-IT/PETS-Vita-da-animali-Centro-culturale-di-Locca-domenica-27-novembre-2016-ore-16.00.jpg,"
Usa, 2016
regia di Chris Renaud, Yarrow Cheneydurata 1h 30'AnimazioneMax ha quattro zampe e vive a New York con Katie, la vivace padroncina che lo ha 'adottato' e strappato alla strada. Espansivo e fedele, passa la giornata ad aspettarla perché come ogni altro essere umano Katie ogni mattina infila la porta e se ne va. A fare cosa è domanda su cui si interrogano Max e i suoi amici di condominio: gatti, cani, criceti, pappagalli, canarini, rapaci. Una sera Katie rientra accompagnata da Duke, un enorme cane peloso a cui ha deciso di dare affetto e asilo. Ma Max non sembra pensarla allo stesso modo. La rivalità per vincere il cuore di Katie li conduce letteralmente in un vicolo cieco, braccati da una gang di animali sciolti guidati da un coniglietto sociopatico. Ma lassù, ai piani alti del building, qualcuna lo ama e si lancia impavida (e chic) alla sua ricerca.Che cosa fanno gli animali domestici quando i padroni escono a sbrigare la vita? Guardano le telenovela, saccheggiano frigoriferi, organizzano feste techno, almeno per l'Illumination Mac Guff che promette un divertimento bestiale. Quella promessa è spesa nei primi (esilaranti) minuti ma sfortunatamente non progredisce e quello che doveva servire da filo conduttore, le devianze comportamentali dei nostri cuccioli non appena voltiamo loro le spalle, esaurisce nel trailer la sua potenzialità.Pets - Vita da animali rimane allora dentro i confini più sicuri della commedia d'avventura senza esplorare le possibilità in gioco: lo studio dei tic, delle abitudini e delle bizzarrie psicologiche delle specie antropomorfizzate. Nessuna audacia insomma, in materia di emozione Pets resta irrimediabilmente modesto, ma il giovane studio creato nel 2011 conferma la sua animazione fluida ed elastica, che contesta le leggi della fisica, recuperando lo spirito dei vecchi cartoons e una comicità fondata sul ritmo e l'azione del muto. Una vera scienza del divertimento sempre in movimento che accumula cascade animate e inanella gag senza pausa, eludendo i passaggi moralizzatori obbligati. Un divertissement probabilmente apprezzato dal giovane pubblico ma indeciso sull'audience di riferimento.La parte migliore di Pets, la più sottile, allude alle mode della vita urbana newyorkese (&quot,di questi tempi tutti vanno a Brooklyn&quot,) e dipinge il profilo satirico di una New York bobo ad altezza di animale (la festa decadente nell'appartamento del vecchio cane Pops), evidentemente meno accessibili ai bambini, primi destinatari del film. Si pensi per contro all'immaginario universale della Parigi di Ratatouille. Tornando con le zampe per terra, il celebre studio franco-americano, che ha prodotto Cattivissimo me e derivati gialli in salopette (Minions), non riesce a doppiare in entusiasmo il proprio flagship product nonostante la fauna riuscita e le referenze cinefile sparse lungo il cammino (Grease, La finestra sul cortile, Lilli e il vagabondo). Invece di tentare la carta dell'originalità, Chris Renaud capitalizza una ricetta già collaudata, che è stata il primo successo della Pixar (Toy Story), rimpiazzando i giocattoli con gli animali da compagnia.Ma la formula non sempre funziona e Pets non trova mai lo sconforto di Jesse abbandonata in Toy Story 2, la nostalgia di un'animazione più classica o la forza drammatica della scena d'assalto al furgone del canile municipale in Lilli e il vagabondo. Non trova soprattutto un'anima, per umanizzare, non antropomorfizzare, i suoi soggetti. Dietro la porta conferma soltanto l'attesa spasmodica dei cani e l'indifferenza deliberata dei gatti.TrailerIngresso:euro 7,00 interoeuro 5,00 ridotto",,2016-11-27T16:00:00+01:00,2016-11-27T17:30:00+01:00,,Domenica 27 novembre 2016 ore 16.00,Centro culturale di Locca,,,,,,,,Manifestazione,,,,,,0.0,0.0,,,0
aa75a83fded73948644caed335e41a57,2016-11-15T08:46:39+01:00,2016-11-24T14:51:07+01:00,Inferno - Centro culturale di Locca - sabato 26 novembre 2016 ore 21.00,,/var/ledro/storage/images/territorio/eventi-e-manifestazioni/inferno-centro-culturale-di-locca-sabato-26-novembre-2016-ore-21.00/219970-2-ita-IT/Inferno-Centro-culturale-di-Locca-sabato-26-novembre-2016-ore-21.00.jpg,"
Usa, Giappone, Turchia 2016
regia di Ron Howard
con Tom Hanks, Felicity Jones, Ben Foster, Irrfan Khan, Omar Sydurata 2hThriller, AzioneLo studioso di simbologia professor Langdon si risveglia in una stanza di ospedale a Firenze. È ferito alla testa, ha ricordi estremamente confusi e non sa perché si trova nel capoluogo toscano. Quando una donna vestita da carabiniere fa irruzione nella casa di cura non gli resta che fuggire con l'aiuto, della giovane dottoressa Sienna Brooks. Alla base di tutto c'è un genio della genetica che ha deciso di salvare l'umanità dalla sua altrimenti inevitabile dissoluzione diffondendo un virus che riduca drasticamente il numero degli abitanti della Terra.Esattamente dieci anni fa con Il codice Da Vinci aveva inizio il sodalizio tra Dan Brown e Ron Howard, proseguito nel 2009 con Angeli e Demoni. Considerati gli esiti al Box Office non si poteva non attendersi che anche la terza impresa del professor Robert Langdon trovasse la via del grande schermo confermando la solidità della coppia e la presenza di Tom Hanks nel ruolo principale. Chi ha letto il libro (e sono stati tanti se si considera che solo venti giorni dopo l'uscita si erano già raggiunti i nove milioni di copie vendute nel mondo) si è chiesto come avrebbero fatto Howard e lo sceneggiatore David Koepp a trasformare in un film di due ore una storia che aveva due caratteristiche di difficile trasposizione. Perché il romanzo, facendo costante riferimento all'Inferno di Dante Alighieri, ha una forte base legata alla letteratura, cioè alla parola scritta e inoltre, in modo costante, offre ai lettori di tutto il mondo approfondite spiegazioni di luoghi ed opere d'arte che si trovano a Firenze, Venezia ed Istanbul rischiando a tratti di assomigliare a una guida Lonely Planet.Si può dire che l'impresa sia andata a buon fine anche se, come accade spesso nel passaggio dalla pagina allo schermo, i lettori troveranno numerosi e, almeno in un caso, sostanziali mutamenti. Questa volta però ci verranno risparmiati anatemi e vade retro considerato che il tema non è più il rapporto con la fede cattolica e con coloro che la professano e diffondono ma si apre a prospettive di indubbia e pregnante attualità. Perché lo scienziato Bertrand Zobrist innesca il suo percorso distruttivo a partire da un dato reale: la crescita esponenziale della popolazione mondiale con i conseguenti e devastanti riflessi sul futuro della vita sul nostro pianeta. La soluzione che trova è drastica e Langdon dovrà impegnarsi per impedirne l'attuazione.Qui si innesca una dinamica che differenzia il film dai precedenti. Se prima la detection si fondeva con l'azione, qui la dinamica è quella della fuga costante da pericoli incombenti cercando di impedire un evento catastrofico. Tom Hanks ha da sempre nello sguardo e nelle espressioni del volto un fondo di paura misto alla volontà per neutralizzarla. Quindi chi meglio di lui poteva fuggire correndo o cercare temporanei rifugi in una Firenze che con il suo splendore diviene coprotagonista a tutti gli effetti della narrazione? Tutto ciò mentre allucinazioni e sprazzi di memoria disturbanti lo perseguitano e una giovane donna lo accompagna? Se la storia di un amore che torna dal passato rischia di attenuare la tensione, resta però ripetuta con forza la questione di base che non è di carattere solo finzionale. Perché a un anno di distanza dall'uscita del libro, non lo Zobrist inventato da Brown ma il fondatore del Front Nationale francese Jean-Marie Le Pen dichiarava che il virus Ebola avrebbe potuto risolvere in tre mesi il problema dell'immigrazione dall'Africa. Quindi ben vengano film come questo che hanno lo scopo di intrattenere mentre ci ricordano che il confine tra finzione e realtà è talvolta decisamente sottile e che, come recita la frase che apre il romanzo, &quot,i luoghi più caldi dell'inferno sono riservati a coloro che in tempi di grande crisi morale si mantengono neutrali&quot,. Un'affermazione a doppio taglio ma che non può non far pensare.TrailerIngresso:euro 7,00 interoeuro 5,00 ridotto",,2016-11-26T21:00:00+01:00,2016-11-26T23:00:00+01:00,,Sabato 26 novembre 2016 ore 21.00,Centro culturale di Locca,,,,,,,,Manifestazione,,,,,,0.0,0.0,,,0
1baea9afd24104984950c478d2314cf1,2016-11-15T08:41:26+01:00,2016-11-15T09:04:53+01:00,PINOCCHIETTA! TESTA DI LEGNO! - dom. 20/11 ore 16.30 Centro culturale Locca,,/var/ledro/storage/images/territorio/eventi-e-manifestazioni/pinocchietta!-testa-di-legno!-dom.-20-11-ore-16.30-centro-culturale-locca/219944-1-ita-IT/PINOCCHIETTA!-TESTA-DI-LEGNO!-dom.-20-11-ore-16.30-Centro-culturale-Locca.jpg,"La Francia vola al teatro di Ledro nel quinto appuntamento della Rassegna per ragazzi “Teatro a gonfie vele”. Domenica 20 novembre alle ore 16.30 presso il Centro culturale di Locca, la Compagnia Al et les Astrolobi metterà in scena Pinocchietta! Testa di legno! Un divertente spettacolo per bimbe e bimbi dai tre anni che ripercorre la storia di Pinocchio in versione femminile. Racconta del piccolo Cricket, un burattinaio italiano giunto in paese per presentare il suo nuovo spettacolo di marionette che ha per protagonista Pinocchietta.Lei è fatta dello stesso legno magico con cui fu costruito il fratello più famoso e, come lui, è entusiasta, maliziosa, vivace, attenta e soprattutto bugiarda. Perciò, va tutto storto.Tra clownerie e commedia dell'arte, la compagnia francese rappresenta una performance colorata e divertente, una curiosa e inaspettata variazione della storia di Pinocchio.
La rassegna itinerante per ragazzi continua a riscuotere grande successo di pubblico, che segue le proposte di qualità offerte nei diversi teatri comunali, provenendo anche da Rovereto, Ponte Arche, Trento. L’iniziativa culturale è sostenuta dalla Comunità di valle Alto Garda e Ledro e dai Comuni di Nago Torbole, Riva del Garda, Arco, Dro, Drena, Tenno e Ledro. La direzione artistica e l’organizzazione sono a cura della Compagnia Teatro per Caso, che si avvale della collaborazione amministrativa del Coordinamento Teatrale Trentino.Lo spettacolo ha inizio alle ore 16.30. Posto unico non numerato: € 4. Prevendita biglietti presso gli sportelli delle Casse Rurali del Trentino. La biglietteria in teatro aprirà un’ora prima dell’inizio. Per info segnaliamo la pagina Internet: www.teatropercaso.it/rassegne  ",,2016-11-20T16:30:00+01:00,2016-11-20T17:30:00+01:00,,Domenica 20 novembre 2016 alle ore 16.30,Centro culturale di Locca,,,,,,,,Manifestazione,,,,,,0.0,0.0,,,0
4895dbaae7893177c66d94f7bc17490b,2016-11-03T17:20:46+01:00,2016-11-03T17:26:39+01:00,I babysitter - Centro culturale di Locca - sabato 12 novembre 2016 ore 21.00,,/var/ledro/storage/images/territorio/eventi-e-manifestazioni/i-babysitter-centro-culturale-di-locca-sabato-12-novembre-2016-ore-21.00/217695-1-ita-IT/I-babysitter-Centro-culturale-di-Locca-sabato-12-novembre-2016-ore-21.00.jpg,"
Italia, 2016
regia di Giovanni Bognetti
con Francesco Mandelli, Paolo Ruffini, Andrea Pisanidurata 1h25’CommediaAndrea è impiegato in un'azienda che promuove talenti sportivi capeggiata da Gianni Porini, tanto abile nel suo mestiere quanto privo di scrupoli nei confronti dei suoi dipendenti. Quando Porini, invitato ad una cerimonia di gala insieme alla moglie Marta, si ritrova sprovvisto di una baby sitter che possa occuparsi del figlioletto decenne Remo, ingaggia sui due piedi Andrea, affidandogli le chiavi di casa fino al giorno successivo. La mattina seguente la polizia telefona a Porini e lo informa che la sua casa è stata luogo di un festino e che suo figlio Remo è sparito, insieme al babysitter. La sera prima infatti era il compleanno di Andrea, e come ogni anno i suoi amici Aldo e Mario gli avevano preparato una festa a sorpresa, invitando anche la sua fiamma Sonia. A raccontare ciò che è avvenuto durante quella notte brava è la telecamerina con cui Mario ha filmato tutto, ma proprio tutto, quello che è successo.
I babysitter è la trasposizione letterale della commedia francese Babysitting, a sua volta un tentativo d'oltralpe di inserirsi nel filone politically incorrect di Una notte da leoni. La trama è identica, compresa la volgarissima gag del surra de bunda, addirittura i nomi dei protagonisti si discostano di poco da quelli originali, e molte scene sono ricalcate sul modello francese. La versione italiana è però più riuscita dell'originale, grazie soprattutto al lavoro di limatura sulla sceneggiatura e di improvvisazione degli attori, in particolare Diego Abatantuono nei panni di Porini e Paolo Ruffini in quelli di Aldo, chiaramente debitore del Phil di Bradley Cooper in Una notte da leoni ma capace di dare uno spin italico alla sua caratterizzazione sgradevole. 
L'esperimento commerciale è analogo a quello che la stessa squadra aveva messo in piedi per Belli di papà: Colorado Film e Medusa alla produzione, Abatantuono, Antonio Catania e Francesco Facchinetti come contraltari comici, tre giovani al centro della storia (di cui uno, Andrea Pisani, già presente in Belli di papà), compresa una brava attrice (Simona Tabasco, sempre molto centrata), e qualche cameo di contorno (Luca Peracino e soprattutto Alberto Farina, irresistibile nei panni di Tonino &quot,er Monnezza&quot,). 
Ma c'è una importante differenza: laddove Belli di papà era (ben) scritto da Giovanni Bognetti ma (mal) diretto da Guido Chiesa, che non riusciva proprio ad entrare nel ritmo e nelle corde del testo, I babysitter vede Bognetti sia all'adattamento che alla regia. Dunque la forma aderisce al contenuto, con una genuina corrispondenza di sensibilità umoristiche e di tempi narrativi.Quel che difetta a Bognetti (e alla maggior parte degli sceneggiatori di commedie italiane contemporanee, anche quelli con meno talento, cresciuti a serie televisive e web) è la capacità di &quot,lasciar agire&quot, una battuta: l'efficacia comica, almeno al cinema, non è data né dalla sottolineatura né dalla scansionatura da youtuber (&quot,Scena 1&quot,), ma dalla risata del pubblico, che arriva da sola, quando la battuta è buonaTrailerIngresso:euro 7,00 interoeuro 5,00 ridotto",,2016-11-12T21:00:00+01:00,2016-11-12T22:25:00+01:00,,Sabato 12 novembre 2016 ore 21.00,Centro culturale di Locca,,,,,,,,Manifestazione,,,,,,0.0,0.0,,,0
38e266f3b2512088f80fdc50cfa45f5e,2016-10-21T17:07:37+02:00,2016-10-21T17:48:51+02:00,INAUGURAZIONE RFID,,/var/ledro/storage/images/territorio/eventi-e-manifestazioni/inaugurazione-rfid/215261-2-ita-IT/INAUGURAZIONE-RFID.jpg,Cerimonia di inaugurazione del sistema integrato di gestione del prestito con rilevamento in radio frequenza (RFID) installato presso la Biblioteca comunale di Ledro,,2016-10-26T01:04:00+02:00,2016-10-26T23:50:00+02:00,alle ore  17.00,mercoledì 26 ottobre 2016,Biblioteca Comunale di Ledro - via Cesare Battisti 2 - LEDRO (frazione Bezzecca),,,,,,,,Evento singolo,,,,,,0.0,0.0,,,0
44f8f9c1c4722d895d2b97952f9ff643,2016-10-20T15:40:59+02:00,2016-10-20T15:41:36+02:00,CREATIVITÁ NATALIZIA con Lara Maroni,,/var/ledro/storage/images/territorio/eventi-e-manifestazioni/creativita-natalizia-con-lara-maroni5/215072-1-ita-IT/CREATIVITA-NATALIZIA-con-Lara-Maroni.jpg,,,2016-12-01T01:30:00+01:00,2016-12-01T23:50:00+01:00,dalla 20.30 alle 22.30,1 dicembre 2016,Biblioteca ,,,,,,,,Evento singolo,,,,,,0.0,0.0,,,0
82a1fff93e19f90c04e6cb6f146aa34c,2016-10-20T15:38:54+02:00,2016-10-20T15:40:50+02:00,CREATIVITÁ NATALIZIA con Lara Maroni,,/var/ledro/storage/images/territorio/eventi-e-manifestazioni/creativita-natalizia-con-lara-maroni4/215046-1-ita-IT/CREATIVITA-NATALIZIA-con-Lara-Maroni.jpg,,,2016-11-24T01:30:00+01:00,2016-11-24T23:50:00+01:00,dalla 20.30 alle 22.30,24 novembre 2016,Biblioteca ,,,,,,,,Evento singolo,,,,,,0.0,0.0,,,0
