remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
55b8e9b8e71f072227e26c81a691a121,2024-01-09T14:25:42+01:00,2024-01-09T14:25:42+01:00,La storia di Hansel e Gretel,,Evento culturale,,,"
Spettacolo teatrale al Teatro Valle dei Laghi
Testo Katia Scarimbolocon Catia Caramia, Cinzia Greco, Giuseppe Marzio, Luigi Tagliente","Tempo libero
Patrimonio culturale","
Nella regione tedesca dello Spessart esiste ancora una fitta foresta, difficile da attraversare con i suoi pochi e aspri sentieri, resi ancora più difficoltosi da giganteschi
e ombrosi pini e faggi, i cui rami intralciano il cammino.
Per i contadini della zona è “il bosco della strega”, per via di un rudere con i suoi quattro forni e della storia di una donna bellissima che, con i suoi dolci magici, catturava quanti, perdendosi nel bosco, arrivavano nei pressi della sua casa. Sembra essere questa l’origine della fiaba di Hansel e Gretel, racconto “ombroso” come il bosco, reso ancora più inquietante dalla presenza di una donna che appare ai due fratellini bellissima, accogliente e materna, ma strega che inganna e mangia i bambini. Cos’è buono? Cos’è brutto? Ciò che è vero o ciò che appare? Quel che vorreste non è reale.
Quel che vorreste forse fa male. Non lasciatevi ingannare.Non lasciatevi incantare.",Teatro,,,Famiglie,Bambini,Giovani,Età consigliata: dai 5 agli 11 anni,Teatro Valle dei Laghi,,,,"
Intero € 5,00
Sconto Family € 4,00per gruppi familiari di almeno 4 persone
*prevendita online soggetta a commissione di servizio a carico dell’utenteApertura cassa teatro a partire da un’ora prima degli eventi.",,,,Contatti Ufficio Segreteria Generale e Protocollo,,,,,,,,,,,0.0,2.0,,,,,
4568aeb1ddcaf2ad3d7255e849531f08,2024-01-30T13:03:48+01:00,2024-01-30T13:05:26+01:00,"Inaugurazione sede di Lasino ""Famiglie al centro""",,Evento sociale,,,"Inaugurazione della nuova sede di Lasino sabato 3 febbraio 2024 del progetto &quot,Famiglie al centro&quot, ","Questioni sociali
Politica familiare",Un momento per far conoscere il nuovo progetto dedicato alle famiglie con bambini in fascia 0-6 anni. ,bambino,,,Bambini,Famiglie,,,,,,,,https://www.comune.madruzzo.tn.it/content/download/1735/42414/2/Sabato+03+febbraio+Famiglie+al+Centro+Inaugurazione.jpg,,Contatti Ufficio Demografico U.R.P.,,,,,,,,,,,0,2.0,,,,,,
ce5966b774b320cf66170fd1c5dc03c4,2024-02-21T14:19:51+01:00,2024-02-21T14:19:51+01:00,Corsi di Laurea Professioni Sanitarie: Open Day – 12 marzo 2024,,Giornata informativa,,,"L’Azienda provinciale per i servizi sanitari di Trento, Servizio Polo Universitario delle professioni sanitarie, invita all’”Open day 2024”, una giornata informativa di presentazione dei corsi di laurea, piani di studio e degli otto corsi di laurea triennale delle professioni sanitarie, che si terrà martedì 12 marzo p.v. dalle ore 8.30 presso il Polo universitario delle professioni sanitarie in via Briamasco 2 a Trento.",Istruzione,"Quest’anno il Polo Universitario delle Professioni Sanitarie organizza un “Open day 2024” per presentare i corsi di laurea, i piani di studio degli otto corsi di laurea triennale delle professioni sanitarie, le opportunità lavorative e occupazionali e le agevolazioni per la frequenza. La giornata informativa che si terrà martedì 12 Marzo 2024 dalle ore 8:30 alle 16:00 - presso la sede formativa di Trento in Via Briamasco, 2 - sarà strutturata per stand in cui verranno illustrati i profili professionali, i piani di studio, le attività di tirocinio, di laboratorio e saranno fornite indicazioni relative alle agevolazioni per la frequenza offerte dalla Provincia di Trento.",,,,Giovani,Famiglie,,,,,,,,https://www.comune.madruzzo.tn.it/content/download/1790/43502/1/Locandina+Open+Day+-+12+marzo+2024.pdf,,Polo Universitario delle professioni sanitarie,,,,,,,,,,,0,2.0,,,,,,
77f7ee9db6f3cefcf9898ad03ad759b1,2024-03-01T10:36:36+01:00,2024-03-01T10:37:25+01:00,Incontro con Servizio Bacini Montani PAT,,Giornata informativa,,,Una serata di confronto con le comunità della Sarca per la presentazione da parte del Servizio Bacini Montani di una proposta di intervento di riassetto alveo tra Sarche e Pietramurata.,"Ambiente
Pianificazione del territorio","Tutti i cittadini sono invitati mercoledì 6 marzo 2024 alle ore 20.30 presso la sala Centro Culturale a Dro in via Cesare Battisti per una serata di confronto con le comunità della Sarca, per la presentazione da parte del Servizio Bacini Montani di una proposta di intervento di riassetto alveo tra Sarche e Pietramurata.",,,,Adulti,,,,,,,,https://www.comune.madruzzo.tn.it/content/download/1810/43850/2/Volantino+serata+SBM+6+marzo+2024.pdf,,BIM SARCA,,,,,,,,,,,0.0,2,,,,,,,
cb7f242e03287129e5e26712153e0329,2023-06-15T14:42:29+02:00,2024-03-12T15:47:35+01:00,La Sarca: 77 km di vita che scorre,Martedì 26 luglio dalle ore 16.30 alle 18.00 di goccia in goccia laboratorio aperto a tutti,"Evento culturale,Evento sociale",,,Dal 18 al 31 luglio inoltre la rassegna bibliografica sul fiume Sarca fa tappa nella nostra sede di Sarche.Questo progetto scorre lungo il fiume e coinvolge tutte le biblioteche del suo territorio.,"Questioni sociali
Politica familiare","La mostra partita dalla Biblioteca Pinzolo Spiazzo Madonna di Campiglio a maggio arriverà alla foce del Sarca a fine settembre, ospitata Biblioteca Civica Riva del Garda. Il progetto è nato dalla collaborazione fra le biblioteche, il Parco Naturale Adamello Brenta Geopark e il Parco Fluviale della Sarca.Martedì 26 luglio dalle ore 16.30 alle 18.00 di goccia in goccia laboratorio aperto a tutti per riflettere sui temi dell'acqua.Ritrovo piazzetta sotto il punto lettura di Sarche.Attività adatta a famiglie con minori accompagnati .L'iniziativa si svolgerà anche in caso di maltempo.In collaborazione con: Ecomuseo della Valle dei Laghi.Per info e prenotazioni: biblioteca Valle di Cavedine t. 0461/568220.Biblioteca Sarche: 0461/563111.sarche@biblio.tn.it ",,,,Famiglie,,Punto di lettura di Sarche,,,,,,https://www.comune.madruzzo.tn.it/content/download/829/17502/4/La%2BSarca_biblioteca.jpg,,Contatti Ufficio Segreteria Generale e Protocollo,,,,,,,,,,,0.0,2,,,,,,,
a4ffe3a6116400ae46aca2ca518902e1,2024-03-25T16:46:20+01:00,2024-03-25T16:47:30+01:00,Una valle a misura d'ape,,Evento culturale,,,Mostra dedicata a questi preziosi insetti che giocano un ruolo vitale nella natura,"Agricoltura, silvicoltura e pesca
Ambiente",Mostra dedicata a questi preziosi insetti che giocano un ruolo vitale nella naturaApertura mostra: tutti i sabati dalle 14.30 alle 17.30Attività di laboratorio per tutti: tutti i sabati dalle 15.00 alle 17.00Dal lunedì al venerdì sono previsti laboratori per le scuole,,,,Famiglie,Bambini,,Teatro Valle dei Laghi,,,,,,https://www.comune.madruzzo.tn.it/content/download/1818/44079/2/UNA+VALLE+A+MISURA+D%27API.png,,Teatro Valle dei Laghi ,,,,,,,,,,,0,2.0,,,,,,
e5b02713153196c4c419cfa4090f3ab6,2024-04-15T14:25:26+02:00,2024-04-15T14:28:43+02:00,"Reading musicale ""Nina Simone: una vita consacrata alla musica""",,Evento culturale,,,"Reading musicale dedicato alla cantante e musicista Nina Simone, la cui vicenda musicale si intreccia con quella personale di lotta per la difesa delle donne e contro la discriminazione razziale.","Questioni sociali
Integrazione sociale
Tempo libero","Reading musicale dedicato alla cantante e musicista Nina Simone, la cui vicenda musicale si intreccia con quella personale di lotta per la difesa delle donne e contro la discriminazione razziale.Quando 19 aprile 2024Orario 20.30Dove Biblioteca Valle di Cavedine",,,,Adulti,Anziani,,Biblioteca Valle di Cavedine,,,,,,https://www.comune.madruzzo.tn.it/content/download/1863/45027/3/locandina1.pdf,,Biblioteca Valle di Cavedine,,,,,,,,,,,0,2.0,,,,,,
a7c043fe917207784ec60ecf114abcc3,2024-04-16T11:35:56+02:00,2024-04-16T11:37:11+02:00,Presentazione volumi del Centro Studi Judicaria,,Evento culturale,,,Presentazione dei volumi del Centro Studi Judicaria venerdì 19 aprile 2024 ore 17:00 presso la Sala consigliare del Comune di Madruzzo,Demografia e popolazione,"Presentazione volumi del Centro Studi Judicaria:- &quot,Realtà museali ed espositive della Judicaria&quot, di Danilo Mussi- &quot,La cuccuma del caffè. Lavoro, arte parole nella tradizione delle Giudicarie&quot, di Gabriella MainesVenerdì 19 aprile 2024 ore 17:00 presso la Sala consigliare del Comune di Madruzzo.Seguirà la visita guidata alle collezioni del Museo &quot,La dona de sti ani&quot,",,,,Adulti,Anziani,,Sede Consiglio comunale ,,,,,,https://www.comune.madruzzo.tn.it/content/download/1868/45105/2/Locandina+evento.jpg,,Contatti Ufficio Segreteria Generale e Protocollo,,,,,,,,,,,0,2.0,,,,,,
26d8a66184026411cd29dbc1a25d8268,2024-05-03T15:16:55+02:00,2024-05-03T15:16:55+02:00,En castel en vendita,,Evento culturale,,,En Castel en vendita - commedia teatrale di Gigliola Brunelli,Tempo libero,"L'associazione di volontariato OASI Valle dei Laghi e la filodrammatica S. Genesio di Calavino presentano &quot,En castel en vendita&quot, commedia teatrale di Gigliola Brunelli",,,,Famiglie,,Calavino,,,,Entrata ad offerta libera,,https://www.comune.madruzzo.tn.it/content/download/1882/45345/1/En+castel+en+vendita.jpg,,Contatti Ufficio Segreteria Generale e Protocollo,,,,,,,,,,,,2,,,,,,,
3ac3c4f94cc1ef90acdf831f6695433b,2024-05-15T15:43:26+02:00,2024-05-15T15:48:34+02:00,Manovre salvavita. Evento gratuito di disostruzione pediatrica e prevenzione,,Evento sociale,,,Lezione interattiva teorico-pratica sulle manovre di disostruzione pediatrica e prevenzione degli incidenti.,Questioni sociali,"Lezione interattiva teorico-pratica sulle manovre di disostruzione pediatrica e prevenzione degli incidenti.Il corso ha una durata di circa 2 ore e prevede:- una lezione teoria di circa 45 minuti,- una sessione pratica dove ciascun partecipante potrà provare le manovre salvavita sui manichini, con l'assistenza di un istruttore BLSD certificato,Per partecipare è necessario iscriversi al seguente link:http://www.outsphera.it/corsi-ed-eventi/formazione-esecutori/eventi-gratuiti/900107987-45405691815231500-manovre-salvavitaIl corso si svolgerà nella serata del 31 maggio 2024 dalle ore 20:00 alle ore 22:00 presso la Sala Baracca, via Caffaro, Sarche, Madruzzo.Evento gratuito",Locandina,,,Adulti,Famiglie,,Sarche,,,,,,https://www.comune.madruzzo.tn.it/content/download/1902/45957/4/Locandina.jpg,,Contatti Ufficio Segreteria Generale e Protocollo,,,,,,,,,,,0,2.0,,,,,,
74ec757893316fc90db5097149531ceb,2024-06-04T09:41:36+02:00,2024-06-04T09:45:39+02:00,PALAZZI APERTI 2024,,Evento culturale,,,La Gestione associata e coordinata del servizio intercomunale delle attività culturali Valle dei Laghi propone iniziative nell'ambito di Palazzi Aperti 2024,"Tempo libero
Patrimonio culturale","La Gestione associata e coordinata del servizio intercomunale delle attività culturali Valle dei Laghi nell'ambito della manifestazione Palazzi Aperti, promossa e coordinata dal Comune di Trento, è lieta di proporvi le seguenti iniziative:- Sentiero archeologico di Cavedine: sabato 8 giugno 2024 ad ore 14:30- Visita al parco giardino di Villa Cesarini Sforza a Terlago: domenica 9 giugno 2024 ad ore 16:30- Visita alla chiesa della Madonna del Carmine Sarche, Madruzzo: domenica 14 luglio 2024 ad ore 16:30",Locandina,,,Adulti,Anziani,Famiglie,,Chiesa della Madonna del Carmine,,,,,,https://www.comune.madruzzo.tn.it/content/download/1921/46272/3/Locandina+Palazzi+Aperti+2024.pdf,https://www.comune.madruzzo.tn.it/ocmultibinary/download/1921/46273/3/147d1932d13bb5c46281ba4bd888dab3.pdf/file/locandina%2BA3.pdf,Comunità della Valle dei Laghi,,,,,,,,,,,0.0,2.0,,,,,
1b6bab6cc97e4c01252840a623a12043,2024-06-06T11:42:06+02:00,2024-06-06T11:42:06+02:00,"INAUGURAZIONE OPERA D'ARTE ""I BAMBINI"" PRESSO LA SCUOLA DELL'INFANZIA DI LASINO",,Evento culturale,,,"Il Comune di Madruzzo in collaborazione con la Scuola dell'infanzia e il Nido &quot,La Coccinella&quot, invitano all'inaugurazione dell'opera d'arte &quot,I bambini&quot, a Lasino il 13 giugno alle ore 15.30","Istruzione
Prima infanzia
Scuola materna","L'Amministrazione comunale ha il piacere di invitare giovedì 13 giugno alle ore 15.30 all'inaugurazione dell'opera d'arte &quot,I bambini&quot, che si svolgerà presso la Scuola dell'infanzia e il Nido &quot,La Coccinella&quot, a Lasino",,,,Famiglie,,Scuola dell'Infanzia di Lasino,,,,,,https://www.comune.madruzzo.tn.it/content/download/1925/46347/1/Inaugurazione+dell%27opera+d%27Arte+SCUOLA+MATERNA+LASINO_20240606_085332_0000.png,,Contatti Ufficio Segreteria Generale e Protocollo,,,,,,,,,,,0.0,2,,,,,,,
c9f3c1106dc7c385e6998f236cb079b4,2024-06-12T14:38:22+02:00,2024-06-12T14:40:22+02:00,ESPLORAPARCO!,,Incontro con esperti,,,Il Parco Fluviale Sarca ha predisposto un calendario di percorsi di visita del territorio e delle aree protette che ne fanno parte nel periodo giugno-novembre 2024.,Ambiente,il Parco Fluviale Sarca ha predisposto un calendario di percorsi di visita del territorio e delle aree protette che ne fanno parte.L’iniziativa è rivolta a residenti ed ospiti.Il programma dettagliato dell'iniziativa è descritto nella locandina in allegato.Maggiori informazioni sono presenti nel portale del Parco Fluviale Sarca al seguente link:https://www.parcofluvialesarca.tn.it/dettaglio.php?id=78972 ,locandina,,,Famiglie,Adulti,,Sarche,,,,,,https://www.comune.madruzzo.tn.it/content/download/1934/46961/2/Locandina.pdf,,BIM SARCA,,,,,,,,,,,0,2.0,,,,,,
eea089dfcef665193c1b3e022873f30d,2024-06-12T14:32:50+02:00,2024-06-12T14:34:22+02:00,70° ANNIVERSARIO FONDAZIONE GRUPPO ALPINI LASINO,,Raduno di comunità,,,Gli Alpini di Lasino celebrano il 70° Anniversario della fondazione del Gruppo.,"Demografia e popolazione
Associazioni
Volontariato
Questioni sociali",Domenica 23 giugno 2024 gli Alpini di Lasino celebrano il 70° Anniversario della fondazione del Gruppo ,locandina,,,Adulti,Anziani,Famiglie,,Parco Lasino,,,,,,,,Contatti Ufficio Segreteria Generale e Protocollo,,,,,,,,,,,0.0,2.0,,,,,
bcea72c4f146bc5b1956e6a2ff3c017f,2024-07-09T09:01:48+02:00,2024-07-09T09:01:48+02:00,inaugurazione spazio giovani a Lasino,,"Evento culturale,Evento sociale",,,"NEWS A LASINO: INAUGURAZIONE SPAZIO GIOVANI ALL'APERTO MARTEDI' 9 LUGLIO AD ORE 18.00 E RINFRESCO
Il 9 LUGLIO 2024 - AD ORE 18.00 si terrà l'inaugurazione dello spazio giovani situato all'aperto, dove sostare all'ombra e studiare, giocare, rilassarsi, chiacchierare, gustarsi un bel libro, in uno spazio tutto dedicato ai giovani!Vi aspettiamo all'inaugurazione e al rinfresco. A presto!","Questioni sociali
Politica della gioventù","NEWS A LASINO: INAUGURAZIONE SPAZIO GIOVANI ALL'APERTO MARTEDI' 9 LUGLIO AD ORE 18.00 E RINFRESCO
Il 9 LUGLIO 2024 - AD ORE 18.00 si terrà l'inaugurazione dello spazio giovani situato all'aperto, dove sostare all'ombra e studiare, giocare, rilassarsi, chiacchierare, gustarsi un bel libro, in uno spazio tutto dedicato ai giovani!Vi aspettiamo all'inaugurazione e al rinfresco. A presto!","evento
foto",,,Giovani,"Giunta comunale, Vice Presidente Giunta Provinciale dott.ssa Gerosa Francesca Assessore all'istruzione, cultura e sport, politiche per la famiglia, per i giovani e per le pari opportunità, le Consigliere provinciali Calzà Michela, Masè Vanessa, Il Presidente della Comunità Valle dei Laghi Sommadossi Luca, la docente Silvana Pisoni e il Vice Preside dell'Istituto Comprensivo Valle dei Laghi Elia Giacomolli, Elena Eichner di GenerazioneIn per il Progetto Legalità",Sede Municipio di Madruzzo,,Chiellino Carlotta,,,,https://www.comune.madruzzo.tn.it/content/download/1970/47713/1/locandina.png,https://www.comune.madruzzo.tn.it/ocmultibinary/download/1970/47714/1/371b1fcf13bf79a9d64098c463cd0030.jpg/file/IMG_20240708_173153.jpg,Contatti Ufficio Segreteria Generale e Protocollo,,,Comune di Madruzzo,,,,,Chiellino Carlotta,,,60.0,2,,,,,,,
b8ddea71f6e29fd8945d88061f200f0d,2024-08-12T09:16:35+02:00,2024-08-12T09:17:20+02:00,GIOVANI INTRECCI - INCONTRI DEDICATI AGLI ADOLESCENTI,,Raduno di comunità,,,INCONTRI DEDICATI AGLI ADOLESCENTI PRESSO IL PIAZZALE ANTISTANTE LA BIBLIOTECA A LASINO,Tempo libero,INCONTRI DEDICATI AGLI ADOLESCENTI PRESSO IL PIAZZALE ANTISTANTE LA BIBLIOTECA A LASINO,,,,Giovani,,Punto di lettura di Lasino,,,,,,https://www.comune.madruzzo.tn.it/content/download/2069/49520/1/IMG-20240803-WA0002.jpg,,Contatti Viviana Parisi,,,,,,,,,,,0.0,2,,,,,,,
cc1389abcf97c2aed0ebfb13a6854b78,2024-08-12T09:06:06+02:00,2024-08-12T09:16:24+02:00,GIOVANI INTRECCI - INCONTRI DEDICATI AGLI ADOLESCENTI,,Raduno di comunità,,,INCONTRI DEDICATI AGLI ADOLESCENTI PRESSO IL PIAZZALE ANTISTANTE LA BIBLIOTECA A LASINO,Tempo libero,INCONTRI DEDICATI AGLI ADOLESCENTI PRESSO IL PIAZZALE ANTISTANTE LA BIBLIOTECA A LASINO,,,,Giovani,,Punto di lettura di Lasino,,,,,,https://www.comune.madruzzo.tn.it/content/download/2068/49484/2/IMG-20240803-WA0002.jpg,,Contatti Viviana Parisi,,,,,,,,,,,0.0,2,,,,,,,
c1ff38fccde9f099c9eee85044cbefd3,2024-08-30T12:15:29+02:00,2024-08-30T16:04:45+02:00,PILLOLE DI SPORT,,Evento sportivo,,,Proposta per bambini e ragazzi dai 5 ai 13 anni. ,"Tempo libero
Sport","Vi aspettiamo numerosi!Ricordatevi di portare la Borraccia per l'acquaRispettiamo l'ambiente, limitiamo i rifiutiInsieme tutto è possibile! ",,,,Bambini,Giovani,,Sarche,,,,,,https://www.comune.madruzzo.tn.it/content/download/2082/49841/2/IMG-20240826-WA0004.jpg,,GENERAZIONI-IN 3465207575,,,,,,,,,,,0,2.0,,,,,,
070f545f5b64da46e6800a0d3c5e64ad,2024-10-14T10:16:41+02:00,2024-10-14T11:41:13+02:00,Naturalmente in Cucina,,"Evento sociale,Evento culturale",,,Laboratorio di cucina naturale,"Questioni sociali
Tempo libero","Naturalmente in cucinaLaboratorio esperienziale di cucina naturale con Francesca Longo della &quot,Tana del riccio&quot,",,,,Anziani,,Sarche,0,0,,,,"COSTO: € 10,00",,https://www.comune.madruzzo.tn.it/content/download/2153/51495/2/laboratori+cucina+Sarche.png,https://www.comune.madruzzo.tn.it/ocmultibinary/download/2153/51496/2/0b34a3a803c6087a8931419a0e091402.png/file/Attivi_in%2Bvalle%2Bdei%2Blaghi.png,,0461 340883 SPAZIO ARGENTO340 8127981 ANNA OASI,,,SPAZIO ARGENTO DELLA COMUNITÀ DELLA VALLE DEI LAGHI,,,,,,Italiano,15.0,2.0,,,,,
4cf0f8338b639bfdf6b7833f13fafd6f,2024-10-30T14:30:36+01:00,2024-10-30T14:30:36+01:00,EDUCHIAMOCI AD EDUCARE 2024 SERATA INFORMATIVA SUL TEMA DELL'ADOLESCENZA,,Evento sociale,,,"SERATA CON STEFANO ROSSI &quot,LEZIONI D'AMORE PER UN FIGLIO. Preparare i figli per le sfide della vita.","Questioni sociali
Politica della gioventù
Politica familiare",Prima serata formativa sul tema dell'adolescenza,,,,Giovani,FAMIGLIE AL CENTRO VALLE DEI LAGHI,Teatro Valle dei Laghi,0,0,,,,,,https://www.comune.madruzzo.tn.it/content/download/2166/51752/1/Educhiamoci+ad+Educare+-+Locandina+Generale.jpeg,,,PER PRENOTARE inviare un messaggio a 333 91 65 072 / 327 28 85 364 o famigliealcentro.valledeilaghi@gmail.com,,,,,,,,,Italiano,0.0,2.0,,,,,
