remoteId,published,modified,Titolo,Eventuale sottotitolo,Identificativo dell'evento,Tipo di evento,Argomenti,Iniziativa di cui fa parte,Tempo di lettura,Descrizione breve,Descrizione completa,Galleria immagini,Video,Destinatari,Informazioni sui destinatari,Luogo dell'evento,Parole chiave,Locandina,Punti di contatto,Date ed orari dell'evento,E' gratuito,Offerta,Allegati,Presenti all'evento,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Organizzatori,Sponsor,Servizio di traduzione curato da,Patrocinio,Valutazione dell'evento,Lingue usate all'evento,Recensione,Indicato per,Numero massimo di posti
f0f6c184adff8d899114ebef8050e018,2022-03-14T17:31:07+01:00,2022-03-14T17:31:07+01:00,Camminando sotto le stelle | SAT Mezzolombardo,,,"Evento culturale,Evento sportivo","Istruzione, cultura e sport",,2,Tradizionale escursione notturna in Fausior,"
CAMMINANDO SOTTO LE STELLESABATO 19 MARZO 2022TRADIZIONALE ESCURSIONE NOTTURNA IN FAUSIORA TUTTI I PRESENTI DALLE ORE 19 ALLE 21 VERRA’ OFFERTO UN PIATTO CALDO (munirsi di piatto, posate e bicchiere personali)
TENDONE RISCALDATOTRASCORREREMO ALCUNE ORE IMMERSI NELL’INDIMENTICABILE PAESAGGIO NOTTURNO DEL FAUSIOR.
SI RACCOMANDA DI MUNIRSI DI ATTREZZATURA ADEGUATA ALL’ESCURSIONE: RAMPONCINI E FRONTALINO!!!!ATTENZIONE PERCORSO GHIACCIATO!!!!!!Per informazioni potete contattarci al numero 351 5015053 o potete inviare una mail all’indirizzo sat.mezzolombardo@gmail.comRicordiamo che in relazione all’Emergenza Covid per la partecipazione alla manifestazione è obbligatorio il possesso del green-pass. In caso di maltempo la manifestazione non verrà effettuata.",SAT nuovo,,Fasce generali di popolazione,,,,https://www.comune.mezzolombardo.tn.it/content/download/4594/167824/1/CAMMINANDO SOTTO LE STELLE  19 marzo 2022.pdf,,,,,,,,,SAT Sezione di Mezzolombardo,,,,,,,,0
53284eb48c919bdf0e2e418b89871660,2022-03-08T17:59:07+01:00,2022-03-08T18:00:05+01:00,I Fisarmonici | Circolo Ricreativo La Pergola,,,Evento culturale,"Istruzione, cultura e sport",,2,Quando: sabato 9 aprile 2022 | ore 20.30Dove: Teatro San Pietro,I Fisarmonici | Circolo Ricreativo La PergolaSabato 9 aprile 2022 | ore 20.30Teatro San Pietroin via di definizione,,,Fasce generali di popolazione,,,,,,,,,,,,,"Circolo Ricreativo ""La Pergola""",,,,,,,,0
aad648427c7b09ef69978d6ce8c5881a,2022-03-04T11:19:10+01:00,2022-03-31T15:42:23+02:00,Concerto dell'ENSEMBLE VOCALE FEMMINILE G.GALLO | Donn'Arte,,,"Evento culturale,Evento sociale","Istruzione, cultura e sport",,2,a cura della Scuola Musicale Guido Gallo,"Concerto dell'ENSEMBLE VOCALE FEMMINILE G.GALLOClaudia Giongo, direttore - Jessica Nardon, pianoforteVenerdì 8 aprile | ore 21.00 | Sala Civica - Comune di Mezzolombardo----Iscrizione agli eventi gratuita ma obbligatoria presso la Biblioteca Comunale - tel. 0461602648 - biblioteca@comune.mezzolombardo.tn.itAccesso consentito con green pass rafforzato e mascherina FFP2, salvo diverse disposizioni di legge",BANNER,,Fasce generali di popolazione,,,,https://www.comune.mezzolombardo.tn.it/content/download/4532/165550/2/DonnArte LOCANDINA DEF.pdf,,,,,,,,,Scuola musicale Guido Gallo,,,,,,,,0
3be89646c37c5ae6086683504bb5398f,2022-03-04T11:16:46+01:00,2022-03-04T11:19:05+01:00,BandaStorta presenta SOGNANDO FELLINI | Donn'Arte,,,"Evento culturale,Evento sociale","Istruzione, cultura e sport",,2,a cura della Scuola Musicale Guido Gallo,"BandaStorta presenta SOGNANDO FELLINIcon Davide Salata (sax soprano), Emiliano Tamanini (tromba), Fabrizio Carlin (trombone), Giorgio Beberi (sax baritono), Filippo Tonini (percussioni) e proiezione filmati orginali a cura di Alex BianciardiGiovedì 31 marzo | ore 20.30 | Teatro San Pietro----Iscrizione agli eventi gratuita ma obbligatoria presso la Biblioteca Comunale - tel. 0461602648 - biblioteca@comune.mezzolombardo.tn.itAccesso consentito con green pass rafforzato e mascherina FFP2, salvo diverse disposizioni di legge",BANNER,,Fasce generali di popolazione,,,,https://www.comune.mezzolombardo.tn.it/content/download/4531/165517/1/DonnArte LOCANDINA DEF.pdf,,,,,,,,,Scuola musicale Guido Gallo,,,,,,,,0
0186d05e130b587db2813c0726808316,2022-03-04T11:13:30+01:00,2022-03-22T09:07:50+01:00,E V E N T O   A N N U L L A T O La donna nel mondo | Donn'Arte,,,"Evento culturale,Evento sociale","Istruzione, cultura e sport",,2,a cura del Circolo Acli di Mezzolombardo,"LA DONNA NEL MONDOE V E N T O  A N N U L L A T Orelatrice: Lia Giovanazzi Beltrami, interviene: Donatella Lucian ----Iscrizione agli eventi gratuita ma obbligatoria presso la Biblioteca Comunale - tel. 0461602648 - biblioteca@comune.mezzolombardo.tn.itAccesso consentito con green pass rafforzato e mascherina FFP2, salvo diverse disposizioni di legge",BANNER,,Fasce generali di popolazione,,,,https://www.comune.mezzolombardo.tn.it/content/download/4530/165484/3/DonnArte LOCANDINA DEF.pdf,,,,,,,,,Acli Mezzolombardo,,,,,,,,0
00a8119cbd232f2002b935ec41913e5d,2022-03-04T11:11:16+01:00,2022-03-07T16:49:04+01:00,Attenti a quel duo - parole e musica intorno all'amore | Donn'Arte,,,"Evento culturale,Evento sociale","Istruzione, cultura e sport",,2,a cura della Biblioteca Intercomunale di Mezzolombardo,"ATTENTI A QUEL DUOparole e musica intorno all'amorecon Barbara Bertoldi (violoncello e voce) e Eddy Serafini (arciliuto)ore 20.45 | Sala Spaur----Iscrizione agli eventi gratuita ma obbligatoria presso la Biblioteca Comunale - tel. 0461602648 - biblioteca@comune.mezzolombardo.tn.itAccesso consentito con green pass rafforzato e mascherina FFP2, salvo diverse disposizioni di legge",Banner,,Fasce generali di popolazione,,,,https://www.comune.mezzolombardo.tn.it/content/download/4529/165451/2/Attenti a quel duo.pdf,,,,,,,,,Attività culturali- biblioteca ,,,,,,,,0
e3243fa3bcd953dd73d4cf9ba0b23a07,2022-03-04T09:50:09+01:00,2022-03-04T11:16:41+01:00,Perché No? in concerto | Donn'Arte,,,"Evento culturale,Evento sociale","Istruzione, cultura e sport",,2,a cura della Scuola Musicale Guido Gallo,"PERCHE' NO? in concertoI FAVOLOSI ANNI '60-'70con Chiara Devigili (voce), Ginevra Corradini (tastiera), Massimo Bonadiman (chitarra), Massimiliano Devigili (tromba e voce), Andrea Tabarelli (basso), Diego Holzer (batteria)Giovedì 10 marzo | ore 20.30 | Teatro San Pietro----Iscrizione agli eventi gratuita ma obbligatoria presso la Biblioteca Comunale - tel. 0461602648 - biblioteca@comune.mezzolombardo.tn.itAccesso consentito con green pass rafforzato e mascherina FFP2, salvo diverse disposizioni di legge",BANNER,,Fasce generali di popolazione,,,,https://www.comune.mezzolombardo.tn.it/content/download/4528/165418/2/DonnArte LOCANDINA DEF.pdf,,,,,,,,,Scuola musicale Guido Gallo,,,,,,,,0
b0a193a14b60531e92f9e236066bf454,2022-03-04T09:49:58+01:00,2022-03-04T09:49:58+01:00,S. Messa | Donn'Arte,a cura del Circolo Acli di Mezzolombardo e del Circolo Ricreativo La Pergola,,"Evento culturale,Evento sociale","Istruzione, cultura e sport",,2,a cura del Circolo Acli di Mezzolombardo e del Circolo Ricreativo La Pergola,ore 9.30 | S. MESSA presso la Chiesa dei Frati Francescanicon distribuzione delle mimose - a cura del Circolo Acli di Mezzolombardoore 11.00 | RINFRESCO offerto dal Circolo Ricreativo La Pergolapresso la sede dell'associazione - via Cavalleggeri Udine 8 - Mezzolombardo,BANNER,,Fasce generali di popolazione,,,,https://www.comune.mezzolombardo.tn.it/content/download/4526/165376/1/DonnArte LOCANDINA DEF.pdf,,,,,,,,,"Acli Mezzolombardo
Circolo Ricreativo ""La Pergola""",,,,,,,,0
e07b8cca7d866e6f3f0bfc3e5b720adc,2022-03-01T11:52:28+01:00,2022-03-01T11:52:51+01:00,Attraverso lo sguardo,Mostra d'arte della pittrice Laura Cagol,,"Evento culturale,Mostra","Istruzione, cultura e sport",,2,"Nell'ambito della manifestazione &quot,Donn'arte&quot,","MOSTRA &quot,ATTRAVERSO LO SGUARDO&quot, della pittrice Laura CagolLa mostra sarà in seguito visitabile nei giornisabato/domenica 5-6, 12-3, 19-20 marzo 2022 | dalle 16.00 alle 19.00-----Biografia dell’artista.Il mondo che abitiamo è già, di per sé, un’immensa opera d’arte, che non avrebbe bisogno di essere reinterpretata. Forse l’atto creativo è l’esigenza di rendere omaggio alla Bellezza che ci sovrasta, alla Perfezione di ogni singola creatura animata o inanimata con cui condividiamo questo breve passaggio sulla Terra. E’ un modo di esprimere, di reinventare, di imitare.Laura Cagol, è cresciuta a Povo. Di professione, insegnante di Lingue e guida turistica. Da sempre amante dell’arte, solo recentemente ha deciso di realizzare il suo “sogno nel cassetto” e di dedicarsi con grande impegno e passione alla pittura figurativa. “La pittura per me è iniziata come una sorta di arte-terapia, per superare momenti di grande sofferenza. Immergermi nei colori e nell’atto creativo mi ha dato la forza e l’energia di superare momenti difficili della mia biografia. Ogni donna che dipingo è una parte di me, del mio vissuto, dei miei sentimenti, delle mie gioie o paure. Lo sguardo delle mie donne o bambine è uno sguardo che ti osserva e che ti parla.”",Laura,,Fasce generali di popolazione,,,,https://www.comune.mezzolombardo.tn.it/content/download/4507/164552/1/Mostra Laura Cagol.pdf,Biblioteca di Mezzolombardo,,,,,,,,"Attività culturali- biblioteca 
Acli Mezzolombardo
Scuola musicale Guido Gallo
Circolo Ricreativo ""La Pergola""",,,,,,,,23
9d4eb5de48c835cd68612e844e435997,2022-03-01T11:52:03+01:00,2022-03-01T11:52:22+01:00,Attraverso lo sguardo,Mostra d'arte della pittrice Laura Cagol,,"Evento culturale,Mostra","Istruzione, cultura e sport",,2,"Nell'ambito della manifestazione &quot,Donn'arte&quot,","MOSTRA &quot,ATTRAVERSO LO SGUARDO&quot, della pittrice Laura CagolLa mostra sarà in seguito visitabile nei giornisabato/domenica 5-6, 12-3, 19-20 marzo 2022 | dalle 16.00 alle 19.00-----Biografia dell’artista.Il mondo che abitiamo è già, di per sé, un’immensa opera d’arte, che non avrebbe bisogno di essere reinterpretata. Forse l’atto creativo è l’esigenza di rendere omaggio alla Bellezza che ci sovrasta, alla Perfezione di ogni singola creatura animata o inanimata con cui condividiamo questo breve passaggio sulla Terra. E’ un modo di esprimere, di reinventare, di imitare.Laura Cagol, è cresciuta a Povo. Di professione, insegnante di Lingue e guida turistica. Da sempre amante dell’arte, solo recentemente ha deciso di realizzare il suo “sogno nel cassetto” e di dedicarsi con grande impegno e passione alla pittura figurativa. “La pittura per me è iniziata come una sorta di arte-terapia, per superare momenti di grande sofferenza. Immergermi nei colori e nell’atto creativo mi ha dato la forza e l’energia di superare momenti difficili della mia biografia. Ogni donna che dipingo è una parte di me, del mio vissuto, dei miei sentimenti, delle mie gioie o paure. Lo sguardo delle mie donne o bambine è uno sguardo che ti osserva e che ti parla.”",Laura,,Fasce generali di popolazione,,,,https://www.comune.mezzolombardo.tn.it/content/download/4506/164519/1/Mostra Laura Cagol.pdf,Biblioteca di Mezzolombardo,,,,,,,,"Attività culturali- biblioteca 
Acli Mezzolombardo
Scuola musicale Guido Gallo
Circolo Ricreativo ""La Pergola""",,,,,,,,23
