remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
8dceb84f80eddcb70843e1748dd4f434,2023-12-19T12:08:43+01:00,2023-12-19T15:25:31+01:00,Skyline - spettacolo di danza verticale,,Evento culturale,,,Il Comune di Mori organizza uno spettacolo di danza verticale a cura della Compagnia di danza verticale Il Posto che si svolgerà il 29 dicembre 2023 alle ore 18.00 in Piazza Cal di Ponte,"Tempo libero
Turismo","
Skyline é il profilo delle nostre città, è una linea creata dagli edifici, è il segno che attraversa il cielo e unisce tutte le forme all’orizzonte e per questo rappresenta e caratterizza l’unicità di ogni luogo, sia naturale che urbano.
Tra questi edifici la danza verticale si inserisce con una performance spettacolare dove i danzatori disegnano il cielo con il loro corpo e fanno condividere l’immenso panorama a chiunque guardi.
Lo spettacolo dona alla città uno skyline potente dove la poesia della danza e e della musica dipingono nuove prospettive e visioni. I danzatori si muovono leggeri con una diversa gravità, sospesi ma solidamente attaccati alle architetture che fanno da cordone ombelicale alle dinamiche e al guizzo energico del volo. “Sfumiamo i confini e accorciamo le distanze tra spazio e corpo”. Wanda Moretti",Skyline,,,Adulti,Tutta la cittadinanza è cordialmente invitata,Palazzo del Municipio,,,,gratuito,,,,"Ufficio cultura
Ufficio cultura",,,,,,,,,,,0,2.0,,,,,,,
36147fbd6557c67040c89babe07848aa,2023-12-29T10:12:20+01:00,2023-12-29T10:12:20+01:00,STAGIONE DI PROSA - ARLECCHINO MUTO PER SPAVENTO ,,Spettacolo teatrale,,,"ARLECCHINO MUTO PER SPAVENTO
con Sara Allevi, Marie Coutance, Matteo Cremon, Anna De Franceschi
in alternanza con Francesca Botti, Michele Mori, Stefano Rota, Pierdomenico Simone, Maria Luisa Zaltron, Marco Zoppellosoggetto originale e regia Marco Zoppello",Tempo libero,"
Uno dei canovacci più rappresentati nella Parigi dei primi del ’700, qui riproposto per la prima volta in epoca moderna.Il giovane Lelio si è follemente innamorato di Flamminia, figlia di Pantalone De’ Bisognosi, ampiamente ricambiato. Ma il padre della giovane l’ha già promessa in sposa a Mario, figlio di Stramonia Lanternani, anche se il timido Mario ama Silvia. Lelio si reca quindi a Milano per ricondurre alla ragione Mario e la madre o, alla peggio, sfidare il giovane a duello. La notizia avrebbe dovuto rimanere nascosta, ma Arlecchino, servitore di Lelio, la diffonde ad ogni anima viva incontrata. Per ridurlo al silenzio il suo padrone gli gioca un tranello: finge che un demonio sia imprigionato nel proprio anello e, se Arlecchino parlerà, il demonio glielo rivelerà e il servitore sarà decapitato. Arlecchino decide dunque di chiudersi in un religioso silenzio, diventando muto… per spavento!",Arlecchino muto per spavento,,,Adulti,,,,,,"
INGRESSI
Intero € 15,00
Ridotto € 12,00 (oltre i 65 anni, Associazioni-Cooperative-Circoli di Mori)Ridotto giovani € 8,00 (under 30)
ORARIO BIGLIETTERIA PRESSO IL TEATRO:• Nelle serate di spettacolo a partire dalle ore 20.00",,https://mori.pnrr.comunweb.it/content/download/1519/26432/1/ARLECCHINO+muto+per+spavento.jpg,https://mori.pnrr.comunweb.it/ocmultibinary/download/1519/26433/1/0bb349996ceb67e18ab7be31e6de42c5.pdf/file/Stagione_teatrale23-24_libretto+%281%29.pdf,Ufficio Cultura Comune di Mori dalle 9.00 alle 12.30 ,,,,,,,,,,,0,2.0,,,,,,,
d746ab532719743af0455b8a67776feb,2023-12-29T10:25:55+01:00,2023-12-29T10:26:31+01:00,STAGIONE DI PROSA - OTELLO CIRCUS ,,Spettacolo teatrale,,,"
OTELLO CIRCUSscene e regia Antonio Viganò
ATTENZIONELo spettacolo viene rappresentato in platea. I posti di questo settore non verranno assegnati. Agli abbonati sarà garantito il posto nel settore palchi",Tempo libero,"
Un’opera lirico-teatrale ispirata alle opere di Verdi e Shakespeare e ambientata in un vecchio Circo in cui Otello è costretto a rappresentare la sua personale tragedia assieme agli
altri personaggi dell’Opera che si spartiscono i mestieri del Circo: l’acrobata, il lanciatore di coltelli, l’equilibrista, l’inserviente, il domatore.In scena un grande circo dei sentimenti umani dove tutto è dominato dalle passioni e dalle ambizioni dei personaggi.",Otello Circus,,,Adulti,,,,,,"
INGRESSI
Intero € 15,00
Ridotto € 12,00 (oltre i 65 anni, Associazioni-Cooperative-Circoli di Mori)Ridotto giovani € 8,00 (under 30)
ORARIO BIGLIETTERIA PRESSO IL TEATRO:• Nelle serate di spettacolo a partire dalle ore 20.00",,https://mori.pnrr.comunweb.it/content/download/1521/26477/2/OTELLO+circus.jpg,https://mori.pnrr.comunweb.it/ocmultibinary/download/1521/26478/2/d77417184b007445239a3528ec7335fc.pdf/file/Stagione_teatrale23-24_libretto+%281%29.pdf,Ufficio Cultura Comune di Mori dalle 9.00 alle 12.30 ,,,,,,,,,,,0,2.0,,,,,,,
3ec4e192a0cd7338b939e187bb30518f,2023-12-29T08:58:13+01:00,2024-01-04T11:40:29+01:00,A teatro con mamma e papà - La vecchia,,Spettacolo teatrale,,,"
Collettivo Clochart APS
regia e drammaturgia Michele Comite
coreografie Hillary Anghileri
musiche Daniela Savoldiscenografie Anna Ucosich, Sergio Debertolis, Gigi Giovanazzi",Tempo libero,"
In una casa qualunque viveva La Vecchia.Non era brutta, anzi, era molto bella. Però aveva un pessimo caratteraccio. Era sempre pronta a criticare e a parlare male del prossimo, cosicché non si era mai sposata. Infatti, era molto egoista e fin da piccola non aveva mai aiutato nessuno, ed era come ossessionata dalla pulizia. Aveva sempre in mano la scopa e la usava così rapidamente che sembrava ci volasse sopra. La sua solitudine, man mano che passavano gli anni, la rendeva sempre più acida e cattiva. Nessuno si ricordava di averla vista sorridere. Quando non puliva la casa con la sua scopa, si sedeva e faceva la calza. Ne faceva a centinaia. Non per qualcuno, naturalmente! Le faceva per se stessa, per calmare i nervi e passare un po’ di tempo, visto che nessuno andava mai a trovarla, né lei sarebbe mai andata a trovare qualcuno. Era troppo orgogliosa per ammettere di avere bisogno di un po’ d’amore. Così passarono gli anni, e la nostra Vecchia si vedeva sempre più brutta: finché un giorno, la sera prima del 6 gennaio, sentì bussare alla finestra. Lo stomaco si strinse e un brivido le corse lungo la schiena. Nessuno aveva mai bussato alla sua finestra. Chi poteva essere?",La Vecchia,,,Bambini,,,,,,"Ingresso unico euro 4,00",,https://mori.pnrr.comunweb.it/content/download/1511/26255/5/LA+VECCHIA.jpg,https://mori.pnrr.comunweb.it/ocmultibinary/download/1511/26256/5/17eb83cd7d9e4411aa1f788dd04265ca.pdf/file/Stagione_teatrale23-24_libretto.pdf,Ufficio Cultura Comune di Mori dalle 9.00 alle 12.30 ,,,,,,,,,,,0,2.0,,,,,,,
4fa61d9564c5e66c125c6ad7dc3cbb3f,2023-12-29T10:04:52+01:00,2024-01-04T11:46:21+01:00,Stagione di prosa - Caravaggio di chiaro e di scuro,,Spettacolo teatrale,,,"
Caravaggio di chiaro e di scuroCompagnia INTI di Luigi D’Elia Le Tre Corde
di Francesco Niccolini
con Luigi D’Elia
regia di Enzo Vetrano e Stefano Randisi
disegno luci Francesco Dignitosooggetti ed elementi scenici Mela Dell’Erba",Tempo libero,"
Quanti dettagli servono per raccontare la storia di Michelangelo Merisi da Caravaggio?
C’è la peste da bambino, la fame e la povertà da giovane, il successo fulmineo e scapestrato, i litigi, le risse: tentati omicidi, agguati in strada, ferite, denunce e un omicidio
riuscito. Fughe precipitose e ritorni. Poi le tele, dato che lui gli affreschi proprio non li sapeva fare: solo a olio, riusciva. I quattro modelli che poteva permettersi e a rotazione usava in tutti i quadri: prostitute per madonne, giovani compagni di letto per angeli, se stesso testimone in disparte e un vecchio per tutto il resto. Ma soprattutto bisogna raccontare la sua mano, che con la stessa facilità impugnava il pennello e la spada, con la medesima violenza.
Francesco Niccolini e Luigi D’Elia mettono in scena il terzo racconto biografico della loro produzione, realizzano questo nuovo lavoro insieme a Enzo Vetrano e Stefano Randisi. Tuttiinsieme provano ad attraversare l’epoca d’oro della cultura italiana ed europea.",Caravaggio di chiaro e di oscuro,,,Adulti,,,,,,"
INGRESSI
Intero € 15,00
Ridotto € 12,00 (oltre i 65 anni, Associazioni-Cooperative-Circoli di Mori)Ridotto giovani € 8,00 (under 30)",,https://mori.pnrr.comunweb.it/content/download/1517/26387/3/CARAVAGGIO+di+chiearo+e+di+scuro.jpg,https://mori.pnrr.comunweb.it/ocmultibinary/download/1517/26388/3/be6bf52cd5a6198cd2c74407d86707c9.pdf/file/Stagione_teatrale23-24_libretto.pdf,Contatti Ufficio Cultura,,,,,,,,,,,0,2.0,,,,,,,
307cf744e27ea9ba632871f814c79ecc,2023-12-29T09:53:04+01:00,2024-01-04T11:41:52+01:00,Stagione di prosa - Fiabafobia,,Spettacolo teatrale,,,"
FiabafobiaMismaondadi e con Arianna Porcelli Safonov",Tempo libero,"
“Fobia” vuol dire paura e “Paura” include nella propria radice l’indoeuropeo -pat che vuol dire percuotere, abbattere. Potremmo dire che le paure ci abbattono e che veniamo
giornalmente percossi dalla fobia. Non è un buon inizio per un monologo comico. La risata però è il linguaggio che serve per entrare dentro ad uno degli argomenti più attuali, impegnativi e meno discussi di questo momento storico: la paura come timone sociale.
Quando ero piccola si doveva aver paura di Chernobyl, poi c’è stata la Mucca Pazza, l’arsenico nell’acqua, i testimoni di Geova, i musulmani, gli immigrati, il virus, la peste suina e,
se non bastasse, una bella guerra. Grazie al clima di terrore mondiale ci spertichiamo in fobie personalizzate: dai serpenti, ai ragni, all’aereo, ai batteri e molto altro di pauroso e di ridicolo che viene giustificato con “Scusa, è che c’ho la fobia!”Fiabafobia è una collana di racconti che indaga sulle fobie che accompagnano la nostra persona, a volte per tutta la vita, a volte più dei parenti. Fiabafobia è stata scritta per ridere e per pensare. Sperando che non ci sia nessuno che abbia paura di ridere e di pensare.",Fiabafobia,,,Adulti,,,,,,"
INGRESSI
Intero € 15,00
Ridotto € 12,00 (oltre i 65 anni, Associazioni-Cooperative-Circoli di Mori)Ridotto giovani € 8,00 (under 30)",,https://mori.pnrr.comunweb.it/content/download/1515/26342/3/FIABAFOBIA.jpg,https://mori.pnrr.comunweb.it/ocmultibinary/download/1515/26343/3/534a1a3adb75f3e7fc9b01a3aeccdf51.pdf/file/Stagione_teatrale23-24_libretto.pdf,Ufficio Cultura Comune di Mori dalle 9.00 alle 12.30 ,,,,,,,,,,,0,2.0,,,,,,,
eab1baac154335bf78e0d65ecf585393,2024-02-16T10:32:31+01:00,2024-03-01T12:46:50+01:00,Università della terza età e del tempo disponibile - percorso formativo per la cittadinanza,,Evento di formazione,,,"Una proposta del Comune di Mori in collaborazione con la Fondazione «Franco Demarchi» di Trento. 
Il programma si svolgerà
dal 17 novembre 2023 al 19 aprile 2024
il venerdì dalle 15:30 alle 17:30
presso la Biblioteca comunale di Mori in Via Scuole, 7.Ci si può iscrivere dai 35 anni.Le conferenze in Biblioteca si terranno il giovedì dalle 20:00 alle 22:00 con entrata libera.",Tempo libero,"Il programma si svolgerà dal 17/11/2023 al 19 /04/2024 presso la Biblioteca comunale di Mori.
Corsi universitariil venerdì 15:30 - 17:30
Ambiente e natura
Erbe, fiori e germogli selvatici commestibili in Trentino
docente Sarzo Antonio17/11, 24/11, 01/12
Psicologia generale
Percorso laboratoriale - la memoria: manteniamola in forma
12/01, 26/01, 09/02, 23/02docente Massaro Salvatore
Educazione alla salute e sani stili di vita
Medicina e benessere
15/03docente da individuare
Parco naturale locale monte baldo
Grandi carnivori 19/04, in sede,
l’uscita alla scoperta della flora sul territorio - data da definiredicente: esperti Parco Naturale Locale del Monte BaldoIscrizione all'anno accademico 2023-2024 Sede di Mori - euro 50,00.
Conferenze in biblioteca
il giovedì 20:00 - 22:00ingresso gratuito
Educazione alla salute e sani stili di vita
lo stile di vita per il benessere e la salute
16/11, 30/11docente Cappello Ruggero
Psicologia generale
Introduzione al percorso laboratoriale La memoria: manteniamola in forma
14/12docente Massaro Salvatore
Energie rinnovabili
Energie rinnovabili
11/01docente Gattozzi Gabriele
Storia locale
Villa Lagarina e la famiglia Castelbarco: 15/02, 22/02
docente Postinger Carlo Andrea
Famiglia Salvotti 29/02
docente Pretto Ilaria
Famiglia Fiumi 04/04Fondazione Museo Storico
Aspetti medici della terza età 
Patologie reumatiche
14/03docente Paolazzi Giuseppe
Educazione alla mondialità e diritti umani
Relazioni internazionali: Africa
18/04
docente da individuareNB: si potranno verificare modifiche nei docenti e negli abbinamenti docenti-corso.",Uni terza età,,,Adulti,Anziani,Rivolta alle persone di età dai 35 anni in su.,Sede Biblioteca,,,,"CORSI UNIVERSITARI, costo euro 50CONFERENZE IN BIBLIOTECA ingresso gratuito",,https://mori.pnrr.comunweb.it/content/download/4545/56398/9/locandina_UTETD_2023-24.pdf,https://mori.pnrr.comunweb.it/ocmultibinary/download/4545/56399/9/5ad7d5989c4d14e9e51454c46ec7b439.pdf/file/orario_Mori_23-24.pdf,Contatti Gjorgjievska Eva,,,,,,,,,,Italiano,0.0,2.0,,,,,,
831fa9bdc3494b601b9b9c56d6b10c45,2024-03-05T10:44:11+01:00,2024-03-07T14:36:13+01:00,Donne per la Pace,,"Conferenza e summit,Incontro con esperti",,,"15 marzo 2024 alle ore 20.30 presso la sala ex Galetera incontro sul ruolo della Donna come promotrice di Pace.In occasione dell'8 marzo &quot,Giornata internazionale della Donna&quot,",Questioni sociali,"Ci sono tante realtà in cui il ruolo della donna è fondamentale nel progettare e nell'indicare strategie valide per costruire la pace, a partire dalla scuola, per uscire dalla cultura patriarcale di dominio, prevaricazione, sfruttamento e schiavitù.Più che mai, ai giorni nostri, parlare di costruire una cultura della pace è fondamentale se, come umanità, vogliamo sopravvivere.",Evento donne,,,Adulti,Anziani,Giovani,,,,Silva Feitosa Rosangela,,,,https://mori.pnrr.comunweb.it/content/download/4610/57719/3/donne_per_la_pace_2024_locandina.pdf,,Contatti Saccani Anna,,,,,,,,,,,0.0,2.0,,,,,
13f2421b59e7c6d0fae1d5da62edaa95,2024-05-29T10:00:18+02:00,2024-05-29T10:00:18+02:00,Appuntamento... in Cal di Ponte - serata di ballo liscio,,Evento culturale,,,Serata di ballo liscio,Tempo libero,Serata di ballo liscio,Ballo latino,,Appuntamento....in Cal di Ponte,Adulti,,Piazza Cal di Ponte,,,,,,https://www.comune.mori.tn.it/content/download/5188/71304/1/locandina+Momento+ballo.pdf,,Momento ballo snc,,,Momento ballo snc,,,,,,,,0,2.0,,,,,,,
7e1adcd505e11c343f49675179b13bf9,2024-05-29T09:44:04+02:00,2024-05-29T09:56:30+02:00,Appuntamento....in Cal di Ponte,,Evento culturale,,,Serate di ballo liscio e ballo latino per tutta la cittadinanza,Tempo libero,Serate di ballo liscio e ballo latino aperte a tutta la cittadinanza,Ballo latino,,,Adulti,,Piazza Cal di Ponte,,,,,,https://www.comune.mori.tn.it/content/download/5184/71232/2/locandina+Momento+ballo.pdf,,Momento ballo snc,,,,,,,,,,,0,2.0,,,,,,,
