remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
5d2bb70d1d5460260eeaa563fdcc5773,2023-09-18T09:50:21+02:00,2023-09-18T09:50:21+02:00,Festival del pesce d'acqua dolce,,Festival,,,"A Nago-Torbole, Arco e Riva del Garda dal 6 all’8 ottobre un ampio cartellone di iniziative per promuovere l’acquacoltura sostenibile e la cultura del pesce d’acqua dolce.","Agricoltura, silvicoltura e pesca
Pesca
Prodotti alimentari","La seconda edizione Festival del pesce d’acqua dolce si svolgerà in tre giornate ricche di iniziative, ognuna delle quali coinvolgerà uno dei tre Comuni sulle sponde trentine del Garda, che hanno dato il loro patrocinio all’iniziativa. L’apertura si terrà ad Arco nella mattinata di venerdì 6 ottobre, seguirà Riva del Garda, il pomeriggio di sabato 7, per finire con Torbole, domenica 8 ottobre, dopo una ricca panoramica di eventi per operatori, istituti alberghieri, esperti e pubblico.",Pesce lago di Garda,,,Adulti,,,,,,,,,,Contatti Ufficio Segreteria,,"
Il focus della tre giorni ittica gardesana, all’insegna di degustazioni, convegni, show cooking e talk show, è incentrato sulla riscoperta e la rivalutazione del pesce di acqua dolce e della relativa cucina, oggi non adeguatamente conosciuta, con l’opportunità di proporre al pubblico e agli esperti sia i piatti di grandi tradizioni, sia quelli popolari del lago di Garda, connotati dal comune denominatore del pesce locale e dell’itticoltura trentina, che si distingue per la sua qualità.
Il variegato programma di eventi organizzati dal Club dei sapori, che qui è riassunto, è frutto della collaborazione tra l’Apt Garda Dolomiti, i Comuni di Arco, Riva del Garda e Nago-Torbole, e la Provincia di Trento.
La rassegna si aprirà ad Arco con un momento formativo importante: il primo contest riservato ai giovani allievi di quattro istituti alberghieri (Riva del Garda, Rovereto, Bardolino e Gardone), ideato da Giulio Biasion per promuovere l’itticoltura attuale e della tradizione gardesana, e per rivalutare una professione che merita di essere rilanciata. Il contest metterà a confronto il lavoro sia della cucina, con piatti della tradizione e innovativi, sia del servizio in tavola, attraverso lo “storytelling” su quanto viene presentato alla giuria di esperti.Sempre nel primo giorno, Palazzo Giuliani ad Arco ospiterà “Il food cost e i piatti della tradizione ittica gardesana”, un momento di formazione con l’Associazione ristoratori Fipe riservato a chef e ristoratori, con il dott. Roberto Peschiera, esperto di food ed ex ispettore Guida Michelin, e la quotata chef Orazia Danieli di Castelletto di Brenzone.
Alle ore 17 a Palazzo Giuliani si terrà l’inaugurazione ufficiale del festival, con il convegno di apertura su “Acquacoltura, biodiversità e criticità del pesce nel Garda”, alla presenza dei referenti dei tre Comuni, del presidente della Comunità del Garda, oltre a esperti del settore.
Per il pubblico, tanti appuntamenti nelle altre sedi: sabato 7 pomeriggio a Riva del Garda l’ampia sala della Fraglia Vela, sul porto, ospiterà un evento di degustazione e storytelling delle caratteristiche dell’olio extravergine d’oliva dop dell’Alto Garda, a seguire, il talk show “Benessere salute e alimentazione con il pesce di lago”, che vedrà la partecipazione di ospiti illustri come Evelina Flachi, dietologa e consulente di Rai Uno, il giovane e già affermato chef stellato Giacomo Sacchetto, la chef Orazia Danieli, lo scrittore del lago Livio Parisi e l’enogastronomo Antonio Scuderi.
A Nago-Torbole presso il piano terra dell’edificio ex Colonia Pavese il giorno 8 ottobre sono previste degustazioni, storytelling, e laboratori con show cooking al mattino, con il noto chef Andrea Mantovanelli che proporrà un piatto speciale ideato per l'evento nel nostro Comune.
A mezzogiorno in Piazza Lietzmann si terrà l'evento &quot,Pesce in Piazza&quot, con lo chef Marcello Franceschi che proporrà un'antica ricetta locale con trote giganti cotte al sale, tutto organizzato e curato da Consorzio Esercenti Cento con la collaborazione dei volontari delle associazioni locali.Nel pomeriggio si terrà un talk show aperto al pubblico a chiusura della manifestazione dal titolo “Nuove opportunità nell’alto Garda Trentino per il rilancio dell’itticoltura, la crescita dell’offerta della ristorazione e la conoscenza del territorio” in cui interverranno diversi relatori rappresentanti delle realtà territoriali e promotori del turismo e delle peculiarità enogastronomiche del lago.",,,,,,,,,0,2,,,,,,,
36b1003b6ba87dbd6dab8e80fa8f2ee7,2023-10-23T21:15:40+02:00,2023-10-23T21:24:41+02:00,Salamelecchi,,Spettacolo teatrale,,,"Torna l'appuntamento con Teatro a gonfie vele, la rassegna di Teatro Ragazzi fortemente sentita e condivisa dai Comuni dell’Alto Garda, ovvero, Nago-Torbole, Riva del Garda, Arco, Dro, Ledro e Tenno, in collaborazione con il Coordinamento Teatrale Trentino.La direzione artistica anche quest’anno è stata affidata alla compagnia Bottega Buffa CircoVacanti di Trento, che ne ha curato il programma.",Tempo libero,"
a cura di Antonella Caruzzi con Alice Melloni
regia: Roberto Piaggioscene e oggetti: Maria De Fornasarietà consigliata: dai 3 anniEssere fuori dal coro, pensare con la propria testa, e dire ciò che si pensa, è difficile e necessita di coraggio. Lo spettacolo, tratto dall’omonima favola di Andersen, racconta di un imperatore vanesio e sciocco circondato da cortigiani sempre attenti a compiacerlo in tutti i modi. Così come tutta la gente che lo teme e lo adula. Finché un bimbo, dicendo semplicemente la verità, ne svela l’ipocrisia, e mette così in discussione il castello di menzogne su cui si basa tutto il regno.",Salamelecchi,,,Bambini,,Oratorio San Gabriele di Arco,,,,"
INGRESSO UNICO € 4,00*prevendita online soggetta a diritti a carico dell’utenteI biglietti sono acquistabili presso la biglietteria dei teatri a partire da un’ora prima dell’inizio dello spettacolo oppure in prevendita al link https://www.trentinospettacoli.it/p/biglietteria/",,https://nagotorbole.pnrr.comunweb.it/content/download/2669/44227/1/libretto+web.pdf,,Contatti Biblioteca,,,,,,,,,,,0,2,,,,,,,
98c3078c88962de4599b4dea8aa52c7a,2023-10-23T21:00:28+02:00,2023-10-23T21:15:01+02:00,Storie di sabbia a Natale,,Spettacolo teatrale,,,"Torna l'appuntamento con Teatro a gonfie vele, la rassegna di Teatro Ragazzi fortemente sentita e condivisa dai Comuni dell’Alto Garda, ovvero, Nago-Torbole, Riva del Garda, Arco, Dro, Ledro e Tenno, in collaborazione con il Coordinamento Teatrale Trentino.La direzione artistica anche quest’anno è stata affidata alla compagnia Bottega Buffa CircoVacanti di Trento, che ne ha curato il programma.",Tempo libero,"
di Nadia Ischiasand artist Nadia Ischia attrice Laura Lottietà consigliata: dai 3 anniUno spettacolo di sabbia, un’ opera d’arte che appare e scompare perdendosi nella realtà per imprimersi solo nella memoria degli spettatori. Le mani modellano i granelli mentre gli occhi si pregnano d’ incanto. La magia della sabbia appare come favola e racconto visivo, in divenire…Storie di doni, altruismo e amicizia riscalderanno i freddi pomeriggi del tanto atteso Natale.",Storie di sabbia a Natale,,,Bambini,,Teatro Don Bosco,,,,"
INGRESSO UNICO € 4,00*prevendita online soggetta a diritti a carico dell’utenteI biglietti sono acquistabili presso la biglietteria dei teatri a partire da un’ora prima dell’inizio dello spettacolo oppure in prevendita al link https://www.trentinospettacoli.it/p/biglietteria/",,https://nagotorbole.pnrr.comunweb.it/content/download/2665/44152/2/libretto+web.pdf,,Contatti Biblioteca,,,,,,,,,,,0,2,,,,,,,
b3c240aa4c7f9ac3600e3833fd2cd569,2023-10-23T21:24:51+02:00,2023-10-23T21:46:35+02:00,...E allora disegno!,,Spettacolo teatrale,,,"Torna l'appuntamento con Teatro a gonfie vele, la rassegna di Teatro Ragazzi fortemente sentita e condivisa dai Comuni dell’Alto Garda, ovvero, Nago-Torbole, Riva del Garda, Arco, Dro, Ledro e Tenno, in collaborazione con il Coordinamento Teatrale Trentino.La direzione artistica anche quest’anno è stata affidata alla compagnia Bottega Buffa CircoVacanti di Trento, che ne ha curato il programma.",Tempo libero,"
ideazione Vincenzo Valenti
con Vanessa Bertoletti e Paolo Vicentini regia e coreografia:Fannj Olivatesto: Michele Ciardulli scenografia: Roberto Coronaetà consigliata: dai 5 anniI bambini sanno qualcosa che la maggior parte della gente hadimenticatoKeith HaringKeith insieme a Susy, la sua amica del cuore, con stupore e complicità scoprono l’importanza di essere liberi, la paura, ladiversità e la fedeltà.Lo spettacolo prende vita da quella semplicità infantile che attraversa le molteplici opere dell’artista: una semplicità che mette davanti agli occhi la verità, l’umanità proposta dai suoi omini senza un volto apparente. Uno spettacolo di teatro edanza che prova a liberare l’anima, favorire l’immaginazione eincoraggiare ad andare avanti.",..e allora disegno!,,,Bambini,,Centro Policulturale Locca,,,,"
INGRESSO UNICO € 4,00*prevendita online soggetta a diritti a carico dell’utenteI biglietti sono acquistabili presso la biglietteria dei teatri a partire da un’ora prima dell’inizio dello spettacolo oppure in prevendita al link https://www.trentinospettacoli.it/p/biglietteria/",,https://nagotorbole.pnrr.comunweb.it/content/download/2674/44311/1/libretto+web.pdf,,Contatti Biblioteca,,,,,,,,,,,0,2,,,,,,,
0b8f7b98e413fd96bfe7ad6552998443,2023-10-20T23:02:19+02:00,2023-10-23T21:58:37+02:00,La principessa viaggiante,,Spettacolo teatrale,,,"Torna l'appuntamento con Teatro a gonfie vele, la rassegna di Teatro Ragazzi fortemente sentita e condivisa dai Comuni dell’Alto Garda, ovvero, Nago-Torbole, Riva del Garda, Arco, Dro, Ledro e Tenno, in collaborazione con il Coordinamento Teatrale Trentino.La direzione artistica anche quest’anno è stata affidata alla compagnia Bottega Buffa CircoVacanti di Trento, che ne ha curato il programma.",Tempo libero,"
ideazione: Eva Sotrifferallestimento e animazione: Eva Sotriffer
regia:Bernd Langmusica originale: Simone Oberrauchetà consigliata: dai 4 anniChiunque creda ancora che le principesse siano tutte leziose e noiose e che aspettino soltanto di essere sposate dal primo principe che arriva, dovrebbe ascoltare la storia della principessa con la grande valigia da viaggio: una vera principessa, che viaggia per il mondo, balla dove le piace e sa una cosa per certo: non deve nulla a nessuno!",Burattino,,,Bambini,,Teatro Parrocchiale di Dro,,,,"
INGRESSO UNICO € 4,00*prevendita online soggetta a diritti a carico dell’utenteI biglietti sono acquistabili presso la biglietteria dei teatri a partire da un’ora prima dell’inizio dello spettacolo oppure in prevendita al link https://www.trentinospettacoli.it/p/biglietteria/",,https://nagotorbole.pnrr.comunweb.it/content/download/2658/44018/2/libretto+web.pdf,,Contatti Biblioteca,,,,,,,,,,,0,2,,,,,,,
1534b7cc7870ae7ddab3f45e40afefaa,2024-01-22T11:05:34+01:00,2024-01-23T17:16:57+01:00,Battiti e respiri nella neve,,Evento culturale,,,L'Associazione SOS Altissimo di Nago organizza in collaborazione con Alessandro Marsilli una serata sui trucchi e strategie della fauna per superare l'invernoPresso ex Colonia Pavese a Torbole alle ore 20.30,Ambiente,L'Associazione SOS Altissimo di Nago organizza in collaborazione con Alessandro Marsilli una serata sui trucchi e strategie della fauna per superare l'inverno.Presso ex Colonia Pavese di Torbole giovedì 25 gennaio alle 20.30,Monte Baldo,,,Adulti,Famiglie,Giovani,,,,,,,,,,Contatti Associazione SOS Altissimo di Nago,,,Associazione SOS Altissimo di Nago,,,,,,,Italiano,60.0,2.0,,,,,
f99fc59bc73485289d0c7ebf93578430,2024-01-24T16:34:48+01:00,2024-01-24T16:39:22+01:00,L'amore delle tre melarance,,Evento culturale,,,"Domenica 4 febbraio 2024 alle 16.30 presso l'Oratorio don Bosco di Riva del Garda andrà in scena l'ultimo spettacolo della rassegna &quot,Teatro a gonfie vele&quot,.Bottega Buffa Circovacanti presenta &quot,L'amore delle tre melarance&quot,, appuntamento organizzato e sostenuto dal Comune di Nago-Torbole","Istruzione
Tempo libero
Patrimonio culturale","Domenica 4 febbraio 2024 alle 16.30 presso l'Oratorio don Bosco di Riva del Garda andrà in scena l'ultimo spettacolo della rassegna &quot,Teatro a gonfie vele&quot,.Bottega Buffa Circovacanti presenta &quot,L'amore delle tre melarance&quot,, appuntamento organizzato e sostenuto dal Comune di Nago-Torbole: riuscirà Zane, umile servitore del principe ammalato, a superare gli ostacoli per trovare le tre melarance che lo guariranno? Scopritelo da spettatori al teatro don Bosco di Riva del Garda!",L'amore delle tre melarance,,,Bambini,Famiglie,,,,,,"Biglietto unico € 4,00, acquistabile a teatro dalle 15.30.",,,,Contatto Compagnia Bottega Buffa Circovacanti,,,,,,,,,,Italiano,0,2.0,,,,,,
22325e598a7bf691cb576ce65418b7eb,2024-01-22T12:13:36+01:00,2024-01-26T12:26:28+01:00,Escursione andata e ritorno nel bosco di Oltrezengol,,Evento culturale,,,"L'Associazione Sos Altissimo di Nago in collaborazione con Alessandro Marsilli organizza un'escursione andata e ritorno nel bosco di Oltrezengol per osservare, interpretare il paesaggio e immergersi in una benefica terapia forestaleDomenica 24 marzo dalle 9 alle 12. Necessari abbigliamento e calzature da montagna","Ambiente
Tempo libero","L'Associazione Sos Altissimo di Nago in collaborazione con Alessandro Marsilli organizza un'escursione andata e ritorno nel bosco di Oltrezengol per osservare, interpretare il paesaggio e immergersi in una benefica terapia forestaleDomenica 24 marzo dalle 9 alle 12. Necessari abbigliamento e calzature da montagna",Strada nella foresta,,,Adulti,Giovani,,,,,,,,,,Contatti Associazione SOS Altissimo di Nago,,,,,,,,,,Italiano,0,2.0,,,,,,
d3d8af7814d51170abc96a42eddfc429,2024-01-22T11:40:42+01:00,2024-02-05T12:55:01+01:00,"Monte Baldo segreto, aspetti inusuali e meno conosciuti della montagna",,Evento culturale,,,L'Associazione Sos Altissimo di Nago organizza con la presenza di Andrea Ceradini un incontro sugli aspetti meno conosciuti del Monte BaldoGiovedì 29 febbraio 2024 presso Teatro dell'oratorio di Nago alle 20.30,Ambiente,L'Associazione Sos Altissimo di Nago organizza con la presenza di Andrea Ceradini un incontro sugli aspetti meno conosciuti del Monte BaldoGiovedì 29 febbraio 2024 presso Teatro dell'oratorio di Nago alle 20.30,Monte Baldo,,,Adulti,Giovani,,Oratorio parrocchiale di Nago,,,,,,,,Contatti Associazione SOS Altissimo di Nago,,,,,,,,,,Italiano,0,2.0,,,,,,
d808775952648101a479fff7e341add3,2024-01-22T12:07:33+01:00,2024-02-05T12:59:49+01:00,Alla radice dell'intelligenza delle piante,,Evento culturale,,,L'Associazione Sos Altissimo di Nago organizza con la collaborazione di Alessandro Marsilli un incontro alla scoperta della comunicazione vegetaleGiovedì 21 marzo presso Teatro dell'oratorio di Nago alle 20.30,Ambiente,L'Associazione Sos Altissimo di Nago organizza con la collaborazione di Alessandro Marsilli un incontro alla scoperta della comunicazione vegetaleGiovedì 21 marzo presso Teatro dell'oratorio di Nago alle 20.30,Strada nella foresta,,,Adulti,Famiglie,Giovani,,Oratorio parrocchiale di Nago,,,,,,,,Contatti Associazione SOS Altissimo di Nago,,,,,,,,,,Italiano,0.0,2.0,,,,,
