remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
c1ad9f3a8939e927199013e62c7f83c5,2024-01-23T14:59:07+01:00,2024-01-23T14:59:07+01:00,Presentazione Libro: LA PIÙ GRANDE VITTORIA SUL DON di Leonardo Franchini,,Evento culturale,,,Presentazione Libro: LA PIÙ GRANDE VITTORIA SUL DON di Leonardo Franchini,Tempo libero,Presentazione Libro: LA PIÙ GRANDE VITTORIA SUL DON di Leonardo Franchini,,,,Famiglie,Adulti,,,,,,,,,,Contatti Ufficio Segreteria,,,,,,,,,,,0,2.0,,,,,,
87fc4f3bec92fe3256b7ad72aa7d66e0,2024-05-17T11:03:33+02:00,2024-05-17T11:03:33+02:00,Elezioni Europee 2024,,Evento politico,,,"Sabato 8 giugno e domenica 9 giugno 2024 si svolgeranno le elezioni europee, per eleggere i membri del Parlamento europeo spettanti all’Italia.","Politica
Elezioni","Sabato 8 giugno e domenica 9 giugno 2024 si svolgeranno le elezioni europee, per eleggere i membri del Parlamento europeo spettanti all’Italia.ORARIO DELLE ELEZIONI: sabato 08 giugno 2024 dalle 15.00 alle 23.00 e domenica 09 giugno 2024 dalle 07.00 alle 23.00.",,,,Adulti,,Palazzo del Municipio,,,,,,,,Contatti Ufficio Demografico - Elettorale,,,,,,,,,,,0.0,2,,,,,,,
721e70df7813fd7a76173d202753af91,2024-05-17T11:05:42+02:00,2024-05-17T11:06:50+02:00,Elezioni Europee 2024,,Evento politico,,,"Sabato 8 giugno e domenica 9 giugno 2024 si svolgeranno le elezioni europee, per eleggere i membri del Parlamento europeo spettanti all’Italia.","Politica
Elezioni","Sabato 8 giugno e domenica 9 giugno 2024 si svolgeranno le elezioni europee, per eleggere i membri del Parlamento europeo spettanti all’Italia.ORARIO DELLE ELEZIONI: sabato 08 giugno 2024 dalle 15.00 alle 23.00 e domenica 09 giugno 2024 dalle 07.00 alle 23.00.",,,,Adulti,,Palazzo del Municipio,,,,,,,,Contatti Ufficio Demografico - Elettorale,,,,,,,,,,,0.0,2,,,,,,,
56d018b6f11e6f30ebf55bb822bf539b,2024-05-17T11:28:45+02:00,2024-05-17T11:28:45+02:00,Raccolta porta a porta,,Evento d'affari o commerciale,,,Serata informativa con la popolazione sulla nuova modalità di raccolta dei rifiuti urbani.,"Ambiente
Gestione rifiuti","Incontro con Dolomiti Ambiente, amministratori e popolazione per informazioni sulla nuova modalità di raccolta dei rifiuti urbani, che partirà nel corso dell'anno 2024.",,,,Adulti,,Palazzo del Municipio,,,,,,,,Contatti Ufficio Segreteria,,,,,,,,,,,0.0,2,,,,,,,
4a84057a74d0364369af77e412a07286,2024-05-17T11:49:39+02:00,2024-05-17T11:49:39+02:00,Truffe agli anziani: come prevenirle,,Evento sociale,,,Incontro sulla prevenzione contro le truffe agli anziani.,Questioni sociali,"Incontro pubblico di formazione sulla prevenzione delle truffe agli anziani, con i consigli pratici dell'Arma dei Carabinieri.",,,,Anziani,Adulti,,Palazzo del Municipio,,,,,,https://www.comune.nogaredo.tn.it/content/download/1703/23343/1/IMG-20240405-WA0004.png,,Contatti Manica Elisabetta,,,,,,,,,,,0,2.0,,,,,,
86abeb84d62d846cf1d0b875ae70570e,2024-09-27T08:33:01+02:00,2024-09-27T08:33:01+02:00,CURA INSIEME - Percorso per caregiver familiari (quinto incontro),,"Evento culturale,Evento sociale",,,"Spazio Argento Vallagarina e Altipiani Cimbri informa che è in partenza “CuraInsieme”, un percorso per caregiver familiari.Questo incontro si terrà presso RSA Fontana via Parteli n. 2 Rovereto (TN).",Questioni sociali,"Quinto incontro: presso RSA Fontana (via Parteli n. 2) Laboratorio Il supporto assistenziale alle funzioni di vita quotidiana Fanara Cristian e Filomena Cesarano, operatrici socio sanitarie APSP Vannetti.",,,,Adulti,Giovani,,Palazzo del Municipio,,,,,,https://www.comune.nogaredo.tn.it/content/download/1854/25819/1/FB_IMG_1727202702696.jpg,,Contatti Manica Elisabetta,,,,,,,,,,,20,2.0,,,,,,
1cb0a90c9109247866715d923ecb5855,2024-09-27T08:38:00+02:00,2024-09-27T08:38:00+02:00,CURA INSIEME - Percorso per caregiver familiari (sesto incontro).,,"Evento culturale,Evento sociale",,,"Spazio Argento Vallagarina e Altipiani Cimbri informa che è in partenza “CuraInsieme”, un percorso per caregiver familiari.Questo incontro si terrà presso RSA Kolbe Via Fedrigotti n. 7 Rovereto (TN).",Questioni sociali,"Sesto incontro: presso RSA Kolbe (Via Fedrigotti n. 7) Laboratorio Supportare la deambulazione e effettuare la mobilizzazione Annalisa Andreatta e Barbara Baste, fisioterapiste APSP Vannetti",,,,Adulti,Giovani,,Palazzo del Municipio,,,,,,https://www.comune.nogaredo.tn.it/content/download/1855/25855/1/FB_IMG_1727202702696.jpg,,Contatti Manica Elisabetta,,,,,,,,,,,20,2.0,,,,,,
6daae46685dd7616edf8ac1a3508ca7d,2024-09-27T08:41:07+02:00,2024-09-27T08:41:07+02:00,CURA INSIEME - Percorso per caregiver familiari (settimo incontro),,"Evento culturale,Evento sociale",,,"Spazio Argento Vallagarina e Altipiani Cimbri informa che è in partenza “CuraInsieme”, un percorso per caregiver familiari.",Questioni sociali,"Settimo incontro: I diritti degli anziani e i diritti dei familiari che assistono. Il ruolo dell’amministratore di sostegno Simone Di Giorgio, avvocato.",,,,Adulti,Giovani,,Palazzo del Municipio,,,,,,https://www.comune.nogaredo.tn.it/content/download/1856/25891/1/FB_IMG_1727202702696.jpg,,Contatti Manica Elisabetta,,,,,,,,,,,20,2.0,,,,,,
f3be4e013160e34cf9ceb912b125cf19,2024-09-27T08:43:48+02:00,2024-09-27T08:43:48+02:00,CURA INSIEME - Percorso per caregiver familiari (ottavo e ultimo incontro),,"Evento culturale,Evento sociale",,,"Spazio Argento Vallagarina e Altipiani Cimbri informa che è in partenza “CuraInsieme”, un percorso per caregiver familiari.",Questioni sociali,"Ottavo e ultimo incontro: lo stress del lavoro di cura Federica Dallaporta, psicologa.",,,,Adulti,Giovani,,Palazzo del Municipio,,,,,,https://www.comune.nogaredo.tn.it/content/download/1857/25927/1/FB_IMG_1727202702696.jpg,,Contatti Manica Elisabetta,,,,,,,,,,,20,2.0,,,,,,
11e9d6bf8ebaca0f7f82465cca4a02f1,2024-09-27T08:10:11+02:00,2024-09-27T08:22:27+02:00,CURA INSIEME - Percorso per caregiver familiari (primo incontro),,"Evento culturale,Evento sociale",,,"Spazio Argento Vallagarina e Altipiani Cimbri informa che è in partenza “CuraInsieme”, un percorso per caregiver familiari.",Questioni sociali,"Primo incontro: Incontro introduttivo di presentazione della formazione Daniela Drago, Fondazione Franco Demarchi.",,,,Adulti,Giovani,,Palazzo del Municipio,,,,,,https://www.comune.nogaredo.tn.it/content/download/1850/25675/3/FB_IMG_1727202702696.jpg,,Contatti Manica Elisabetta,,,,,,,,,,,20,2.0,,,,,,
