remoteId,published,modified,Titolo,Titolo breve,Immagine,Descrizione,Locandina dell'evento,Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,Tipologia evento,Manifestazione cui fa parte,Associazione,Progressivo,Sottotitolo,Orario,lat,lon,address,Fonte
491c3a15ea3f1821991ade7e73ccf6f8,2018-06-21T10:36:44+02:00,2018-06-21T10:36:44+02:00,Risonanza di Rose.,,,Spettacolo di danza.A cura di KINO CENTRO DANZA.,,2018-08-19T17:30:00+02:00,,,,Giardino della Rosa.,,,Spettacolo gratuito. Si paga l'ingresso al Giardino della Rosa.,,,,,Evento singolo,,,,,,0,0,,
e09c441565c9b8718c5856406328d03c,2018-06-20T17:48:51+02:00,2018-06-20T17:48:51+02:00,RONZONE DELLE MERAVIGLIE.,,/var/ronzone/storage/images/territorio/eventi/ronzone-delle-meraviglie/43097-1-ita-IT/RONZONE-DELLE-MERAVIGLIE.png,"ALLA SCOPERTA DEI DINOSAURI.Laboratorio creativo per bambini di tutte le età, come disegnare e costruire un Dinosauro.",,2018-08-22T16:00:00+02:00,2018-08-22T19:00:00+02:00,,,Piazzale Musei di Ronzone.,Organizzato da DIEGO SALA.,,,,,,,Evento singolo,,,,,,0,0,,
305bb617d9f414ef1db4c4bd543b4550,2018-06-20T17:42:15+02:00,2018-06-20T17:42:15+02:00,Festa dello Strudel.,,/var/ronzone/storage/images/territorio/eventi/festa-dello-strudel/43072-1-ita-IT/Festa-dello-Strudel.jpg,"Vendita di Strudel di tutti i generi, dolci e salati, inoltre sarà possibile assistere allo Show Cooking per inparare a cucinare lo Strudel.",,2018-08-16T16:00:00+02:00,,,,Tendone Centro Civico.,,,,,,,,Evento singolo,,,,,,0,0,,
530259ce23137780af8a8254a4ffaad9,2018-06-20T17:37:00+02:00,2018-06-20T17:37:00+02:00,I PIGMENTI VEGETALI,,,"Laboratorio per famiglie, massimo 15 partecipanti.Prenotazione al 349 945 3352.",,2018-08-10T16:00:00+02:00,2018-08-10T18:00:00+02:00,,,"Giardino della Rosa, in caso di maltempo presso i Musei di Ronzone.",Laboratorio organizzato da Gabriella Gretter.,"Rivolto a tutti, Grandi e Piccini.","Gratuito, rimane da pagare l'ingresso al Giardino della Rosa.",,,,,Evento singolo,,,,,,0,0,,
2f026d68015d282c98100c9264b69bda,2018-06-20T16:18:08+02:00,2018-06-20T16:18:08+02:00,RONZONE DELLE MERAVIGLIE,Le cose schifose.,,Tutto quello che non si sarebbe mai pensato di vedere e toccare. Una insolita indagine in compagnia del detective Sterco Holmes e della professoressa Caccons alla scoperta dell'innominabile: la cacca.,,2018-08-08T16:00:00+02:00,2018-08-08T18:00:00+02:00,,,Tendone centro civico.,,"Famiglie, bambini.....",Gratuito.,,,,,Evento singolo,,,,,,0,0,,
3d995463c51d0a276ab7413b2887cd65,2018-06-20T16:13:05+02:00,2018-06-21T10:00:27+02:00,FISARMONICI,,/var/ronzone/storage/images/territorio/eventi/fisarmonici/42997-2-ita-IT/FISARMONICI.jpg,Fisarmonici.,,2018-08-09T20:30:00+02:00,,,,Tendone Centro Civico.,,,,,,,,Evento singolo,,,,,,0,0,,
d79de9adf72c5dbe4354a83b013188e8,2018-06-20T14:57:02+02:00,2018-06-20T14:58:34+02:00,"Cena con delitto ""DULCIS IN ...FUNGO""",,,"Serata con momenti recitativi intervallati dalle portate della cena.....Una breve parte introduttiva, una seconda parte con interoggatori  condotti dagli agenti di polizia e dal pubblico, un nuovo momento di interrogatorio recitato e di interazione con i partecipanti alla cena e infine la risoluzione del caso.Al pubblico verrà consegnato anche del materiale indiziario di supporto all'indagine.",,2018-08-07T19:00:00+02:00,2018-08-07T22:00:00+02:00,,,Musei di Ronzone.,Prenotazione obbligatoria entro il 3  Agosto al 349 945 3352.,Vietato ai minori di 18 anni.,"€ 35,00 a persona.",,,,,Evento singolo,,,,,,0,0,,
8f0dc18e3dd8f46972fdd69438049800,2018-06-20T14:49:03+02:00,2018-06-20T14:49:03+02:00,Pizza nel Bosco.,,,Pizza nel bosco con Musica.Furgone Rustica.,,2018-08-02T19:00:00+02:00,2018-08-02T22:00:00+02:00,,,Campo sportivo di Ronzone.,,,,,,,,Evento singolo,,,,,,0,0,,
739ef04cff4fa7d4e7d10a230bf30af0,2018-06-20T14:45:20+02:00,2018-06-20T14:45:20+02:00,Ronzone delle Meraviglie.,Nutella Party.,/var/ronzone/storage/images/territorio/eventi/nutella-party/42922-1-ita-IT/Nutella-Party.jpg,"Musica, attività e laboratori per tutti i bambini.",,2018-08-01T16:00:00+02:00,2018-08-01T18:00:00+02:00,,,Piazzale Musei di Ronzone.,Oragnizzato dalla Pro Loco di Ronzone e dall'associazione Mammeland Lavis.,,Gratuito.,,,,,Evento singolo,,,,,,0,0,,
668606c548af8afe569b0311ebd75a44,2018-06-20T14:36:44+02:00,2018-06-20T14:36:44+02:00,RONZONE DELLE MERAVIGLIE,"Bolle, Bolle, Bolle....",/var/ronzone/storage/images/territorio/eventi/bolle-bolle-bolle/42897-1-ita-IT/Bolle-Bolle-Bolle.jpg,Quando gli scienziati si fanno il bagno non si sa mai cosa succede : la vasca può diventare un laboratorio e l'acqua uno strumento per studiare i fenomeni della fisica.Divertenti esperimenti per parlare di galleggiamento e spinta di Archimende.,,2018-07-25T16:00:00+02:00,2018-07-25T18:00:00+02:00,,,Piazzale Musei di Ronzone.,,Famiglie.,Gratuito.,,,,,Evento singolo,,,,,,0,0,,
