indirizzo,immagine,url,abstract_text,abstract,nome,lon,modifica,link,lat
Lunedì 24 ottobre 2022  dalle 20.00 alle 21.30 Biblioteca Civica Rovereto - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/corso-di-lettura6/1796808-1-ita-IT/Corso-di-lettura.png,https://www.comune.rovereto.tn.it/openpa/object/137941,In cerca di un vedere condiviso. Un’esperienza di lettura visiva collettiva,<p><strong><strong><strong>In cerca di un vedere condiviso. Un’esperienza di lettura visiva collettiva</strong></strong></strong></p>,A libri aperti,11.044103,2022-08-24,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137941,45.894153
Lunedì 17 ottobre 2022  dalle 20.00 alle 21.30 Biblioteca Civica Rovereto - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/corso-di-lettura5/1796773-1-ita-IT/Corso-di-lettura.png,https://www.comune.rovereto.tn.it/openpa/object/137940,Libri fotografici a scuola. Lettura guidata di Tana Hoban,<p><strong><strong>Libri fotografici a scuola. Lettura guidata di Tana Hoban</strong></strong></p>,A libri aperti,11.044103,2022-08-24,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137940,45.894153
Lunedì 10 ottobre 2022  dalle 20.00 alle 21.30 Biblioteca Civica Rovereto - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/corso-di-lettura4/1796738-1-ita-IT/Corso-di-lettura.png,https://www.comune.rovereto.tn.it/openpa/object/137939,Guardarsi intorno. La lettura visiva nei libri con immagini e oltre,<p><strong>Guardarsi intorno. La lettura visiva nei libri con immagini e oltre</strong></p>,A libri aperti,11.044103,2022-08-24,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137939,45.894153
Lunedì 26 settembre 2022  dalle 17.30 alle 19.00 Biblioteca Civica Rovereto - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/corso-di-lettura2/1796633-1-ita-IT/Corso-di-lettura.png,https://www.comune.rovereto.tn.it/openpa/object/137936,I libri per favorire l’inclusione sociale e culturale,<p><strong>I libri per favorire l’inclusione sociale e culturale</strong></p>,A libri aperti,11.044103,2022-08-24,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137936,45.894153
Lunedì 19 settembre 2022  dalle 17.30 alle 19.00 Biblioteca Civica Rovereto - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/corso-di-lettura/1796598-1-ita-IT/Corso-di-lettura.png,https://www.comune.rovereto.tn.it/openpa/object/137935,Come legge il cervello del bambino. Le nuove scoperte delle neuroscienze,<p><strong>Come legge il cervello del bambino. Le nuove scoperte delle neuroscienze</strong></p>,A libri aperti,11.044103,2022-08-24,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137935,45.894153
Domenica 11 settembre 2022 Dalle 11 alle 16 Località Costa Violina Rovereto,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/41-sgnocolada-in-costa-violina/1793010-1-ita-IT/41-Sgnocolada-in-Costa-Violina.jpg,https://www.comune.rovereto.tn.it/openpa/object/137746,"La tradizionale &quot,SGNOCOLADA&quot, : 6 quintali di gnocchi preparati sul posto dagli amici e dagli Alpini del Gruppo di Lizzanella, questa manifestazione conta quest'anno la 41° edizione.","<p>La tradizionale &quot,SGNOCOLADA&quot, : 6 quintali di gnocchi preparati sul posto dagli amici e dagli Alpini del Gruppo di Lizzanella, questa manifestazione conta quest'anno la 41° edizione.</p>",Sgnocolada ,11.03509,2022-08-16,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137746,45.85342
sabato 10 settembre 2022 dalle ore 22:00 alle ore 23:00 Mart - Giardino delle sculture   -  38068 Rovereto (TN),https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/concerto184/1795692-1-ita-IT/concerto.jpg,https://www.comune.rovereto.tn.it/openpa/object/137892,Canti tradizionali alla velocità di un razzo: questa è la musica del Canzoniere Grecanico Salentino.,<p>Canti tradizionali alla velocità di un razzo: questa è la musica del Canzoniere Grecanico Salentino.</p>,Meridiana / Canzoniere Grecanico Salentino - Rovereto estate,11.044763,2022-08-12,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137892,45.894683
Venerdì 09 settembre 2022  dalle 17.00 alle 18.30 Biblioteca Civica Rovereto - Sala bambini - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/letture-animate10/1796563-1-ita-IT/Letture-animate.jpg,https://www.comune.rovereto.tn.it/openpa/object/137934,Letture dagli albi illustrati di Oliver Jeffers,<p>Letture dagli albi illustrati di Oliver Jeffers</p>,Un Libro in Valigia,11.044103,2022-08-24,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137934,45.894153
lunedì 5 settembre 2022 dalle ore 18.30 alle ore 19.30 Cortile Urbano - via Roma - 38068 Rovereto (TN),https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/spettacolo-teatrale139/1792905-1-ita-IT/spettacolo-teatrale.jpg,https://www.comune.rovereto.tn.it/openpa/object/137743,Cialtroneria di qualità superiore! Compagnia Circo PaccoCon: Frank Duro e Gustavo Leumann,"<p>Cialtroneria di qualità superiore!</p><p>
<strong>Compagnia Circo Pacco</strong><br />Con: <strong>Frank Duro</strong> e <strong>Gustavo Leumann</strong></p>",Paccottiglia Deluxe - Teatro Ovunque bambini,11.042955,2022-07-26,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137743,45.889344
dal 3 al 10 settembre 2022  ,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/mediterranei/1797103-1-ita-IT/Mediterranei.png,https://www.comune.rovereto.tn.it/openpa/object/137961,Oriente Occidente guarda a quel che era il Mare Nostrum e ne propone una lettura plurale.,<p>Oriente Occidente guarda a quel che era il Mare Nostrum e ne propone una lettura plurale.</p>,Oriente Occidente 2022,11.045237,2022-09-02,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137961,45.886548
lunedì 29 agosto 2022 dalle ore 21:00 alle ore 22:30 P.za Antonio Rosmini - 38068 Rovereto (TN),https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/concerto186/1795955-5-ita-IT/concerto.jpg,https://www.comune.rovereto.tn.it/openpa/object/137905," Altro grande evento per la prima edizione del Rovereto Music Festival.La Bandabardò &amp, Cisco in &quot,Non fa paura&quot, allieterà il pubblico roveretano nella prima serata del Festival. ","<p>
Altro grande evento per la prima edizione del Rovereto Music Festival.<br />La Bandabardò &amp, Cisco in &quot,Non fa paura&quot, allieterà il pubblico roveretano nella prima serata del Festival. </p>",Bandabardo' e Cisco Live - Rovereto Music Festival,11.043309,2022-08-29,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137905,45.890916
lunedì 29 agosto 2022 dalle ore 18.30 alle ore 19.30 Cortile Urbano - via Roma - 38068 Rovereto (TN),https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/spettacolo40/1792870-1-ita-IT/spettacolo.jpg,https://www.comune.rovereto.tn.it/openpa/object/137742,ScusaCollettivo Clochart Con : Lara Ferrari e Viviana PacchinCoreografie: Hillary Anghileri,"<p><strong>Scusa</strong></p><p>Collettivo Clochart</p><p>
Con : <strong>Lara Ferrari</strong> e <strong>Viviana Pacchin</strong><br />Coreografie: <strong>Hillary Anghileri</strong></p>",Scusa - Teatro Ovunque bambini,11.042955,2022-07-26,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137742,45.889344
Tutti i sabati dal 27 agosto al 29 ottobre 2022 Agosto e Settembre dalle 17:30 alle 18:30 e Ottobre dalle 15:30 alle 16:30 Per le vie del centro - 38068 Rovereto (TN),https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/visita-guidata-teatrale-alle-botteghe-storiche-di-rovereto2/1794916-4-ita-IT/Visita-guidata-teatrale-alle-botteghe-storiche-di-Rovereto.png,https://www.comune.rovereto.tn.it/openpa/object/137859,Un’esperienza originale che ti permetterà di conoscere le storie di alcune importanti e antiche botteghe di Rovereto e le origini di questa bellissima città.,<p>Un’esperienza originale che ti permetterà di conoscere le storie di alcune importanti e antiche botteghe di Rovereto e le origini di questa bellissima città.</p>,La città nascosta - Viaggio alla scoperta delle Botteghe di Tradizione,11.041061,2022-08-11,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137859,45.891688
Venerdì 27 agosto 2022  dalle 10.00 alle 11.30 Biblioteca Civica Rovereto - Sala bambini - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/letture-animate9/1791225-1-ita-IT/Letture-animate.png,https://www.comune.rovereto.tn.it/openpa/object/137626,Letture dagli albi illustrati di Stephanie Blake,<p>Letture dagli albi illustrati di Stephanie Blake</p>,Un Libro in Valigia,11.044103,2022-07-18,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137626,45.894153
venerdì 26 agosto 2022 dalle ore 20.30 alle ore 22.00 Parco alle pozze Noriglio  -  38068 Rovereto (TN),https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/concerto-bandistico20/1794326-1-ita-IT/concerto-bandistico.jpg,https://www.comune.rovereto.tn.it/openpa/object/137806,Concerto bandistico con esibizione delle majorettes,<p>Concerto bandistico con esibizione delle majorettes</p>,Omaggio alla bella stagione - Rovereto estate musica,11.065496,2022-08-01,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137806,45.884616
mercoledì 24 agosto 2022 dalle ore 21:00 alle ore 22.30 Chiesa di Borgo Sacco - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/concerto180/1794256-1-ita-IT/concerto.jpg,https://www.comune.rovereto.tn.it/openpa/object/137804,"Concerto del gruppo strumentale &quot,Renato Dionisi&quot,","<p>Concerto del gruppo strumentale &quot,Renato Dionisi&quot,</p>",Omaggio a Renato Dionisi - Rovereto estate musica,11.020678,2022-08-01,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137804,45.884016
lunedì 22 agosto 2022 dalle ore 18.30 alle ore 19.30 Cortile Urbano - via Roma - 38068 Rovereto (TN),https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/spettacolo-di-burattini-pupazzi-e-magia/1792695-1-ita-IT/spettacolo-di-burattini-pupazzi-e-magia.jpg,https://www.comune.rovereto.tn.it/openpa/object/137737,A spasso con Sandronedi: Giorgio Gabriellia cura di: Collettivo Clochart,<p><strong>A spasso con Sandrone</strong></p><p><strong>di: </strong>Giorgio Gabrielli</p><p><strong>a cura di:</strong> Collettivo Clochart</p>,A spasso con Sandrone - Teatro Ovunque bambini,11.042955,2022-07-26,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137737,45.889344
sabato 20 agosto e sabato 17 settembre 2022 dalle ore 14:30 alle ore 16:00 Osservatorio di Monte Zugna - 38068 Rovereto (TN),https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/visita-guidata148/1793045-1-ita-IT/visita-guidata.jpg,https://www.comune.rovereto.tn.it/openpa/object/137747,Pomeriggio di osservazione del Sole all'Osservatorio di Monte Zugna,<p>Pomeriggio di osservazione del Sole all'Osservatorio di Monte Zugna</p>,Un sabato con il Sole sul Monte Zugna,11.068774,2022-08-16,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/137747,45.799662
