remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
de797ae95d425778bbdb157db5967133,2024-01-26T10:44:29+01:00,2024-01-26T10:44:29+01:00,Dalla memoria al monito,,Evento culturale,,,"Il 27 gennaio ricorre il Giorno della Memoria, istituito dal Parlamento italiano con la legge n.211 del 20 luglio 2000.Per celebrarlo il 26 gennaio viene proiettato il film &quot,La verità negata&quot,.","Diritto
Istruzione
Questioni sociali","Il 27 gennaio ricorre il Giorno della Memoria, istituito dal Parlamento italiano con la legge n.211 del 20 luglio 2000. La data è stata scelta, come ricorda la legge stessa, quale anniversario dell’abbattimento dei cancelli di Auschwitz, in ricordo della Shoah, lo sterminio e delle persecuzioni del popolo ebraico, per “conservare nel futuro dell’Italia la memoria di un tragico ed oscuro periodo della storia nel nostro Paese e in Europa, e affinché simili eventi non possano mai più accadere”.Per sensibilizzare la cittadinanza il Gruppo Culturale Bondo &amp, Breguzzo Roncone Lardaro insieme alla Biblioteca comunale di Sella Giudicarie organizza la proiezione della pellicola &quot,La verità negata&quot,, con introduzione di Marcello Carli.",,,,Adulti,Giovani,,,,,,,,https://sellagiudicarie.pnrr.comunweb.it/content/download/6362/53034/1/Locandina+Giornata+della+Memoria+Sella+Giudicarie.jpg,,Contatti Biblioteca,,,,,,,,,,Italiano,0.0,2.0,,,,,,
66202c789be79bae05d96ebfec89255a,2024-01-26T10:02:41+01:00,2024-01-26T10:02:41+01:00,Sessione forestale anno 2024,,Evento sociale,,,Il giorno 9 febbraio avviene la sessione forestale per l'anno 2024 per tutti coloro che avranno presentato domanda entro le ore 12:30 del giorno 5 febbraio.,"Agricoltura, silvicoltura e pesca
Foreste","Il 9 febbraio avviene la sessione forestale per l'anno 2024.Le domande di concessione di legname uso interno, taglio di boschi privati e richiesta di piantine per rimboschimento devono essere prese in carico dai comuni di Bondo, Breguzzo, Roncone e Lardaro entro e non oltre le 12:30 del 5 febbraio.",,,,Adulti,Solo per coloro che hanno inoltrato le domande di concessione entro le ore 12:30 del giorno 5 febbraio 2024.,,,,,,,,https://sellagiudicarie.pnrr.comunweb.it/ocmultibinary/download/6361/52999/1/5c5ab2a02b4cbabf6d4d26fa37e09fb6.pdf/file/Avviso+Sessione+Forestale+2024.pdf,Contatti Ufficio Segreteria,,,,,,,,,,,0,2.0,,,,,,,
32996a2604fe56a82e86244508c10f03,2024-05-31T08:39:48+02:00,2024-05-31T08:39:48+02:00,Torneo di Paintball,,Evento sportivo,,,Torneo di Paintball1-2 giugno 2024Breg Adventure ParkValle di Breguzzo,Tempo libero,Torneo di Paintball1-2 giugno 2024Breg Adventure ParkValle di Breguzzo,,,,Giovani,,Breg Adventure Park,,,,,,https://www.comune.sellagiudicarie.tn.it/content/download/7456/63483/1/Torneo+di+Paintball.jpeg,,Pro Loco di Breguzzo,,,,,,,,,,,0,2.0,,,,,,,
0e96fbf5e8d951ec55ffec1a3272c642,2024-06-01T14:04:08+02:00,2024-06-01T14:04:08+02:00,Invito alla vita,,Evento culturale,,,"La Comunità delle Giudicarie, all’interno del progetto “Benessere in Comunità”, propone un incontro per sensibilizzare la comunità sulla prevenzione del suicidio il giorno martedì 4 giugno alle ore 20.30 presso la Sala Sette Pievi in via P. Gnesotti, 2 a Tione.La forza di una comunità risiede nella sua capacità di attivarsi e prendersi cura di se stessa. Questo incontro è un'occasione per unirci, riflettere e discutere su come possiamo supportarci reciprocamente nei momenti di difficoltà.Tutta la popolazione è invitata",Questioni sociali,.,Invito alla vita,,,Adulti,,Comunità delle Giudicarie,,,,,,https://www.comune.sellagiudicarie.tn.it/content/download/7468/63666/1/invito+alla+vita.jpeg,,Comunità delle Giudicarie,,,,,,,,,,,0,2.0,,,,,,,
e14dd0c4a3aff4661164ab32e68e45b7,2024-06-05T20:28:48+02:00,2024-06-05T20:28:48+02:00,Bombe di semi,,Evento culturale,,,Evento all’interno del programma Bandiera Blu 2024,Tempo libero,Cosa c’è di più poetico che cospargere spazi urbani di fiori selvatici di tanti colori? Nel nostro laboratorio di seedbombs scopriremo come promuovere la biodiversità e la bellezza!Famiglie con bambini 3 - 9,Bandiera blu 2024,,,Famiglie,Bambini,,Parco Lago ,,,,,,https://www.comune.sellagiudicarie.tn.it/content/download/7618/66627/1/Adattamento+LAGO+DI+RONCONE_+160x230_inserto+brochure_2024_ST+CROCINI.pdf,,Bandiera Blu 2024,,,,,,,,,,,0.0,2.0,,,,,,
09d0dde5a28c9ffdf69c8f2bc0efcba4,2024-06-05T20:32:03+02:00,2024-06-05T20:32:03+02:00,Alla scoperta della Valle di Breguzzo in e-bike,,"Evento sportivo,Evento sociale",,,Evento all’interno del programma Bandiera Blu 2024,Tempo libero,Un’esperienza unica all’insegna della mobilità sostenibile. Guida MTB e noleggio e-bike incluso. In collaborazione con BregAdventure Park.Famiglie con bambini e ragazzi | Max 12 posti,Bandiera blu 2024,,,Famiglie,Giovani,Bambini,,Breg Adventure Park,,,,,,https://www.comune.sellagiudicarie.tn.it/content/download/7621/66678/1/Adattamento+LAGO+DI+RONCONE_+160x230_inserto+brochure_2024_ST+CROCINI.pdf,,Bandiera Blu 2024,,,,,,,,,,,0.0,2.0,,,,,
431ed5d0f45d1152116edaf1cacf9ac3,2024-06-05T20:43:43+02:00,2024-06-05T20:43:43+02:00,Fotocaccia al tesoro in malga!,,"Evento sociale,Evento sportivo",,,Evento organizzato all’interno del programma Bandiera Blu 2024,Tempo libero, Un coinvolgente gioco all’aria aperta per imparare a fotografare la natura! Un’esperienza che farà diventare le foto scattate un meraviglioso ricordo da conservare.famiglia con bambini e ragazzi,Bandiera blu 2024,,,Famiglie,Bambini,Giovani,,Malga Lodranega,,,,,,https://www.comune.sellagiudicarie.tn.it/content/download/7624/66786/1/Adattamento+LAGO+DI+RONCONE_+160x230_inserto+brochure_2024_ST+CROCINI.pdf,,Bandiera Blu 2024,,,,,,,,,,,0.0,2.0,,,,,
25223a9ee94a0d9c8f442a82c1f6b56d,2024-06-05T20:50:54+02:00,2024-06-05T20:50:54+02:00,Eco-plogging: prendiamoci cura del nostro territorio!,,"Evento sportivo,Evento culturale",,,Evento organizzato all’interno del programma Bandiera Blu 2024,Tempo libero,Passeggiate ecologica lungo le sponde del lago di Roncone - e in parallelo sulla spiaggia di Baitoni al lago di Idro - facendo gara per chi raccoglie più plastica! A conclusione merenda per tutti,Bandiera blu 2024,,,Famiglie,Bambini,Giovani,,Parco Lago ,,,,,,https://www.comune.sellagiudicarie.tn.it/content/download/7627/66894/1/Adattamento+LAGO+DI+RONCONE_+160x230_inserto+brochure_2024_ST+CROCINI.pdf,,Bandiera Blu 2024,,,,,,,,,,,0.0,2.0,,,,,
dd313cfd924b1caafeb90111824c8b92,2024-06-05T20:39:35+02:00,2024-06-05T20:39:35+02:00,Profumi e aromi con la cosmesi naturale,,"Evento sociale,Evento culturale",,,Evento all’interno del programma Bandiera Blu 2024,Tempo libero,"un viaggio alchemico tra le essenze dei cosmetici naturali.partendo dalla materia prima creeremo insieme bombe frizzanti, dentifrici e sacchetti profumati.Famiglie con bambini e ragazzi",Bandiera blu 2024,,,Famiglie,Bambini,Giovani,,Parco Lago ,,,,,,https://www.comune.sellagiudicarie.tn.it/content/download/7623/66750/1/Adattamento+LAGO+DI+RONCONE_+160x230_inserto+brochure_2024_ST+CROCINI.pdf,,Bandiera Blu 2024,,,,,,,,,,,0.0,2.0,,,,,
01ae3f833533438911174d7497cada7d,2024-06-05T20:46:25+02:00,2024-06-05T20:46:25+02:00,E la tua parte di stampo è fatta?!,,"Evento sociale,Evento culturale",,,Evento organizzato all’interno del programma Bandiera Blu 2024,Tempo libero,Insieme realizzeremo dei piccoli timbri adoperando pezzetti di cartoncino vecchie spugne come nelle antiche tecniche di pittura “a stampo”famiglie con bambini,Bandiera blu 2024,,,Famiglie,Bambini,,Parco Lago ,,,,,,https://www.comune.sellagiudicarie.tn.it/content/download/7625/66822/1/Adattamento+LAGO+DI+RONCONE_+160x230_inserto+brochure_2024_ST+CROCINI.pdf,,Bandiera Blu 2024,,,,,,,,,,,0.0,2.0,,,,,,
