remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
401e98dd9d6efb2035c5d8775c2a9d79,2024-02-09T10:16:22+01:00,2024-02-09T10:21:09+01:00,LibriAMOci: pagine di Parco,,Presentazione libro,,,"La rassegna “LibriAMOci: pagine di Parco”, che animerà il punto lettura “Natura e Cultura” a Carisolo fino alla prossima primavera, prevede la presentazione di pubblicazioni dedicate ai temi dei Parchi in ambito naturalistico, storico e culturale.","Istruzione
Biblioteca
Prima infanzia
Scuola materna",Valentina Gottardi con l’albo illustrato per bambini “Solo Dance” e a seguire il laboratorio “Ronzante” per bambini 6 – 10 anni. Non serve iscrizione,Lettura bambini,,,Bambini,Famiglie,,,,,,,,,,Punto lettura “Natura e cultura” del Parco,,,,,,,,,,,0.0,2.0,,,,,,
18f0813732b7e17eebd0f5da116bc63b,2024-02-09T10:14:51+01:00,2024-02-09T10:20:29+01:00,LibriAMOci: pagine di Parco,,Presentazione libro,,,"La rassegna “LibriAMOci: pagine di Parco”, che animerà il punto lettura “Natura e Cultura” a Carisolo fino alla prossima primavera, prevede la presentazione di pubblicazioni dedicate ai temi dei Parchi in ambito naturalistico, storico e culturale.",Istruzione,"Andrea Grava con “Il cammino di Carlo Magno”, presentazione del libro in passeggiata lungo “il cammino” partendo dal punto lettura. L’autore dialogherà con Carla Maturi responsabile della Biblioteca comunale di Pinzolo.",Lettura,,,Adulti,Giovani,,,,,,,,,,Punto lettura “Natura e cultura” del Parco,,,,,,,,,,,0.0,2.0,,,,,,
f3ca9fb373c8b22ce0175ce11d39ed75,2024-04-04T10:13:08+02:00,2024-04-04T10:13:08+02:00,La Sarca tutta nuda e la giornata del verde,,Evento sociale,,,Cura del nostro fiume e del nostro territorio,Ambiente,La Sarca tutta nuda e la giornata del verde dedicate alla cura del nostro fiume e del nostro territorio,Sarca,,,Adulti,Giovani,,Palazzo del Municipio,,,,,,https://www.comune.spiazzo.tn.it/content/download/2472/31325/1/Sarca.png,,Contatti Ufficio Ragioneria,,,,,,,,,,,0.0,2.0,,,,,,
07318d2a8d7d88f2230941bd587c1e54,2024-04-08T11:19:50+02:00,2024-04-08T11:21:43+02:00,Cambiare si può?,,Evento sociale,,,Uno sguardo al maschile ed uno al femminile sulla violenza di genere.,Questioni sociali,"Serata &quot,Cambiare si può?&quot,",locandina,,,Adulti,,Palazzo del Municipio,,,,,,,,Contatti Ufficio Ragioneria,,,,,,,,,,,0,2.0,,,,,,,
3397e28953ba33f7179d121b26d47f7a,2024-05-15T10:02:14+02:00,2024-05-15T10:04:36+02:00,Mercato del sabato,,Evento d'affari o commerciale,,,Mercato del sabato,"Economia
Mercato",Mercato del sabato,,,,Adulti,,Scuola Primaria,,,,,,,,Contatti Ufficio Tributi e Attività Economiche,,,,,,,,,,,0,2.0,,,,,,,
61121aec859760f6547db549f2330db9,2024-06-12T11:41:04+02:00,2024-06-12T15:55:17+02:00,Esploraparco! Escursioni gratuite per conoscere il Parco Fluviale Sarca,,Evento sportivo,,,Escursioni con Guide Alpine e Accompagnatori di media montagna.,"Ambiente
Tempo libero",Escursioni con Guide Alpine e Accompagnatori di media montagna.,Sarca,,,Adulti,Famiglie,Giovani,,Palazzo del Municipio,,,,"prevista una sosta per il pranzo a sacco, che non è fornito",,,https://www.comune.spiazzo.tn.it/ocmultibinary/download/2575/33017/2/5ef7cc61a119779fd35f355371aa17ca.pdf/file/557073057SARCA_loc_EsploraParco.pdf,Contatti Ufficio Segreteria - Protocollo,,,,,,,,,,,0.0,2.0,,,,,
931a0a3a56d24158dac1ff5f88b7123d,2024-07-09T10:08:21+02:00,2024-07-09T10:08:21+02:00,Agriaperitivo,,Evento culturale,,,"Degustazione di vini abbinati a prodotti chilometri zero dell'azienda agricola &quot,Il Petar&quot,","Ambiente
Tempo libero","Degustazione di vini abbinati a prodotti chilometri zero dell'azienda agricola &quot,Il Petar&quot,",,,,Adulti,,Palazzo del Municipio,,,,"Tariffa € 25,00 a persona",,https://www.comune.spiazzo.tn.it/content/download/2614/33634/1/agriperitivo+2024_resized.jpg,,Pro Loco Spiazzo,,,,,,,,,,Italiano,20,2.0,,,,,,,
d1095e14197a3f110fa9d6b2961ca320,2024-07-09T10:10:28+02:00,2024-07-09T10:10:28+02:00,Un coro in corte,,Evento culturale,,,"Concerto con il coro &quot,Cima Tosa&quot, di Bolbeno nella splendida cornice della corte affrescata dal Pellizzari",Tempo libero,"Concerto con il coro &quot,Cima Tosa&quot, di Bolbeno nella splendida cornice della corte affrescata dal Pellizzari",,,,Adulti,Anziani,,Cort da Togno,,,,,,https://www.comune.spiazzo.tn.it/content/download/2616/33676/1/coro+in+corte+24_resized.jpg,,Pro Loco Spiazzo,,,,,,,,,,Italiano,0.0,2.0,,,,,,
ca36788fc2600c6512575909c4677809,2024-08-29T09:18:29+02:00,2024-08-29T09:18:29+02:00,Convivenza uomo - intelligenza artificiale: quali prospettive per il futuro,,Evento culturale,,,"Convegno &quot,Convivenza uomo - intelligenza artificiale: quali prospettive per il futuro&quot,","Tempo libero
Patrimonio culturale","Convegno &quot,Convivenza uomo - intelligenza artificiale: quali prospettive per il futuro&quot,",locandina,,,Giovani,Adulti,Famiglie,,Teatro parrocchiale,,,,,,,https://www.comune.spiazzo.tn.it/ocmultibinary/download/2654/34442/1/3c2206888d23706f4641afe03cf741f1.pdf/file/locandina%2Bconvegno%2B01.10.2024.pdf,Contatti Ufficio Segreteria - Protocollo,,,,,,,,,,,0.0,2.0,,,,,
f72158d02c92fd1c42b4529a1676978d,2024-11-04T11:05:32+01:00,2024-11-04T11:05:32+01:00,La cura del noi,,Evento sociale,,,Volontari in rete - la cura del noi,Tempo libero,Volontari in rete - la cura del noi,locandina,,,Adulti,,Teatro parrocchiale,0,0,,,,,,,https://www.comune.spiazzo.tn.it/ocmultibinary/download/2732/36179/1/a755fe9eb8b2097bda83b3e6afda1002.pdf/file/La%2BCura%2Bdel%2BNoi%2B-%2B14%2Bnovembre%2B2024.pdf,Contatti Ufficio Segreteria - Protocollo,,,,,,,,,,,2.0,2.0,,,,,
