sport,name,location,date,guests
Alpinismo,"LIBRI DI SPORT: LA VETTA DELLA VITA
Libri di sport","{'name': 'Palazzo Geremia', 'address': 'Via Rodolfo Belenzani, 20 Trento, TN'}",2024-10-10 17:00:00,['Matteo Della Bordella']
Alpinismo,GAZZA CAF,"{'name': 'Palazzo Benvenuti', 'address': 'Via Rodolfo Belenzani, 12'}",2024-10-11 09:30:00,['Davide Magnini']
Alpinismo,ANDREA LANFRI: SENZA LIMITI,"{'name': 'Piazza Santa Maria Maggiore', 'address': 'Piazza Santa Maria Maggiore - 38122 Trento'}",2024-10-11 15:00:00,['Andrea Lanfri']
Alpinismo,CATHERINE DESTIVELLE: UNA VITA IN VERTICALE,"{'name': 'Palazzo della Regione', 'address': 'https://www.regione.taa.it/'}",2024-10-12 10:00:00,['Catherine Destivelle']
Alpinismo,DENIS URUBKO: COLPEVOLE D'ALPINISMO,"{'name': 'Sala Depero', 'address': 'Piazza Dante 15, 38122 Trento'}",2024-10-12 12:30:00,['Denis Urubko']
Apnea,VALENTINA CAFOLLA: APNEA GLACIALE,"{'name': 'Palazzo Geremia', 'address': 'Via Rodolfo Belenzani, 20 Trento, TN'}",2024-10-12 18:00:00,['Valentina Cafolla']
Arrampicata,MATTEO ZURLONI: SPEED(Y) GONZALES,"{'name': 'Piazza Santa Maria Maggiore', 'address': 'Piazza Santa Maria Maggiore - 38122 Trento'}",2024-10-10 15:00:00,['Matteo Zurloni']
Arrampicata,ALESSANDRO COLOMBO: TAGLIATO PER VIVERE,"{'name': 'Piazza Santa Maria Maggiore', 'address': 'Piazza Santa Maria Maggiore - 38122 Trento'}",2024-10-12 15:00:00,['Alessandro Colombo']
Arti Marziali,"ALICE BELLANDI: PARIGI, MON AMOUR","{'name': 'Filarmonica', 'address': 'Via Giuseppe Verdi, 30, 38122 Trento TN'}",2024-10-10 15:30:00,['Alice Bellandi']
Arti Marziali,GIOCHI DI SQUADRA,"{'name': 'Sala Depero', 'address': 'Piazza Dante 15, 38122 Trento'}",2024-10-12 10:30:00,"['Simone Alessio', 'Monica Contrafatto', 'Mattia Furlani']"
Atletica,GAZZA CAF,"{'name': 'Palazzo Benvenuti', 'address': 'Via Rodolfo Belenzani, 12'}",2024-10-10 09:30:00,"['Yeman Crippa', 'Christian Merli']"
Atletica,DALLE OLIMPIADI ALLA MARATONA 42.195 METRI DI EMOZIONI E SOLIDARIET,"{'name': 'Filarmonica', 'address': 'Via Giuseppe Verdi, 30, 38122 Trento TN'}",2024-10-11 11:00:00,"['Stefano Baldini', 'Paolo Bellino', 'Stefano Mei', 'Chiara Nizzola', 'Claudia Rocchi']"
Atletica,"GANESHAMOORTHY, LEGNANTE E TAPIA LANCI DORO","{'name': 'Palazzo della Regione', 'address': 'https://www.regione.taa.it/'}",2024-10-11 12:00:00,"['Rigivan Ganeshamoorphy', 'Assunta Legnante', 'Oney Tapia']"
Atletica,BATTOCLETTI E DORIO: NATE PER CORRERE,"{'name': 'Filarmonica', 'address': 'Via Giuseppe Verdi, 30, 38122 Trento TN'}",2024-10-11 14:00:00,"['Nadia Battocletti', 'Gabriella Dorio']"
Atletica,CARL LEWIS: IL FIGLIO DEL VENTO,"{'name': 'Auditorium Santa Chiara', 'address': 'Via S. Croce, 67 - 38122 Trento'}",2024-10-11 21:00:00,['Carl Lewis']
