name,address,comune,open_hours,phone_number,website
Joyfitness Club,"Localit Acquaviva, 4",Trento,"sunday: 10:00 - 17:00, tuesday: 10:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 10:00 - 22:00, friday: 10:00 - 22:00, saturday: 10:00 - 22:00",3286165313,
Scuola Italiana Sci Folgaria,"Localit Francolini, 41",Folgaria,"tuesday: 09:00 - 13:00, wednesday: 09:00 - 13:00, thursday: 09:00 - 13:00, friday: 09:00 - 13:00, saturday: 09:00 - 13:00",0464721926,
Circolo Tennis Trento,"Via Venezia, 41/1",Trento,,3381313658,
2001 S.R.L.,"Via Lungo Leno Destro, 25/B",Rovereto,,0464439377,
Ac Trento 1921 S.r.l.,"Via Roberto da Sanseverino, 41",Trento,,0461524993,
Aquila Basket Trento 2013 S.r.l.,"Via Marighetto Ancilla, 28",Trento,,0461419794,
Aquila Basket Trento 2013 S.r.l.,"Via Bolghera, 37",Trento,,0461528417,
Aquila Basket Trento 2013 S.r.l.,"Via Zara, 14",Trento,,0461262253,
Aquila Basket Trento 2013 S.r.l.,"Via Fersina, 11",Trento,,0461935181,
Aquila Basket Trento 2013 S.r.l.,"Viale della Costituzione, 5",Trento,,0461437435,
Aquila Basket Trento 2013 S.r.l.,"Passaggio Clementel Ezio, 7",Trento,,0461437387,
Aquila Basket Trento 2013 S.r.l.,"Viale Olivetti Adriano, 20",Trento,,"0461527402, 0461525310",
Aquila Basket Trento 2013 S.r.l.,"Via Chini Eusebio, 59",Trento,,"0461916579, 0461931035",
Associazione Equestre Cavalcailvento,Localit Salin,Cavedine,,"3493856899, 0461568267",
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento,"Via IV Novembre . Gardolo, 23",Trento,,0461959800,
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento,"Via Menguzzato Veglia Clorinda, 6",Trento,,0461390785,
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento,"Strada delle Viote, 1",Trento,,0461948032,
Body Planet,"Via Gentilotti Benedetto, 4",Trento,"sunday: 10:00 - 16:00, tuesday: 08:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 08:00 - 22:00, friday: 10:00 - 22:00, saturday: 08:00 - 22:00",0461910096,
Campo Baseball,"Via Fersina, 17",Trento,,0461959812,
Campo Baseball,"Via Fersina, 2",Trento,"thursday: 15:15 - 21:00, saturday: 15:15 - 21:00",0461959812,
Campo Calcio Piedicastello,"Via Santissimi Cosma e Damiano, 107",Trento,,0461959812,
Campo Calcio San Bortolomeo,"Viale degli Olmi, 44",Trento,,0461959812,
Campo Calcio Sopramonte,"Via di Mura, 24",Trento,,0461959812,
Campo da calcio La Pineta di Folgaria,Via De Gasperi,Folgaria,,0464723131,
Campo da Softball,Via Hubert Jedin,Trento,"tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 12:30 / 14:30 - 17:00, saturday: 08:30 - 12:30",0461992990,
Campo sportivo San Bartolomeo,Via degli Olmi,Trento,,0461992990,
Centro Natatorio Comunale di Rovereto,"Via Udine, 1",Rovereto,"sunday: 09:00 - 19:30, monday: 09:00 - 19:30, tuesday: 09:00 - 20:30, wednesday: 09:00 - 20:30, thursday: 09:00 - 20:30, friday: 09:00 - 20:30, saturday: 09:00 - 20:30",0464435440,
Centro Natatorio Folgaria,"Via Nazioni Unite, 21/B",Folgaria,"sunday: 15:30 - 20:30, monday: 15:30 - 20:30, tuesday: 10:00 - 21:00, wednesday: 10:00 - 21:00, thursday: 10:00 - 21:00, friday: 10:00 - 21:00, saturday: 10:00 - 21:00",0464720058,
