name;address;comune;open_hours;phone_number;website
Aquafit Societa' Sportiva Dilettantistica a Responsabilita' Limitata;Via San Michele;Idro;;0365823047;
A.S.D. Tennis Darzo;Via Capitello, 5;Storo;sunday: 09:00 - 11:59 / 12:00 - 23:00, monday: 09:00 - 11:59 / 12:00 - 23:00, tuesday: 09:00 - 11:59 / 12:00 - 23:00, wednesday: 09:00 - 11:59 / 12:00 - 23:00, thursday: 09:00 - 11:59 / 12:00 - 23:00, friday: 09:00 - 11:59 / 12:00 - 23:00, saturday: 09:00 - 11:59 / 12:00 - 23:00;0465299257;
Immobiliare Amal di Bonardi Stefania e C. S.n.c.;Via San Michele;Idro;;0365823047;
Oratorio Bagolino;Via Parrocchia, 14;Bagolino;sunday: 18:00 - 22:00, monday: 14:00 - 22:00, tuesday: 18:00 - 22:00, wednesday: 18:00 - 22:00, thursday: 18:00 - 22:00, friday: 18:00 - 22:00, saturday: 18:00 - 22:00;036599108 3394164273;
Piscina Idronuoto;Via San Michele;Idro;;0365823047;
Stickl Sportcamp;Via Gardesana, 144/B;Malcesine;sunday: 08:30 - 18:00, monday: 08:30 - 18:00, tuesday: 08:30 - 18:00, wednesday: 08:30 - 18:00, thursday: 08:30 - 18:00, friday: 08:30 - 18:00, saturday: 08:30 - 18:00;0457401697 0456570988;
Benaco Paddling Academy;Via Porto San Felice, snc;San Felice del Benaco;;3209411619;
kite centergarda lake;Via Valle dell'Acqua, snc;Malcesine;;3454795705;
Garda Sporting Club Hotel;Via Antonio Abondio, 7;Riva del Garda;;0464552072;
Tennis Club Due Pini;Via Montessori Maria, 20;Sal;;036543721;
Amici del Tennis Odolo;Via Praes, 61;Odolo;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;3336507819 3331948229;
Bocciodromo di Benedetti Giampietro;Via Montessori Maria, 1;Sal;;0365511394;
Campo da Calcetto;Via Nuova;Preseglie;sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00;036584221;
Campo da Calcio;Via Fasse;Limone sul Garda;sunday: 07:00 - 20:00, monday: 07:00 - 20:00, tuesday: 07:00 - 20:00, wednesday: 07:00 - 20:00, thursday: 07:00 - 20:00, friday: 07:00 - 20:00, saturday: 07:00 - 20:00;0365954008;
Campo Felice Nensi;Via Paina;Malcesine;;;
Campo Pallavolo-Calcetto San Colombano;Via Maniva, 84;Collio;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;030927213;
Campo Sport Woityla di Gavardo;Viale Avanzi Orsolina, 64;Gavardo;;0365371814;
Centro Sportiva Ro Volciano;Via Goffredo Mameli, 1;Ro Volciano;sunday: 10:00 - 23:59, monday: 10:00 - 23:59, tuesday: 10:00 - 23:59, wednesday: 10:00 - 23:59, thursday: 10:00 - 23:59, saturday: 10:00 - 23:59;0365556259;
Centro Sportivo Comunale;Viale Orsolina Avanzi, 61;Gavardo;tuesday: 16:30 - 19:00, wednesday: 16:30 - 19:00, saturday: 16:30 - 19:00;3385989551 0365377411;
Circolo Tennis Ledro;Localit Besta, 1;Ledro;sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00;3805235139;
Feralpisalo' S.r.l.;Via Valle, 8;Sal;;036541484 036541740;
