name,address,comune,open_hours,phone_number,website
Asd Gioca Sport,"Via Fossi, 12",Primiero San Martino di Castrozza,,"3487465813, 043964707",
Campo Da Calcio Regolamentare Mezzano,"Via del Pian, 37",Mezzano,"sunday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00","0439678068, 043962407",
Sport e Tempo Libero Societa' Sportiva Dilettantistica S.r.l.,"Via dello Sport, 6",Primiero San Martino di Castrozza,,043962885,
Impianti Falcade Col Margherita,"Piazzale Molino, 3",Falcade,,0437507044,
Piscina Comunale Pedavena,"Via Dante Alighieri, 1",Pedavena,"sunday: 10:30 - 12:30 / 16:00 - 20:00, monday: 09:00 - 12:00, tuesday: 10:30 - 14:15 / 18:20 - 20:00, wednesday: 06:30 - 08:15, thursday: 10:30 - 14:15 / 19:00 - 21:00, friday: 06:30 - 08:15 / 18:20 - 20:00, saturday: 10:30 - 14:15",0439302061,
Arcieri di Fiemme,Localit Roda,Ziano di Fiemme,,3478579908,
Asd Tennis Club Norcen,"Via Antonio Vecelli, 45",Pedavena,"sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00",3880515132,
Campo di pattinaggio,Via Lago,Tesero,,"0462814064, 0462812358",
Campo ghiaccio naturale,"Via Laghetto, 40",Primiero San Martino di Castrozza,,0439769312,
Centro Equitazione Alpina Spiado,"Localit Quarazza, 1",Pieve Tesino,,0461594572,
Centro Polisportivo Borgo Valsugana,"Via Giuseppe Gozzer, 52",Borgo Valsugana,"sunday: 09:00 - 21:00, monday: 09:00 - 21:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00",0461753836,
Circolo Tennis Borgo Assoc.Sport.Dilettantistica,"Piazza Mercato, 12",Borgo Valsugana,"sunday: 09:00 - 22:00, monday: 09:00 - 22:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00",0461753711,
Comune di Moena,Piazza De Navalge,Moena,,0462574013,
Golf Club Tesino,"Localit Coldan, 11",Pieve Tesino,"sunday: 09:00 - 18:00, monday: 09:00 - 18:00, tuesday: 09:00 - 18:00, wednesday: 09:00 - 18:00, thursday: 09:00 - 18:00, friday: 09:00 - 18:00, saturday: 09:00 - 18:00",3505332726,
Impianti Falcade Col Margherita S.p.a.,"Localita' Pian della Sussistenza, 1",Falcade,,0437599585,
Ippico Fontanelle,"Via Lagorai, 117",Predazzo,,3357057094,
Istituto Canossiane,"Via Monte Grappa, 1",Feltre,,,
Palaghiaccio di Feltre,Via Le Rive,Feltre,,043981700,
Palaghiaccio Feltreghiaccio,"Via Marconi Guglielmo, 1",Feltre,,043981700,
Piscina Comunale Pedavena Gestione Ondablu,"1, V. Dante",Pedavena,,0439302061,
Piscina Comunale,"Via Giuseppe Gozzer, 52",Borgo Valsugana,,"0461241833, 0461751227",
S.S.D. Rari Nantes Valsugana a R.L.,"Corso Ausugum, 22",Borgo Valsugana,,"0461241833, 0461751227",
Tennis Club Fonzaso,"Via Zucco A., 7",Fonzaso,"sunday: 08:00 - 23:59, monday: 08:00 - 23:59, tuesday: 08:00 - 23:59, wednesday: 08:00 - 23:59, thursday: 08:00 - 23:59, friday: 08:00 - 23:59, saturday: 08:00 - 23:59",04395132,
Tennis Club Moena,Localit Navalge,Moena,"sunday: 10:00 - 12:00 / 14:00 - 18:00, monday: 10:00 - 12:00 / 14:00 - 18:00, tuesday: 10:00 - 12:00 / 14:00 - 18:00, wednesday: 10:00 - 12:00 / 14:00 - 18:00, thursday: 10:00 - 12:00 / 14:00 - 18:00, friday: 10:00 - 12:00 / 14:00 - 18:00, saturday: 10:00 - 12:00 / 14:00 - 18:00",0462574013,
Tennis Club Pedavena,"Via Sandro Pertini, 24",Pedavena,"sunday: 08:00 - 19:00, monday: 08:00 - 19:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00",0439301888,
