name;address;comune;open_hours;phone_number;website
Circolo Tennis Cavalese Asd;Localit Parco della Pieve, 1;Cavalese;sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00;0462340003;
Palaghiaccio di Cavalese;Via Cermis;Cavalese;;0462231252 0462230407;
Piscina Cavalese;Via Fratelli Bronzetti, 60;Cavalese;sunday: 09:00 - 21:00 / 09:30 - 20:00, monday: 09:00 - 21:00 / 09:30 - 20:00, tuesday: 09:00 - 21:00 / 09:30 - 20:00, wednesday: 09:00 - 21:00 / 09:30 - 20:00, thursday: 09:00 - 21:00 / 09:30 - 20:00, friday: 09:00 - 21:00 / 09:30 - 20:00, saturday: 09:00 - 21:00 / 09:30 - 20:00;0462230407;
Piscina Comunale Cavalese;Via Rossini, 3;Cavalese;sunday: 10:00 - 20:00, monday: 10:00 - 20:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00;0462341810;
Societa' per L'Amministrazione e La Gestione di Impianti Sportivi - S.A.G.I.S. S.r.l.;Localita' Lagorai, 3;Cavalese;;0462341810;
Arcieri di Fiemme;Localit Roda;Ziano di Fiemme;;3478579908;
Campo di pattinaggio;Via Lago;Tesero;;0462814064 0462812358;
El Zerilo Ranch;Localit Stava;Tesero;;0462814649 3343535108;
Progetto Lavaze' S.r.l.;Passo di Lavaze';Ville di Fiemme;;0462230447;
SEIK G.M.B.H. - S.R.L.;Zona San Lugano, 6;Trodena nel Parco Naturale;;0471887087 0471887040;
SEIK G.M.B.H. - S.R.L.;Zona Artigianale, 26;Trodena nel Parco Naturale;;0471887087;
Sportcenter;Via del Campo Sportivo, 16;Aldino;;0471886072;
Weisshorn S.p.a. % Weisshorn A.G.;Via Obereggen - Eggen, 31;Nova Ponente;;0471615511 0471615627 0471615122;
Scuolatennis.it - Bolzano;Via Parma, 8;Bolzano;sunday: 07:00 - 21:00, monday: 07:00 - 21:00, tuesday: 07:00 - 23:00, wednesday: 07:00 - 23:00, thursday: 07:00 - 23:00, friday: 07:00 - 23:00, saturday: 07:00 - 23:00;3926048829;
Ellequaranta di Alberto Avena;Via Amedeo Avogadro, snc;Bolzano;;0471203037;
Energym;Via Resia, 84;Bolzano;sunday: 09:30 - 12:30 / 14:00 - 18:00, tuesday: 08:30 - 21:30, wednesday: 10:00 - 21:30, thursday: 08:30 - 21:30, friday: 10:00 - 21:30, saturday: 08:30 - 21:30;0471914230;
Fiera Bolzano S.p.a.;Piazza Fiera, 1;Bolzano;;3346954229 0471516000;
Paintball Sdtirol;Via Maso della Pieve, 5;Bolzano;;3488843134 3336889299 3461028816;
Ristorante Forst Fiera;Messeplatz 1 Bozen;Bolzano;;0471932292;
Aikikai - Aikido;Via Cadorna Luigi, 6;Bolzano;;0471347287 3687030347;
Appiano;Via Cappuccini, 23;Appiano sulla Strada del Vino;tuesday: 09:00 - 12:00 / 14:00 - 17:00, wednesday: 09:00 - 12:00 / 14:00 - 17:00, thursday: 09:00 - 12:00 / 14:00 - 17:00, friday: 09:00 - 12:00 / 14:00 - 17:00, saturday: 09:00 - 12:00 / 14:00 - 17:00;0471661165;
Asv Tiers;Via Georg Strasse, 25;Tires;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;3491404634;
A.S.V. Tramin - Sektion Tennis;Via Weinstrasse, 154;Termeno sulla Strada del Vino;;0471860812;
Asv Welschnofen - Sektion Tennis Raiffeisen;Via Dolomitenstrasse, 26/A;Nova Levante;;0471613273;
Body Fitness;Via della Visitazione, 38;Bolzano;sunday: 09:30 - 13:00 / 15:00 - 17:00, tuesday: 09:30 - 21:30, wednesday: 09:30 - 21:30, thursday: 09:30 - 21:30, friday: 09:30 - 21:30, saturday: 09:30 - 21:30;0471200511;
Bolzano Nuoto;Via Maso della Pieve, 11;Bolzano;;0471250171;
Campo da calcio Bedolpian;Localit Bedolpian;Baselga di Pin;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;0461558634 3496989956;
Campo Sportivo Coni;Via Santa Geltrude, 1;Bolzano;;0471283404;
Campo Sportivo Coni;Via Santa Geltrude, 54/56;Bolzano;tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00;0471283404;
Campo Sportivo Internorm Arena Rigi;Via Luigi Cadorna, 25;Bolzano;wednesday: 16:00 - 20:00, thursday: 16:00 - 20:00, friday: 16:00 - 20:00;0471270696;
Campo Sportivo Pfarrhof - Maso della Pieve;Via Maso della Pieve, 11;Bolzano;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;335252614 0471251926;
Centro Civico Don Bosco;Piazza Don Bosco, 17;Bolzano;sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00;0471997050;
Centro Equestre Happy Ranch;Localit Lago Santo;Cembra Lisignago;sunday: 11:00 - 03:00, monday: 11:00 - 23:59, saturday: 18:00 - 03:00;0461683518;
Centro Ippico;Via dei Paludi, 22;Baselga di Pin;sunday: 09:00 - 12:00 / 14:00 - 19:00, monday: 09:00 - 12:00 / 14:00 - 19:00, tuesday: 09:00 - 12:00 / 14:00 - 19:00, wednesday: 09:00 - 12:00 / 14:00 - 19:00, thursday: 09:00 - 12:00 / 14:00 - 19:00, friday: 09:00 - 12:00 / 14:00 - 19:00, saturday: 09:00 - 12:00 / 14:00 - 19:00;3470152778;
Circolo Tennis;Viale Druso, 20;Bolzano;sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00;3312700579 0471449915;
Circolo Tennis Bauzanum '77;Via del Macello, 32;Bolzano;sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00;0471976402;
Circolo Tennis Cassa di Risparmio;Via San Giacomo, 158;Laives;sunday: 09:00 - 23:00, monday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00;0471251565;
Comune di Caldaro sulla Strada del Vino;Via Castelvecchio, 45;Caldaro sulla Strada del Vino;;0471961114;
Comune di Moena;Piazza De Navalge;Moena;;0462574013;
Ellequaranta di Alberto Avena;Via Orazio, 4/H;Bolzano;;0471270120 0471203037;
Frasnelli Kart S.r.l.;Ischia Frizzi, 3/A;Vadena;;3356069288;
Golf Club Carezza Freudenstein;Strada Sasso Croce, 6;Appiano sulla Strada del Vino;;0471660332 3393271291;
Golf Club Carezza Freudenstein;Strada Masaccio, 3;Appiano sulla Strada del Vino;;3393271291;
Golf Club Eppan Gmbh - S.r.l.;Via Museo, 33;Bolzano;;04711888167 04711888164;
Golf Club Petersberg;Via Unterwinkel, 5;Nova Ponente;;0471615122;
Golfclub Carezza;Via Carezza, 171;Nova Levante;;04711888167 3664648302;
Hotel Markushof S.a.s. di Graiff Markus & C.;Via Truidn, 1;Ora;;047181243 0471814243 0471802872 0471810272 0471810025;
Ice Rink Pin;Via dello Via dello Stadio, 17;Baselga di Pin;sunday: 09:00 - 12:30, tuesday: 09:00 - 12:30 / 14:00 - 16:30, wednesday: 09:00 - 12:30 / 14:00 - 16:30, thursday: 09:00 - 12:30 / 14:00 - 16:30, friday: 09:00 - 12:30 / 14:00 - 16:30, saturday: 09:00 - 12:30 / 14:00 - 16:30;0461554167;
Ice Rink Pine';Via dello Stadio Fraz Miola 17;Baselga di Pin;;0461554167;
Ice Rink Pine' S.r.l.;Frazione Miola, 17;Baselga di Pin;;0461557476;
Impuls Fitness Center;Via dei Grappoli, 15;Bolzano;sunday: 07:30 - 18:30, monday: 08:00 - 14:00, tuesday: 07:00 - 21:30, wednesday: 07:00 - 21:30, thursday: 07:00 - 21:30, friday: 07:00 - 21:30, saturday: 07:00 - 21:30;0471976686;
Ippico Fontanelle;Via Lagorai, 117;Predazzo;;3357057094;
Kaessbohrer Italia S.r.l.;Via Galilei, 32;Bolzano;;0471933027;
Leichtathletik Ssv - Leifers;Via Pietralba, 64;Laives;;0471952434;
Libertas Kickboxing Bolzano;Via Resia, 180;Bolzano;tuesday: 19:00 - 20:00, wednesday: 19:00 - 20:00, thursday: 19:00 - 20:00, friday: 19:00 - 20:00;3489325033;
Maneggio Ranch Roen;Via Roen;Amblar-Don;sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00;3395026924 0463830077;
Palaghiaccio;Via Rio Nero, 7;Ora;;0471802022;
Palaonda;Via Galvani, 34;Bolzano;sunday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00;0471913968 0471914813;
Palascherma;Via Resia, 39;Bolzano;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00;0471500777 0471997451;
Palasport;Via Resia, 39/A;Bolzano;sunday: 07:00 - 21:30, monday: 07:00 - 21:30, tuesday: 07:00 - 21:30, wednesday: 07:00 - 21:30, thursday: 07:00 - 21:30, friday: 07:00 - 21:30, saturday: 07:00 - 21:30;0471935558;
Palazzetto dello Sport;Viale Trieste, 21;Bolzano;sunday: 15:00 - 23:00, monday: 09:00 - 20:00;0471910217;
Piscina Comunale;Via Rio Nero, 1;Ora;;3492637459 3490058257;
