name;address;comune;open_hours;phone_number;website
Campo Da Calcio Regolamentare Mezzano;Via del Pian, 37;Mezzano;sunday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00;0439678068 043962407;
Asd Gioca Sport;Via Fossi, 12;Primiero San Martino di Castrozza;;3487465813 043964707;
Sport e Tempo Libero Societa' Sportiva Dilettantistica S.r.l.;Via dello Sport, 6;Primiero San Martino di Castrozza;;043962885;
Impianti Falcade Col Margherita;Piazzale Molino, 3;Falcade;;0437507044;
Piscina Comunale Pedavena;Via Dante Alighieri, 1;Pedavena;sunday: 10:30 - 12:30 / 16:00 - 20:00, monday: 09:00 - 12:00, tuesday: 10:30 - 14:15 / 18:20 - 20:00, wednesday: 06:30 - 08:15, thursday: 10:30 - 14:15 / 19:00 - 21:00, friday: 06:30 - 08:15 / 18:20 - 20:00, saturday: 10:30 - 14:15;0439302061;
Piscina Comunale S. Giustina;Via Scuole Nuove, 12/B;Santa Giustina;sunday: 16:00 - 20:00, tuesday: 16:00 - 20:00, wednesday: 16:00 - 20:00, thursday: 16:00 - 20:00, friday: 16:00 - 20:00, saturday: 16:00 - 20:00;0437888538;
Arcieri di Fiemme;Localit Roda;Ziano di Fiemme;;3478579908;
Asd Tennis Club Norcen;Via Antonio Vecelli, 45;Pedavena;sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00;3880515132;
Campo A.Zatta;Localit Gravazze, 20;Santa Giustina;;;
Campo ghiaccio naturale;Via Laghetto, 40;Primiero San Martino di Castrozza;;0439769312;
Centro Equitazione Alpina Spiado;Localit Quarazza, 1;Pieve Tesino;;0461594572;
Equipe;Corso Roma, 27;Falcade;;3485355474 3407027975 3285476476 0437599616;
Golf Club Tesino;Localit Coldan, 11;Pieve Tesino;sunday: 09:00 - 18:00, monday: 09:00 - 18:00, tuesday: 09:00 - 18:00, wednesday: 09:00 - 18:00, thursday: 09:00 - 18:00, friday: 09:00 - 18:00, saturday: 09:00 - 18:00;3505332726;
Impianti Falcade Col Margherita S.p.a.;Localita' Pian della Sussistenza, 1;Falcade;;0437599585;
Ippico Fontanelle;Via Lagorai, 117;Predazzo;;3357057094;
Istituto Canossiane;Via Monte Grappa, 1;Feltre;;;
Ondablu Societa' Cooperativa Sportiva Dilettantistica;Via Lungo Rova, 1;Agordo;;043762406;
Palaghiaccio di Feltre;Via Le Rive;Feltre;;043981700;
Palaghiaccio Feltreghiaccio;Via Marconi Guglielmo, 1;Feltre;;043981700;
Piscina Comunale Pedavena Gestione Ondablu;1, V. Dante;Pedavena;;0439302061;
Piscina di Agordo;Via Lungo Rova, 1;Agordo;sunday: 09:30 - 20:00 / 15:00 - 19:00, monday: 15:00 - 19:00, tuesday: 16:00 - 21:00, wednesday: 16:00 - 21:00, thursday: 10:30 - 14:15 / 16:00 - 21:00, friday: 16:00 - 21:00, saturday: 16:00 - 20:00;043762406;
Tennis Club Agordo;Via Paganini R., 27;Agordo;sunday: 09:00 - 22:00, monday: 09:00 - 22:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00;3408134441;
Tennis Club Fonzaso;Via Zucco A., 7;Fonzaso;sunday: 08:00 - 23:59, monday: 08:00 - 23:59, tuesday: 08:00 - 23:59, wednesday: 08:00 - 23:59, thursday: 08:00 - 23:59, friday: 08:00 - 23:59, saturday: 08:00 - 23:59;04395132;
Tennis Club Pedavena;Via Sandro Pertini, 24;Pedavena;sunday: 08:00 - 19:00, monday: 08:00 - 19:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00;0439301888;
Tennis Club Sedico;Via Villa, 7/A;Sedico;sunday: 09:00 - 18:00, monday: 09:00 - 12:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00;0437852522 3347471997;
Valbelluna Sport Academy;Via Seghe di Villa, 11;Sedico;sunday: 09:30 - 12:00, monday: 09:30 - 12:00, tuesday: 09:30 - 12:00, wednesday: 09:30 - 12:00, thursday: 09:30 - 12:00, friday: 09:30 - 12:00, saturday: 09:30 - 12:00;3332395935;
