name;address;comune;open_hours;phone_number;website
Garda Sporting Club Hotel;Via Antonio Abondio, 7;Riva del Garda;;0464552072;
Altogarda Golf;Localit San Tomaso;Riva del Garda;sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00;0365643006;
Amici Nuoto Riva;Viale Rovereto, 45;Riva del Garda;;0464311398 3397376737 3490586660 0464520078;
Comune di Riva del Garda;Piazza Contini Maria, 5;Riva del Garda;;0464520078;
Palagarda;Via San Tommaso, 69;Riva del Garda;;0464554551 0464555772;
Piscina Comunale Enrico Meroni;Piazza Contini Maria, 5;Riva del Garda;;0464520078;
Riva S.a.s. di Schneider Wilma e C.;Viale Tigli, 40;Riva del Garda;;0464552072 3292146937;
Tennisclinic;Via Belluno, 4;Riva del Garda;;3270808849;
Circolo Tennis Torbole;Strada Granda, 67;Nago-Torbole;sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00;3925442873;
Club Ippico San Giorgio;Localit San Giorgio Arco;Arco;sunday: 09:00 - 12:00 / 14:00 - 19:00, monday: 09:00 - 12:00 / 14:00 - 19:00, wednesday: 09:00 - 12:00 / 14:00 - 19:00, thursday: 09:00 - 12:00 / 14:00 - 19:00, friday: 09:00 - 12:00 / 14:00 - 19:00, saturday: 09:00 - 12:00 / 14:00 - 19:00;3484438307;
kite centergarda lake;Via Valle dell'Acqua, snc;Malcesine;;3454795705;
Campi Da Calcio;Via Santa Caterina, 6/4;Brentonico;;0464394051;
Campo da Calcio;Via Fasse;Limone sul Garda;sunday: 07:00 - 20:00, monday: 07:00 - 20:00, tuesday: 07:00 - 20:00, wednesday: 07:00 - 20:00, thursday: 07:00 - 20:00, friday: 07:00 - 20:00, saturday: 07:00 - 20:00;0365954008;
Circolo Tennis Arco;Via Pomerio, 11;Arco;sunday: 09:00 - 19:00, tuesday: 09:00 - 22:30, wednesday: 09:00 - 22:30, thursday: 09:00 - 22:30, friday: 09:00 - 22:30, saturday: 09:00 - 22:30;0464516824;
Hotel Maroni;Via Casarino, 1;Ledro;sunday: 09:00 - 19:00, monday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00;0464508198;
Maneggio H-Cadr;Via Piave, 84;Ledro;;0464508292;
Piscina Comunale Arco;Via Legionari Cecoslovacchi, 14;Arco;;0464516830 0464517000;
Polisportiva Montebaldo;Via S. Caterina;Brentonico;;0464394051;
Tennis Club;Via San Giovanni, 20;Mori;sunday: 09:00 - 23:00, monday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00;0464917149;
Atletica Alto Garda E Ledro;Via Pomerio, 9;Arco;tuesday: 07:00 - 23:59, wednesday: 07:00 - 23:59, thursday: 07:00 - 23:59, friday: 07:00 - 23:59, saturday: 07:00 - 23:59;0464510346;
Societa' Sportiva Dilettantistica Golden Gym;Via Terranera, 24/B;Mori;sunday: 10:00 - 12:30, tuesday: 09:00 - 21:30, wednesday: 09:00 - 21:30, thursday: 09:00 - 21:30, friday: 09:00 - 21:30, saturday: 09:00 - 21:30;3398423054 3482105688;
Stickl Sportcamp;Via Gardesana, 144/B;Malcesine;sunday: 08:30 - 18:00, monday: 08:30 - 18:00, tuesday: 08:30 - 18:00, wednesday: 08:30 - 18:00, thursday: 08:30 - 18:00, friday: 08:30 - 18:00, saturday: 08:30 - 18:00;0457401697 0456570988;
Scuola Italiana Sci Folgaria;Via Cesare Pavese;Folgaria;;3470702904;
Punto Fitness;Via del Garda, 44 bis;Rovereto;sunday: 09:30 - 17:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00;3470891264 0464430908;
2001 S.R.L.;Via Lungo Leno Destro, 25/B;Rovereto;;0464439377;
Ala Karting;Localit Chiesurone;Ala;sunday: 09:00 - 12:00 / 13:30 - 17:00, monday: 09:00 - 12:00 / 13:30 - 17:00, thursday: 09:00 - 12:00 / 13:30 - 17:00, friday: 09:00 - 12:00 / 13:30 - 17:00, saturday: 09:00 - 12:00 / 13:30 - 17:00;3662263776;
A.S.D. Tennis Darzo;Via Capitello, 5;Storo;sunday: 09:00 - 11:59 / 12:00 - 23:00, monday: 09:00 - 11:59 / 12:00 - 23:00, tuesday: 09:00 - 11:59 / 12:00 - 23:00, wednesday: 09:00 - 11:59 / 12:00 - 23:00, thursday: 09:00 - 11:59 / 12:00 - 23:00, friday: 09:00 - 11:59 / 12:00 - 23:00, saturday: 09:00 - 11:59 / 12:00 - 23:00;0465299257;
Associazione Equestre Cavalcailvento;Localit Salin;Cavedine;;3493856899 0461568267;
Associazione Polisportiva Dilettantistica Kosmos Rovereto;Via della Roggia, 45;Rovereto;;0464666600 3497721742 0464942281 3517595860;
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento;Strada delle Viote, 1;Trento;;0461948032;
Boulder City Asd;Viale Daino, 74/C;Dro;;0464507354;
Campo Felice Nensi;Via Paina;Malcesine;;;
Campo sportivo di Mori;Via Dante, 10;Mori;;;
Campo Sportivo Fucine a Rovereto;Via Leonardo da Vinci;Rovereto;;;
Centro di Tiro con l'Arco;Via della Roggia, 45;Rovereto;sunday: 10:00 - 22:00, monday: 10:00 - 22:00, tuesday: 10:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 10:00 - 22:00, friday: 10:00 - 22:00, saturday: 10:00 - 22:00;3665809997 0464421569 0464486113;
Centro Natatorio Comunale di Rovereto;Via Udine, 1;Rovereto;sunday: 09:00 - 19:30, monday: 09:00 - 19:30, tuesday: 09:00 - 20:30, wednesday: 09:00 - 20:30, thursday: 09:00 - 20:30, friday: 09:00 - 20:30, saturday: 09:00 - 20:30;0464435440;
Centro sportivo Tione;Localit Sesena, 5;Tione di Trento;;0465321023;
Circolo Ippico Castel Beseno;Via Morini, 26;Calliano;sunday: 14:00 - 15:00, monday: 14:00 - 15:00, wednesday: 14:00 - 15:00, thursday: 14:00 - 15:00, friday: 14:00 - 15:00, saturday: 14:00 - 15:00;0464834483;
Circolo Tennis Ledro;Localit Besta, 1;Ledro;sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00;3805235139;
Circolo Tennis Rovereto Asd;Via Lungo Leno Destro, 25;Rovereto;sunday: 07:30 - 22:00, monday: 07:30 - 22:00, tuesday: 07:30 - 22:00, wednesday: 07:30 - 22:00, thursday: 07:30 - 22:00, friday: 07:30 - 22:00, saturday: 07:30 - 22:00;0464439377 0464431045;
Circolo Tennis Rovereto;Via della Roggia, 43;Rovereto;sunday: 09:00 - 20:00, monday: 09:00 - 20:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00;0464431045;
Equiparadiso;Localit Saccone, 4;Brentonico;;0464390147;
Fly2fun Parapendio Biposto;Localit Sottodossi;Malcesine;;3349469757;
Golf Club Rovereto;Viale Caproni Giovanni, 44;Rovereto;;3666432648;
Istituto Superiore Don Milani - Depero;Via Balista, 2;Rovereto;sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00;0464485511;
Joyfitness Club;Localit Acquaviva, 4;Trento;sunday: 10:00 - 17:00, tuesday: 10:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 10:00 - 22:00, friday: 10:00 - 22:00, saturday: 10:00 - 22:00;3286165313;
Leno 2001;Via Udine, 18;Rovereto;;0464400315;
Maestri di Sci e Snowboard Cristallo A.T.P.;Localita' Vason, 110;Trento;;3806328814;
