name;address;comune;open_hours;phone_number;website
Asd Gioca Sport;Via Fossi, 12;Primiero San Martino di Castrozza;;043964707 3487465813;
Campo Da Calcio Regolamentare Mezzano;Via del Pian, 37;Mezzano;sunday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00;0439678068 043962407;
Sport e Tempo Libero Societa' Sportiva Dilettantistica S.r.l.;Via dello Sport, 6;Primiero San Martino di Castrozza;;043962885;
Impianti Falcade Col Margherita;Piazzale Molino, 3;Falcade;;0437507044;
Piscina Comunale Pedavena;Via Dante Alighieri, 1;Pedavena;sunday: 10:30 - 12:30 / 16:00 - 20:00, monday: 09:00 - 12:00, tuesday: 10:30 - 14:15 / 18:20 - 20:00, wednesday: 06:30 - 08:15, thursday: 10:30 - 14:15 / 19:00 - 21:00, friday: 06:30 - 08:15 / 18:20 - 20:00, saturday: 10:30 - 14:15;0439302061;
Piscina Comunale S. Giustina;Via Scuole Nuove, 12/B;Santa Giustina;sunday: 16:00 - 20:00, tuesday: 16:00 - 20:00, wednesday: 16:00 - 20:00, thursday: 16:00 - 20:00, friday: 16:00 - 20:00, saturday: 16:00 - 20:00;0437888538;
Miros;Via Masi Simonetti, 51;Belluno;sunday: 10:00 - 17:00, monday: 10:00 - 12:00, tuesday: 08:00 - 22:00, wednesday: 06:30 - 22:00, thursday: 08:00 - 22:00, friday: 06:30 - 22:00, saturday: 08:00 - 22:00;043733098;
Asd Tennis Club Norcen;Via Antonio Vecelli, 45;Pedavena;sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00;3880515132;
Associazione Pro Loco di Caviola;Largo Tegosa, 8;Falcade;;0437599441;
Bellenzier Paolo;Via Mazzarol Sebastiano, 42;Cencenighe Agordino;;0437580184;
Bloom Academy;Via Vittorio Veneto, 293;Belluno;tuesday: 09:00 - 20:30, wednesday: 16:30 - 20:30, thursday: 09:00 - 20:30, friday: 16:30 - 20:30, saturday: 09:00 - 20:30;0437659050 3914274358;
Campo A.Zatta;Localit Gravazze, 20;Santa Giustina;;;
Campo ghiaccio naturale;Via Laghetto, 40;Primiero San Martino di Castrozza;;0439769312;
Campo Principale Ugo Frezza;Via Olimpia;Limana;;;
Campo R.Savaris;Via Nongole;Belluno;;;
Campo Sportivo Sois;Via Bios;Belluno;;;
Circolo Tennis Belluno;Via Fisterre, 9;Belluno;sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00;0437940289;
Collegio Regionale Maestri Sci Regione Veneto;Via Mezzaterra, 70;Belluno;;0437657119 3440610582;
Comune di Trichiana;Localita' Cavassico Inferiore, 201;Borgo Valbelluna;;0437556205 0437555126 0437556223;
Del Zenero Mirco Sauro;Via De Gasperi Alcide, 65;Alleghe;;0437523418;
Equipe;Corso Roma, 27;Falcade;;3485355474 3407027975 3285476476 0437599616;
Gymnica;Via Goffredo Mameli, 108;Belluno;sunday: 15:00 - 21:00, tuesday: 15:00 - 21:00, wednesday: 15:00 - 21:00, thursday: 15:00 - 21:00, friday: 15:00 - 21:00, saturday: 15:00 - 21:00;043732535 3382900448;
Impianti Falcade Col Margherita S.p.a.;Localita' Pian della Sussistenza, 1;Falcade;;0437599585;
Istituto Canossiane;Via Monte Grappa, 1;Feltre;;;
Ondablu Societa' Cooperativa Sportiva Dilettantistica;Via Lungo Rova, 1;Agordo;;043762406;
Palaghiaccio di Feltre;Via Le Rive;Feltre;;043981700;
Palaghiaccio Feltreghiaccio;Via Marconi Guglielmo, 1;Feltre;;043981700;
Palazzo della Regione del Veneto;Via Lungo Lago, 18;Alleghe;;0437723749 0437721404;
Piscina Comunale Pedavena Gestione Ondablu;1, V. Dante;Pedavena;;0439302061;
Piscina di Agordo;Via Lungo Rova, 1;Agordo;sunday: 09:30 - 20:00 / 15:00 - 19:00, monday: 15:00 - 19:00, tuesday: 16:00 - 21:00, wednesday: 16:00 - 21:00, thursday: 10:30 - 14:15 / 16:00 - 21:00, friday: 16:00 - 21:00, saturday: 16:00 - 20:00;043762406;
Pollazzon Anna Maria;Via Serenissima, 2;Alleghe;;0437523462 04371843521;
Sportivamente Belluno S.r.l. Societa' Sportiva Dilettantistica;Via Gabelli Aristide, 2;Belluno;;3480369308 0437948308;
Squash Club;Via Masi Simonetti, 52;Belluno;;0437930077;
Stadio del Ghiaccio;Via Lungolago, 18;Alleghe;sunday: 15:00 - 19:30, monday: 15:00 - 19:30, tuesday: 15:00 - 19:30, wednesday: 15:00 - 19:30, thursday: 15:00 - 19:30, friday: 15:00 - 19:30, saturday: 15:00 - 19:30;0437523176;
Tennis Club Agordo;Via Paganini R., 27;Agordo;sunday: 09:00 - 22:00, monday: 09:00 - 22:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00;3408134441;
