name;address;comune;open_hours;phone_number;website
A.S.D. Tennis Darzo;Via Capitello, 5;Storo;sunday: 09:00 - 11:59 / 12:00 - 23:00, monday: 09:00 - 11:59 / 12:00 - 23:00, tuesday: 09:00 - 11:59 / 12:00 - 23:00, wednesday: 09:00 - 11:59 / 12:00 - 23:00, thursday: 09:00 - 11:59 / 12:00 - 23:00, friday: 09:00 - 11:59 / 12:00 - 23:00, saturday: 09:00 - 11:59 / 12:00 - 23:00;0465299257;
Circolo Tennis Ledro;Localit Besta, 1;Ledro;sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00;3805235139;
Oratorio Bagolino;Via Parrocchia, 14;Bagolino;sunday: 18:00 - 22:00, monday: 14:00 - 22:00, tuesday: 18:00 - 22:00, wednesday: 18:00 - 22:00, thursday: 18:00 - 22:00, friday: 18:00 - 22:00, saturday: 18:00 - 22:00;036599108 3394164273;
Stickl Sportcamp;Via Gardesana, 144/B;Malcesine;sunday: 08:30 - 18:00, monday: 08:30 - 18:00, tuesday: 08:30 - 18:00, wednesday: 08:30 - 18:00, thursday: 08:30 - 18:00, friday: 08:30 - 18:00, saturday: 08:30 - 18:00;0457401697 0456570988;
kite centergarda lake;Via Valle dell'Acqua, snc;Malcesine;;3454795705;
Garda Sporting Club Hotel;Via Antonio Abondio, 7;Riva del Garda;;0464552072;
Altogarda Golf;Localit San Tomaso;Riva del Garda;sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00;0365643006;
Amici Nuoto Riva;Viale Rovereto, 45;Riva del Garda;;0464311398 3397376737 3490586660 0464520078;
Aquafit Societa' Sportiva Dilettantistica a Responsabilita' Limitata;Via San Michele;Idro;;0365823047;
Campo da Calcio;Via Fasse;Limone sul Garda;sunday: 07:00 - 20:00, monday: 07:00 - 20:00, tuesday: 07:00 - 20:00, wednesday: 07:00 - 20:00, thursday: 07:00 - 20:00, friday: 07:00 - 20:00, saturday: 07:00 - 20:00;0365954008;
Campo Felice Nensi;Via Paina;Malcesine;;;
Campo Pallavolo-Calcetto San Colombano;Via Maniva, 84;Collio;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;030927213;
Circolo Tennis Arco;Via Pomerio, 11;Arco;sunday: 09:00 - 19:00, tuesday: 09:00 - 22:30, wednesday: 09:00 - 22:30, thursday: 09:00 - 22:30, friday: 09:00 - 22:30, saturday: 09:00 - 22:30;0464516824;
Circolo Tennis Torbole;Strada Granda, 67;Nago-Torbole;sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00;3925442873;
Club Ippico San Giorgio;Localit San Giorgio Arco;Arco;sunday: 09:00 - 12:00 / 14:00 - 19:00, monday: 09:00 - 12:00 / 14:00 - 19:00, wednesday: 09:00 - 12:00 / 14:00 - 19:00, thursday: 09:00 - 12:00 / 14:00 - 19:00, friday: 09:00 - 12:00 / 14:00 - 19:00, saturday: 09:00 - 12:00 / 14:00 - 19:00;3484438307;
Comune di Riva del Garda;Piazza Contini Maria, 5;Riva del Garda;;0464520078;
Fly2fun Parapendio Biposto;Localit Sottodossi;Malcesine;;3349469757;
Golf Bogliaco;Via del Golf, 21;Toscolano Maderno;sunday: 08:00 - 18:30, monday: 08:00 - 18:30, tuesday: 08:00 - 18:30, wednesday: 08:00 - 18:30, thursday: 08:00 - 18:30, friday: 08:00 - 18:30, saturday: 08:00 - 18:30;0365643006;
Hotel Maroni;Via Casarino, 1;Ledro;sunday: 09:00 - 19:00, monday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00;0464508198;
Immobiliare Amal di Bonardi Stefania e C. S.n.c.;Via San Michele;Idro;;0365823047;
Maneggio H-Cadr;Via Piave, 84;Ledro;;0464508292;
Nuove Concessioni Sportive Societa' Sportiva Dilettantistica a Responsabilita' Limitata;Via Repubblica, 17;Gargnano;;0365513179;
Oratorio Circolo Anspi Don Bosco;Via Galvano Giori;Vestone;;036581252;
Oratorio San Luigi di Toscolano;Piazza Santa Maria del Benaco, 3;Toscolano Maderno;;0365641378;
Palagarda;Via San Tommaso, 69;Riva del Garda;;0464554551 0464555772;
Piscina Comunale Enrico Meroni;Piazza Contini Maria, 5;Riva del Garda;;0464520078;
Piscina Idronuoto;Via San Michele;Idro;;0365823047;
Polisportiva Vobarno Associazione Sportiva Dilettantistica;Via Sottostrada, 52;Vobarno;sunday: 15:00 - 20:00, monday: 15:00 - 20:00, tuesday: 17:00 - 20:00, wednesday: 15:30 - 22:30, thursday: 16:30 - 18:30, friday: 16:00 - 20:30, saturday: 20:00 - 22:30;3331705691 3357600429;
Riva S.a.s. di Schneider Wilma e C.;Viale Tigli, 40;Riva del Garda;;0464552072 3292146937;
Societa' Sportiva Dilettantistica Trial Team 3d S.r.l.;Via Santa Maria, 26;Bienno;;3458450471;
Stadio Rugby;Via Caduti del Lavoro, 6;Bienno;;036440001;
Tennis Club Collio;Via Federico Bagozzi;Collio;sunday: 09:00 - 17:00, monday: 09:00 - 17:00, tuesday: 09:00 - 17:00, wednesday: 09:00 - 17:00, thursday: 09:00 - 17:00, friday: 09:00 - 17:00, saturday: 09:00 - 17:00;030927213;
Tennis Club Malcesine;Via Sommavilla, 12;Malcesine;sunday: 07:30 - 22:00, monday: 07:30 - 22:00, tuesday: 07:30 - 22:00, wednesday: 07:30 - 22:00, thursday: 07:30 - 22:00, friday: 07:30 - 22:00, saturday: 07:30 - 22:00;0456584136 3516148134;
Tennisclinic;Via Belluno, 4;Riva del Garda;;3270808849;
Atletica Alto Garda E Ledro;Via Pomerio, 9;Arco;tuesday: 07:00 - 23:59, wednesday: 07:00 - 23:59, thursday: 07:00 - 23:59, friday: 07:00 - 23:59, saturday: 07:00 - 23:59;0464510346;
