name;address;comune;open_hours;phone_number;website
Centro Polisportivo Borgo Valsugana;Via Giuseppe Gozzer, 52;Borgo Valsugana;"""sunday: 09:00 - 21:00, monday: 09:00 - 21:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00""";0461753836;
Circolo Tennis Borgo Assoc.Sport.Dilettantistica;Piazza Mercato, 12;Borgo Valsugana;"""sunday: 09:00 - 22:00, monday: 09:00 - 22:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00""";0461753711;
Piscina Comunale;Via Giuseppe Gozzer, 52;Borgo Valsugana;"""""";0461241833 0461751227;
S.S.D. Rari Nantes Valsugana a R.L.;Corso Ausugum, 22;Borgo Valsugana;"""""";0461241833 0461751227;
Campo di Golf;Via Ferme;Roncegno Terme;"""""";0461773337;
S.S.D. Rari Nantes Valsugana a R.L.;Via Trieste, 7;Roncegno Terme;"""""";0461525178;
Circolo Tennis Trento;Via Venezia, 41/1;Trento;"""""";3381313658;
Piscina Comunale di Roffo Angelo;Piazzale degli Alpini, 2;Roana;"""sunday: 09:30 - 19:30, monday: 09:30 - 19:30, tuesday: 09:30 - 21:30, wednesday: 09:30 - 21:30, thursday: 09:30 - 21:30, friday: 09:30 - 21:30, saturday: 09:30 - 21:30""";3346879265 3888676170;
Aquila Basket Trento 2013 S.r.l.;Via Marighetto Ancilla, 28;Trento;"""""";0461419794;
Aquila Basket Trento 2013 S.r.l.;Via Bolghera, 37;Trento;"""""";0461528417;
Aquila Basket Trento 2013 S.r.l.;Via Zara, 14;Trento;"""""";0461262253;
Aquila Basket Trento 2013 S.r.l.;Via Chini Eusebio, 59;Trento;"""""";0461916579 0461931035;
Associazione Maestri Sci Asiago;Via Orthal, 3;Asiago;"""""";3491730849 0424463475 3494463801;
Associazione Maestri Sci Asiago;Via Stazione, 1;Asiago;"""""";3405985746 3458887347;
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento;Piazza dalla Chiesa Carlo Alberto, 1;Levico Terme;"""""";0461708312 0461708313;
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento;Via Menguzzato Veglia Clorinda, 6;Trento;"""""";0461390785;
Body Planet;Via Gentilotti Benedetto, 4;Trento;"""sunday: 10:00 - 16:00, tuesday: 08:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 08:00 - 22:00, friday: 10:00 - 22:00, saturday: 08:00 - 22:00""";0461910096;
Break Point Golf Club;Localit Maso Grillo, 4;Pergine Valsugana;"""sunday: 08:30 - 21:00, monday: 08:30 - 21:00, tuesday: 08:30 - 21:00, wednesday: 08:30 - 21:00, thursday: 08:30 - 21:00, friday: 08:30 - 21:00, saturday: 08:30 - 21:00""";3474647351;
Campo Baseball;Via Fersina, 2;Trento;"""thursday: 15:15 - 21:00, saturday: 15:15 - 21:00""";0461959812;
Campo Calcio Argentario;Via Ponte Alto, 79;Trento;"""tuesday: 08:30 - 17:00, thursday: 08:30 - 17:00, friday: 08:30 - 17:00, saturday: 08:30 - 12:30""";0461992990;
Campo Calcio San Bortolomeo;Viale degli Olmi, 44;Trento;"""""";0461959812;
Campo da calcio Bedolpian;Localit Bedolpian;Baselga di Pin;"""sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59""";0461558634 3496989956;
Campo di pattinaggio;Via Lago;Tesero;"""""";0462814064 0462812358;
Campo Ghiaccio di Pergine;Via al Ponte, 1/A;Pergine Valsugana;"""sunday: 14:00 - 16:30, monday: 14:00 - 16:30, tuesday: 14:00 - 16:30, wednesday: 14:00 - 16:30, thursday: 14:00 - 16:00, friday: 14:00 - 16:30, saturday: 14:00 - 16:30""";0461534423;
Campo Pedemonte;Via Brancafora;Pedemonte;"""""";;
Campo Sportivo Comunale;Viale Lido;Levico Terme;"""sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59""";0461706892;
Campo Sportivo Moar;Frazione Azzolini, 82;Lavarone;"""sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59""";0464783179;
Campo sportivo San Bartolomeo;Via degli Olmi;Trento;"""""";0461992990;
Centro Equestre Citt di Trento;Via della Selva, 34;Trento;"""""";;
Centro Equestre Happy Ranch;Localit Lago Santo;Cembra Lisignago;"""sunday: 11:00 - 03:00, monday: 11:00 - 23:59, saturday: 18:00 - 03:00""";0461683518;
Centro Equitazione Airone;Localit Barco, 3;Levico Terme;"""sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59""";3396768993;
Centro Equitazione Alpina Spiado;Localit Quarazza, 1;Pieve Tesino;"""""";0461594572;
Centro Ippico;Via dei Paludi, 22;Baselga di Pin;"""sunday: 09:00 - 12:00 / 14:00 - 19:00, monday: 09:00 - 12:00 / 14:00 - 19:00, tuesday: 09:00 - 12:00 / 14:00 - 19:00, wednesday: 09:00 - 12:00 / 14:00 - 19:00, thursday: 09:00 - 12:00 / 14:00 - 19:00, friday: 09:00 - 12:00 / 14:00 - 19:00, saturday: 09:00 - 12:00 / 14:00 - 19:00""";3470152778;
Centro Ippico Il Salice;Via Carducci Giosue', 98;Folgaria;"""""";3487842363;
Centro Ippico Paoli;Localit Lochere, 33;Caldonazzo;"""sunday: 08:00 - 12:00 / 14:00 - 20:00, monday: 08:00 - 12:00 / 14:00 - 20:00, tuesday: 08:00 - 12:00 / 14:00 - 20:00, wednesday: 08:00 - 12:00 / 14:00 - 20:00, thursday: 08:00 - 12:00 / 14:00 - 20:00, friday: 08:00 - 12:00 / 14:00 - 20:00, saturday: 08:00 - 12:00 / 14:00 - 20:00""";0461706186 3200829633;
Centro Natatorio Pergine Valsugana;Via Marconi Guglielmo, 51;Pergine Valsugana;"""sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 06:00 - 22:00, wednesday: 07:00 - 22:00, thursday: 06:00 - 22:00, friday: 07:00 - 22:00, saturday: 06:00 - 22:00""";0461531773;
Centro Sportivo M. Zorzi Mattarello;Via per Castel Vedro, 3;Trento;"""""";0461959812;
Centro Sportivo M. Zorzi Mattarello;Via del Capitel, 3;Trento;"""tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 12:30 / 14:30 - 17:00, saturday: 08:30 - 12:30""";0461959812;
Centro Sportivo Manazzon;Via Fogazzaro Antonio, 2;Trento;"""sunday: 09:00 - 19:00, monday: 09:00 - 13:00""";0461924248;
Centro Sportivo O. Ceschi - Gabbiolo;Via alla Cros, 10;Trento;"""""";0461959812;
Circolo Ippico La Roccia;Localit Pianiza, 33;Trento;"""sunday: 09:00 - 19:00, monday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00""";0461913143;
Circolo Tennis Calisio;Via Pradiscola, 1;Trento;"""sunday: 09:00 - 23:00, monday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00""";0461820040;
Circolo Tennis Cavalese Asd;Localit Parco della Pieve, 1;Cavalese;"""sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00""";0462340003;
Circolo Tennis Lavarone A.S.D.;Frazione Gionghi, 107;Lavarone;"""sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59""";0464724146;
Circolo Tennis Pergine Assoc.Sport.Dilettantistica;Viale Petri, 2;Pergine Valsugana;"""""";0461532169;
Comune di Asiago;Via Stazione, 1;Asiago;"""""";042464144;
Dilettantistica Tennis Levico Terme;Localit Belvedere;Levico Terme;"""sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00""";3394631152;
Golf Club Asiago;Via Meltar, 2;Asiago;"""""";0424462721;
Golf Club Tesino;Localit Coldan, 11;Pieve Tesino;"""sunday: 09:00 - 18:00, monday: 09:00 - 18:00, tuesday: 09:00 - 18:00, wednesday: 09:00 - 18:00, thursday: 09:00 - 18:00, friday: 09:00 - 18:00, saturday: 09:00 - 18:00""";3505332726;
"Gym ""G. Pascoli""";Via Znojmo, 24;Trento;"""""";0461992990;
Ice Rink Pin;Via dello Via dello Stadio, 17;Baselga di Pin;"""sunday: 09:00 - 12:30, tuesday: 09:00 - 12:30 / 14:00 - 16:30, wednesday: 09:00 - 12:30 / 14:00 - 16:30, thursday: 09:00 - 12:30 / 14:00 - 16:30, friday: 09:00 - 12:30 / 14:00 - 16:30, saturday: 09:00 - 12:30 / 14:00 - 16:30""";0461554167;
Ice Rink Pine';Via dello Stadio Fraz Miola 17;Baselga di Pin;"""""";0461554167;
Ice Rink Pine' S.r.l.;Frazione Miola, 17;Baselga di Pin;"""""";0461557476;
Madonna Bianca;Via Bettini Angelo, 2;Trento;"""""";0461390785;
Pala Odegar;Piazza della Stazione, 1;Asiago;"""sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59""";042464144;
Palaghiaccio di Cavalese;Via Cermis;Cavalese;"""""";0462231252 0462230407;
Palasport Gallio Calcio 5;Via Roma, 1;Gallio;"""""";;
Palazzetto di Caldonazzo;Via Marconi, 9;Caldonazzo;"""tuesday: 17:00 - 21:00, wednesday: 17:00 - 21:00, thursday: 17:00 - 21:00, friday: 17:00 - 21:00, saturday: 17:00 - 21:00""";0461718105;
Panarotta S.r.l.;Localita' Panarotta, 1;Levico Terme;"""""";3470333532;
Piscina Cavalese;Via Fratelli Bronzetti, 60;Cavalese;"""sunday: 09:00 - 21:00 / 09:30 - 20:00, monday: 09:00 - 21:00 / 09:30 - 20:00, tuesday: 09:00 - 21:00 / 09:30 - 20:00, wednesday: 09:00 - 21:00 / 09:30 - 20:00, thursday: 09:00 - 21:00 / 09:30 - 20:00, friday: 09:00 - 21:00 / 09:30 - 20:00, saturday: 09:00 - 21:00 / 09:30 - 20:00""";0462230407;
Piscina Comunale Cavalese;Via Rossini, 3;Cavalese;"""sunday: 10:00 - 20:00, monday: 10:00 - 20:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00""";0462341810;
Pista Motocross;Frazione Canezza;Pergine Valsugana;"""monday: 09:00 - 12:00 / 15:00 - 18:00""";3283636093;
Rocco Angelo Gestioni Impianti Sportivi;Via Maggiore;Roana;"""sunday: 09:30 - 19:30, monday: 09:30 - 19:30, tuesday: 09:30 - 21:30, wednesday: 09:30 - 21:30, thursday: 09:30 - 21:30, friday: 09:30 - 21:30, saturday: 09:30 - 21:30""";0424450154;
Societa' per L'Amministrazione e La Gestione di Impianti Sportivi - S.A.G.I.S. S.r.l.;Localita' Lagorai, 3;Cavalese;"""""";0462341810;
S.S. Buonconsiglio Nuoto;Via Fogazzaro Antonio, 4;Trento;"""""";0461961625 0461910464 0461416164;
S.S.D. Rari Nantes Valsugana a R.L.;Piazza dalla Chiesa Carlo Alberto, 1;Levico Terme;"""""";0461700373;
Studio Tecnico Associato Gasperotti di Ing. Dott. Gasperotti Luca ed Ing. Dott. Gasperotti Giorgio;Salita S. Agata, 23;Trento;"""""";0461811409;
Tennis Club Asiago;Via Verdi, 19;Asiago;"""""";3662870953;
Trim;Via Chini Eusebio, 99/1;Trento;"""sunday: 09:00 - 12:30 / 14:30 - 18:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00""";0461924604 0461912600;
