id,name,startDate,endDate,sports,location,organization,guests
1,LIBRI DI SPORT: LA VETTA DELLA VITA Libri di sport,2024-10-10 17:00:00,,3.0,1.0,18.0,172
2,GAZZA CAF,2024-10-11 09:30:00,,3.0,2.0,18.0,57
3,ANDREA LANFRI: SENZA LIMITI,2024-10-11 15:00:00,,3.0,3.0,18.0,23
4,CATHERINE DESTIVELLE: UNA VITA IN VERTICALE,2024-10-12 10:00:00,,3.0,4.0,18.0,39
5,DENIS URUBKO: COLPEVOLE D'ALPINISMO,2024-10-12 12:30:00,,3.0,5.0,18.0,61
6,VALENTINA CAFOLLA: APNEA GLACIALE,2024-10-12 18:00:00,,43.0,1.0,18.0,251
7,MATTEO ZURLONI: SPEED(Y) GONZALES,2024-10-10 15:00:00,,4.0,3.0,18.0,173
8,ALESSANDRO COLOMBO: TAGLIATO PER VIVERE,2024-10-12 15:00:00,,4.0,3.0,18.0,8
9,"ALICE BELLANDI: PARIGI, MON AMOUR",2024-10-10 15:30:00,,151.0,6.0,18.0,17
10,GIOCHI DI SQUADRA,2024-10-12 10:30:00,,151.0,5.0,18.0,"224, 190, 174"
11,GAZZA CAF,2024-10-10 09:30:00,,6.0,2.0,18.0,"256, 43"
12,DALLE OLIMPIADI ALLA MARATONA 42.195 METRI DI EMOZIONI E SOLIDARIET,2024-10-11 11:00:00,,6.0,6.0,18.0,"232, 201, 233, 42, 46"
13,"GANESHAMOORTHY, LEGNANTE E TAPIA LANCI DORO",2024-10-11 12:00:00,,6.0,4.0,18.0,"213, 31, 200"
14,BATTOCLETTI E DORIO: NATE PER CORRERE,2024-10-11 14:00:00,,6.0,6.0,18.0,"192, 99"
15,CARL LEWIS: IL FIGLIO DEL VENTO,2024-10-11 21:00:00,,6.0,7.0,18.0,36
16,GIOCHI DI SQUADRA,2024-10-12 10:30:00,,6.0,5.0,18.0,"224, 190, 174"
17,MATTIA FURLANI: SALTO NEL FUTURO,2024-10-12 12:30:00,,6.0,6.0,18.0,174
18,SIMONELLI E OTTOZ: OLTRE L'OSTACOLO,2024-10-12 19:00:00,,6.0,4.0,18.0,"69, 146"
19,"BEBE VIO GRANDIS PARIS, JE TAIME!",2024-10-13 10:00:00,,6.0,8.0,18.0,"255, 117, 9, 75, 32"
20,DIAZ E DONATO: TRIPLO SOGNO,2024-10-13 11:30:00,,6.0,5.0,18.0,"27, 79"
21,"CAIRONI, CONTRAFATTO E SABATINI: FRECCE TRICOLORI",2024-10-13 12:30:00,,6.0,4.0,18.0,"168, 190, 19"
22,CROUSER E FABBRI A PESO DORO,2024-10-13 15:30:00,,6.0,5.0,18.0,"219, 142"
23,"LIBRI DI SPORT: F1 BACKSTAGE
Libri di sport",2024-10-10 15:00:00,,128.0,1.0,18.0,212
24,VASSEUR E LECLERC: ROSSO FERRARI,2024-10-10 16:45:00,,128.0,7.0,18.0,"41, 95"
25,KIMI ANTONELLI: CI VEDIAMO IN FORMULA 1,2024-10-11 14:00:00,,128.0,5.0,18.0,136
26,STEFANO DOMENICALI: MISTER FORMULA 1,2024-10-11 18:00:00,,128.0,6.0,18.0,234
27,BIAGGI E SOMASCHINI: POTENZA E CONTROLLO,2024-10-12 14:00:00,,128.0,4.0,18.0,"179, 209"
28,"MOTORSPORT ACADEMY, I SEGRETI DELLAERODINAMICA",2024-10-12 16:30:00,,128.0,9.0,18.0,37
29,"MOTORSPORT ACADEMY, IL FUTURO DELLE DUE RUOTE",2024-10-13 15:30:00,,128.0,9.0,18.0,37
30,LITALIA NEL MITO DELLA MLB,2024-10-11 19:30:00,,8.0,1.0,18.0,"220, 188"
31,VOLONTARI PER SPORT,2024-10-11 10:00:00,,60.0,5.0,18.0,"34, 94, 50"
32,"LIBRI DI SPORT: L'ABC DEL BASKET
Libri di sport",2024-10-11 10:30:00,,60.0,10.0,18.0,53
33,UNALTRA PARTITA COMUNIT IN CAMPO,2024-10-11 17:00:00,,60.0,11.0,18.0,"248, 171, 154"
34,"MENEGHIN, SCOLA E GANDINI: IL BASKET CHE CI LEGA",2024-10-11 19:00:00,,60.0,4.0,18.0,"249, 65, 155"
35,FESTIVAL LEGENDS BASKET 3X3,2024-10-12 10:30:00,,60.0,11.0,18.0,"161, 101, 62, 183, 135, 216"
36,DEJAN BODIROGA: IL MIO BASKET TOTALE,2024-10-12 12:00:00,,60.0,4.0,18.0,59
37,AQUILA BASKET TRENTO MEET&GREET,2024-10-12 16:30:00,,60.0,11.0,18.0,
38,GIANMARCO POZZECCO: TIRO LIBERO,2024-10-12 18:00:00,,60.0,6.0,18.0,108
39,"BEBE VIO GRANDIS PARIS, JE TAIME!",2024-10-13 10:00:00,,60.0,8.0,18.0,"255, 117, 9, 75, 32"
40,GIOCA CON NOI: ALBATROSS E UNIPOL BRIANTEA84 CANT,2024-10-13 11:30:00,,60.0,11.0,18.0,
41,ANDRE IGUODALA: MONSIEUR NBA,2024-10-13 12:30:00,,60.0,7.0,18.0,21
