id, name
1,Alps Hockey League
2,Amministrazione comunale
3,ASD Ortigaralefre
4,Associazione Pro loco Sabbionara
5,Azienda Per Il Turismo Dolomiti Paganella
6,Circolo Tennis Borgo e il Golf Club Roncegno
7,Cles Estate
8,"Collettivo Clochart A.P.S., Amministrazione comunale"
9,Comune di Besenello
10,"Comune di Brentonico, SAT - Società Alpinisti Tridentini, sezione di Brentonico"
11,Comune di Cles
12,Comune e dalla Biblioteca di Cles
13,Comunità della Valle di Cembra
14,Comunità di Valle Alto Garda e Ledro
15,Consiglio Comunale dei Ragazzi di Cles
16,Dolomytennis
17,Judo Zen'Yo Destra Adige
18,La Gazzetta dello Sport e Trentino Marketing
19,Mountain Friends
20,Pro Loco Stenico
21,S.P.A.L. CALCIO
22,U.S. Robur Sporminore
23,Unione sportiva Castel Ivano ASD
24,Unione Sportiva Marter
25,Unione sportiva Villagnedo ASD
26,US Pieve di Bono
