id,address,municipality
1,"Palazzo Geremia, Via Rodolfo Belenzani 20",Trento
2,"Palazzo Benvenuti, Via Rodolfo Belenzani 12",Trento
3,"Piazza Santa Maria Maggiore, Piazza Santa Maria Maggiore",Trento
4,Palazzo della Regione,Trento
5,"Sala Depero, Piazza Dante 15",Trento
6,"Palazzo Geremia, Via Rodolfo Belenzani 20",Trento
7,"Piazza Santa Maria Maggiore, Piazza Santa Maria Maggiore",Trento
8,"Piazza Santa Maria Maggiore, Piazza Santa Maria Maggiore",Trento
9,"Filarmonica, Via Giuseppe Verdi 30",Trento
10,"Sala Depero, Piazza Dante 15",Trento
11,"Palazzo Benvenuti, Via Rodolfo Belenzani 12",Trento
12,"Filarmonica, Via Giuseppe Verdi 30",Trento
13,Palazzo della Regione,Trento
14,"Filarmonica, Via Giuseppe Verdi 30",Trento
15,"Auditorium Santa Chiara, Via S. Croce 67",Trento
16,"Sala Depero, Piazza Dante 15",Trento
17,"Filarmonica, Via Giuseppe Verdi 30",Trento
18,Palazzo della Regione,Trento
19,"Teatro Sociale, Via Paolo Oss-Mazzurana 19",Trento
20,"Sala Depero, Piazza Dante 15",Trento
21,Palazzo della Regione,Trento
22,"Sala Depero, Piazza Dante 15",Trento
23,"Palazzo Geremia, Via Rodolfo Belenzani 20",Trento
24,"Auditorium Santa Chiara, Via S. Croce 67",Trento
25,"Sala Depero, Piazza Dante 15",Trento
26,"Filarmonica, Via Giuseppe Verdi 30",Trento
27,Palazzo della Regione,Trento
28,"Piazza Dante Beta Officina Motori, Piazza Dante",Trento
29,"Piazza Dante Beta Officina Motori, Piazza Dante",Trento
30,"Palazzo Geremia, Via Rodolfo Belenzani 20",Trento
31,"Sala Depero, Piazza Dante 15",Trento
32,"Piazza del Duomo, Piazza Del Duomo",Trento
33,"Piazza Fiera, Piazza di Fiera",Trento
34,Palazzo della Regione,Trento
35,"Piazza Fiera, Piazza di Fiera",Trento
36,Palazzo della Regione,Trento
37,"Piazza Fiera, Piazza di Fiera",Trento
38,"Filarmonica, Via Giuseppe Verdi 30",Trento
39,"Teatro Sociale, Via Paolo Oss-Mazzurana 19",Trento
40,"Piazza Fiera, Piazza di Fiera",Trento
41,"Auditorium Santa Chiara, Via S. Croce 67",Trento
42,"Palazzo Geremia, Via Rodolfo Belenzani 20",Trento
43,"Filarmonica, Via Giuseppe Verdi 30",Trento
44,"Piazza Cesare Battisti, Piazza Cesare Battisti",Trento
45,"Teatro Sociale, Via Paolo Oss-Mazzurana 19",Trento
46,"Teatro Sociale, Via Paolo Oss-Mazzurana 19",Trento
47,"Piazza del Duomo, Piazza Del Duomo",Trento
48,"Piazza del Duomo, Piazza Del Duomo",Trento
49,"Teatro Sociale, Via Paolo Oss-Mazzurana 19",Trento
50,"Auditorium Santa Chiara, Via S. Croce 67",Trento
51,"Teatro Sociale, Via Paolo Oss-Mazzurana 19",Trento
52,"Piazza del Duomo, Piazza Del Duomo",Trento
53,"Teatro Sociale, Via Paolo Oss-Mazzurana 19",Trento
54,"Filarmonica, Via Giuseppe Verdi 30",Trento
55,"Sala Depero, Piazza Dante 15",Trento
56,Palazzo della Regione,Trento
57,"Piazza del Duomo, Piazza Del Duomo",Trento
58,Palazzo della Regione,Trento
59,"Sala Depero, Piazza Dante 15",Trento
60,"Auditorium Santa Chiara, Via S. Croce 67",Trento
61,Palazzo della Regione,Trento
62,"Auditorium Santa Chiara, Via S. Croce 67",Trento
63,"Palazzo Geremia, Via Rodolfo Belenzani 20",Trento
64,"Auditorium Santa Chiara, Via S. Croce 67",Trento
